trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20200924,22.25,24.06,26.04,20.5,2590075,59037737.0,27.7,20.3,4.06,7.23
20200925,25.75,24.47,27.53,21.5,1031203,25383774.0,25.06,1.7,0.41,2.88
20200928,23.65,23.69,24.08,22.05,330210,7688729.0,8.3,-3.19,-0.78,0.92
20200929,23.25,23.0,24.79,22.82,510099,11949043.0,8.32,-2.91,-0.69,1.42
20200930,23.0,22.4,23.95,22.05,202428,4673012.0,8.26,-2.61,-0.6,0.54
20201001,22.5,20.35,23.63,20.35,298528,6648144.0,14.64,-9.15,-2.05,0.79
20201002,20.23,20.08,22.25,19.32,306036,6486672.0,14.4,-1.33,-0.27,0.81
20201005,20.43,19.9,21.03,18.16,207659,4050037.0,14.29,-0.9,-0.18,0.55
20201006,20.1,20.38,21.0,19.9,112073,2301466.0,5.53,2.41,0.48,0.3
20201007,20.42,20.2,21.95,20.18,333358,6854749.0,8.68,-0.88,-0.18,0.88
20201008,20.23,20.75,21.0,20.11,321165,6602823.0,4.41,2.72,0.55,0.85
20201009,20.62,20.23,21.0,20.16,229272,4774506.0,4.05,-2.51,-0.52,0.61
20201012,20.21,21.3,21.55,20.21,175884,3711184.0,6.62,5.29,1.07,0.47
20201013,21.14,21.25,21.75,20.91,125692,2665924.0,3.94,-0.23,-0.05,0.33
20201014,21.04,21.38,22.03,21.04,110724,2385674.0,4.66,0.61,0.13,0.29
20201015,21.05,21.05,21.98,21.05,126917,2720755.0,4.35,-1.54,-0.33,0.34
20201016,21.4,21.8,22.01,21.2,114072,2449007.0,3.85,3.56,0.75,0.3
20201019,22.21,21.28,23.0,21.02,129092,2838056.0,9.08,-2.39,-0.52,0.34
20201020,21.83,20.79,21.83,20.29,84447,1771068.0,7.24,-2.3,-0.49,0.22
20201021,20.68,20.28,21.18,20.12,131166,2678191.0,5.1,-2.45,-0.51,0.35
20201022,20.5,20.55,20.87,20.2,92970,1896703.0,3.3,1.33,0.27,0.25
20201023,20.7,20.02,20.83,19.95,61307,1249264.0,4.28,-2.58,-0.53,0.16
20201026,19.91,20.1,20.53,19.91,69868,1409702.0,3.1,0.4,0.08,0.19
20201027,20.32,21.05,21.54,20.0,239586,4898824.0,7.66,4.73,0.95,0.63
20201028,20.98,19.31,20.98,19.0,111540,2224662.0,9.41,-8.27,-1.74,0.3
20201029,19.44,19.92,20.05,19.17,103988,2067649.0,4.56,3.16,0.61,0.28
20201030,19.75,20.8,21.53,19.5,174152,3547962.0,10.19,4.42,0.88,0.46
20201102,21.0,21.0,21.92,20.9,32501,693513.0,4.9,0.96,0.2,0.09
20201103,21.3,21.19,21.98,20.02,172437,3708435.0,9.33,0.9,0.19,0.46
20201104,21.37,21.34,21.86,20.2,133450,2809046.0,7.83,0.71,0.15,0.35
20201105,21.24,20.68,21.79,20.3,160645,3353624.0,6.98,-3.09,-0.66,0.43
20201106,21.02,20.5,21.3,20.38,102112,2117288.0,4.45,-0.87,-0.18,0.27
20201109,20.9,20.56,20.9,20.09,56058,1150093.0,3.95,0.29,0.06,0.15
20201110,20.69,20.29,20.72,20.2,40080,821826.0,2.53,-1.31,-0.27,0.11
20201111,20.6,19.96,21.07,19.62,52814,1063508.0,7.15,-1.63,-0.33,0.14
20201112,19.96,20.1,20.63,19.53,38786,787030.0,5.51,0.7,0.14,0.1
20201113,19.86,20.4,20.58,19.86,53725,1098538.0,3.58,1.49,0.3,0.14
20201116,20.5,20.49,20.89,20.0,74841,1533498.0,4.36,0.44,0.09,0.2
20201117,20.63,20.76,20.83,20.18,109978,2259253.0,3.17,1.32,0.27,0.29
20201118,20.57,21.0,21.23,20.32,60437,1269777.0,4.38,1.16,0.24,0.16
20201119,20.81,21.5,22.44,20.81,70955,1542248.0,7.76,2.38,0.5,0.19
20201120,21.7,21.17,22.0,21.09,42627,912179.0,4.23,-1.53,-0.33,0.11
20201123,21.12,21.77,22.09,21.01,66990,1455056.0,5.1,2.83,0.6,0.18
20201124,21.16,21.89,22.48,20.25,77974,1718034.0,10.24,0.55,0.12,0.21
20201125,21.7,22.1,22.42,21.4,58996,1305243.0,4.66,0.96,0.21,0.16
20201127,21.89,21.43,22.35,21.02,27115,587158.0,6.02,-3.03,-0.67,0.07
20201130,21.48,22.62,22.88,21.48,122116,2749363.0,6.53,5.55,1.19,0.32
20201201,22.6,22.1,23.28,21.51,126778,2870466.0,7.82,-2.3,-0.52,0.34
20201202,22.09,21.64,23.39,21.64,104157,2317716.0,7.92,-2.08,-0.46,0.28
20201203,21.6,20.29,22.08,20.28,91775,1920620.0,8.32,-6.24,-1.35,0.24
20201204,20.68,20.03,21.16,19.83,189071,3810536.0,6.55,-1.28,-0.26,0.5
20201207,20.03,19.14,20.48,18.9,116760,2271028.0,7.89,-4.44,-0.89,0.31
20201208,18.94,20.6,21.25,18.94,126457,2600376.0,12.07,7.63,1.46,0.33
20201209,20.41,20.31,21.2,19.83,57618,1176831.0,6.65,-1.41,-0.29,0.15
20201210,20.04,20.17,20.73,19.39,164542,3292010.0,6.6,-0.69,-0.14,0.44
20201211,20.07,22.02,22.24,20.06,253774,5332558.0,10.81,9.17,1.85,0.67
20201214,22.07,21.15,22.61,20.31,114217,2449792.0,10.45,-3.95,-0.87,0.3
20201215,21.4,21.61,21.61,20.66,130578,2777362.0,4.49,2.17,0.46,0.35
20201216,21.45,21.43,21.96,21.05,262592,5642616.0,4.21,-0.83,-0.18,0.7
20201217,21.38,21.43,21.89,21.16,186206,4004733.0,3.41,0.0,0.0,0.49
20201218,21.55,22.33,23.67,20.85,1442492,32409705.0,13.16,4.2,0.9,3.82
20201221,22.12,22.11,22.76,21.53,183880,4052910.0,5.51,-0.99,-0.22,0.49
20201222,22.11,24.29,24.35,21.88,264416,6228875.0,11.17,9.86,2.18,0.7
20201223,24.29,28.13,28.3,24.2,165363,4382564.0,16.88,15.81,3.84,0.44
20201224,28.29,27.2,29.96,26.59,89539,2517560.0,11.98,-3.31,-0.93,0.24
20201228,28.95,28.0,29.76,27.63,158237,4524114.0,7.83,2.94,0.8,0.42
20201229,28.02,27.42,28.64,26.55,94436,2621322.0,7.46,-2.07,-0.58,0.25
20201230,27.23,27.28,27.5,25.93,57514,1546799.0,5.73,-0.51,-0.14,0.15
20201231,27.21,26.54,28.19,26.13,66519,1770508.0,7.55,-2.71,-0.74,0.18
20210104,26.74,26.17,27.57,25.04,130129,3408823.0,9.53,-1.39,-0.37,0.34
20210105,28.33,25.38,28.96,25.05,85866,2268829.0,14.94,-3.02,-0.79,0.23
20210106,25.38,25.11,26.38,23.75,243891,6035414.0,10.36,-1.06,-0.27,0.65
20210107,25.05,27.11,28.21,24.85,307449,8096698.0,13.38,7.96,2.0,0.81
20210108,27.55,27.2,28.07,26.41,156008,4256516.0,6.12,0.33,0.09,0.41
20210111,27.31,27.5,27.75,26.13,43957,1196842.0,5.96,1.1,0.3,0.12
20210112,27.47,26.89,28.3,26.21,72434,1968484.0,7.6,-2.22,-0.61,0.19
20210113,27.0,27.91,28.37,26.06,115009,3166626.0,8.59,3.79,1.02,0.3
20210114,28.0,28.7,30.96,27.73,117203,3444656.0,11.57,2.83,0.79,0.31
20210115,28.67,29.58,30.0,27.8,58544,1717201.0,7.67,3.07,0.88,0.16
20210119,30.12,31.0,33.35,29.74,138203,4339985.0,12.2,4.8,1.42,0.37
20210120,31.06,31.75,32.37,29.72,79849,2505498.0,8.55,2.42,0.75,0.21
20210121,32.14,30.87,32.14,30.0,80894,2506073.0,6.74,-2.77,-0.88,0.21
