trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,2.237,2.357,2.357,2.237,7800,0.0,0.0,0.0,0.0,0.04
20010103,2.277,2.477,2.477,2.277,5400,0.0,8.49,5.09,0.12,0.03
20010104,2.397,2.637,2.637,2.317,2800,0.0,12.92,6.46,0.16,0.01
20010105,2.637,2.757,2.837,2.637,115400,0.0,7.58,4.55,0.12,0.56
20010108,2.637,2.517,2.637,2.517,7000,0.0,4.35,-8.71,-0.24,0.03
20010109,2.597,2.717,2.717,2.597,4600,0.0,4.77,7.95,0.2,0.02
20010110,2.637,2.717,2.717,2.637,10800,0.0,2.94,0.0,0.0,0.05
20010111,2.717,2.677,2.717,2.637,5400,0.0,2.94,-1.47,-0.04,0.03
20010112,2.717,2.717,2.717,2.637,8800,0.0,2.99,1.49,0.04,0.04
20010116,2.597,2.757,2.757,2.597,9100,0.0,5.89,1.47,0.04,0.04
20010117,2.717,2.717,2.757,2.717,5100,0.0,1.45,-1.45,-0.04,0.02
20010118,2.757,2.677,2.757,2.677,8400,0.0,2.94,-1.47,-0.04,0.04
20010119,2.637,2.677,2.677,2.597,7800,0.0,2.99,0.0,0.0,0.04
20010122,2.637,2.717,2.757,2.597,12300,0.0,5.98,1.49,0.04,0.06
20010123,2.637,2.757,2.757,2.637,9600,0.0,4.42,1.47,0.04,0.05
20010124,2.677,2.677,2.677,2.677,3600,0.0,0.0,-2.9,-0.08,0.02
20010125,2.637,2.717,2.757,2.637,7900,0.0,4.48,1.49,0.04,0.04
20010126,2.757,2.677,2.757,2.677,8900,0.0,2.94,-1.47,-0.04,0.04
20010129,2.597,2.605,2.717,2.597,1800,0.0,4.48,-2.69,-0.072,0.01
20010130,2.589,2.597,2.597,2.589,4800,0.0,0.31,-0.31,-0.008,0.02
20010131,2.669,2.581,2.669,2.581,12000,0.0,3.39,-0.62,-0.016,0.06
20010201,2.661,2.637,2.757,2.637,35000,0.0,4.65,2.17,0.056,0.17
20010202,2.637,2.637,2.637,2.637,4900,0.0,0.0,0.0,0.0,0.02
20010205,2.589,2.493,2.589,2.493,2800,0.0,3.64,-5.46,-0.144,0.01
20010206,2.413,2.613,2.629,2.413,2800,0.0,8.66,4.81,0.12,0.01
20010207,2.581,2.597,2.597,2.581,1500,0.0,0.61,-0.61,-0.016,0.01
20010208,2.517,2.581,2.581,2.517,2900,0.0,2.46,-0.62,-0.016,0.01
20010209,2.605,2.605,2.605,2.517,6600,0.0,3.41,0.93,0.024,0.03
20010212,2.541,2.637,2.637,2.541,34000,0.0,3.69,1.23,0.032,0.16
20010213,2.637,2.741,2.741,2.637,2900,0.0,3.94,3.94,0.104,0.01
20010214,2.645,2.709,2.757,2.581,6600,0.0,6.42,-1.17,-0.032,0.03
20010215,2.677,2.757,2.757,2.677,4000,0.0,2.95,1.77,0.048,0.02
20010216,2.693,2.685,2.709,2.677,3900,0.0,1.16,-2.61,-0.072,0.02
20010220,2.685,2.741,2.741,2.677,1600,0.0,2.38,2.09,0.056,0.01
20010221,2.677,2.645,2.741,2.645,7100,0.0,3.5,-3.5,-0.096,0.03
20010222,2.645,2.581,2.645,2.581,1100,0.0,2.42,-2.42,-0.064,0.01
20010223,2.613,2.613,2.613,2.581,4000,0.0,1.24,1.24,0.032,0.02
20010226,2.581,2.741,2.741,2.581,83500,0.0,6.12,4.9,0.128,0.4
20010227,2.757,2.837,2.837,2.757,37600,0.0,2.92,3.5,0.096,0.18
20010228,2.901,2.877,2.901,2.837,7400,0.0,2.26,1.41,0.04,0.04
20010301,2.837,2.869,2.869,2.837,16600,0.0,1.11,-0.28,-0.008,0.08
20010302,2.805,2.869,2.869,2.773,23900,0.0,3.35,0.0,0.0,0.12
20010305,2.837,2.757,2.837,2.741,4400,0.0,3.35,-3.9,-0.112,0.02
20010306,2.869,2.773,2.869,2.773,6000,0.0,3.48,0.58,0.016,0.03
20010307,2.805,2.837,2.837,2.805,6000,0.0,1.15,2.31,0.064,0.03
