trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250116,25.05,24.978,25.08,24.978,6374,159627.0,0.0,0.0,0.0,0.0
20250117,25.16,25.227,25.3,25.147,9935,250445.0,0.61,1.0,0.249,0.0
20250121,26.26,25.359,26.26,25.272,14911,378394.0,3.92,0.52,0.132,0.0
20250122,25.41,25.48,25.52,25.41,6473,165105.0,0.43,0.48,0.121,0.0
20250123,25.49,25.543,25.543,25.43,4030,102840.0,0.44,0.25,0.063,0.0
20250124,25.6,25.522,25.6,25.51,2146,54794.0,0.35,-0.08,-0.021,0.0
20250127,25.18,25.222,25.28,25.148,9492,239421.0,0.52,-1.18,-0.3,0.0
20250128,25.364,25.429,25.429,25.34,982,24887.0,0.35,0.82,0.207,0.0
20250129,25.36,25.349,25.374,25.31,3050,77287.0,0.25,-0.31,-0.08,0.0
20250130,25.43,25.449,25.449,25.36,2956,75034.0,0.35,0.39,0.1,0.0
20250131,25.533,25.34,25.533,25.34,694,17630.0,0.76,-0.43,-0.109,0.0
20250203,25.07,25.22,25.24,24.98,9291,233667.0,1.03,-0.47,-0.12,0.0
20250204,25.23,25.345,25.345,25.23,1338,33873.0,0.46,0.5,0.125,0.0
20250205,25.34,25.454,25.454,25.34,2219,56399.0,0.45,0.43,0.109,0.0
20250206,25.48,25.537,25.537,25.48,473,12058.0,0.22,0.33,0.083,0.0
20250207,25.5,25.385,25.5,25.385,8064,205288.0,0.45,-0.6,-0.152,0.0
20250210,25.54,25.529,25.54,25.529,1627,41548.0,0.04,0.57,0.144,0.0
20250211,25.5,25.541,25.541,25.5,1309,33381.0,0.16,0.05,0.012,0.0
20250212,25.487,25.487,25.487,25.487,28,713.0,0.0,-0.21,-0.054,0.0
20250213,25.69,25.692,25.7,25.69,582,14954.0,0.04,0.8,0.205,0.0
20250214,25.724,25.724,25.724,25.724,160,4115.0,0.0,0.12,0.032,0.0
20250218,25.7,25.755,25.755,25.7,353,9072.0,0.21,0.12,0.031,0.0
20250219,25.821,25.821,25.821,25.821,116,2995.0,0.0,0.26,0.066,0.0
20250220,25.761,25.78,25.78,25.74,376,9681.0,0.15,-0.16,-0.041,0.0
20250221,25.65,25.427,25.65,25.41,958,24453.0,0.93,-1.37,-0.353,0.0
