trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230713,24.622,24.654,24.72,24.612,413049,10379813.0,0.44,0.13,0.032,0.0
20230714,24.652,24.436,24.652,24.397,21054,525608.0,1.03,-0.88,-0.218,0.0
20230717,24.436,24.455,24.505,24.405,10373,258488.0,0.41,0.08,0.019,0.0
20230718,24.74,24.729,24.75,24.671,5081,127899.0,0.32,1.12,0.274,0.0
20230719,24.838,24.887,24.976,24.838,6828,173218.0,0.56,0.64,0.158,0.0
20230720,24.809,24.659,24.809,24.603,9814,246819.0,0.83,-0.92,-0.228,0.0
20230721,24.848,24.661,24.848,24.661,4712,119053.0,0.76,0.01,0.002,0.0
20230724,24.74,24.852,24.907,24.74,3346,84755.0,0.68,0.77,0.191,0.0
20230725,24.887,24.851,24.897,24.851,1544,39142.0,0.19,0.0,-0.001,0.0
20230726,24.896,24.814,24.896,24.789,2665,67422.0,0.43,-0.15,-0.037,0.0
20230727,24.907,24.444,24.907,24.416,6260,157158.0,1.98,-1.49,-0.37,0.0
20230728,24.612,24.63,24.63,24.612,899,22555.0,0.07,0.76,0.186,0.0
20230731,24.779,24.833,24.833,24.75,1348,34048.0,0.34,0.82,0.203,0.0
20230801,24.809,24.788,24.809,24.626,2415,60675.0,0.74,-0.18,-0.045,0.0
20230802,24.642,24.546,24.642,24.524,3178,79727.0,0.48,-0.98,-0.242,0.0
20230803,24.534,24.638,24.642,24.455,3797,94840.0,0.76,0.37,0.092,0.0
20230804,24.446,24.511,24.936,24.446,5255,132347.0,1.99,-0.52,-0.127,0.0
20230807,24.632,24.63,24.632,24.573,1732,43427.0,0.24,0.49,0.119,0.0
20230808,24.436,24.528,24.554,24.308,3286,81827.0,1.0,-0.41,-0.102,0.0
20230809,24.591,24.508,24.652,24.508,944,23640.0,0.59,-0.08,-0.02,0.0
20230810,24.72,24.484,24.76,24.411,894,22381.0,1.42,-0.1,-0.024,0.0
20230811,24.554,24.548,24.554,24.548,205,5129.0,0.02,0.26,0.064,0.0
20230814,24.485,24.48,24.495,24.48,998,24901.0,0.06,-0.28,-0.068,0.0
20230815,24.23,24.217,24.279,24.217,1565,38644.0,0.25,-1.07,-0.263,0.0
20230816,24.215,23.957,24.215,23.955,2970,73091.0,1.07,-1.07,-0.26,0.0
20230817,24.024,23.806,24.024,23.806,841,20508.0,0.91,-0.63,-0.151,0.0
20230818,23.876,23.886,23.886,23.876,538,13092.0,0.04,0.34,0.08,0.0
20230821,24.024,23.937,24.024,23.852,5357,130800.0,0.72,0.21,0.051,0.0
20230822,23.916,23.801,23.916,23.801,483,11746.0,0.48,-0.57,-0.136,0.0
20230823,23.932,23.932,23.932,23.932,141,3438.0,0.0,0.55,0.131,0.0
20230824,23.916,23.788,23.916,23.719,27254,659564.0,0.82,-0.6,-0.144,0.0
20230825,24.544,23.86,24.544,23.69,12375,301581.0,3.59,0.3,0.072,0.0
20230828,25.515,23.984,25.515,23.955,11894,291905.0,6.54,0.52,0.124,0.0
20230829,24.063,24.301,24.318,23.984,5991,148062.0,1.39,1.32,0.317,0.0
20230830,24.387,24.411,24.411,24.377,834,20727.0,0.14,0.45,0.11,0.0
20230831,24.515,24.416,24.534,24.416,14759,367853.0,0.48,0.02,0.005,0.0
20230901,24.642,24.551,24.642,24.514,3859,96627.0,0.52,0.55,0.135,0.0
20230905,24.828,24.393,24.828,24.393,1881,47030.0,1.77,-0.64,-0.158,0.0
20230906,24.495,24.318,24.495,24.215,13151,325769.0,1.15,-0.31,-0.075,0.0
20230907,24.269,24.277,24.308,24.166,10026,248161.0,0.58,-0.17,-0.041,0.0
20230908,24.377,24.288,24.406,24.288,2543,62994.0,0.49,0.05,0.011,0.0
20230911,24.544,24.365,24.554,24.365,8395,209237.0,0.78,0.32,0.077,0.0
20230912,24.377,24.328,24.406,24.318,8843,219594.0,0.36,-0.15,-0.037,0.0
20230913,24.21,24.199,24.23,24.199,1511,37300.0,0.13,-0.53,-0.129,0.0
20230914,24.426,24.523,24.523,24.426,6001,149438.0,0.4,1.34,0.324,0.0
20230915,24.318,24.321,24.397,24.308,2002,49647.0,0.36,-0.82,-0.202,0.0
20230918,24.181,24.262,24.347,24.181,1095,27070.0,0.68,-0.24,-0.059,0.0
20230919,24.318,24.183,24.318,24.183,191,4732.0,0.56,-0.33,-0.079,0.0
20230920,24.318,24.024,24.347,24.024,3520,87090.0,1.34,-0.66,-0.159,0.0
20230921,23.975,23.633,23.975,23.633,1031,25041.0,1.42,-1.63,-0.391,0.0
20230922,23.68,23.56,23.68,23.56,3348,80717.0,0.51,-0.31,-0.073,0.0
20230925,23.553,23.663,23.7,23.553,825,19844.0,0.62,0.44,0.103,0.0
20230926,23.513,23.405,23.513,23.405,2144,51264.0,0.46,-1.09,-0.258,0.0
20230927,23.426,23.518,23.564,23.426,844,20151.0,0.59,0.48,0.113,0.0
