trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180503,19.0,16.65,20.48,16.21,837920,14934926.0,0.0,0.0,0.0,2.0
20180504,16.75,16.75,16.98,16.51,151996,2543181.0,2.82,0.6,0.1,0.36
20180507,16.85,16.34,16.99,16.03,183607,3021039.0,5.73,-2.45,-0.41,0.44
20180508,16.28,16.94,16.94,15.78,86262,1395172.0,7.1,3.67,0.6,0.21
20180509,16.92,16.08,16.92,15.75,264874,4279950.0,6.91,-5.08,-0.86,0.63
20180510,16.0,15.94,16.35,15.81,32294,516874.0,3.36,-0.87,-0.14,0.08
20180511,16.0,15.49,16.14,15.43,92404,1464701.0,4.45,-2.82,-0.45,0.22
20180514,15.5,14.79,15.57,14.75,70075,1054384.0,5.29,-4.52,-0.7,0.17
20180515,14.89,14.94,14.98,14.75,42356,629947.0,1.56,1.01,0.15,0.1
20180516,14.85,14.51,14.85,14.5,25639,377271.0,2.34,-2.88,-0.43,0.06
20180517,14.62,13.98,15.2,13.78,94601,1336966.0,9.79,-3.65,-0.53,0.23
20180518,14.0,13.34,14.01,13.33,42716,576374.0,4.86,-4.58,-0.64,0.1
20180521,13.5,13.35,15.48,13.35,44435,614640.0,15.97,0.07,0.01,0.11
20180522,13.46,13.12,14.4,13.12,50667,684786.0,9.59,-1.72,-0.23,0.12
20180523,13.1,12.76,13.64,12.75,61786,802830.0,6.78,-2.74,-0.36,0.15
20180524,12.75,12.76,13.38,12.75,36082,468660.0,4.94,0.0,0.0,0.09
20180525,12.76,13.0,13.3,12.75,154348,2015485.0,4.31,1.88,0.24,0.37
20180529,13.2,13.02,13.9,13.0,236847,3144781.0,6.92,0.15,0.02,0.57
20180530,13.8,14.0,14.2,13.24,287864,4003460.0,7.37,7.53,0.98,0.69
20180531,14.25,14.9,15.42,13.91,336903,4856577.0,10.79,6.43,0.9,0.8
20180601,15.0,15.11,15.95,14.68,284568,4384939.0,8.52,1.41,0.21,0.67
20180604,15.3,13.85,15.3,13.61,157455,2244307.0,11.18,-8.34,-1.26,0.37
20180605,14.01,14.0,14.69,13.16,99794,1390053.0,11.05,1.08,0.15,0.24
20180606,14.1,13.4,14.68,13.3,147494,2004563.0,9.86,-4.29,-0.6,0.35
20180607,13.5,13.5,14.81,13.5,101410,1389482.0,9.78,0.75,0.1,0.24
20180608,13.3,14.18,14.39,13.3,73424,1035345.0,8.07,5.04,0.68,0.17
20180611,14.28,15.02,15.27,14.04,108820,1597784.0,8.67,5.92,0.84,0.26
20180612,15.12,14.83,15.77,14.58,163346,2464602.0,7.92,-1.26,-0.19,0.39
20180613,14.87,14.76,15.31,14.51,119026,1786585.0,5.39,-0.47,-0.07,0.28
20180614,15.0,15.0,15.19,14.51,140646,2103598.0,4.61,1.63,0.24,0.33
20180615,14.91,14.52,15.0,14.16,291819,4260545.0,5.6,-3.2,-0.48,0.69
20180618,14.47,15.0,15.24,14.47,107955,1611446.0,5.3,3.31,0.48,0.26
20180619,14.89,14.95,15.18,14.57,161894,2402470.0,4.07,-0.33,-0.05,0.38
20180620,15.06,15.05,15.56,14.93,107234,1636319.0,4.21,0.67,0.1,0.25
20180621,15.38,14.79,15.38,14.05,163098,2398312.0,8.84,-1.73,-0.26,0.39
20180622,14.91,15.06,15.09,14.61,579956,8723556.0,3.25,1.83,0.27,1.37
20180625,14.92,14.34,14.92,14.03,202291,2919321.0,5.91,-4.78,-0.72,0.48
20180626,14.4,14.79,15.01,14.19,93036,1364585.0,5.72,3.14,0.45,0.22
20180627,14.9,14.58,14.9,14.26,73527,1071327.0,4.33,-1.42,-0.21,0.17
20180628,14.63,14.89,14.96,14.06,107966,1567347.0,6.17,2.13,0.31,0.26
20180629,14.94,15.06,15.08,14.61,44069,658141.0,3.16,1.14,0.17,0.1
20180702,14.95,14.84,14.95,14.64,49684,735985.0,2.06,-1.46,-0.22,0.12
20180703,14.89,14.86,14.89,14.54,83822,1235732.0,2.36,0.13,0.02,0.2
20180705,14.98,15.18,15.25,14.77,101347,1522544.0,3.23,2.15,0.32,0.24
20180706,15.22,15.2,16.18,15.05,124789,1918553.0,7.44,0.13,0.02,0.29
20180709,15.32,15.54,15.95,15.28,86974,1352762.0,4.41,2.24,0.34,0.21
20180710,15.99,15.68,15.99,15.33,34001,530078.0,4.25,0.9,0.14,0.08
20180711,15.55,15.5,15.76,15.25,85002,1313294.0,3.25,-1.15,-0.18,0.2
20180712,15.56,15.59,15.86,15.5,53279,832131.0,2.32,0.58,0.09,0.13
20180713,15.69,15.15,15.69,14.8,96390,1461760.0,5.71,-2.82,-0.44,0.23
20180716,15.15,15.12,15.4,14.84,50246,758010.0,3.7,-0.2,-0.03,0.12
20180717,15.06,15.11,15.3,14.91,24493,369458.0,2.58,-0.07,-0.01,0.06
20180718,15.12,15.01,15.3,14.9,32839,494164.0,2.65,-0.66,-0.1,0.08
20180719,15.0,15.12,15.21,14.9,28695,433318.0,2.07,0.73,0.11,0.07
20180720,15.06,14.72,15.1,14.72,34033,511457.0,2.51,-2.65,-0.4,0.08
20180723,14.73,14.94,14.96,14.73,30952,460429.0,1.56,1.49,0.22,0.07
20180724,14.98,14.95,15.04,14.74,134949,2012327.0,2.01,0.07,0.01,0.32
20180725,15.0,14.72,15.03,14.68,131307,1950792.0,2.34,-1.54,-0.23,0.31
20180726,14.9,15.02,15.23,14.76,69571,1037319.0,3.19,2.04,0.3,0.16
20180727,15.03,14.34,15.07,14.3,39550,586779.0,5.13,-4.53,-0.68,0.09
20180730,14.44,14.69,14.99,14.36,57024,832216.0,4.39,2.44,0.35,0.13
20180731,14.79,15.03,15.25,14.79,83849,1255280.0,3.13,2.31,0.34,0.2
20180801,14.98,15.25,15.34,14.84,167883,2523406.0,3.33,1.46,0.22,0.4
20180802,15.22,15.36,15.82,15.15,68554,1052803.0,4.39,0.72,0.11,0.16
20180803,15.27,15.28,15.49,15.15,15174,232155.0,2.21,-0.52,-0.08,0.04
20180806,15.34,15.6,15.81,15.18,23488,365386.0,4.12,2.09,0.32,0.06
20180807,15.7,15.7,15.97,15.61,12830,202577.0,2.31,0.64,0.1,0.03
20180808,15.74,15.74,15.89,15.5,15753,247304.0,2.48,0.25,0.04,0.04
20180809,15.8,15.76,15.8,15.15,10166,158355.0,4.13,0.13,0.02,0.02
20180810,15.8,15.75,16.5,15.65,94975,1519121.0,5.39,-0.06,-0.01,0.22
20180813,16.0,16.03,16.11,15.84,69351,1105021.0,1.71,1.78,0.28,0.16
20180814,16.12,15.55,16.34,15.2,70358,1097818.0,7.11,-2.99,-0.48,0.17
20180815,15.46,15.7,15.78,15.35,64902,1012316.0,2.77,0.96,0.15,0.15
20180816,15.77,15.74,15.88,15.56,55335,866086.0,2.04,0.25,0.04,0.13
20180817,15.76,15.84,15.89,15.57,45153,712701.0,2.03,0.64,0.1,0.11
