trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-20.093,-20.093,-20.023,-20.213,267700,0.0,0.0,0.0,0.0,0.26
20010103,-20.093,-19.713,-19.653,-20.093,276500,0.0,-2.19,1.89,0.38,0.27
20010104,-19.653,-19.523,-19.463,-19.843,424000,0.0,-1.93,0.96,0.19,0.41
20010105,-19.783,-19.903,-19.713,-20.023,191600,0.0,-1.59,-1.95,-0.38,0.19
20010108,-19.903,-19.963,-19.783,-19.963,334600,0.0,-0.9,-0.3,-0.06,0.33
20010109,-19.903,-19.903,-19.783,-19.963,649700,0.0,-0.9,0.3,0.06,0.64
20010110,-19.755,-19.695,-19.695,-19.885,326900,0.0,-0.95,1.05,0.208,0.32
20010111,-19.635,-19.635,-19.515,-19.755,554100,0.0,-1.22,0.3,0.06,0.54
20010112,-19.635,-19.635,-19.575,-19.695,189100,0.0,-0.61,0.0,0.0,0.18
20010116,-19.695,-19.695,-19.635,-19.885,247200,0.0,-1.27,-0.31,-0.06,0.24
20010117,-19.695,-19.695,-19.695,-19.885,406600,0.0,-0.96,0.0,0.0,0.4
20010118,-19.825,-19.695,-19.695,-19.825,146800,0.0,-0.66,0.0,0.0,0.14
20010119,-19.825,-19.885,-19.635,-19.885,295100,0.0,-1.27,-0.96,-0.19,0.29
20010122,-20.015,-19.695,-19.695,-20.075,212200,0.0,-1.91,0.96,0.19,0.21
20010123,-19.825,-19.635,-19.635,-19.825,187200,0.0,-0.96,0.3,0.06,0.18
20010124,-19.635,-19.695,-19.575,-19.755,190900,0.0,-0.92,-0.31,-0.06,0.19
20010125,-19.755,-19.575,-19.445,-19.755,254400,0.0,-1.57,0.61,0.12,0.25
20010126,-19.575,-19.515,-19.385,-19.575,248500,0.0,-0.97,0.31,0.06,0.24
20010129,-19.485,-19.395,-19.385,-19.515,232000,0.0,-0.67,0.61,0.12,0.23
20010130,-19.465,-19.115,-18.835,-19.465,429900,0.0,-3.25,1.44,0.28,0.42
20010131,-19.095,-19.615,-19.085,-19.615,251400,0.0,-2.77,-2.62,-0.5,0.25
20010201,-19.335,-19.235,-19.095,-19.435,251000,0.0,-1.73,1.94,0.38,0.25
20010202,-19.435,-19.335,-19.235,-19.475,183900,0.0,-1.25,-0.52,-0.1,0.18
20010205,-19.435,-19.445,-19.355,-19.485,233000,0.0,-0.67,-0.57,-0.11,0.23
20010206,-19.465,-18.735,-18.595,-19.475,925100,0.0,-4.53,3.65,0.71,0.91
20010207,-18.785,-18.865,-18.755,-18.985,290700,0.0,-1.23,-0.69,-0.13,0.28
20010208,-18.935,-19.035,-18.835,-19.175,192100,0.0,-1.8,-0.9,-0.17,0.19
20010209,-19.085,-19.335,-19.085,-19.375,114100,0.0,-1.52,-1.58,-0.3,0.11
20010212,-19.335,-19.105,-19.095,-19.335,493800,0.0,-1.24,1.19,0.23,0.48
20010213,-19.135,-19.185,-19.085,-19.195,170400,0.0,-0.58,-0.42,-0.08,0.17
20010214,-19.085,-19.155,-19.085,-19.265,618400,0.0,-0.94,0.16,0.03,0.6
20010215,-19.185,-19.155,-19.135,-19.225,210900,0.0,-0.47,0.0,0.0,0.21
20010216,-19.335,-19.195,-19.155,-19.355,117200,0.0,-1.04,-0.21,-0.04,0.11
20010220,-19.235,-19.285,-19.195,-19.285,472900,0.0,-0.47,-0.47,-0.09,0.46
20010221,-19.335,-19.105,-19.065,-19.335,310300,0.0,-1.4,0.93,0.18,0.3
20010222,-19.185,-19.155,-19.095,-19.285,257800,0.0,-0.99,-0.26,-0.05,0.25
20010223,-19.255,-19.165,-19.095,-19.255,220900,0.0,-0.84,-0.05,-0.01,0.22
20010226,-19.065,-18.885,-18.835,-19.145,149800,0.0,-1.62,1.46,0.28,0.15
20010227,-18.885,-18.675,-18.545,-19.075,709800,0.0,-2.81,1.11,0.21,0.69
20010228,-18.675,-18.575,-18.545,-18.875,258900,0.0,-1.77,0.54,0.1,0.25
20010301,-18.635,-18.625,-18.555,-18.715,261700,0.0,-0.86,-0.27,-0.05,0.26
20010302,-18.635,-18.485,-18.335,-18.635,229900,0.0,-1.61,0.75,0.14,0.23
20010305,-18.585,-18.495,-18.395,-18.615,179300,0.0,-1.19,-0.05,-0.01,0.18
20010306,-18.515,-18.575,-18.435,-18.615,342900,0.0,-0.97,-0.43,-0.08,0.34
20010307,-18.585,-18.515,-18.465,-18.585,296100,0.0,-0.65,0.32,0.06,0.29
20010308,-18.535,-18.465,-18.445,-18.535,256600,0.0,-0.49,0.27,0.05,0.25
20010309,-18.545,-18.425,-18.335,-18.555,163700,0.0,-1.19,0.22,0.04,0.16
20010312,-18.485,-18.325,-18.275,-18.575,433400,0.0,-1.63,0.54,0.1,0.43
20010313,-18.425,-18.215,-18.215,-18.525,320200,0.0,-1.69,0.6,0.11,0.32
20010314,-18.385,-18.495,-18.345,-18.555,265000,0.0,-1.15,-1.54,-0.28,0.26
20010315,-18.495,-18.535,-18.405,-18.555,157600,0.0,-0.81,-0.22,-0.04,0.16
20010316,-18.615,-18.585,-18.395,-18.615,405900,0.0,-1.19,-0.27,-0.05,0.4
20010319,-18.685,-18.395,-18.395,-18.685,191500,0.0,-1.56,1.02,0.19,0.19
20010320,-18.495,-18.485,-18.295,-18.505,200400,0.0,-1.14,-0.49,-0.09,0.2
20010321,-18.505,-18.535,-18.395,-18.615,186200,0.0,-1.19,-0.27,-0.05,0.18
20010322,-18.615,-18.365,-18.305,-18.745,529000,0.0,-2.37,0.92,0.17,0.52
20010323,-18.415,-18.435,-18.285,-18.635,494600,0.0,-1.91,-0.38,-0.07,0.49
20010326,-18.475,-18.405,-18.385,-18.475,212100,0.0,-0.49,0.16,0.03,0.21
20010327,-18.395,-18.395,-18.295,-18.535,220100,0.0,-1.3,0.05,0.01,0.22
20010328,-18.375,-18.445,-18.335,-18.495,241300,0.0,-0.87,-0.27,-0.05,0.24
20010329,-18.495,-18.155,-18.145,-18.495,179800,0.0,-1.9,1.57,0.29,0.18
20010330,-18.155,-17.935,-17.935,-18.265,237600,0.0,-1.82,1.21,0.22,0.23
20010402,-18.185,-18.235,-18.165,-18.385,166600,0.0,-1.23,-1.67,-0.3,0.16
