trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,79.32,73.14,79.32,72.0,31467,0.0,0.0,0.0,0.0,0.06
20010103,74.25,81.0,81.0,74.25,26533,0.0,9.23,10.75,7.86,0.05
20010104,81.0,81.57,82.68,80.43,115033,0.0,2.78,0.7,0.57,0.21
20010105,81.0,81.0,83.82,81.0,27033,0.0,3.46,-0.7,-0.57,0.05
20010108,81.0,83.82,83.82,81.0,13933,0.0,3.48,3.48,2.82,0.03
20010109,83.82,83.82,84.36,82.68,15033,0.0,2.0,0.0,0.0,0.03
20010110,76.5,66.93,76.5,64.14,89467,0.0,14.75,-20.15,-16.89,0.16
20010111,65.82,60.75,65.82,55.14,306967,0.0,15.96,-9.23,-6.18,0.56
20010112,60.75,63.0,64.68,60.18,42667,0.0,7.41,3.7,2.25,0.08
20010116,63.0,63.57,63.57,62.43,55533,0.0,1.81,0.9,0.57,0.1
20010117,63.57,64.14,66.93,63.57,47667,0.0,5.29,0.9,0.57,0.09
20010118,65.25,66.36,66.36,63.0,43333,0.0,5.24,3.46,2.22,0.08
20010119,65.25,63.57,65.25,63.0,19267,0.0,3.39,-4.2,-2.79,0.04
20010122,64.14,66.36,66.36,63.0,62133,0.0,5.29,4.39,2.79,0.11
20010123,66.36,65.25,66.93,64.68,24767,0.0,3.39,-1.67,-1.11,0.05
20010124,66.36,61.86,66.36,61.86,18433,0.0,6.9,-5.2,-3.39,0.03
20010125,62.43,62.43,63.0,61.86,52633,0.0,1.84,0.92,0.57,0.1
20010126,60.75,59.64,60.75,54.0,170467,0.0,10.81,-4.47,-2.79,0.31
20010129,59.4,59.31,61.47,57.42,47800,0.0,6.79,-0.55,-0.33,0.09
20010130,59.31,58.68,60.66,58.32,33033,0.0,3.95,-1.06,-0.63,0.06
20010131,58.95,58.5,59.4,57.15,33433,0.0,3.83,-0.31,-0.18,0.06
20010201,58.5,60.21,60.3,57.6,34500,0.0,4.62,2.92,1.71,0.06
20010202,60.75,56.88,63.0,56.25,32100,0.0,11.21,-5.53,-3.33,0.06
20010205,57.6,59.13,59.22,56.79,23833,0.0,4.27,3.96,2.25,0.04
20010206,58.95,59.4,62.46,57.6,31367,0.0,8.22,0.46,0.27,0.06
20010207,59.76,62.91,62.91,59.04,46633,0.0,6.52,5.91,3.51,0.09
20010208,62.55,61.65,64.17,61.29,33000,0.0,4.58,-2.0,-1.26,0.06
20010209,62.55,64.08,67.5,62.46,41033,0.0,8.18,3.94,2.43,0.08
20010212,64.98,67.05,67.5,64.98,68233,0.0,3.93,4.63,2.97,0.13
20010213,67.05,69.3,72.0,66.78,45567,0.0,7.79,3.36,2.25,0.08
20010214,70.2,70.65,72.45,69.84,64600,0.0,3.77,1.95,1.35,0.12
20010215,70.2,76.41,79.65,70.2,42700,0.0,13.38,8.15,5.76,0.08
20010216,75.87,73.35,75.96,73.35,26300,0.0,3.42,-4.0,-3.06,0.05
20010220,73.35,68.67,73.35,67.86,26167,0.0,7.48,-6.38,-4.68,0.05
20010221,68.22,65.88,68.22,65.88,17333,0.0,3.41,-4.06,-2.79,0.03
20010222,65.7,68.85,68.85,64.62,18333,0.0,6.42,4.51,2.97,0.03
20010223,67.95,70.02,70.47,66.6,43233,0.0,5.62,1.7,1.17,0.08
20010226,62.55,61.2,63.0,58.32,128100,0.0,6.68,-12.6,-8.82,0.23
20010227,62.1,58.5,62.1,57.69,41533,0.0,7.21,-4.41,-2.7,0.08
20010228,60.75,62.1,63.0,59.4,36567,0.0,6.15,6.15,3.6,0.07
20010301,61.2,63.0,63.0,56.7,39467,0.0,10.14,1.45,0.9,0.07
20010302,62.55,63.0,63.63,61.02,38367,0.0,4.14,0.0,0.0,0.07
20010305,63.0,64.35,65.25,63.0,35667,0.0,3.57,2.14,1.35,0.07
