trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20170504,13.28,13.98,14.18,13.01,1407288,0.0,9.0,7.54,0.98,11.75
20170505,14.08,14.0,14.7,14.0,134174,0.0,5.01,0.14,0.02,1.12
20170508,14.55,15.94,15.94,14.12,229591,0.0,13.0,13.86,1.94,1.92
20170509,16.14,16.41,16.9,15.07,127536,0.0,11.48,2.95,0.47,1.07
20170510,16.22,16.86,17.16,16.22,91343,0.0,5.73,2.74,0.45,0.76
20170511,17.47,16.94,17.47,16.01,60779,0.0,8.66,0.47,0.08,0.51
20170512,17.24,16.4,17.24,14.25,65245,0.0,17.65,-3.19,-0.54,0.54
20170515,16.5,16.99,17.04,15.87,26259,0.0,7.13,3.6,0.59,0.22
20170516,17.25,17.13,17.25,16.34,98276,0.0,5.36,0.82,0.14,0.82
20170517,16.92,16.43,17.22,16.38,17366,0.0,4.9,-4.09,-0.7,0.15
20170518,16.89,18.0,18.0,16.5,46550,0.0,9.13,9.56,1.57,0.39
20170519,17.9,18.85,19.26,17.73,59018,0.0,8.5,4.72,0.85,0.49
20170522,19.19,18.9,20.02,18.01,44473,0.0,10.66,0.27,0.05,0.37
20170523,19.87,18.55,19.87,18.5,13034,0.0,7.25,-1.85,-0.35,0.11
20170524,19.0,18.7,19.0,18.03,9275,0.0,5.23,0.81,0.15,0.08
20170525,18.8,18.41,18.8,18.02,13910,0.0,4.17,-1.55,-0.29,0.12
20170526,18.41,18.48,18.48,17.88,41132,0.0,3.26,0.38,0.07,0.34
20170530,18.75,18.93,19.67,18.5,86400,0.0,6.33,2.44,0.45,0.72
20170531,19.8,17.85,19.8,17.39,54857,0.0,12.73,-5.71,-1.08,0.46
20170601,17.9,18.6,18.6,17.2,109014,0.0,7.84,4.2,0.75,0.91
20170602,18.93,18.64,19.38,18.35,35158,0.0,5.54,0.22,0.04,0.29
20170605,18.51,18.5,18.65,18.2,8766,0.0,2.41,-0.75,-0.14,0.07
20170606,17.86,17.85,18.24,17.85,10789,0.0,2.11,-3.51,-0.65,0.09
20170607,17.5,17.89,18.0,17.5,35563,0.0,2.8,0.22,0.04,0.3
20170608,18.18,17.51,18.22,17.5,10273,0.0,4.02,-2.12,-0.38,0.09
20170609,17.78,16.4,17.99,16.13,20767,0.0,10.62,-6.34,-1.11,0.17
20170612,16.35,16.36,16.68,15.75,18185,0.0,5.67,-0.24,-0.04,0.15
20170613,16.2,16.21,16.5,15.56,50430,0.0,5.75,-0.92,-0.15,0.42
20170614,16.11,15.72,16.25,14.52,91440,0.0,10.67,-3.02,-0.49,0.76
20170615,15.6,15.13,16.52,14.87,28211,0.0,10.5,-3.75,-0.59,0.24
20170616,15.38,15.61,15.84,14.61,68131,0.0,8.13,3.17,0.48,0.57
20170619,15.8,15.63,15.9,15.37,27843,0.0,3.4,0.13,0.02,0.23
20170620,16.01,15.89,16.01,15.25,34013,0.0,4.86,1.66,0.26,0.28
20170621,15.81,17.45,17.49,15.81,40494,0.0,10.57,9.82,1.56,0.34
20170622,17.32,17.67,17.87,17.21,10187,0.0,3.78,1.26,0.22,0.09
20170623,17.48,17.4,17.88,15.56,13732,0.0,13.13,-1.53,-0.27,0.11
20170626,17.41,19.43,19.49,17.41,53696,0.0,11.95,11.67,2.03,0.45
20170627,19.25,19.8,20.01,17.26,116871,0.0,14.15,1.9,0.37,0.98
20170628,19.85,19.55,19.85,19.3,8768,0.0,2.78,-1.26,-0.25,0.07
20170629,19.33,18.88,19.4,18.4,19720,0.0,5.12,-3.43,-0.67,0.16
20170630,18.71,18.06,18.87,17.56,21447,0.0,6.94,-4.34,-0.82,0.16
20170703,17.6,18.73,18.9,17.6,34802,0.0,7.2,3.71,0.67,0.27
20170705,18.48,18.5,19.19,18.01,27100,0.0,6.3,-1.23,-0.23,0.21
20170706,18.41,18.75,19.0,18.41,4115,0.0,3.19,1.35,0.25,0.03
20170707,18.22,19.34,19.44,17.91,32046,0.0,8.16,3.15,0.59,0.25
20170710,19.54,18.89,19.69,18.45,45594,0.0,6.41,-2.33,-0.45,0.35
20170711,18.9,18.85,19.46,18.69,29505,559568.0,4.08,-0.21,-0.04,0.23
20170712,18.5,18.35,18.7,18.01,20143,369452.0,3.66,-2.65,-0.5,0.15
20170713,18.67,18.55,19.0,18.09,33329,619922.0,4.96,1.09,0.2,0.26
