trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20171213,16.251,16.238,16.251,16.225,101900,2553588.0,0.16,-0.08,-0.013,0.0
20171214,16.484,16.477,16.484,16.451,7638,194225.0,0.2,1.47,0.239,0.0
20171215,16.477,16.477,16.477,16.477,0,0.0,0.0,0.0,0.0,0.0
20171218,16.484,16.477,16.484,16.451,100,0.0,0.2,0.0,0.0,0.0
20171219,16.477,16.477,16.477,16.477,602,15314.0,0.0,0.0,0.0,0.0
20171220,16.309,16.29,16.374,16.29,1496,37682.0,0.51,-1.13,-0.187,0.0
20171221,16.296,16.296,16.296,16.296,0,0.0,0.0,0.04,0.006,0.0
20171222,16.581,16.581,16.581,16.581,1000,25598.0,0.0,1.75,0.285,0.0
20171226,16.704,16.749,16.749,16.704,300,7750.0,0.27,1.01,0.168,0.0
20171227,16.704,16.749,16.749,16.704,71,0.0,0.27,0.0,0.0,0.0
20171228,16.762,16.762,16.762,16.762,0,0.0,0.0,0.08,0.013,0.0
20171229,16.833,16.84,16.84,16.833,646,16779.0,0.04,0.47,0.078,0.0
20180102,16.95,17.086,17.099,16.95,1738,45649.0,0.88,1.46,0.246,0.0
20180103,17.339,17.449,17.449,17.326,1698,45446.0,0.72,2.12,0.363,0.0
20180104,17.54,17.436,17.54,17.436,2503,67466.0,0.6,-0.07,-0.013,0.0
20180105,17.339,17.274,17.339,17.274,1110,29627.0,0.37,-0.93,-0.162,0.0
20180108,17.397,17.391,17.397,17.274,1224,32785.0,0.71,0.68,0.117,0.0
20180109,17.384,17.371,17.397,17.371,8673,232695.0,0.15,-0.12,-0.02,0.0
20180110,17.365,17.365,17.371,17.365,7490,200710.0,0.03,-0.03,-0.006,0.0
20180111,17.384,17.611,17.611,17.384,1240,33530.0,1.31,1.42,0.246,0.0
20180112,17.663,17.663,17.663,17.663,100,2725.0,0.0,0.3,0.052,0.0
20180116,17.864,17.689,17.903,17.644,5864,161534.0,1.47,0.15,0.026,0.0
20180117,17.676,17.65,17.676,17.572,1250,33998.0,0.59,-0.22,-0.039,0.0
20180118,17.676,17.65,17.676,17.572,148,0.0,0.59,0.0,0.0,0.0
20180119,17.339,17.339,17.339,17.339,1825,48818.0,0.0,-1.76,-0.311,0.0
20180122,17.631,17.644,17.644,17.631,375,10203.0,0.07,1.76,0.305,0.0
20180123,17.968,17.968,17.968,17.968,555,15384.0,0.0,1.84,0.324,0.0
20180124,17.968,17.909,17.968,17.909,891,24683.0,0.33,-0.33,-0.059,0.0
20180125,17.832,17.728,17.832,17.728,400,10972.0,0.58,-1.01,-0.181,0.0
20180129,17.682,17.507,17.682,17.507,12501,338326.0,0.99,-1.25,-0.221,0.0
20180130,17.339,17.177,17.339,17.177,503,13381.0,0.93,-1.88,-0.33,0.0
20180131,17.164,17.164,17.164,17.164,237,6274.0,0.0,-0.08,-0.013,0.0
20180201,17.015,17.015,17.015,17.015,210,5512.0,0.0,-0.87,-0.149,0.0
20180202,16.756,16.645,16.756,16.645,1218,31408.0,0.65,-2.17,-0.37,0.0
20180205,16.386,16.172,16.386,16.043,1250,31258.0,2.06,-2.84,-0.473,0.0
20180206,15.556,16.457,16.457,15.556,1800,43255.0,5.57,1.76,0.285,0.0
20180207,16.619,16.619,16.619,16.619,650,16665.0,0.0,0.98,0.162,0.0
20180209,15.608,15.608,15.608,15.608,429,10328.0,0.0,-6.08,-1.011,0.0
20180212,16.308,16.308,16.308,16.308,250,6290.0,0.0,4.48,0.7,0.0
20180213,16.47,16.464,16.47,16.464,373,9476.0,0.04,0.96,0.156,0.0
20180214,16.607,16.613,16.613,16.607,478,12248.0,0.04,0.91,0.149,0.0
20180215,16.639,16.639,16.639,16.639,180,4620.0,0.0,0.16,0.026,0.0
20180216,16.393,16.393,16.393,16.393,375,9483.0,0.0,-1.48,-0.246,0.0
20180220,16.393,16.393,16.393,16.393,190,0.0,0.0,0.0,0.0,0.0
20180221,16.166,16.166,16.166,16.166,270,6733.0,0.0,-1.38,-0.227,0.0
20180223,15.919,15.919,15.919,15.919,650,15964.0,0.0,-1.53,-0.247,0.0
20180226,16.023,15.978,16.023,15.926,475,11699.0,0.61,0.37,0.059,0.0
20180301,16.023,15.978,16.023,15.926,50,0.0,0.61,0.0,0.0,0.0
20180302,15.168,15.168,15.168,15.168,502,11745.0,0.0,-5.07,-0.81,0.0
20180305,15.356,15.356,15.356,15.356,2050,48564.0,0.0,1.24,0.188,0.0
20180307,15.356,15.356,15.356,15.356,65,0.0,0.0,0.0,0.0,0.0
20180308,15.148,15.148,15.148,15.148,251,5865.0,0.0,-1.35,-0.208,0.0
20180309,15.407,15.407,15.407,15.407,481,11433.0,0.0,1.71,0.259,0.0
20180312,15.407,15.407,15.407,15.407,18,0.0,0.0,0.0,0.0,0.0
20180313,15.407,15.407,15.407,15.407,61,0.0,0.0,0.0,0.0,0.0
20180316,15.271,15.252,15.271,15.232,619,14568.0,0.25,-1.01,-0.155,0.0
20180319,15.271,15.252,15.271,15.232,79,0.0,0.26,0.0,0.0,0.0
20180320,14.802,14.789,14.802,14.776,1350,30591.0,0.17,-3.04,-0.463,0.0
20180321,14.841,14.939,14.939,14.841,2500,56990.0,0.66,1.01,0.15,0.0
20180322,14.926,14.926,14.926,14.926,169,3867.0,0.0,-0.09,-0.013,0.0
20180323,14.671,14.671,14.671,14.671,163,3665.0,0.0,-1.71,-0.255,0.0
20180326,14.671,14.671,14.671,14.671,85,0.0,0.0,0.0,0.0,0.0
20180328,14.502,14.502,14.502,14.502,100,2223.0,0.0,-1.15,-0.169,0.0
20180329,14.711,14.711,14.711,14.711,132,2976.0,0.0,1.44,0.209,0.0
20180402,14.704,14.704,14.704,14.704,225,5071.0,0.0,-0.05,-0.007,0.0
20180403,14.704,14.704,14.704,14.704,11,0.0,0.0,0.0,0.0,0.0
20180406,14.991,14.991,14.991,14.991,145,3332.0,0.0,1.95,0.287,0.0
20180409,14.815,14.815,14.815,14.815,112,2543.0,0.0,-1.17,-0.176,0.0
20180411,15.213,15.206,15.213,15.206,1000,23315.0,0.05,2.64,0.391,0.0
20180412,15.187,15.187,15.187,15.187,1135,26422.0,0.0,-0.12,-0.019,0.0
20180416,15.598,15.598,15.598,15.598,140,3347.0,0.0,2.71,0.411,0.0
20180417,15.878,15.878,15.878,15.878,412,10026.0,0.0,1.8,0.28,0.0
20180418,15.95,15.95,15.95,15.95,902,22052.0,0.0,0.45,0.072,0.0
20180419,15.82,15.813,15.82,15.813,3300,79998.0,0.04,-0.86,-0.137,0.0
20180420,15.715,15.715,15.715,15.715,2140,51552.0,0.0,-0.62,-0.098,0.0
20180423,15.676,15.794,15.794,15.676,510,12327.0,0.75,0.5,0.079,0.0
20180424,15.487,15.5,15.5,15.487,10454,248182.0,0.08,-1.86,-0.294,0.0
20180426,15.585,15.63,15.696,15.578,1189,28543.0,0.76,0.84,0.13,0.0
20180427,15.591,15.585,15.591,15.585,300,7167.0,0.04,-0.29,-0.045,0.0
20180430,15.67,15.67,15.67,15.67,100,2401.0,0.0,0.55,0.085,0.0
20180502,15.807,15.917,15.917,15.807,800,19431.0,0.7,1.58,0.247,0.0
20180503,15.702,15.702,15.702,15.702,200,4814.0,0.0,-1.35,-0.215,0.0
20180504,15.963,15.95,15.963,15.95,2996,73281.0,0.08,1.58,0.248,0.0
20180507,16.218,16.296,16.315,16.218,2414,60254.0,0.61,2.17,0.346,0.0
20180508,15.931,16.139,16.139,15.931,1153,28381.0,1.28,-0.96,-0.157,0.0
20180509,16.381,16.309,16.381,16.309,600,15052.0,0.45,1.05,0.17,0.0
20180510,16.309,16.348,16.361,16.309,26000,650918.0,0.32,0.24,0.039,0.0
20180511,16.452,16.465,16.472,16.452,3076,77613.0,0.12,0.72,0.117,0.0
20180514,16.615,16.615,16.629,16.609,2101,53536.0,0.12,0.91,0.15,0.0
20180515,16.531,16.531,16.531,16.531,414,10490.0,0.0,-0.51,-0.084,0.0
20180516,16.505,16.452,16.505,16.452,1332,33670.0,0.32,-0.48,-0.079,0.0
20180517,16.583,16.596,16.668,16.57,1396,35537.0,0.6,0.88,0.144,0.0
20180518,16.492,16.505,16.511,16.492,821,20761.0,0.11,-0.55,-0.091,0.0
20180521,16.674,16.622,16.674,16.589,7790,198554.0,0.51,0.71,0.117,0.0
20180522,16.752,16.589,16.779,16.576,10488,268633.0,1.22,-0.2,-0.033,0.0
20180523,16.55,16.55,16.55,16.55,407,10325.0,0.0,-0.24,-0.039,0.0
20180524,16.42,16.413,16.42,16.413,478,12029.0,0.04,-0.83,-0.137,0.0
20180525,16.087,16.25,16.25,16.087,3574,88494.0,0.99,-0.99,-0.163,0.0
20180529,16.276,16.276,16.276,16.276,400,9979.0,0.0,0.16,0.026,0.0
20180530,16.355,16.766,16.766,16.355,2346,60054.0,2.53,3.01,0.49,0.0
20180531,16.766,16.766,16.766,16.759,1570,40347.0,0.04,0.0,0.0,0.0
20180601,16.916,16.798,16.916,16.792,4989,128794.0,0.74,0.19,0.032,0.0
20180604,16.942,16.844,16.942,16.818,3414,88142.0,0.74,0.27,0.046,0.0
20180605,16.883,16.818,16.883,16.811,4749,122596.0,0.43,-0.15,-0.026,0.0
20180606,16.837,16.674,16.837,16.674,6162,157832.0,0.97,-0.86,-0.144,0.0
20180607,16.805,16.857,16.889,16.785,3567,92157.0,0.62,1.1,0.183,0.0
20180608,16.766,16.766,16.792,16.759,2667,68551.0,0.2,-0.54,-0.091,0.0
20180611,16.811,17.053,17.066,16.779,10531,273450.0,1.71,1.71,0.287,0.0
20180612,17.033,16.961,17.046,16.961,3090,80493.0,0.5,-0.54,-0.092,0.0
20180613,17.0,16.72,17.0,16.72,2200,56815.0,1.65,-1.42,-0.241,0.0
20180614,16.876,16.883,16.889,16.857,2268,58649.0,0.19,0.97,0.163,0.0
20180615,16.7,16.563,16.7,16.563,950,24153.0,0.81,-1.9,-0.32,0.0
20180618,16.739,16.766,16.785,16.739,8470,217667.0,0.28,1.23,0.203,0.0
20180619,16.682,16.649,16.682,16.649,1180,29789.0,0.2,-0.7,-0.117,0.0
20180620,16.92,16.966,16.966,16.821,2054,52584.0,0.87,1.9,0.317,0.0
20180621,16.9,16.801,16.9,16.774,9771,248539.0,0.74,-0.97,-0.165,0.0
20180622,17.032,17.045,17.158,17.032,2418,62402.0,0.75,1.45,0.244,0.0
20180625,16.761,16.702,16.768,16.702,5139,130360.0,0.39,-2.01,-0.343,0.0
20180626,16.741,16.966,16.966,16.741,2273,58137.0,1.35,1.58,0.264,0.0
20180627,16.966,16.801,16.966,16.801,5602,142848.0,0.97,-0.97,-0.165,0.0
20180628,16.847,16.873,16.88,16.847,1469,37489.0,0.2,0.43,0.072,0.0
20180629,16.986,17.032,17.078,16.986,3406,87761.0,0.55,0.94,0.159,0.0
20180702,17.019,16.847,17.019,16.847,1356,34876.0,1.01,-1.09,-0.185,0.0
20180703,17.118,16.999,17.118,16.999,5044,130270.0,0.71,0.9,0.152,0.0
20180705,17.138,17.078,17.138,17.078,3659,94825.0,0.35,0.46,0.079,0.0
20180706,17.078,17.276,17.276,17.078,2442,63687.0,1.16,1.16,0.198,0.0
20180709,17.296,17.25,17.296,17.25,4603,120490.0,0.27,-0.15,-0.026,0.0
20180710,17.224,17.224,17.224,17.224,500,13037.0,0.0,-0.15,-0.026,0.0
20180711,17.118,17.039,17.177,17.025,1391,36093.0,0.88,-1.07,-0.185,0.0
20180712,17.125,17.125,17.125,17.125,100,2592.0,0.0,0.5,0.086,0.0
20180713,17.191,17.125,17.191,17.072,15991,414725.0,0.69,0.0,0.0,0.0
20180716,17.072,16.979,17.072,16.953,2475,63679.0,0.69,-0.85,-0.146,0.0
20180717,16.906,16.867,16.913,16.847,8230,210115.0,0.39,-0.66,-0.112,0.0
20180718,16.801,17.012,17.012,16.801,300,7660.0,1.25,0.86,0.145,0.0
20180719,17.389,17.376,17.389,17.376,4800,126255.0,0.08,2.14,0.364,0.0
20180720,17.349,17.197,17.349,17.197,3868,101319.0,0.87,-1.03,-0.179,0.0
20180723,17.151,17.184,17.191,17.138,13880,360407.0,0.31,-0.08,-0.013,0.0
20180724,17.27,17.224,17.27,17.21,2303,60107.0,0.35,0.23,0.04,0.0
20180725,17.303,17.488,17.488,17.303,5998,158203.0,1.07,1.53,0.264,0.0
20180726,17.567,17.567,17.567,17.567,200,5318.0,0.0,0.45,0.079,0.0
20180727,17.415,17.415,17.422,17.415,450,11863.0,0.04,-0.87,-0.152,0.0
20180730,17.455,17.481,17.481,17.455,1577,41679.0,0.15,0.38,0.066,0.0
20180731,17.574,17.561,17.574,17.534,2100,55829.0,0.23,0.46,0.08,0.0
20180801,17.561,17.613,17.613,17.554,3101,82579.0,0.34,0.3,0.052,0.0
20180802,17.448,17.772,17.805,17.448,15385,408239.0,2.03,0.9,0.159,0.0
20180803,17.812,17.798,17.812,17.785,6201,166976.0,0.15,0.15,0.026,0.0
20180806,17.878,17.983,17.983,17.878,3126,84708.0,0.59,1.04,0.185,0.0
20180807,17.911,17.818,17.911,17.818,8201,221214.0,0.52,-0.92,-0.165,0.0
20180808,17.739,17.825,17.825,17.719,11341,304286.0,0.59,0.04,0.007,0.0
20180809,17.838,17.977,18.01,17.838,10326,280861.0,0.96,0.85,0.152,0.0
