trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210723,10.2,10.32,10.66,10.104,1346696,14562451.0,5.85,8.63,0.82,5.54
20210726,10.2,10.16,10.4,10.031,46787,501003.0,3.58,-1.55,-0.16,0.19
20210727,10.16,10.1,10.21,10.1,24763,263269.0,1.08,-0.59,-0.06,0.1
20210728,10.25,10.07,10.265,10.07,93101,990569.0,1.93,-0.3,-0.03,0.38
20210729,10.23,10.3,10.35,10.175,18092,194626.0,1.74,2.28,0.23,0.07
20210730,10.343,10.15,10.44,10.13,19696,213707.0,3.01,-1.46,-0.15,0.08
20210802,10.2,10.35,10.38,10.056,52561,564586.0,3.19,1.97,0.2,0.22
20210803,10.26,10.3,10.34,10.068,68655,738721.0,2.63,-0.48,-0.05,0.28
20210804,10.24,10.49,10.57,10.14,51741,558952.0,4.17,1.84,0.19,0.21
20210805,10.221,10.49,10.495,10.221,18625,204144.0,2.61,0.0,0.0,0.08
20210806,10.6,10.45,10.6,10.3,5337,58115.0,2.86,-0.38,-0.04,0.02
20210809,10.48,10.49,10.5,10.27,11381,124917.0,2.2,0.38,0.04,0.05
20210810,10.45,10.395,10.45,10.212,29385,318385.0,2.27,-0.91,-0.095,0.12
20210811,10.5,10.48,10.554,10.27,38770,425824.0,2.73,0.82,0.085,0.16
20210812,10.26,11.1,11.843,10.26,53589,627587.0,15.1,5.92,0.62,0.22
20210813,11.14,10.86,11.355,10.75,10031,115161.0,5.45,-2.16,-0.24,0.04
20210816,10.68,10.68,10.68,10.68,373,4170.0,0.0,-1.66,-0.18,0.0
20210817,10.71,11.0,11.14,10.68,121567,1396081.0,4.31,3.0,0.32,0.5
20210818,11.012,11.9,11.976,11.012,10133,119980.0,8.76,8.18,0.9,0.04
20210819,11.51,11.5,11.9,11.367,27450,337365.0,4.48,-3.36,-0.4,0.11
20210820,11.61,11.89,11.9,11.185,20957,258364.0,6.22,3.39,0.39,0.09
20210823,11.9,12.0,12.07,11.84,47372,587110.0,1.93,0.93,0.11,0.2
20210824,11.61,12.35,12.85,11.61,29707,369057.0,10.33,2.92,0.35,0.12
20210825,12.5,13.28,13.36,12.0,16579,214456.0,11.01,7.53,0.93,0.07
20210826,12.91,13.41,13.78,12.07,48296,654300.0,12.88,0.98,0.13,0.2
20210827,13.3,12.6,13.3,12.495,14331,188164.0,6.0,-6.04,-0.81,0.06
20210830,12.5,12.28,12.65,12.03,26502,340118.0,4.92,-2.54,-0.32,0.11
20210831,12.25,12.6,12.865,12.2,62396,813623.0,5.42,2.61,0.32,0.26
20210901,12.315,12.43,12.57,12.3,39262,510538.0,2.14,-1.35,-0.17,0.16
20210902,12.5,12.47,12.7,12.302,34804,454589.0,3.2,0.32,0.04,0.14
20210903,12.455,12.44,12.7,12.44,24953,327308.0,2.09,-0.24,-0.03,0.1
20210907,12.36,11.62,12.47,11.5,32368,395488.0,7.8,-6.59,-0.82,0.13
20210908,13.25,12.29,13.25,11.9,13411,177518.0,11.62,5.77,0.67,0.06
20210909,12.18,11.97,12.64,11.72,8947,114253.0,7.49,-2.6,-0.32,0.04
20210910,11.754,12.13,12.46,11.7,7506,93162.0,6.35,1.34,0.16,0.03
20210913,11.75,11.7,11.93,11.65,14848,181898.0,2.31,-3.54,-0.43,0.06
20210914,11.86,11.97,12.5,11.7,12039,150036.0,6.84,2.31,0.27,0.05
20210915,11.8,11.7,11.85,11.7,24758,302167.0,1.25,-2.26,-0.27,0.1
20210916,11.71,11.6,11.71,11.5,97567,1180769.0,1.79,-0.85,-0.1,0.4
20210917,11.72,11.5,12.0,10.94,193462,2322610.0,9.14,-0.86,-0.1,0.8
20210920,11.39,11.01,11.94,11.01,28969,340296.0,8.09,-4.26,-0.49,0.12
20210921,12.39,11.2,12.39,11.19,17154,202527.0,10.9,1.73,0.19,0.07
20210922,11.48,11.32,12.68,11.3,14749,178009.0,12.32,1.07,0.12,0.06
20210923,11.25,11.62,11.65,11.15,46041,550791.0,4.42,2.65,0.3,0.19
20210924,11.4,11.67,11.691,11.25,10589,127138.0,3.8,0.43,0.05,0.04
20210927,11.25,11.55,11.74,11.25,12418,148600.0,4.2,-1.03,-0.12,0.05
20210928,11.6,11.55,11.6,11.55,9245,111516.0,0.43,0.0,0.0,0.04
20210929,11.55,11.55,11.7,11.55,2552,30972.0,1.3,0.0,0.0,0.01
20210930,11.69,11.7,11.7,11.55,4008,48479.0,1.3,1.3,0.15,0.02
20211001,11.73,11.8,11.88,11.6,146618,1774234.0,2.39,0.85,0.1,0.6
20211004,12.175,12.25,12.42,11.91,3412,43399.0,4.32,3.81,0.45,0.01
20211005,11.76,12.2,12.28,11.76,3782,46756.0,4.24,-0.41,-0.05,0.02
20211006,11.89,12.13,12.2,11.89,1051,13104.0,2.54,-0.57,-0.07,0.0
20211007,11.81,11.86,12.16,11.81,855,10696.0,2.89,-2.23,-0.27,0.0
20211008,11.85,11.91,12.0,11.64,1423,17635.0,3.04,0.42,0.05,0.01
