trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20100810,50.03,50.11,50.36,49.75,11600,0.0,0.0,0.0,0.0,0.0
20100811,51.71,49.21,51.71,49.1,6800,0.0,5.21,-1.8,-0.9,0.0
20100812,49.94,49.98,50.0,49.66,4200,0.0,0.69,1.56,0.77,0.0
20100813,50.23,50.19,50.23,49.87,7600,0.0,0.72,0.42,0.21,0.0
20100816,50.3,49.97,50.38,49.97,3500,0.0,0.82,-0.44,-0.22,0.0
20100817,50.55,50.67,50.69,50.35,6100,0.0,0.68,1.4,0.7,0.0
20100818,50.32,50.32,50.54,50.21,6400,0.0,0.65,-0.69,-0.35,0.0
20100819,50.6,50.3,50.6,50.2,3600,0.0,0.79,-0.04,-0.02,0.0
20100820,50.11,50.12,50.12,49.91,3100,0.0,0.42,-0.36,-0.18,0.0
20100823,50.1,49.95,50.28,49.77,28500,0.0,1.02,-0.34,-0.17,0.0
20100824,48.9,49.29,49.44,48.9,7200,0.0,1.08,-1.32,-0.66,0.0
20100825,49.15,49.41,49.42,49.1,8300,0.0,0.65,0.24,0.12,0.0
20100826,49.61,49.93,49.93,49.61,1900,0.0,0.65,1.05,0.52,0.0
20100827,49.63,50.3,50.44,49.62,6600,0.0,1.64,0.74,0.37,0.0
20100830,50.55,50.4,50.69,50.4,35900,0.0,0.58,0.2,0.1,0.0
20100831,50.4,50.15,50.73,50.01,60000,0.0,1.43,-0.5,-0.25,0.0
20100901,50.69,50.62,50.69,50.35,20500,0.0,0.68,0.94,0.47,0.0
20100902,50.82,51.16,51.17,50.7,15400,0.0,0.93,1.07,0.54,0.0
20100903,51.15,51.72,51.73,51.03,27000,0.0,1.37,1.09,0.56,0.0
20100907,51.82,51.99,52.0,51.48,14500,0.0,1.01,0.52,0.27,0.0
20100908,51.94,51.75,52.14,51.73,15100,0.0,0.79,-0.46,-0.24,0.0
20100909,52.02,51.97,52.02,51.74,20300,0.0,0.54,0.43,0.22,0.0
20100910,52.04,52.02,52.52,51.71,20800,0.0,1.56,0.1,0.05,0.0
20100913,52.52,52.52,52.52,52.18,6300,0.0,0.65,0.96,0.5,0.0
20100914,52.71,53.07,53.19,52.7,81100,0.0,0.93,1.05,0.55,0.0
20100915,53.05,53.05,53.19,52.96,14300,0.0,0.43,-0.04,-0.02,0.0
20100916,53.38,53.2,53.63,52.92,22900,0.0,1.34,0.28,0.15,0.0
20100917,53.66,53.64,53.66,53.27,6500,0.0,0.73,0.83,0.44,0.0
20100920,54.6,53.62,54.6,53.5,35400,0.0,2.05,-0.04,-0.02,0.0
20100921,54.07,53.5,54.07,53.17,22500,0.0,1.68,-0.22,-0.12,0.0
20100922,54.48,53.61,54.48,53.37,11900,0.0,2.07,0.21,0.11,0.0
20100923,53.4,53.45,53.56,53.25,10800,0.0,0.58,-0.3,-0.16,0.0
20100924,53.59,54.29,54.29,53.59,10300,0.0,1.31,1.57,0.84,0.0
20100927,54.69,54.47,54.69,54.01,16800,0.0,1.25,0.33,0.18,0.0
20100928,55.11,54.48,55.11,54.22,9700,0.0,1.63,0.02,0.01,0.0
20100929,53.96,54.12,54.45,53.75,7300,0.0,1.28,-0.66,-0.36,0.0
20100930,54.5,54.31,55.43,53.7,13800,0.0,3.2,0.35,0.19,0.0
20101001,54.76,54.1,54.79,53.99,16000,0.0,1.47,-0.39,-0.21,0.0
20101004,53.89,53.67,53.89,53.44,12000,0.0,0.83,-0.79,-0.43,0.0
20101005,54.27,54.63,54.65,54.08,43600,0.0,1.06,1.79,0.96,0.0
20101006,54.76,54.85,54.93,54.53,57200,0.0,0.73,0.4,0.22,0.0
20101007,55.19,54.39,55.19,54.36,74300,0.0,1.51,-0.84,-0.46,0.0
20101008,56.3,56.26,57.75,55.03,32900,0.0,5.0,3.44,1.87,0.0
20101011,56.82,56.47,57.03,56.26,24500,0.0,1.37,0.37,0.21,0.0
20101012,56.66,56.68,56.73,56.04,17100,0.0,1.22,0.37,0.21,0.0
20101013,56.83,56.94,57.02,56.77,32300,0.0,0.44,0.46,0.26,0.0
20101014,57.23,57.26,57.36,57.08,24600,0.0,0.49,0.56,0.32,0.0
20101015,57.37,56.45,57.37,56.15,23800,0.0,2.13,-1.41,-0.81,0.0
20101018,56.49,56.86,56.86,56.44,9300,0.0,0.74,0.73,0.41,0.0
20101019,55.95,55.76,56.35,55.7,43700,0.0,1.14,-1.93,-1.1,0.0
20101020,56.25,57.09,57.1,56.25,44800,0.0,1.52,2.39,1.33,0.0
20101021,56.36,56.83,57.45,56.2,204900,0.0,2.19,-0.46,-0.26,0.0
20101022,56.85,57.09,57.3,56.81,51800,0.0,0.86,0.46,0.26,0.0
20101025,58.18,57.82,58.18,57.47,50400,0.0,1.24,1.28,0.73,0.0
20101026,57.66,58.06,58.07,57.56,22900,0.0,0.88,0.42,0.24,0.0
20101027,57.63,57.43,57.63,57.03,36900,0.0,1.03,-1.09,-0.63,0.0
20101028,57.86,57.54,57.86,57.54,42800,0.0,0.56,0.19,0.11,0.0
20101029,57.6,57.73,57.82,57.44,27600,0.0,0.66,0.33,0.19,0.0
20101101,58.36,57.93,58.36,57.8,39700,0.0,0.97,0.35,0.2,0.0
20101102,58.7,58.64,58.72,58.35,53600,0.0,0.64,1.23,0.71,0.0
20101103,58.91,58.72,58.91,57.96,47900,0.0,1.62,0.14,0.08,0.0
20101104,61.15,60.32,61.15,59.73,61000,0.0,2.42,2.72,1.6,0.0
20101105,60.4,60.58,60.58,60.23,48300,0.0,0.58,0.43,0.26,0.0
20101108,60.7,61.07,61.1,60.52,62800,0.0,0.96,0.81,0.49,0.0
20101109,62.18,61.29,63.17,61.15,88800,0.0,3.31,0.36,0.22,0.0
