trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20171013,21.987,21.987,21.996,21.969,3597,89931.0,0.0,0.0,0.0,0.0
20171016,22.365,21.987,22.365,21.987,1811,45613.0,1.72,0.0,0.0,0.0
20171017,22.022,22.031,22.031,22.013,340,8513.0,0.08,0.2,0.044,0.0
20171018,22.092,22.11,23.183,22.092,31189,784746.0,4.95,0.36,0.079,0.0
20171019,22.259,22.083,22.259,22.031,6032,151599.0,1.03,-0.12,-0.027,0.0
20171020,22.101,22.136,22.145,22.092,1117,28094.0,0.24,0.24,0.053,0.0
20171023,22.163,22.11,22.163,22.11,2495,62819.0,0.24,-0.12,-0.026,0.0
20171024,22.092,22.101,22.11,22.092,3347,84113.0,0.08,-0.04,-0.009,0.0
20171025,22.083,22.031,22.083,21.96,4202799,105289386.0,0.56,-0.32,-0.07,0.0
20171026,22.083,22.031,22.083,21.96,168,4216.0,0.56,0.0,0.0,0.0
20171027,22.083,22.031,22.083,21.96,13,329.0,0.56,0.0,0.0,0.0
20171030,22.022,22.022,22.022,22.022,1607,40239.0,0.0,-0.04,-0.009,0.0
20171031,22.066,22.083,22.101,22.066,2866,71986.0,0.16,0.28,0.061,0.0
20171101,22.163,22.154,22.171,22.154,1427,35953.0,0.08,0.32,0.071,0.0
20171102,22.163,22.154,22.171,22.154,7,0.0,0.08,0.0,0.0,0.0
20171103,22.189,22.251,22.251,22.145,3352,84517.0,0.48,0.44,0.097,0.0
20171106,22.189,22.189,22.189,22.189,0,0.0,0.0,-0.28,-0.062,0.0
20171107,22.215,22.224,22.224,22.215,857,21648.0,0.04,0.16,0.035,0.0
20171108,22.224,22.286,22.286,22.224,1661,42023.0,0.28,0.28,0.062,0.0
20171109,22.18,22.18,22.18,22.18,4050248,102280097.0,0.0,-0.48,-0.106,0.0
20171110,22.154,22.154,22.154,22.154,205,5164.0,0.0,-0.12,-0.026,0.0
20171113,22.198,22.198,22.198,22.198,216,5451.0,0.0,0.2,0.044,0.0
20171114,22.127,22.127,22.127,22.127,259,6516.0,0.0,-0.32,-0.071,0.0
20171115,22.083,22.083,22.083,22.083,2000383,50034599.0,0.0,-0.2,-0.044,0.0
20171116,22.268,22.268,22.268,22.268,2000206,50527209.0,0.0,0.84,0.185,0.0
20171117,22.171,22.154,22.171,22.154,2201089,55306831.0,0.08,-0.51,-0.114,0.0
20171120,22.154,22.154,22.154,22.154,0,0.0,0.0,0.0,0.0,0.0
20171121,22.189,22.207,22.33,22.189,2234,56651.0,0.64,0.24,0.053,0.0
20171122,22.189,22.295,22.33,22.189,4,102.0,0.63,0.4,0.088,0.0
