trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20171227,125.23,125.84,126.19,124.8,114056,14319081.0,4.33,292.02,93.74,0.37
20171228,126.3,127.84,128.04,125.79,178158,22649625.0,1.79,1.59,2.0,0.57
20171229,128.0,125.14,128.0,125.01,155806,19596181.0,2.34,-2.11,-2.7,0.5
20180102,125.0,125.56,126.05,124.34,228942,28680562.0,1.37,0.34,0.42,0.74
20180103,126.0,127.68,128.15,124.78,185093,23518867.0,2.68,1.69,2.12,0.6
20180104,129.0,133.24,133.92,129.0,287397,38161832.0,3.85,4.35,5.56,0.92
20180105,134.29,136.74,137.13,133.62,258681,35244911.0,2.63,2.63,3.5,0.83
20180108,136.87,135.9,137.85,135.24,207889,28332464.0,1.91,-0.61,-0.84,0.67
20180109,136.12,138.7,140.64,136.12,301449,41912636.0,3.33,2.06,2.8,0.97
20180110,138.02,136.0,138.64,135.37,188813,25757708.0,2.36,-1.95,-2.7,0.61
20180111,136.76,138.08,138.98,135.02,161942,22334734.0,2.91,1.53,2.08,0.52
20180112,138.2,138.03,139.35,137.52,167719,23192824.0,1.33,-0.04,-0.05,0.54
20180116,137.65,131.5,137.65,131.1,603166,80423524.0,4.75,-4.73,-6.53,1.94
20180117,131.19,136.12,136.81,130.1,389082,52200552.0,5.1,3.51,4.62,1.25
20180118,135.37,132.39,136.63,131.93,255789,34090066.0,3.45,-2.74,-3.73,0.82
20180119,132.4,131.85,133.63,131.0,340671,44864520.0,1.99,-0.41,-0.54,1.1
20180122,129.0,129.4,130.24,126.53,299257,38583091.0,2.81,-1.86,-2.45,0.96
20180123,129.6,127.72,129.73,127.13,430498,55031028.0,2.01,-1.3,-1.68,1.38
20180124,128.0,132.0,133.58,128.0,462590,60655059.0,4.37,3.35,4.28,1.49
20180125,132.96,131.23,133.15,129.8,417214,54838654.0,2.54,-0.58,-0.77,1.34
20180126,132.5,135.28,135.65,131.0,315752,42273967.0,3.54,3.09,4.05,1.02
20180129,135.11,133.11,137.84,133.09,257735,34794526.0,3.51,-1.6,-2.17,0.83
20180130,132.1,131.34,133.44,131.07,268311,35349861.0,1.78,-1.33,-1.77,0.86
20180131,132.08,130.08,134.03,129.63,242726,31814951.0,3.35,-0.96,-1.26,0.78
20180201,128.51,127.93,131.97,127.26,388857,49984973.0,3.62,-1.65,-2.15,1.25
20180202,126.61,123.93,127.69,123.42,368205,45898491.0,3.34,-3.13,-4.0,1.18
20180205,122.9,120.05,123.74,119.6,427087,51942795.0,3.34,-3.13,-3.88,1.37
20180206,118.38,121.56,123.02,116.11,653817,78831186.0,5.76,1.26,1.51,2.1
20180207,121.27,124.75,126.94,121.27,338045,42285974.0,4.66,2.62,3.19,1.09
20180208,124.64,119.88,124.89,119.88,318186,42472656.0,4.02,-3.9,-4.87,1.02
20180209,119.81,118.8,121.73,115.45,450798,53151477.0,5.24,-0.9,-1.08,1.45
20180212,119.98,121.59,123.72,119.21,334588,40820418.0,3.8,2.35,2.79,1.08
20180213,120.9,120.18,120.9,118.77,197083,23639197.0,1.75,-1.16,-1.41,0.63
20180214,119.59,123.38,123.98,119.58,312353,38121265.0,3.66,2.66,3.2,1.0
20180215,123.84,124.37,124.73,122.36,304281,37652266.0,1.92,0.8,0.99,0.98
20180216,124.3,123.5,125.35,122.65,235176,29117973.0,2.17,-0.7,-0.87,0.76
20180220,122.56,124.56,127.03,122.55,251078,31337504.0,3.63,0.86,1.06,0.81
20180221,124.71,124.41,126.17,120.6,318812,39899790.0,4.47,-0.12,-0.15,1.03
20180222,122.45,127.59,131.25,122.45,455132,58386594.0,7.07,2.56,3.18,1.47
20180223,128.29,126.64,128.6,125.88,309444,39294195.0,2.13,-0.74,-0.95,1.0
20180226,128.0,128.41,128.63,126.38,297281,38015545.0,1.78,1.4,1.77,0.96
20180227,128.61,124.38,128.99,122.91,419521,52479807.0,4.73,-3.14,-4.03,1.36
20180228,124.39,123.84,126.17,122.75,353209,43892074.0,2.75,-0.43,-0.54,1.14
20180301,123.62,123.46,127.02,121.65,552210,68405864.0,4.34,-0.31,-0.38,1.79
20180302,122.72,121.68,126.4,120.2,501505,60944522.0,5.02,-1.44,-1.78,1.62
20180305,120.85,121.41,122.86,120.46,408228,49772019.0,1.97,-0.22,-0.27,1.32
20180306,121.42,120.67,124.27,119.0,584709,70493411.0,4.34,-0.61,-0.74,1.89
20180307,119.5,121.75,122.53,118.4,285721,34733564.0,3.42,0.9,1.08,0.92
20180308,122.31,122.15,122.99,120.91,267487,32636760.0,1.71,0.33,0.4,0.87
20180309,122.85,123.09,124.56,121.45,433855,53353622.0,2.55,0.77,0.94,1.4
20180312,123.14,122.91,125.14,120.38,246796,30512897.0,3.87,-0.15,-0.18,0.8
20180313,123.54,123.52,125.13,121.64,348451,43160586.0,2.84,0.5,0.61,1.13
20180314,124.29,122.0,124.29,121.39,271383,33168137.0,2.35,-1.23,-1.52,0.88
20180315,122.13,121.12,123.47,121.0,337270,41030521.0,2.02,-0.72,-0.88,1.09
20180316,121.57,121.95,122.76,121.0,263628,32151156.0,1.45,0.69,0.83,0.85
20180319,121.33,119.2,121.52,118.47,315406,37722809.0,2.5,-2.26,-2.75,1.02
20180320,119.8,118.77,119.83,118.22,244563,29109387.0,1.35,-0.36,-0.43,0.79
20180321,119.03,120.77,121.71,119.0,193061,23356875.0,2.28,1.68,2.0,0.62
20180322,116.99,113.45,119.8,113.19,477687,55071722.0,5.47,-6.06,-7.32,1.54
20180323,113.31,108.76,114.69,108.65,493092,54415424.0,5.32,-4.13,-4.69,1.59
20180326,110.24,112.9,113.9,109.46,332382,37140680.0,4.08,3.81,4.14,1.08
20180327,113.3,110.35,116.02,109.93,268216,29919400.0,5.39,-2.26,-2.55,0.87
20180328,110.26,107.89,114.29,107.6,428425,46621838.0,6.06,-2.23,-2.46,1.39
20180329,108.65,110.24,111.0,108.45,292870,32166366.0,2.36,2.18,2.35,0.95
20180402,109.93,108.5,110.3,105.91,396019,42736758.0,3.98,-1.58,-1.74,1.34
20180403,109.43,110.49,111.67,108.9,417849,46181444.0,2.55,1.83,1.99,1.41
20180404,108.41,112.83,113.14,108.41,345347,38744836.0,4.28,2.12,2.34,1.17
20180405,113.32,113.48,114.94,109.89,212176,24156624.0,4.48,0.58,0.65,0.72
20180406,112.74,112.1,113.91,110.92,261947,29423021.0,2.63,-1.22,-1.38,0.89
20180409,114.03,113.29,114.9,112.55,348687,39707587.0,2.1,1.06,1.19,1.18
20180410,116.14,116.06,117.44,115.13,349528,40586795.0,2.04,2.45,2.77,1.18
20180411,115.62,115.37,116.58,115.13,227350,26299955.0,1.25,-0.59,-0.69,0.77
20180412,116.59,115.3,117.13,114.97,201534,23300627.0,1.87,-0.06,-0.07,0.68
20180413,116.19,111.94,117.03,111.82,322278,36494236.0,4.52,-2.91,-3.36,1.09
20180416,114.13,115.57,116.9,112.82,297458,34289097.0,3.64,3.24,3.63,1.01
20180417,116.88,116.03,117.29,115.37,418575,48640504.0,1.66,0.4,0.46,1.42
20180418,116.62,116.24,117.15,115.6,228407,26572354.0,1.34,0.18,0.21,0.77
20180419,115.87,115.84,116.73,114.83,373646,43398158.0,1.63,-0.34,-0.4,1.26
20180420,115.39,116.65,117.02,114.99,324143,37675145.0,1.75,0.7,0.81,1.1
20180423,118.23,116.68,118.48,116.39,442648,51854130.0,1.79,0.03,0.03,1.5
20180424,117.33,116.14,118.46,115.32,346010,40345041.0,2.69,-0.46,-0.54,1.17
20180425,115.89,116.9,117.1,114.38,562129,65472759.0,2.34,0.65,0.76,1.9
20180426,114.3,124.16,125.04,111.55,975717,119422530.0,11.54,6.21,7.26,3.3
20180427,125.44,122.82,126.44,122.26,454289,56253106.0,3.37,-1.08,-1.34,1.54
20180430,123.64,124.44,125.37,123.01,482807,60082778.0,1.92,1.32,1.62,1.63
20180501,123.86,123.64,124.75,121.77,348799,43078431.0,2.39,-0.64,-0.8,1.18
20180502,123.98,124.55,124.92,122.7,347820,43247341.0,1.8,0.74,0.91,1.18
20180503,123.73,123.58,124.26,122.77,285545,35275752.0,1.2,-0.78,-0.97,0.97
20180504,123.52,124.68,124.86,122.66,200577,24934908.0,1.78,0.89,1.1,0.68
20180507,124.54,124.62,125.15,124.29,289839,36121927.0,0.69,-0.05,-0.06,0.98
20180508,122.77,125.34,125.76,121.72,461229,57536311.0,3.24,0.58,0.72,1.56
20180509,125.61,125.76,126.22,124.91,206064,25880820.0,1.05,0.34,0.42,0.7
20180510,126.25,129.23,129.99,126.25,339206,43669499.0,2.97,2.76,3.47,1.15
20180511,129.47,128.36,129.7,128.15,182138,23431849.0,1.2,-0.67,-0.87,0.62
20180514,128.86,129.67,130.84,128.86,144540,18782192.0,1.54,1.02,1.31,0.49
20180515,128.9,130.49,130.96,127.05,207343,27001974.0,3.02,0.63,0.82,0.7
20180516,130.95,132.54,133.97,129.01,307781,40770850.0,3.8,1.57,2.05,1.04
20180517,132.69,134.09,135.1,130.89,375028,50360976.0,3.18,1.17,1.55,1.27
20180518,133.89,132.65,134.31,132.06,448924,59715758.0,1.68,-1.07,-1.44,1.52
20180521,133.4,131.28,133.73,130.47,380697,50134840.0,2.46,-1.03,-1.37,1.29
20180522,132.08,132.3,133.4,131.87,323888,42850573.0,1.17,0.78,1.02,1.1
20180523,131.27,129.53,131.72,127.88,469023,60468096.0,2.9,-2.09,-2.77,1.59
20180524,129.14,128.35,129.52,127.4,208986,26831171.0,1.64,-0.91,-1.18,0.71
20180525,127.78,128.12,129.05,126.58,111692,14314256.0,1.92,-0.18,-0.23,0.38
20180529,127.01,126.68,127.93,126.2,333574,42315450.0,1.35,-1.12,-1.44,1.13
20180530,126.86,125.84,127.72,125.58,241952,30547215.0,1.69,-0.66,-0.84,0.82
20180531,126.25,124.96,126.84,124.52,183974,23036407.0,1.84,-0.7,-0.88,0.62
20180601,125.2,125.87,126.03,124.79,328939,41272505.0,0.99,0.73,0.91,1.11
20180604,126.37,128.1,128.25,126.03,224890,28657941.0,1.76,1.77,2.23,0.76
20180605,127.95,127.58,128.37,126.4,395132,50305677.0,1.54,-0.41,-0.52,1.34
20180606,128.23,128.02,128.34,126.83,315680,40388253.0,1.18,0.34,0.44,1.07
20180607,128.74,127.3,128.81,126.64,302659,38573626.0,1.7,-0.56,-0.72,1.02
20180608,127.5,129.91,130.09,127.2,346992,44805064.0,2.27,2.05,2.61,1.17
20180611,129.92,131.5,131.82,128.96,375827,49347126.0,2.2,1.22,1.59,1.27
20180612,131.86,132.39,132.93,131.09,319683,42287667.0,1.4,0.68,0.89,1.08
20180613,132.76,132.44,133.48,131.58,282180,37378962.0,1.44,0.04,0.05,0.96
20180614,132.8,132.51,133.17,131.75,225081,29824042.0,1.07,0.05,0.07,0.76
20180615,132.44,131.14,132.57,130.17,331316,43424455.0,1.81,-1.03,-1.37,1.12
