trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210205,42.02,37.5,63.62,25.32,3329178,126735367.0,212.78,108.33,19.5,9.34
20210208,36.81,42.83,44.88,33.45,746229,29075767.0,30.48,14.21,5.33,2.09
20210209,43.25,42.98,45.88,39.08,251452,10636409.0,15.88,0.35,0.15,0.71
20210210,44.5,43.75,46.4,40.94,241801,10437182.0,12.7,1.79,0.77,0.68
20210211,43.3,42.88,45.0,41.707,218475,9470862.0,7.53,-1.99,-0.87,0.61
20210212,42.88,48.78,48.78,41.09,233569,10674932.0,17.93,13.76,5.9,0.66
20210216,48.88,52.22,59.0,48.78,588488,31883112.0,20.95,7.05,3.44,1.65
20210217,52.18,49.47,56.0,47.71,249605,13055861.0,15.88,-5.27,-2.75,0.7
20210218,48.01,46.19,49.84,45.2,349683,16337813.0,9.38,-6.63,-3.28,0.98
20210219,46.64,48.91,49.5,45.185,234868,11136276.0,9.34,5.89,2.72,0.66
20210222,49.08,46.1,49.08,45.1,226703,10454793.0,8.14,-5.75,-2.81,0.64
20210223,45.1,43.44,45.55,36.35,301933,12192141.0,19.96,-5.77,-2.66,0.85
20210224,42.74,53.31,53.97,42.22,337606,16861102.0,27.05,22.72,9.87,0.95
20210225,52.01,54.08,58.41,48.67,389655,21531825.0,18.27,1.44,0.77,1.09
20210226,51.02,44.96,51.5,43.315,207650,9848757.0,15.13,-16.86,-9.12,0.58
20210301,45.61,48.0,48.55,45.6,183125,8738218.0,6.56,6.76,3.04,0.51
20210302,46.32,42.59,47.31,42.02,290526,12780995.0,11.02,-11.27,-5.41,0.82
20210303,43.58,40.05,43.83,38.486,268548,10996349.0,12.55,-5.96,-2.54,0.75
20210304,39.38,33.7,39.38,30.25,308057,10359317.0,22.8,-15.86,-6.35,0.86
20210305,34.24,33.37,36.53,30.17,352930,11393818.0,18.87,-0.98,-0.33,0.99
20210308,32.02,30.96,38.28,30.665,386413,13430014.0,22.82,-7.22,-2.41,1.08
20210309,31.41,37.58,39.86,31.41,320633,11942149.0,27.29,21.38,6.62,0.9
20210310,39.08,40.05,43.99,38.34,392441,16016190.0,15.03,6.57,2.47,1.1
20210311,41.61,42.98,45.96,39.72,324466,13925806.0,15.58,7.32,2.93,0.91
20210312,42.84,44.4,44.98,40.71,146907,6374119.0,9.93,3.3,1.42,0.4
20210315,44.93,40.79,46.0,40.03,147874,6290171.0,13.45,-8.13,-3.61,0.4
20210316,41.14,39.86,42.87,39.56,204402,8418614.0,8.11,-2.28,-0.93,0.55
20210317,40.19,37.97,40.19,37.08,295896,11297366.0,7.8,-4.74,-1.89,0.8
20210318,37.44,38.71,39.99,37.08,326111,12551744.0,7.66,1.95,0.74,0.88
20210319,40.2,40.6,43.55,38.795,2006905,81660437.0,12.28,4.88,1.89,5.41
20210322,39.83,43.71,43.91,39.37,309551,13336430.0,11.18,7.66,3.11,0.83
20210323,42.86,41.79,42.86,40.16,319401,13196789.0,6.18,-4.39,-1.92,0.86
20210324,41.56,38.7,41.56,38.44,177243,7099164.0,7.47,-7.39,-3.09,0.48
20210325,39.57,39.12,39.57,37.3,172151,6608474.0,5.87,1.09,0.42,0.46
20210326,38.83,36.58,40.78,35.91,149004,5719536.0,12.45,-6.49,-2.54,0.4
20210329,36.58,36.51,37.85,35.05,206278,7512086.0,7.65,-0.19,-0.07,0.56
20210330,36.5,39.06,39.505,35.5,90428,3441937.0,10.97,6.98,2.55,0.24
20210331,39.22,43.1,43.61,37.87,182977,7748383.0,14.7,10.34,4.04,0.49
20210401,43.43,38.78,43.65,38.36,335644,13657749.0,12.27,-10.02,-4.32,0.9
20210405,39.46,38.07,39.78,36.95,95417,3615170.0,7.3,-1.83,-0.71,0.26
20210406,38.31,37.32,41.17,37.23,105430,3984931.0,10.35,-1.97,-0.75,0.28
20210407,37.48,35.2,37.936,34.46,153382,5451284.0,9.31,-5.68,-2.12,0.41
20210408,35.56,33.69,36.71,33.07,89786,3080989.0,10.34,-4.29,-1.51,0.24
20210409,34.11,32.02,34.77,32.0,97497,3177940.0,8.22,-4.96,-1.67,0.26
20210412,32.19,32.13,33.36,30.01,126747,3939308.0,10.46,0.34,0.11,0.34
20210413,32.07,29.14,32.07,28.83,198664,5853051.0,10.08,-9.31,-2.99,0.54
20210414,29.39,33.72,34.44,29.224,158231,5161195.0,17.9,15.72,4.58,0.43
20210415,33.74,31.5,33.74,30.49,119794,3825624.0,9.64,-6.58,-2.22,0.32
20210416,31.91,30.1,31.91,28.33,151379,4499603.0,11.37,-4.44,-1.4,0.41
20210419,29.7,28.56,31.41,28.24,59438,1733450.0,10.53,-5.12,-1.54,0.16
20210420,28.46,27.25,29.612,25.62,164602,4461440.0,13.98,-4.59,-1.31,0.44
20210421,27.01,27.33,28.96,26.83,140349,3924650.0,7.82,0.29,0.08,0.38
20210422,27.48,29.7,30.37,26.75,93978,2735551.0,13.25,8.67,2.37,0.25
20210423,30.02,29.75,31.56,29.23,80603,2429406.0,7.85,0.17,0.05,0.22
20210426,30.04,28.9,30.15,28.491,58581,1703493.0,5.58,-2.86,-0.85,0.16
20210427,29.14,28.96,29.292,28.21,52677,1525816.0,3.74,0.21,0.06,0.14
20210428,28.57,28.73,29.41,27.45,63242,1810403.0,6.77,-0.79,-0.23,0.17
20210429,28.97,29.67,31.2,28.19,80259,2408905.0,10.48,3.27,0.94,0.22
20210430,28.99,28.18,31.19,27.22,97479,2790146.0,13.38,-5.02,-1.49,0.26
20210503,28.23,29.03,29.99,27.39,74477,2143571.0,9.23,3.02,0.85,0.2
20210504,28.61,25.41,28.61,25.255,92647,2430843.0,11.56,-12.47,-3.62,0.25
20210505,25.31,26.87,29.2,25.31,141994,3901829.0,15.31,5.75,1.46,0.38
20210506,26.51,23.64,26.51,23.01,104895,2557361.0,13.03,-12.02,-3.23,0.28
20210507,24.83,24.53,26.03,23.61,125152,3075793.0,10.24,3.76,0.89,0.34
20210510,24.36,22.19,24.36,21.94,103225,2339421.0,9.87,-9.54,-2.34,0.28
20210511,22.04,23.58,24.05,21.85,83705,1918963.0,9.91,6.26,1.39,0.23
20210512,23.01,21.3,23.64,21.265,72083,1590705.0,10.07,-9.67,-2.28,0.19
20210513,21.73,19.7,22.983,18.685,139965,2766199.0,20.18,-7.51,-1.6,0.38
20210514,19.88,19.5,21.21,18.11,308409,5964047.0,15.74,-1.02,-0.2,0.83
20210517,19.6,19.15,21.6,18.53,147592,2892969.0,15.74,-1.79,-0.35,0.4
20210518,19.3,22.56,23.96,19.01,430246,9463114.0,25.85,17.81,3.41,1.16
20210519,22.4,20.6,22.5,19.81,222758,4661328.0,11.92,-8.69,-1.96,0.6
20210520,20.74,21.6,22.1,20.65,124091,2666158.0,7.04,4.85,1.0,0.33
20210521,22.05,21.58,23.79,21.01,148906,3281302.0,12.87,-0.09,-0.02,0.4
20210524,21.63,20.13,22.97,19.7,123654,2532644.0,15.15,-6.72,-1.45,0.33
20210525,20.48,19.83,20.495,19.25,69116,1372149.0,6.18,-1.49,-0.3,0.19
20210526,20.21,21.02,21.59,19.53,96691,2004927.0,10.39,6.0,1.19,0.26
20210527,21.23,20.54,21.23,20.32,85112,1757519.0,4.33,-2.28,-0.48,0.23
20210528,20.86,21.1,21.79,20.51,69296,1466820.0,6.23,2.73,0.56,0.19
20210601,21.37,20.55,21.48,20.01,85751,1767335.0,6.97,-2.61,-0.55,0.23
20210602,20.57,19.78,20.9,19.13,99926,1982811.0,8.61,-3.75,-0.77,0.27
20210603,19.77,19.9,20.17,18.56,89827,1761054.0,8.14,0.61,0.12,0.24
20210604,20.0,20.42,20.93,19.67,109716,2254877.0,6.33,2.61,0.52,0.3
20210607,20.11,19.15,20.7,18.72,320794,6279036.0,9.7,-6.22,-1.27,0.86
20210608,19.09,18.92,19.81,18.55,157703,3003678.0,6.58,-1.2,-0.23,0.42
20210609,19.12,20.86,21.44,19.12,134496,2763402.0,12.26,10.25,1.94,0.36
20210610,21.0,22.27,22.95,20.56,103381,2268418.0,11.46,6.76,1.41,0.28
20210611,22.42,21.27,22.42,20.92,71639,1533493.0,6.74,-4.49,-1.0,0.19
20210614,21.06,22.31,22.96,21.06,82850,1838485.0,8.93,4.89,1.04,0.22
20210615,22.12,21.71,22.43,21.42,81689,1786776.0,4.53,-2.69,-0.6,0.22
20210616,21.73,20.88,21.78,20.5,55085,1150769.0,5.9,-3.82,-0.83,0.15
20210617,20.72,21.19,22.16,20.4,64444,1361466.0,8.43,1.48,0.31,0.17
20210618,20.9,20.86,20.97,20.15,59955,1242807.0,3.87,-1.56,-0.33,0.16
20210621,20.85,21.32,21.76,20.3,68168,1449418.0,7.0,2.21,0.46,0.18
20210622,21.31,20.31,21.31,19.91,78126,1593143.0,6.57,-4.74,-1.01,0.21
20210623,20.2,20.1,20.94,19.615,79782,1599597.0,6.52,-1.03,-0.21,0.21
20210624,20.27,20.03,21.165,19.75,92157,1852275.0,7.04,-0.35,-0.07,0.25
20210625,19.94,21.3,23.535,19.77,773761,16927625.0,18.8,6.34,1.27,2.08
20210628,21.31,20.33,21.39,20.11,263078,5386275.0,6.01,-4.55,-0.97,0.71
20210629,20.46,19.53,21.685,19.23,118588,2337073.0,12.08,-3.94,-0.8,0.32
20210630,19.43,18.65,19.775,18.64,229486,4402493.0,5.81,-4.51,-0.88,0.62
20210701,18.83,20.06,20.15,18.36,141853,2698499.0,9.6,7.56,1.41,0.38
20210702,20.2,20.38,20.9,19.55,88118,1796186.0,6.73,1.6,0.32,0.24
20210706,20.4,19.1,20.845,18.91,151441,2923601.0,9.49,-6.28,-1.28,0.41
20210707,19.04,18.15,19.04,17.31,103992,1870727.0,9.06,-4.97,-0.95,0.28
20210708,18.01,19.79,20.5,17.53,130893,2521560.0,16.36,9.04,1.64,0.35
20210709,19.97,19.18,19.97,18.86,102013,1967958.0,5.61,-3.08,-0.61,0.28
20210712,19.18,18.22,19.59,17.81,106328,1967202.0,9.28,-5.01,-0.96,0.29
20210713,18.16,16.84,18.16,16.78,132910,2271862.0,7.57,-7.57,-1.38,0.36
20210714,17.0,15.72,17.12,15.49,160866,2599152.0,9.68,-6.65,-1.12,0.44
20210715,15.69,15.44,15.85,14.68,156174,2377844.0,7.44,-1.78,-0.28,0.42
20210716,15.77,15.69,16.49,15.35,78492,1242285.0,7.38,1.62,0.25,0.21
20210719,15.25,15.46,15.75,14.65,83812,1277330.0,7.01,-1.47,-0.23,0.23
20210720,15.39,14.76,15.99,14.67,97850,1469441.0,8.54,-4.53,-0.7,0.27
20210721,14.82,14.96,15.32,14.82,77647,1164901.0,3.39,1.36,0.2,0.21
20210722,14.9,14.09,14.97,13.98,118139,1685320.0,6.62,-5.82,-0.87,0.32
20210723,14.14,13.0,14.405,12.97,250326,3319870.0,10.18,-7.74,-1.09,0.68
20210726,12.83,12.92,13.84,12.38,280012,3633020.0,11.23,-0.62,-0.08,0.76
20210727,12.67,12.73,13.11,12.03,217039,2742467.0,8.36,-1.47,-0.19,0.59
20210728,12.77,13.78,14.19,12.23,171804,2279928.0,15.4,8.25,1.05,0.47
20210729,13.87,13.62,14.135,13.15,88608,1209768.0,7.15,-1.16,-0.16,0.24
20210730,13.155,12.52,13.544,12.42,53268,676918.0,8.25,-8.08,-1.1,0.14
20210802,12.87,12.45,13.431,12.165,80561,1008978.0,10.11,-0.56,-0.07,0.22
20210803,12.55,12.25,12.98,12.01,107773,1321150.0,7.79,-1.61,-0.2,0.29
20210804,12.25,12.81,13.02,12.08,64583,818138.0,7.67,4.57,0.56,0.17
20210805,12.81,13.35,13.73,12.8,111650,1488341.0,7.26,4.22,0.54,0.3
20210806,13.08,13.5,13.86,13.0,81809,1087729.0,6.44,1.12,0.15,0.22
20210809,13.56,13.95,14.15,13.2,71478,980274.0,7.04,3.33,0.45,0.19
20210810,13.63,12.95,13.93,12.9,141464,1886429.0,7.38,-7.17,-1.0,0.38
20210811,12.87,13.25,13.72,12.4,145380,1939130.0,10.19,2.32,0.3,0.39
20210812,13.27,13.83,13.89,12.6,195546,2571391.0,9.74,4.38,0.58,0.53
20210813,13.89,14.14,14.97,12.82,142750,2049554.0,15.55,2.24,0.31,0.38
20210816,14.06,12.24,14.06,12.112,101480,1277020.0,13.78,-13.44,-1.9,0.27
