trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20211021,18.65,21.02,22.38,18.53,1690126,33462859.0,24.06,31.38,5.02,3.45
20211022,21.07,18.65,26.0,16.32,921798,18908080.0,46.05,-11.27,-2.37,1.88
20211025,17.78,19.0,20.69,17.107,461891,8844276.0,19.21,1.88,0.35,0.94
20211026,20.0,17.24,20.0,17.0,247900,4529413.0,15.79,-9.26,-1.76,0.51
20211027,17.42,19.57,19.934,17.4,509128,9233647.0,14.7,13.52,2.33,1.04
20211028,19.63,19.99,21.87,18.86,279466,5675104.0,15.38,2.15,0.42,0.57
20211029,20.05,20.32,20.38,18.52,131632,2625916.0,9.3,1.65,0.33,0.27
20211101,20.32,20.43,20.57,19.88,107836,2196993.0,3.4,0.54,0.11,0.22
20211102,20.79,21.25,22.0,20.14,370991,7878148.0,9.1,4.01,0.82,0.76
20211103,21.06,20.96,21.765,20.67,216555,4582083.0,5.15,-1.36,-0.29,0.44
20211104,21.41,20.42,21.95,20.383,293397,6161432.0,7.48,-2.58,-0.54,0.6
20211105,20.2,20.65,21.49,19.15,257456,5110564.0,11.46,1.13,0.23,0.53
20211108,20.25,20.43,20.7,19.56,203351,4099509.0,5.52,-1.07,-0.22,0.42
20211109,20.43,20.45,21.29,19.86,208506,4283018.0,7.0,0.1,0.02,0.43
20211110,20.28,20.85,21.192,20.0,459668,9256002.0,5.83,1.96,0.4,0.94
20211111,20.65,23.07,24.0,20.08,112985,2517368.0,18.8,10.65,2.22,0.23
20211112,22.88,22.97,24.0,21.66,71033,1649685.0,10.14,-0.43,-0.1,0.15
20211115,23.69,21.71,24.468,21.38,171539,3852214.0,13.44,-5.49,-1.26,0.34
20211116,21.54,21.75,22.65,21.4,103159,2258043.0,5.76,0.18,0.04,0.21
20211117,21.35,21.97,22.11,20.32,149784,3260393.0,8.23,1.01,0.22,0.3
20211118,21.52,21.38,22.05,20.19,174490,3763020.0,8.47,-2.69,-0.59,0.35
20211119,21.38,21.9,22.92,20.903,199614,4395552.0,9.43,2.43,0.52,0.4
20211122,21.71,21.76,22.08,19.4,204479,4316585.0,12.24,-0.64,-0.14,0.41
20211123,21.52,20.69,22.5,20.105,246640,5223389.0,11.01,-4.92,-1.07,0.49
20211124,20.46,20.34,21.33,19.6,264237,5390255.0,8.36,-1.69,-0.35,0.53
20211126,20.55,22.31,24.33,19.86,149691,3344278.0,21.98,9.69,1.97,0.3
20211129,22.56,20.33,23.195,20.0,206122,4267646.0,14.32,-8.87,-1.98,0.41
20211130,20.01,19.65,20.585,18.86,157992,3088467.0,8.48,-3.34,-0.68,0.31
20211201,19.7,18.66,19.7,17.81,168195,3123193.0,9.62,-5.04,-0.99,0.33
20211202,18.64,18.65,18.82,17.02,174142,3134178.0,9.65,-0.05,-0.01,0.35
20211203,18.91,18.0,19.21,16.721,145476,2605695.0,13.35,-3.49,-0.65,0.29
20211206,18.2,15.46,18.65,15.12,186017,3102906.0,19.61,-14.11,-2.54,0.37
20211207,15.46,16.97,17.54,15.295,229970,3781795.0,14.52,9.77,1.51,0.46
20211208,16.82,15.8,17.495,14.08,297445,4606688.0,20.12,-6.89,-1.17,0.59
20211209,15.66,15.84,16.26,15.4,119798,1886320.0,5.44,0.25,0.04,0.24
20211210,15.7,15.31,16.11,15.26,128378,1984068.0,5.37,-3.35,-0.53,0.26
20211213,16.0,16.11,16.74,15.41,123418,1984216.0,8.69,5.23,0.8,0.25
20211214,15.99,15.25,16.66,15.0,345390,5374875.0,10.3,-5.34,-0.86,0.69
20211215,15.31,16.34,16.65,15.03,300471,4853305.0,10.62,7.15,1.09,0.6
20211216,16.33,14.89,17.075,14.55,284220,4321014.0,15.45,-8.87,-1.45,0.57
20211217,14.89,14.48,15.91,14.055,1707349,24859962.0,12.46,-2.75,-0.41,3.39
20211220,14.33,14.2,15.06,13.945,255559,3654541.0,7.7,-1.93,-0.28,0.51
20211221,14.28,15.14,15.25,14.22,205330,3083954.0,7.25,6.62,0.94,0.41
20211222,15.15,15.04,15.615,14.74,298401,4496190.0,5.78,-0.66,-0.1,0.59
20211223,15.13,17.02,17.1,14.7,139972,2234690.0,15.96,13.16,1.98,0.28
20211227,17.15,16.8,17.44,15.96,69067,1151145.0,8.7,-1.29,-0.22,0.14
20211228,16.76,18.16,18.28,16.34,99893,1753501.0,11.55,8.1,1.36,0.2
20211229,18.15,18.51,19.37,17.25,88796,1646537.0,11.67,1.93,0.35,0.18
20211230,18.67,20.0,20.395,18.67,63002,1251357.0,9.32,8.05,1.49,0.13
20211231,20.13,19.86,20.87,19.83,65857,1320033.0,5.2,-0.7,-0.14,0.13
20220103,20.22,19.98,20.22,17.851,169263,3221087.0,11.93,0.6,0.12,0.34
20220104,19.62,19.89,20.82,19.1,137776,2761316.0,8.61,-0.45,-0.09,0.27
