trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210512,9.85,9.85,9.85,9.85,1317,12972.0,0.0,0.0,0.0,0.0
20210513,9.85,9.86,9.9,9.85,12257,120737.0,0.51,0.1,0.01,0.03
20210514,9.85,9.85,9.85,9.85,2754,27126.0,0.0,-0.1,-0.01,0.01
20210517,9.85,9.85,9.85,9.85,3,29.0,0.0,0.0,0.0,0.0
20210518,9.85,9.85,9.85,9.85,4,39.0,0.0,0.0,0.0,0.0
20210519,9.85,9.85,9.85,9.85,2,19.0,0.0,0.0,0.0,0.0
20210524,10.04,10.04,10.04,10.04,101,1013.0,0.0,1.93,0.19,0.0
20210526,11.32,9.86,11.32,9.62,5154,52068.0,16.93,-1.79,-0.18,0.01
20210527,9.86,9.86,9.86,9.86,61,601.0,0.0,0.0,0.0,0.0
20210528,9.805,9.86,9.86,9.805,471,4624.0,0.56,0.0,0.0,0.0
20210601,9.86,9.86,9.86,9.86,69,680.0,0.0,0.0,0.0,0.0
20210602,10.043,9.95,10.043,9.95,2355,23450.0,0.94,0.91,0.09,0.01
20210607,9.95,10.05,10.05,9.95,5152,51305.0,1.01,1.01,0.1,0.01
20210608,9.98,9.952,10.05,9.952,51819,517323.0,0.98,-0.98,-0.098,0.12
20210609,9.77,9.77,9.77,9.77,253,2471.0,0.0,-1.83,-0.182,0.0
20210610,9.77,9.77,9.77,9.77,1500,14655.0,0.0,0.0,0.0,0.0
20210611,9.95,9.95,9.95,9.95,1692,16835.0,0.0,1.84,0.18,0.0
20210614,9.91,9.79,9.92,9.7,20687,201861.0,2.21,-1.61,-0.16,0.05
20210615,9.72,9.72,9.72,9.72,1451,14103.0,0.0,-0.72,-0.07,0.0
20210616,9.76,9.74,9.76,9.74,15000,146116.0,0.21,0.21,0.02,0.03
20210617,9.74,9.74,9.74,9.74,55,535.0,0.0,0.0,0.0,0.0
20210621,9.71,9.75,9.75,9.7,6168,60035.0,0.51,0.1,0.01,0.01
20210622,9.797,9.77,9.896,9.77,3605,35306.0,1.29,0.21,0.02,0.01
20210623,9.822,9.923,9.923,9.78,5608,55279.0,1.46,1.57,0.153,0.01
20210624,9.79,10.05,10.05,9.79,2553,25387.0,2.62,1.28,0.127,0.01
20210625,9.88,9.97,9.97,9.88,2558,25456.0,0.9,-0.8,-0.08,0.01
20210628,9.95,9.97,9.99,9.95,34908,347852.0,0.4,0.0,0.0,0.08
20210629,9.95,9.95,9.97,9.95,36306,361248.0,0.2,-0.2,-0.02,0.08
20210630,9.95,9.95,9.95,9.95,3,29.0,0.0,0.0,0.0,0.0
20210701,9.89,9.89,9.89,9.89,1336,13213.0,0.0,-0.6,-0.06,0.0
20210706,9.86,9.75,9.86,9.73,5822,57003.0,1.31,-1.42,-0.14,0.01
20210707,9.75,9.75,9.75,9.75,1,9.0,0.0,0.0,0.0,0.0
20210709,9.75,9.75,9.75,9.75,3298,32155.0,0.0,0.0,0.0,0.01
20210712,9.76,9.77,9.77,9.76,808,7887.0,0.1,0.21,0.02,0.0
20210713,9.78,9.83,9.83,9.78,1137,11130.0,0.51,0.61,0.06,0.0
20210714,9.85,10.02,10.05,9.78,20489,202270.0,2.75,1.93,0.19,0.05
20210715,9.99,10.0,10.0,9.99,7336,73354.0,0.1,-0.2,-0.02,0.02
20210716,9.97,9.99,9.99,9.97,25259,252072.0,0.2,-0.1,-0.01,0.06
