trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20160107,1750.0,1687.5,2375.0,1500.0,42761,0.0,0.0,0.0,0.0,0.23
20160108,1750.0,1625.0,1750.0,1625.0,23395,0.0,7.41,-3.7,-62.5,0.13
20160111,1687.5,1467.5,1687.5,1437.5,10216,0.0,15.38,-9.69,-157.5,0.06
20160112,1470.0,1325.0,1470.0,1270.0,33112,0.0,13.63,-9.71,-142.5,0.18
20160113,1362.5,1250.0,1362.5,1250.0,10064,0.0,8.49,-5.66,-75.0,0.06
20160114,1165.0,1300.0,1300.0,1092.5,15077,0.0,16.6,4.0,50.0,0.08
20160115,1290.0,1112.5,1300.0,1035.0,21614,0.0,20.38,-14.42,-187.5,0.12
20160119,1250.0,1107.5,1250.0,1107.5,16100,0.0,12.81,-0.45,-5.0,0.09
20160120,1237.5,1127.5,1237.5,1125.0,6794,0.0,10.16,1.81,20.0,0.04
20160121,1137.5,1250.0,1250.0,1137.5,2976,0.0,9.98,10.86,122.5,0.02
20160122,1312.5,1320.0,1325.0,1282.5,6553,0.0,3.4,5.6,70.0,0.04
20160125,1385.0,1372.5,1385.0,1307.5,7501,0.0,5.87,3.98,52.5,0.04
20160126,1372.5,1350.0,1372.5,1342.5,1522,0.0,2.19,-1.64,-22.5,0.01
20160127,1350.0,1250.0,1410.0,1250.0,27399,0.0,11.85,-7.41,-100.0,0.15
20160128,1320.0,1295.0,1320.0,1295.0,930,0.0,2.0,3.6,45.0,0.01
20160129,1250.0,1225.0,1250.0,1197.5,9559,0.0,4.05,-5.41,-70.0,0.05
20160201,1192.5,1167.5,1192.5,1162.5,2985,0.0,2.45,-4.69,-57.5,0.02
20160202,1175.0,1247.5,1250.0,1175.0,5973,0.0,6.42,6.85,80.0,0.03
20160203,1250.0,1345.0,1375.0,1250.0,1871,0.0,10.02,7.82,97.5,0.01
20160204,1350.0,1380.0,1380.0,1350.0,2400,0.0,2.23,2.6,35.0,0.01
20160205,1437.5,1395.0,1437.5,1395.0,2900,0.0,3.08,1.09,15.0,0.02
20160208,1395.0,1317.5,1395.0,1317.5,13205,0.0,5.56,-5.56,-77.5,0.07
20160209,1312.5,1342.5,1350.0,1302.5,32148,0.0,3.61,1.9,25.0,0.18
20160210,1367.5,1250.0,1367.5,1250.0,2343,0.0,8.75,-6.89,-92.5,0.01
20160211,1250.0,1222.5,1307.5,1222.5,3948,0.0,6.8,-2.2,-27.5,0.02
20160212,1225.0,1235.0,1240.0,1222.5,10219,0.0,1.43,1.02,12.5,0.06
20160216,1247.5,1245.0,1250.0,1197.5,4573,0.0,4.25,0.81,10.0,0.03
20160217,1272.5,1282.5,1325.0,1265.0,13486,0.0,4.82,3.01,37.5,0.07
20160218,1297.5,1350.0,1350.0,1262.5,14000,0.0,6.82,5.26,67.5,0.08
20160222,1260.0,1327.5,1327.5,1255.0,8027,0.0,5.37,-1.67,-22.5,0.04
20160223,1290.0,1345.0,1345.0,1290.0,2266,0.0,4.14,1.32,17.5,0.01
20160224,1325.0,1312.5,1342.5,1287.5,6511,0.0,4.09,-2.42,-32.5,0.04
20160225,1285.0,1307.5,1342.5,1270.0,8735,0.0,5.52,-0.38,-5.0,0.05
20160226,1327.5,1297.5,1332.5,1287.5,3151,0.0,3.44,-0.76,-10.0,0.02
20160229,1320.0,1285.0,1320.0,1275.0,6538,0.0,3.47,-0.96,-12.5,0.04
20160301,1282.5,1330.0,1332.5,1275.0,6188,0.0,4.47,3.5,45.0,0.03
20160302,1312.5,1337.5,1345.0,1312.5,11404,0.0,2.44,0.56,7.5,0.06
20160303,1275.0,1387.5,1397.5,1275.0,22203,0.0,9.16,3.74,50.0,0.12
20160304,1440.0,1562.5,1562.5,1440.0,34422,0.0,8.83,12.61,175.0,0.19
20160307,1562.5,1775.0,1875.0,1545.0,28793,0.0,21.12,13.6,212.5,0.16
20160308,1732.5,1690.0,1750.0,1642.5,25068,0.0,6.06,-4.79,-85.0,0.14
20160309,1755.0,1612.5,1755.0,1447.5,41221,0.0,18.2,-4.59,-77.5,0.23
20160310,1725.0,1710.0,1745.0,1697.5,6569,0.0,2.95,6.05,97.5,0.04
20160311,1820.0,1715.0,1845.0,1625.0,54066,0.0,12.87,0.29,5.0,0.3
20160314,1737.5,2055.0,2087.5,1700.0,89643,0.0,22.59,19.83,340.0,0.49
20160315,2050.0,2472.5,2472.5,1960.0,120338,0.0,24.94,20.32,417.5,0.66
20160316,2320.0,2642.5,2800.0,2225.0,148789,0.0,23.26,6.88,170.0,0.82
20160317,2670.0,2682.5,2912.5,2585.0,135761,0.0,12.39,1.51,40.0,0.75
20160318,2745.0,2285.0,2750.0,2250.0,211896,0.0,18.64,-14.82,-397.5,1.16
20160321,2247.5,2012.5,2250.0,2002.5,101608,0.0,10.83,-11.93,-272.5,0.56
20160322,2032.5,2195.0,2195.0,1850.0,57387,0.0,17.14,9.07,182.5,0.32
20160323,2175.0,2110.0,2220.0,1962.5,42094,0.0,11.73,-3.87,-85.0,0.23
20160324,2085.0,2192.5,2370.0,1997.5,31366,0.0,17.65,3.91,82.5,0.17
20160328,2185.0,2147.5,2272.5,2050.0,34676,0.0,10.15,-2.05,-45.0,0.16
20160329,2162.5,2165.0,2192.5,2110.0,18173,0.0,3.84,0.81,17.5,0.08
20160330,2222.5,2177.5,2375.0,2167.5,35605,0.0,9.58,0.58,12.5,0.16
20160331,2195.0,2292.5,2352.5,2157.5,36883,0.0,8.96,5.28,115.0,0.16
20160401,2277.5,2352.5,2375.0,2262.5,95916,0.0,4.91,2.62,60.0,0.42
20160404,2375.0,2550.0,2550.0,2375.0,33831,0.0,7.44,8.4,197.5,0.15
20160405,2527.5,2562.5,2562.5,2497.5,50948,0.0,2.55,0.49,12.5,0.23
20160406,2562.5,2510.0,2595.0,2452.5,47753,0.0,5.56,-2.05,-52.5,0.21
20160407,2507.5,2852.5,2852.5,2507.5,95344,0.0,13.75,13.65,342.5,0.42
20160408,2852.5,2775.0,2925.0,2725.0,104743,0.0,7.01,-2.72,-77.5,0.46
20160411,2812.5,2725.0,2812.5,2477.5,92058,0.0,12.07,-1.8,-50.0,0.41
20160412,2817.5,2675.0,2817.5,2562.5,62142,0.0,9.36,-1.83,-50.0,0.27
20160413,2717.5,2687.5,2750.0,2580.0,76365,0.0,6.36,0.47,12.5,0.34
20160414,2747.5,2562.5,2747.5,2527.5,73306,0.0,8.19,-4.65,-125.0,0.32
20160415,2620.0,2350.0,2665.0,2350.0,93173,0.0,12.29,-8.29,-212.5,0.41
20160418,2385.0,2202.5,2415.0,2185.0,123218,0.0,9.79,-6.28,-147.5,0.54
20160419,2222.5,2117.5,2335.0,2080.0,107539,0.0,11.58,-3.86,-85.0,0.48
20160420,2152.5,2112.5,2230.0,1812.5,532429,0.0,19.72,-0.24,-5.0,2.35
20160421,2080.0,1910.0,2080.0,1875.0,145014,0.0,9.7,-9.59,-202.5,0.64
