trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-1.405,-3.405,-1.405,-3.905,25300,0.0,0.0,0.0,0.0,0.14
20010103,-2.525,-1.525,-0.905,-2.525,21300,0.0,-47.58,55.21,1.88,0.11
20010104,-1.655,-2.285,-1.655,-2.285,12500,0.0,-41.31,-49.84,-0.76,0.07
20010105,-2.285,-2.655,-2.285,-2.965,14600,0.0,-29.76,-16.19,-0.37,0.08
20010108,-2.785,-2.715,-2.405,-3.155,9500,0.0,-28.25,-2.26,-0.06,0.05
20010109,-2.405,-1.655,-1.655,-2.405,7300,0.0,-27.62,39.04,1.06,0.04
20010110,-2.885,-1.675,-1.655,-2.885,6300,0.0,-74.32,-1.21,-0.02,0.03
20010111,-1.715,-1.715,-1.655,-2.655,5900,0.0,-59.7,-2.39,-0.04,0.03
20010112,-2.025,-2.025,-1.685,-2.025,3500,0.0,-19.83,-18.08,-0.31,0.02
20010116,-1.925,-3.655,-1.595,-3.655,75700,0.0,-101.73,-80.49,-1.63,0.41
20010117,-3.405,-4.155,-3.025,-4.405,34100,0.0,-37.76,-13.68,-0.5,0.18
20010118,-3.715,-2.785,-2.785,-3.785,27600,0.0,-24.07,32.97,1.37,0.15
20010119,-2.905,-2.785,-2.655,-3.025,11400,0.0,-13.29,0.0,0.0,0.06
20010122,-2.785,-2.525,-2.525,-3.285,10700,0.0,-27.29,9.34,0.26,0.06
20010123,-2.525,-3.025,-2.525,-3.345,16600,0.0,-32.48,-19.8,-0.5,0.09
20010124,-3.095,-2.965,-2.905,-3.405,16300,0.0,-16.53,1.98,0.06,0.09
20010125,-3.025,-2.845,-2.785,-3.025,9600,0.0,-8.09,4.05,0.12,0.05
20010126,-2.845,-2.785,-2.715,-2.845,10000,0.0,-4.57,2.11,0.06,0.05
20010129,-2.765,-3.025,-2.765,-3.405,23400,0.0,-22.98,-8.62,-0.24,0.13
20010130,-2.905,-3.285,-2.715,-3.595,15500,0.0,-29.09,-8.6,-0.26,0.08
20010131,-3.015,-2.785,-2.785,-3.285,16300,0.0,-15.22,15.22,0.5,0.09
20010201,-2.785,-3.405,-2.785,-3.785,15300,0.0,-35.91,-22.26,-0.62,0.08
20010202,-3.405,-3.965,-3.285,-4.455,41400,0.0,-34.36,-16.45,-0.56,0.22
20010205,-4.025,-4.405,-3.965,-5.155,15300,0.0,-30.01,-11.1,-0.44,0.08
20010206,-4.405,-3.785,-3.785,-4.405,31600,0.0,-14.07,14.07,0.62,0.17
20010207,-3.715,-3.285,-3.155,-3.715,10600,0.0,-14.8,13.21,0.5,0.06
20010208,-3.405,-3.345,-3.285,-3.465,7700,0.0,-5.48,-1.83,-0.06,0.04
20010209,-3.315,-3.405,-2.965,-3.405,28100,0.0,-13.15,-1.79,-0.06,0.15
20010212,-3.285,-3.155,-3.155,-3.405,13600,0.0,-7.34,7.34,0.25,0.07
20010213,-2.965,-2.905,-2.905,-3.025,11800,0.0,-3.8,7.92,0.25,0.06
20010214,-2.965,-2.965,-2.965,-3.155,10100,0.0,-6.54,-2.07,-0.06,0.05
20010215,-3.025,-2.785,-2.785,-3.025,61900,0.0,-8.09,6.07,0.18,0.33
20010216,-2.785,-3.095,-2.785,-3.405,17700,0.0,-22.26,-11.13,-0.31,0.1
