trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-2.323,-2.427,-2.323,-2.427,28000,0.0,0.0,0.0,0.0,0.27
20010103,-2.407,-2.387,-2.343,-2.427,32400,0.0,-3.46,1.65,0.04,0.32
20010104,-2.39,-2.343,-2.28,-2.39,59200,0.0,-4.61,1.84,0.044,0.58
20010105,-2.387,-2.363,-2.3,-2.387,12300,0.0,-3.71,-0.85,-0.02,0.12
20010108,-2.363,-2.363,-2.3,-2.363,75500,0.0,-2.67,0.0,0.0,0.74
20010109,-2.343,-2.3,-2.28,-2.343,62500,0.0,-2.67,2.67,0.063,0.61
20010110,-2.323,-2.28,-2.24,-2.323,37900,0.0,-3.61,0.87,0.02,0.37
20010111,-2.3,-2.3,-2.28,-2.3,800,0.0,-0.88,-0.88,-0.02,0.01
20010112,-2.3,-2.3,-2.3,-2.3,7000,0.0,0.0,0.0,0.0,0.07
20010116,-2.297,-2.24,-2.207,-2.3,35600,0.0,-4.04,2.61,0.06,0.35
20010117,-2.26,-2.26,-2.22,-2.26,1600,0.0,-1.79,-0.89,-0.02,0.02
20010118,-2.26,-2.24,-2.24,-2.26,5300,0.0,-0.88,0.88,0.02,0.05
20010119,-2.26,-2.26,-2.26,-2.26,200,0.0,0.0,-0.89,-0.02,0.0
20010122,-2.26,-2.26,-2.22,-2.26,9200,0.0,-1.77,0.0,0.0,0.09
20010123,-2.24,-2.22,-2.22,-2.24,1200,0.0,-0.88,1.77,0.04,0.01
20010124,-2.26,-2.24,-2.197,-2.26,10100,0.0,-2.84,-0.9,-0.02,0.1
20010125,-2.22,-2.24,-2.22,-2.28,92400,0.0,-2.68,0.0,0.0,0.91
20010126,-2.22,-2.197,-2.177,-2.22,107800,0.0,-1.92,1.92,0.043,1.06
20010129,-2.22,-2.197,-2.197,-2.22,15600,0.0,-1.05,0.0,0.0,0.15
20010130,-2.197,-2.22,-2.197,-2.22,15200,0.0,-1.05,-1.05,-0.023,0.15
20010131,-2.22,-2.22,-2.197,-2.22,15800,0.0,-1.04,0.0,0.0,0.16
20010201,-2.163,-2.163,-2.143,-2.183,17800,0.0,-1.8,2.57,0.057,0.17
