trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20211209,24.956,24.679,24.986,24.679,6555,163408.0,0.0,0.0,0.0,0.0
20211210,24.867,24.648,25.026,24.589,7998,199269.0,1.77,-0.13,-0.031,0.0
20211213,24.598,24.329,24.648,24.32,3085,75817.0,1.33,-1.29,-0.319,0.0
20211214,23.922,23.861,24.002,23.763,1847,44442.0,0.98,-1.92,-0.468,0.0
20211215,23.992,24.519,24.519,23.992,882,21281.0,2.21,2.76,0.658,0.0
20211216,25.901,23.875,25.901,23.803,1766,43681.0,8.56,-2.63,-0.644,0.0
20211217,24.041,23.992,24.09,23.992,663,16018.0,0.41,0.49,0.117,0.0
20211220,23.574,23.534,23.614,23.523,2265,53659.0,0.38,-1.91,-0.458,0.0
20211221,23.932,24.247,24.247,23.783,799,19206.0,1.97,3.03,0.713,0.0
20211222,24.518,24.518,24.518,24.518,288,7099.0,0.0,1.12,0.271,0.0
20211223,24.728,24.728,24.728,24.728,100,2486.0,0.0,0.86,0.21,0.0
20211227,24.907,24.936,24.936,24.907,180,4507.0,0.12,0.84,0.208,0.0
20211228,24.598,24.598,24.598,24.598,34,840.0,0.0,-1.36,-0.338,0.0
20211229,24.628,24.508,24.628,24.39,1251,30825.0,0.97,-0.37,-0.09,0.0
20211230,24.887,24.686,24.887,24.686,2203,55117.0,0.82,0.73,0.178,0.0
20211231,24.688,24.475,24.688,24.475,466,11556.0,0.86,-0.85,-0.211,0.0
20220103,24.786,24.778,24.786,24.778,265,6603.0,0.03,1.24,0.303,0.0
20220104,24.872,24.496,24.872,24.245,884,21764.0,2.53,-1.14,-0.282,0.0
20220105,24.22,23.561,24.22,23.561,1411,33987.0,2.69,-3.82,-0.935,0.0
20220106,23.445,23.504,23.569,23.226,631,14868.0,1.46,-0.24,-0.057,0.0
20220107,23.504,23.268,23.702,23.255,1222,28874.0,1.9,-1.0,-0.236,0.0
20220110,22.748,23.147,23.147,22.748,793,18219.0,1.71,-0.52,-0.121,0.0
20220111,23.644,23.703,23.703,23.644,603,14342.0,0.25,2.4,0.556,0.0
20220112,24.071,23.796,24.071,23.796,859,20723.0,1.16,0.39,0.093,0.0
20220113,23.252,23.252,23.252,23.252,271,6335.0,0.0,-2.29,-0.544,0.0
20220114,23.266,23.305,23.305,23.266,428,10019.0,0.17,0.23,0.053,0.0
20220118,22.759,22.748,22.808,22.748,763,17484.0,0.26,-2.39,-0.557,0.0
20220119,23.027,22.51,23.116,22.51,23229,537941.0,2.66,-1.05,-0.238,0.0
20220120,22.813,22.306,22.813,22.306,220,5045.0,2.25,-0.91,-0.204,0.0
20220121,22.011,21.542,22.011,21.542,327,7165.0,2.1,-3.43,-0.764,0.0
20220124,20.639,21.386,21.386,20.391,562,11672.0,4.62,-0.72,-0.156,0.0
20220125,20.766,20.766,20.766,20.766,37,772.0,0.0,-2.9,-0.62,0.0
20220126,20.703,20.703,20.703,20.703,21,437.0,0.0,-0.3,-0.063,0.0
20220127,20.356,20.024,20.356,20.024,347,7061.0,1.6,-3.28,-0.679,0.0
20220128,20.39,20.39,20.39,20.39,134,2746.0,0.0,1.83,0.366,0.0
20220131,21.551,21.551,21.551,21.551,122,2643.0,0.0,5.69,1.161,0.0
20220202,22.097,21.823,22.097,21.704,1896,41620.0,1.82,1.26,0.272,0.0
20220203,21.025,21.025,21.025,21.025,21,443.0,0.0,-3.66,-0.798,0.0
20220204,21.506,21.447,21.506,21.447,106,2291.0,0.28,2.01,0.422,0.0
20220207,21.276,21.276,21.276,21.266,701,14990.0,0.05,-0.8,-0.171,0.0
20220208,21.654,21.654,21.654,21.644,742,16150.0,0.05,1.78,0.378,0.0
20220209,22.38,22.38,22.38,22.37,500,11248.0,0.05,3.35,0.726,0.0
20220210,22.296,21.859,22.296,21.859,468,10490.0,1.95,-2.33,-0.521,0.0
20220211,21.215,21.215,21.215,21.215,16,341.0,0.0,-2.95,-0.644,0.0
20220214,20.948,20.864,20.948,20.864,594,12509.0,0.4,-1.65,-0.351,0.0
20220215,21.182,21.627,21.627,21.182,117,2491.0,2.13,3.66,0.763,0.0
20220216,21.694,21.694,21.694,21.694,272,5932.0,0.0,0.31,0.067,0.0
20220217,21.275,20.858,21.276,20.858,2992,63960.0,1.93,-3.85,-0.836,0.0
20220218,20.54,20.602,20.602,20.54,221,4563.0,0.3,-1.23,-0.256,0.0
20220222,20.077,20.077,20.077,20.077,189,3814.0,0.0,-2.55,-0.525,0.0
20220223,20.137,19.743,20.152,19.743,1343,27035.0,2.04,-1.66,-0.334,0.0
20220224,19.968,19.968,19.968,19.968,230,4617.0,0.0,1.14,0.225,0.0
