trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20160105,96.62,99.08,99.44,95.5,2163442,0.0,0.0,0.0,0.0,2.22
20160106,98.43,93.17,98.73,93.13,2386304,0.0,5.65,-5.96,-5.91,2.45
20160107,89.57,88.13,92.93,88.12,2488241,0.0,5.16,-5.41,-5.04,2.55
20160108,88.67,89.82,90.63,86.69,2001828,0.0,4.47,1.92,1.69,2.05
20160111,90.2,88.13,90.52,87.28,1407342,0.0,3.61,-1.88,-1.69,1.44
20160112,88.7,88.74,89.25,87.69,1096950,0.0,1.77,0.69,0.61,1.12
20160113,89.65,86.06,90.25,85.78,949210,0.0,5.04,-3.02,-2.68,0.97
20160114,86.7,87.56,88.22,83.24,785268,0.0,5.79,1.74,1.5,0.81
20160115,86.52,85.72,88.07,85.11,1091483,0.0,3.38,-2.1,-1.84,1.12
20160119,86.85,83.53,89.06,83.06,1522819,0.0,7.0,-2.55,-2.19,1.56
20160120,82.25,82.44,84.79,81.51,1653871,0.0,3.93,-1.3,-1.09,1.7
20160121,82.92,83.19,83.77,81.5,944335,0.0,2.75,0.91,0.75,0.97
20160122,85.07,85.14,86.14,83.38,744868,0.0,3.32,2.34,1.95,0.76
20160125,84.51,83.31,87.82,83.19,703799,0.0,5.44,-2.15,-1.83,0.72
20160126,83.61,84.19,84.59,80.49,563328,0.0,4.92,1.06,0.88,0.58
20160127,83.96,83.9,85.76,82.21,896948,0.0,4.22,-0.34,-0.29,0.92
20160128,84.09,85.77,86.16,83.09,680420,0.0,3.66,2.23,1.87,0.7
20160129,86.54,87.66,87.78,84.86,749928,0.0,3.4,2.2,1.89,0.77
20160201,87.19,87.69,88.04,86.09,574170,0.0,2.22,0.03,0.03,0.59
20160202,86.44,83.75,87.05,82.94,694826,0.0,4.69,-4.49,-3.94,0.71
20160203,86.57,87.24,87.83,82.83,896326,0.0,5.97,4.17,3.49,0.92
20160204,87.27,88.9,89.51,87.27,956336,0.0,2.57,1.9,1.66,0.98
20160205,88.31,87.21,89.68,82.9,997061,0.0,7.63,-1.9,-1.69,1.02
20160208,86.49,84.35,86.49,83.65,1200452,0.0,3.26,-3.28,-2.86,1.23
20160209,84.36,83.84,85.29,82.83,1725244,0.0,2.92,-0.6,-0.51,1.77
20160210,79.92,80.71,85.3,79.55,1945964,0.0,6.86,-3.73,-3.13,1.99
20160211,78.82,80.32,82.44,77.3,1319536,0.0,6.37,-0.48,-0.39,1.35
20160212,81.75,81.03,82.61,80.26,922402,0.0,2.93,0.88,0.71,0.95
20160216,82.3,83.96,84.49,80.2,1185091,0.0,5.29,3.62,2.93,1.21
20160217,84.02,84.43,85.3,81.16,922004,0.0,4.93,0.56,0.47,0.95
20160218,84.31,84.79,85.39,82.12,441403,0.0,3.87,0.43,0.36,0.45
20160219,84.56,83.52,85.58,80.47,1244745,0.0,6.03,-1.5,-1.27,1.28
20160222,84.55,86.23,86.42,84.2,681534,0.0,2.66,3.24,2.71,0.7
20160223,85.56,85.08,85.99,84.54,411236,0.0,1.68,-1.33,-1.15,0.42
20160224,83.96,84.75,85.68,83.01,447282,0.0,3.14,-0.39,-0.33,0.46
20160225,84.79,86.07,86.18,83.94,559882,0.0,2.64,1.56,1.32,0.57
