trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250415,24.346,24.346,24.346,24.346,11,274.0,0.0,0.0,0.0,0.0
20250416,24.163,24.163,24.163,24.163,18,445.0,0.0,-0.75,-0.183,0.0
20250417,24.478,24.478,24.478,24.478,12,301.0,0.0,1.3,0.315,0.0
20250421,23.712,23.717,23.717,23.712,329,7997.0,0.02,-3.11,-0.761,0.0
20250422,24.444,24.667,24.667,24.444,79330,2001462.0,0.94,4.01,0.95,0.0
20250423,24.658,24.522,24.658,24.522,988,24936.0,0.55,-0.59,-0.145,0.0
20250424,24.756,24.756,24.756,24.561,4723,119828.0,0.8,0.95,0.234,0.0
20250425,24.878,24.989,24.989,24.76,1936,49373.0,0.93,0.94,0.233,0.0
20250428,25.282,25.038,25.282,24.687,3200,82085.0,2.38,0.2,0.049,0.0
20250429,25.136,25.165,25.165,24.834,1868,47869.0,1.32,0.51,0.127,0.0
20250430,25.009,25.112,25.156,25.007,1986,50945.0,0.59,-0.21,-0.053,0.0
20250501,25.234,25.341,25.468,25.234,6445,167650.0,0.93,0.91,0.229,0.0
20250502,25.507,25.438,25.595,25.224,9478,247820.0,1.46,0.38,0.097,0.0
20250505,25.195,25.593,25.593,25.195,1194,31088.0,1.56,0.61,0.155,0.0
20250506,25.136,25.312,25.39,25.136,798,20702.0,0.99,-1.1,-0.281,0.0
20250507,25.517,25.37,26.619,25.36,221415,5807644.0,4.97,0.23,0.058,0.0
20250508,26.541,25.554,26.541,25.546,5961,160166.0,3.92,0.73,0.184,0.0
20250509,25.604,25.451,25.609,25.312,1745,45736.0,1.16,-0.4,-0.103,0.0
20250512,25.863,25.936,26.082,25.76,8194,218507.0,1.27,1.91,0.485,0.0
20250513,26.258,25.799,26.258,25.458,15393,407657.0,3.08,-0.53,-0.137,0.0
20250514,25.76,25.721,25.76,25.541,2308,60859.0,0.85,-0.3,-0.078,0.0
20250515,25.438,25.643,25.643,25.39,13960,365332.0,0.98,-0.3,-0.078,0.0
20250516,26.141,25.653,26.141,25.517,2640,69403.0,2.43,0.04,0.01,0.0
20250519,25.536,25.614,25.751,25.429,13471,353463.0,1.26,-0.15,-0.039,0.0
