trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,1.41,1.41,1.41,0.91,2400,0.0,4.22,-88.1,-10.44,0.2
20010105,1.1,1.23,1.35,1.1,900,0.0,17.73,-12.77,-0.18,0.07
20010108,1.35,1.35,1.35,1.35,100,0.0,0.0,9.76,0.12,0.01
20010109,1.23,1.29,1.29,1.1,3000,0.0,14.07,-4.44,-0.06,0.25
20010110,1.23,1.29,1.29,1.23,1200,0.0,4.65,0.0,0.0,0.1
20010112,0.91,1.29,1.29,0.91,1200,0.0,29.46,0.0,0.0,0.1
20010116,0.97,1.23,1.23,0.97,300,0.0,20.16,-4.65,-0.06,0.02
20010117,1.16,1.29,1.29,1.16,600,0.0,10.57,4.88,0.06,0.05
20010118,1.19,1.23,1.23,1.19,500,0.0,3.1,-4.65,-0.06,0.04
20010119,1.23,1.23,1.23,1.23,600,0.0,0.0,0.0,0.0,0.05
20010126,1.29,1.29,1.29,1.29,1000,0.0,0.0,4.88,0.06,0.08
20010131,1.19,1.19,1.19,1.19,400,0.0,0.0,-7.75,-0.1,0.03
20010201,1.1,1.1,1.1,1.1,100,0.0,0.0,-7.56,-0.09,0.01
20010202,0.88,0.88,0.88,0.88,400,0.0,0.0,-20.0,-0.22,0.03
20010206,1.01,1.19,1.19,1.01,900,0.0,20.45,35.23,0.31,0.07
20010216,1.01,1.01,1.01,1.01,100,0.0,0.0,-15.13,-0.18,0.01
20010221,1.1,1.35,1.35,1.1,500,0.0,24.75,33.66,0.34,0.04
20010222,1.35,1.35,1.35,1.35,800,0.0,0.0,0.0,0.0,0.07
20010227,1.35,1.35,1.35,1.35,500,0.0,0.0,0.0,0.0,0.04
20010305,1.85,1.85,1.85,1.35,51900,0.0,37.04,37.04,0.5,4.3
20010306,2.04,1.63,2.04,1.63,6900,0.0,22.16,-11.89,-0.22,0.57
20010308,1.91,1.73,1.91,1.6,6000,0.0,19.02,6.13,0.1,0.5
20010313,1.6,1.85,1.85,1.6,1100,0.0,14.45,6.94,0.12,0.09
20010315,1.66,1.85,1.85,1.66,1500,0.0,10.27,0.0,0.0,0.12
20010316,1.85,1.85,1.85,1.85,1000,0.0,0.0,0.0,0.0,0.08
20010319,1.79,1.79,1.79,1.66,3500,0.0,7.03,-3.24,-0.06,0.29
20010320,1.97,1.88,2.1,1.88,2800,0.0,12.29,5.03,0.09,0.23
