trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240801,24.15,24.01,24.28,23.967,1258574,30306414.0,0.0,0.0,0.0,0.0
20240802,24.04,24.01,24.17,23.94,141955,3403471.0,0.96,0.0,0.0,0.0
20240805,24.01,23.92,25.263,23.83,240968,5764490.0,5.97,-0.37,-0.09,0.0
20240806,24.01,23.925,24.01,23.905,324816,7783574.0,0.44,0.02,0.005,0.0
20240807,24.0,23.9,24.01,23.897,141339,3387532.0,0.47,-0.1,-0.025,0.0
20240808,23.95,23.997,24.009,23.88,201927,4844120.0,0.54,0.41,0.097,0.0
20240809,24.02,24.015,24.04,23.96,211174,5071959.0,0.33,0.08,0.018,0.0
20240812,24.04,24.016,24.045,23.965,68167,1637420.0,0.33,0.0,0.001,0.0
20240813,24.083,24.14,24.14,24.046,62860,1515319.0,0.39,0.52,0.124,0.0
20240814,24.14,24.144,24.16,24.11,66671,1609550.0,0.21,0.02,0.004,0.0
20240815,24.23,24.22,24.24,24.162,110054,2665090.0,0.32,0.31,0.076,0.0
20240816,24.25,24.245,24.27,24.2,77398,1876600.0,0.29,0.1,0.025,0.0
20240819,24.28,24.3,24.32,24.237,67780,1646166.0,0.34,0.23,0.055,0.0
20240820,24.32,24.305,24.33,24.28,96425,2342740.0,0.21,0.02,0.005,0.0
20240821,24.34,24.352,24.379,24.308,90895,2213309.0,0.29,0.19,0.047,0.0
20240822,24.32,24.295,24.379,24.295,87589,2130617.0,0.34,-0.23,-0.057,0.0
20240823,24.34,24.373,24.39,24.308,140810,3428798.0,0.34,0.32,0.078,0.0
20240826,24.41,24.35,24.41,24.32,41079,1001333.0,0.37,-0.09,-0.023,0.0
20240827,24.31,24.34,24.38,24.31,21684,528105.0,0.29,-0.04,-0.01,0.0
20240828,24.341,24.37,24.395,24.33,62176,1513331.0,0.27,0.12,0.03,0.0
20240829,24.38,24.32,24.402,24.32,30355,739969.0,0.34,-0.21,-0.05,0.0
20240830,24.41,24.43,24.44,24.34,44712,1090108.0,0.41,0.45,0.11,0.0
20240903,24.38,24.285,24.39,24.271,31405,763550.0,0.49,-0.59,-0.145,0.0
20240904,24.33,24.33,24.33,24.29,4180,101618.0,0.16,0.19,0.045,0.0
20240905,24.34,24.275,24.36,24.27,8388,203734.0,0.37,-0.23,-0.055,0.0
20240906,24.25,24.19,24.29,24.18,49700,1202715.0,0.45,-0.35,-0.085,0.0
20240909,24.25,24.24,24.29,24.235,17021,412878.0,0.23,0.21,0.05,0.0
20240910,24.27,24.28,24.3,24.23,15473,375364.0,0.29,0.17,0.04,0.0
