trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220301,31.55,25.53,33.44,25.005,6365478,166027897.0,22.2,-32.82,-12.47,24.39
20220302,26.77,24.31,26.78,24.2,1950200,48318368.0,10.11,-4.78,-1.22,7.47
20220303,24.25,24.49,24.69,22.64,1403257,33240056.0,8.43,0.74,0.18,5.38
20220304,22.7,23.69,23.97,22.2,2232889,51965425.0,7.23,-3.27,-0.8,8.56
20220307,22.74,22.47,23.26,21.8,1289601,28933382.0,6.16,-5.15,-1.22,4.94
20220308,21.52,22.91,24.69,21.52,998275,22556321.0,14.11,1.96,0.44,3.82
20220309,22.01,23.07,23.3,22.01,1218618,27713860.0,5.63,0.7,0.16,4.67
20220310,23.07,24.38,25.2,22.84,901830,21637430.0,10.23,5.68,1.31,3.46
20220311,24.16,23.58,24.396,22.17,683778,16065589.0,9.13,-3.28,-0.8,2.62
20220314,23.58,23.02,24.755,22.815,410075,9676347.0,8.23,-2.37,-0.56,1.57
20220315,22.5,22.94,23.74,22.018,550553,12397542.0,7.48,-0.35,-0.08,2.11
20220316,23.0,22.87,23.5,22.53,261386,6008946.0,4.23,-0.31,-0.07,1.0
20220317,23.06,23.07,23.568,22.67,465434,10663463.0,3.93,0.87,0.2,1.78
20220318,22.7,24.43,24.73,22.595,930711,22284623.0,9.25,5.9,1.36,3.57
20220321,24.01,24.32,24.96,23.395,252722,6207224.0,6.41,-0.45,-0.11,0.97
20220322,24.17,24.08,24.987,23.98,353867,8622019.0,4.14,-0.99,-0.24,1.36
20220323,23.99,24.16,24.5,23.93,259460,6266459.0,2.37,0.33,0.08,0.99
20220324,24.03,23.69,24.75,23.52,357311,8586789.0,5.09,-1.95,-0.47,1.37
20220325,23.48,23.0,24.1,22.5,530132,12088091.0,6.75,-2.91,-0.69,2.03
20220328,22.95,22.69,23.37,22.34,202004,4588038.0,4.48,-1.35,-0.31,0.77
20220329,22.69,23.4,23.75,22.69,357436,8314729.0,4.67,3.13,0.71,1.37
20220330,23.11,22.81,23.705,22.52,199532,4573701.0,5.06,-2.52,-0.59,0.76
20220331,22.61,22.84,23.45,22.35,216955,4970342.0,4.82,0.13,0.03,0.83
20220401,23.06,23.98,24.08,22.8,745952,17589311.0,5.6,4.99,1.14,2.86
20220404,24.13,23.6,24.13,23.5,328276,7751094.0,2.63,-1.58,-0.38,1.26
20220405,23.6,23.66,23.74,23.14,280390,6601224.0,2.54,0.25,0.06,1.08
20220406,23.83,22.72,23.88,22.41,336999,7758588.0,6.21,-3.97,-0.94,1.29
20220407,22.51,23.24,23.555,22.04,304989,6960760.0,6.67,2.29,0.52,1.17
20220408,23.19,23.55,23.67,22.575,159235,3701285.0,4.71,1.33,0.31,0.61
20220411,23.48,23.94,24.08,23.3,428038,10273691.0,3.31,1.66,0.39,1.64
20220412,24.46,26.42,26.73,24.12,805789,20473792.0,10.9,10.36,2.48,3.09
20220413,26.2,27.32,27.57,25.09,520337,14215606.0,9.39,3.41,0.9,2.0
20220414,27.28,27.5,28.37,26.94,303118,8351956.0,5.23,0.66,0.18,1.16
