trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190212,5.15,4.68,5.15,4.32,51078,242471.0,16.12,-9.13,-0.47,0.16
20190213,4.75,4.76,4.86,4.75,29976,146845.0,2.35,1.71,0.08,0.09
20190214,4.79,4.85,4.89,4.59,20786,100335.0,6.3,1.89,0.09,0.06
20190215,4.89,4.85,4.89,4.84,48156,238649.0,1.03,0.0,0.0,0.15
20190219,4.89,4.99,5.04,4.86,37092,185822.0,3.71,2.89,0.14,0.11
20190220,5.05,5.12,5.15,5.0,34377,177346.0,3.01,2.61,0.13,0.1
20190221,5.15,5.3,5.4,5.1,88234,471487.0,5.86,3.52,0.18,0.27
20190222,5.36,5.33,5.4,5.18,75135,408561.0,4.15,0.57,0.03,0.23
20190225,5.65,5.47,5.8,5.33,88929,499480.0,8.82,2.63,0.14,0.28
20190226,5.5,5.3,5.5,5.25,47930,261954.0,4.57,-3.11,-0.17,0.15
20190227,5.2,4.85,5.41,4.2,156357,756959.0,22.83,-8.49,-0.45,0.49
20190228,4.86,4.86,5.0,4.5,59698,294090.0,10.31,0.21,0.01,0.19
20190301,4.92,4.81,4.93,4.65,42165,206940.0,5.76,-1.03,-0.05,0.13
20190304,4.93,4.9,4.98,4.7,26565,130804.0,5.82,1.87,0.09,0.08
20190305,4.9,4.75,4.92,4.69,40509,198407.0,4.69,-3.06,-0.15,0.13
20190306,4.68,4.33,4.68,4.31,76305,347280.0,7.79,-8.84,-0.42,0.24
20190307,4.5,4.59,4.65,4.37,52478,242243.0,6.47,6.0,0.26,0.16
20190308,4.65,4.76,4.85,4.47,86375,414543.0,8.28,3.7,0.17,0.27
20190311,4.8,4.55,4.8,4.55,28717,137780.0,5.25,-4.41,-0.21,0.09
20190312,4.65,4.66,4.7,4.61,16387,77951.0,1.98,2.42,0.11,0.05
20190313,4.64,4.7,4.7,4.56,17888,85071.0,3.0,0.86,0.04,0.06
20190314,4.65,4.46,4.66,4.15,53808,246240.0,10.85,-5.11,-0.24,0.17
20190315,4.45,4.29,4.58,4.27,47744,212455.0,6.95,-3.81,-0.17,0.15
20190318,4.29,4.25,4.49,4.2,45688,199317.0,6.76,-0.93,-0.04,0.14
20190319,4.25,4.3,4.38,4.25,66149,291605.0,3.06,1.18,0.05,0.21
20190320,4.3,4.36,4.4,4.27,25978,114886.0,3.02,1.4,0.06,0.08
20190321,4.41,4.35,4.45,4.35,13370,60115.0,2.29,-0.23,-0.01,0.04
20190322,4.36,4.4,4.4,4.35,11924,53442.0,1.15,1.15,0.05,0.04
20190325,4.4,4.31,4.4,4.3,21167,94287.0,2.27,-2.05,-0.09,0.07
