trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20200424,34.381,34.381,34.381,34.381,497222,0.0,0.0,0.0,0.0,0.0
20200427,34.353,34.333,34.353,34.305,4100,204856.0,0.14,-0.14,-0.048,0.0
20200428,34.429,34.422,34.47,34.374,16602,831781.0,0.28,0.26,0.089,0.0
20200429,34.621,34.381,34.628,34.381,101,5089.0,0.72,-0.12,-0.041,0.0
20200501,34.429,34.381,34.429,34.381,1100,55117.0,0.14,0.0,0.0,0.0
20200504,34.353,34.518,34.518,34.353,7900,395869.0,0.48,0.4,0.137,0.0
20200505,34.566,34.635,34.635,34.566,3003,151181.0,0.2,0.34,0.117,0.0
20200506,34.69,34.573,34.697,34.573,2063,104167.0,0.36,-0.18,-0.062,0.0
20200507,34.759,34.628,34.759,34.628,100,5059.0,0.38,0.16,0.055,0.0
20200511,34.889,34.752,34.889,34.752,200,10156.0,0.4,0.36,0.124,0.0
20200512,34.958,34.759,34.965,34.759,402,20455.0,0.59,0.02,0.007,0.0
20200513,34.621,34.518,34.656,34.504,54003,2719725.0,0.44,-0.69,-0.241,0.0
20200518,34.958,34.958,34.958,34.958,1,0.0,0.0,1.27,0.44,0.0
20200519,34.965,34.985,34.985,34.93,800,40698.0,0.16,0.08,0.027,0.0
20200520,35.253,35.377,35.377,35.253,500,25669.0,0.35,1.12,0.392,0.0
20200521,35.404,35.349,35.404,35.349,200,10306.0,0.16,-0.08,-0.028,0.0
20200522,35.432,35.494,35.501,35.425,14346,740852.0,0.22,0.41,0.145,0.0
20200526,35.803,35.762,35.803,35.762,601,31318.0,0.12,0.76,0.268,0.0
20200527,35.933,35.858,35.933,35.803,8900,464584.0,0.36,0.27,0.096,0.0
20200528,36.023,35.913,36.023,35.913,120,6291.0,0.31,0.15,0.055,0.0
20200529,35.913,36.091,36.091,35.913,10385,543213.0,0.5,0.5,0.178,0.0
20200601,36.083,36.346,36.359,36.083,13647,714888.0,0.76,0.71,0.255,0.0
