trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190506,23.455,23.56,23.56,23.455,156,3853.0,0.0,0.0,0.0,0.0
20190507,23.028,23.142,23.142,23.028,824,19985.0,0.48,-1.77,-0.418,0.0
20190510,22.743,22.962,22.962,22.743,289,6938.0,0.95,-0.78,-0.18,0.0
20190513,22.458,22.392,22.458,22.316,1513,35741.0,0.62,-2.48,-0.57,0.0
20190517,22.99,22.838,22.838,22.838,1,0.0,0.0,1.99,0.446,0.0
20190520,22.838,22.677,22.677,22.677,1,0.0,0.0,-0.7,-0.161,0.0
20190522,22.914,22.848,22.914,22.848,104,2509.0,0.29,0.75,0.171,0.0
20190523,22.848,22.401,22.401,22.401,1,0.0,0.0,-1.96,-0.447,0.0
20190530,22.164,22.278,22.278,22.278,104,0.0,0.0,-0.55,-0.123,0.0
20190531,22.278,21.974,21.974,21.974,20,0.0,0.0,-1.36,-0.304,0.0
20190603,22.04,21.955,22.04,21.955,5300,123013.0,0.39,-0.09,-0.019,0.0
20190610,23.104,23.123,23.132,23.104,980,23852.0,0.13,5.32,1.168,0.0
20190614,22.905,22.914,22.943,22.886,16200,390601.0,0.25,-0.9,-0.209,0.0
20190617,22.914,22.981,22.981,22.981,15,0.0,0.0,0.29,0.067,0.0
20190620,23.436,23.455,23.455,23.436,1665,41092.0,0.08,2.06,0.474,0.0
20190621,23.313,23.313,23.313,23.313,100,2455.0,0.0,-0.61,-0.142,0.0
20190624,23.351,23.322,23.351,23.322,488,11998.0,0.12,0.04,0.009,0.0
20190625,23.328,23.147,23.328,23.147,1100,26944.0,0.78,-0.75,-0.175,0.0
20190626,23.328,23.328,23.328,23.328,150,3675.0,0.0,0.78,0.181,0.0
20190627,23.232,23.261,23.366,23.232,502,12262.0,0.57,-0.29,-0.067,0.0
20190628,23.347,23.366,23.366,23.347,101,2476.0,0.08,0.45,0.105,0.0
20190703,23.594,23.594,23.594,23.594,1,0.0,0.0,0.98,0.228,0.0
20190705,23.594,23.556,23.556,23.556,50,0.0,0.0,-0.16,-0.038,0.0
20190708,23.432,23.413,23.432,23.413,100,2461.0,0.08,-0.61,-0.143,0.0
20190709,23.451,23.508,23.508,23.451,514,12659.0,0.24,0.41,0.095,0.0
20190710,23.575,23.575,23.575,23.547,275,6804.0,0.12,0.29,0.067,0.0
20190711,23.613,23.632,23.632,23.604,305,7562.0,0.12,0.24,0.057,0.0
20190712,23.823,23.946,23.946,23.823,104,2602.0,0.52,1.33,0.314,0.0
20190715,23.994,23.946,24.023,23.946,633,15962.0,0.32,0.0,0.0,0.0
20190716,23.946,23.918,23.946,23.918,179,4501.0,0.12,-0.12,-0.028,0.0
20190717,23.794,23.718,23.794,23.718,212,5298.0,0.32,-0.84,-0.2,0.0
20190718,23.718,23.756,23.756,23.756,2,0.0,0.0,0.16,0.038,0.0
20190719,23.87,23.737,23.87,23.737,255,6392.0,0.56,-0.08,-0.019,0.0
20190723,23.766,23.927,23.927,23.766,1097,27404.0,0.68,0.8,0.19,0.0
20190724,24.07,24.07,24.089,24.061,1551,39212.0,0.12,0.6,0.143,0.0
20190725,23.861,23.747,23.87,23.747,1375,34428.0,0.51,-1.34,-0.323,0.0
