trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230822,25.018,25.013,25.018,25.013,40055,1004178.0,0.02,-0.02,-0.005,0.0
20230823,25.262,25.262,25.262,25.262,80,2025.0,0.0,1.0,0.249,0.0
20230828,25.288,25.288,25.288,25.288,4,101.0,0.0,0.1,0.026,0.0
20230829,25.695,25.695,25.695,25.695,8,205.0,0.0,1.61,0.407,0.0
20230831,25.912,25.912,25.912,25.912,39,1012.0,0.0,0.84,0.217,0.0
20230905,25.944,25.944,25.944,25.944,1,25.0,0.0,0.12,0.032,0.0
20230906,25.827,25.827,25.827,25.827,21,543.0,0.0,-0.45,-0.117,0.0
20230908,25.782,25.782,25.782,25.782,1,25.0,0.0,-0.17,-0.045,0.0
20230912,25.719,25.719,25.719,25.719,5,128.0,0.0,-0.24,-0.063,0.0
20230914,25.844,25.844,25.844,25.844,5,129.0,0.0,0.49,0.125,0.0
20230915,25.441,25.441,25.441,25.441,7,178.0,0.0,-1.56,-0.403,0.0
20230919,25.413,25.413,25.413,25.413,101,2572.0,0.0,-0.11,-0.028,0.0
20230920,25.225,25.225,25.225,25.225,100,2527.0,0.0,-0.74,-0.188,0.0
20230921,24.889,24.675,24.889,24.675,250,6235.0,0.85,-2.18,-0.55,0.0
20230922,24.693,24.693,24.693,24.693,100,2474.0,0.0,0.07,0.018,0.0
20230926,24.453,24.453,24.453,24.453,5,122.0,0.0,-0.97,-0.24,0.0
20230927,24.519,24.544,24.544,24.519,103,2530.0,0.1,0.37,0.091,0.0
20231002,24.699,24.693,24.709,24.693,418,10347.0,0.07,0.61,0.149,0.0
20231003,24.31,24.31,24.31,24.31,70,1705.0,0.0,-1.55,-0.383,0.0
20231006,25.016,25.016,25.016,25.016,1,25.0,0.0,2.9,0.706,0.0
20231009,24.988,25.159,25.159,24.988,7299,183018.0,0.68,0.57,0.143,0.0
20231010,25.477,25.319,25.477,25.318,2762,70289.0,0.63,0.64,0.16,0.0
20231011,25.358,25.436,25.457,25.358,1002,25503.0,0.39,0.46,0.117,0.0
20231012,25.447,25.306,25.537,25.306,7364,188153.0,0.91,-0.51,-0.13,0.0
20231013,25.447,25.091,25.447,25.068,21822,548601.0,1.5,-0.85,-0.215,0.0
20231016,25.348,25.39,25.39,25.348,164,4165.0,0.17,1.19,0.299,0.0
20231017,25.418,25.352,25.418,25.352,42941,1093707.0,0.26,-0.15,-0.038,0.0
20231018,25.178,24.988,25.178,24.939,34222,860282.0,0.94,-1.44,-0.364,0.0
20231019,24.934,24.741,25.028,24.699,71318,1782732.0,1.32,-0.99,-0.247,0.0
20231020,24.32,24.344,24.38,24.32,87316,2132217.0,0.24,-1.6,-0.397,0.0
20231023,24.28,24.295,24.499,24.28,31425,770530.0,0.9,-0.2,-0.049,0.0
20231024,24.47,24.494,24.494,24.47,29674,727606.0,0.1,0.82,0.199,0.0
20231025,24.265,24.044,24.31,24.044,50901,1239931.0,1.09,-1.84,-0.45,0.0
20231026,24.1,23.674,24.1,23.657,44386,1060792.0,1.84,-1.54,-0.37,0.0
20231027,23.831,23.697,23.891,23.697,24820,594173.0,0.82,0.1,0.023,0.0
20231030,23.751,23.944,23.944,23.751,39694,946277.0,0.81,1.04,0.247,0.0
20231031,24.072,24.216,24.216,24.07,132770,3202413.0,0.61,1.14,0.272,0.0
20231101,24.43,24.541,24.579,24.34,40039,980716.0,0.99,1.34,0.325,0.0
20231102,24.855,24.998,25.018,24.855,100441,2508628.0,0.66,1.86,0.457,0.0
20231103,25.098,25.191,25.191,25.093,58138,1463886.0,0.39,0.77,0.193,0.0
20231106,25.308,25.273,25.308,25.248,33324,845085.0,0.24,0.33,0.082,0.0
20231107,25.408,25.419,25.477,25.393,47133,1202884.0,0.33,0.58,0.146,0.0
20231108,25.547,25.501,25.547,25.427,145908,3717799.0,0.47,0.32,0.082,0.0
20231109,25.447,25.235,25.507,25.235,68579,1752406.0,1.07,-1.04,-0.266,0.0
20231110,25.265,25.542,25.542,25.265,57319,1451406.0,1.1,1.22,0.307,0.0
20231113,25.517,25.648,25.667,25.517,242418,6225270.0,0.59,0.42,0.106,0.0
20231114,26.156,26.158,26.199,26.156,35004,918154.0,0.17,1.99,0.51,0.0
20231115,26.176,26.103,26.236,26.103,45602,1198860.0,0.51,-0.21,-0.055,0.0
20231116,26.123,26.163,26.163,26.106,40474,1059199.0,0.22,0.23,0.06,0.0
20231117,26.156,26.221,26.226,26.146,43581,1144798.0,0.31,0.22,0.058,0.0
20231120,26.296,26.419,26.445,26.286,31333,825429.0,0.61,0.76,0.198,0.0
20231121,26.386,26.439,26.439,26.375,60781,1607124.0,0.24,0.08,0.02,0.0
20231122,26.525,26.57,26.595,26.525,49175,1310466.0,0.26,0.5,0.131,0.0
20231124,26.555,26.58,26.615,26.555,160178,4271037.0,0.23,0.04,0.01,0.0
20231127,26.595,26.563,26.615,26.563,29846,795409.0,0.2,-0.06,-0.017,0.0
20231128,26.526,26.512,26.565,26.479,86140,2293010.0,0.32,-0.19,-0.051,0.0
20231129,26.675,26.534,26.675,26.525,55829,1489818.0,0.57,0.08,0.022,0.0
20231130,26.435,26.579,26.579,26.396,29591,784624.0,0.69,0.17,0.045,0.0
20231201,26.585,26.731,26.755,26.585,42146,1125337.0,0.64,0.57,0.152,0.0
20231204,26.445,26.535,26.545,26.445,25219,669378.0,0.37,-0.73,-0.196,0.0
20231205,26.57,26.505,26.57,26.456,40190,1067075.0,0.43,-0.11,-0.03,0.0
20231206,26.575,26.396,26.595,26.396,95831,2546178.0,0.75,-0.41,-0.109,0.0
20231207,26.525,26.582,26.582,26.525,70409,1872879.0,0.22,0.7,0.186,0.0
20231208,26.645,26.725,26.765,26.615,41693,1112811.0,0.56,0.54,0.143,0.0
20231211,26.838,26.903,26.903,26.803,35424,951745.0,0.37,0.67,0.178,0.0
20231212,27.198,27.068,27.198,26.948,176271,4766320.0,0.93,0.61,0.165,0.0
20231213,27.138,27.377,27.387,27.098,50670,1376426.0,1.07,1.14,0.309,0.0
20231214,27.357,27.238,27.357,27.228,15233,415660.0,0.47,-0.51,-0.139,0.0
20231215,27.198,27.278,27.297,27.178,83879,2291540.0,0.44,0.15,0.04,0.0
20231218,27.477,27.507,27.577,27.477,30649,845281.0,0.37,0.84,0.229,0.0
20231219,27.607,27.617,27.647,27.567,86028,2380701.0,0.29,0.4,0.11,0.0
20231220,27.597,27.208,27.627,27.208,93230,2576412.0,1.52,-1.48,-0.409,0.0
20231221,27.387,27.507,27.507,27.377,42504,1167125.0,0.48,1.1,0.299,0.0
20231222,27.547,27.502,27.582,27.502,38531,1061936.0,0.29,-0.02,-0.005,0.0
20231226,27.577,27.567,27.627,27.557,14031,387264.0,0.25,0.24,0.065,0.0
20231227,27.59,27.617,27.617,27.575,168436,4647241.0,0.15,0.18,0.05,0.0
20231228,27.645,27.585,27.675,27.585,34931,967172.0,0.33,-0.12,-0.032,0.0
20231229,27.625,27.548,27.625,27.48,32064,884280.0,0.53,-0.13,-0.037,0.0
20240102,27.285,27.235,27.285,27.167,32533,885518.0,0.43,-1.14,-0.313,0.0
20240103,26.965,26.905,27.045,26.905,237246,6405592.0,0.51,-1.21,-0.33,0.0
20240104,26.975,26.865,27.005,26.865,37715,1018972.0,0.52,-0.15,-0.04,0.0
20240105,26.935,26.865,27.015,26.803,83913,2259923.0,0.79,0.0,0.0,0.0
20240108,26.985,27.375,27.375,26.985,50478,1372330.0,1.45,1.9,0.51,0.0
20240109,27.245,27.385,27.475,27.245,45182,1240422.0,0.84,0.04,0.01,0.0
20240110,27.495,27.655,27.655,27.495,39899,1099675.0,0.58,0.99,0.27,0.0
20240111,27.535,27.675,27.715,27.475,205099,5661602.0,0.87,0.07,0.02,0.0
20240112,27.715,27.713,27.715,27.625,31809,879225.0,0.33,0.14,0.038,0.0
20240116,27.635,27.625,27.745,27.565,54633,1514820.0,0.65,-0.32,-0.088,0.0
20240117,27.405,27.515,27.515,27.405,49288,1355589.0,0.4,-0.4,-0.11,0.0
20240118,27.657,27.785,27.785,27.595,27496,761621.0,0.69,0.98,0.27,0.0
20240119,27.815,28.085,28.235,27.815,80905,2263539.0,1.51,1.08,0.3,0.0
20240122,28.247,28.236,28.285,28.21,59716,1689261.0,0.27,0.54,0.151,0.0
20240123,28.185,28.245,28.245,28.165,36750,1035718.0,0.28,0.03,0.009,0.0
20240124,28.459,28.293,28.514,28.293,29481,838579.0,0.78,0.17,0.048,0.0
20240125,28.245,28.305,28.305,28.222,1067,30133.0,0.29,0.04,0.012,0.0
20240126,28.305,28.245,28.324,28.244,88077,2496051.0,0.28,-0.21,-0.06,0.0
20240129,28.354,28.594,28.594,28.339,31673,898814.0,0.9,1.24,0.349,0.0
20240130,28.644,28.596,28.644,28.554,40146,1148247.0,0.31,0.01,0.002,0.0
20240131,28.27,28.175,28.373,28.175,90293,2554905.0,0.69,-1.47,-0.421,0.0
20240201,28.374,28.561,28.584,28.314,53926,1531086.0,0.96,1.37,0.386,0.0
20240202,28.894,29.024,29.084,28.744,36188,1046317.0,1.19,1.62,0.463,0.0
20240205,29.384,29.044,29.384,28.863,41013,1187837.0,1.8,0.07,0.02,0.0
20240206,29.03,29.074,29.084,28.944,41382,1202544.0,0.48,0.1,0.03,0.0
20240207,29.324,29.395,29.444,29.324,34283,1008936.0,0.41,1.1,0.321,0.0
20240208,29.456,29.464,29.494,29.435,55697,1643445.0,0.2,0.23,0.069,0.0
20240209,29.584,29.651,29.651,29.584,36601,1085539.0,0.23,0.63,0.187,0.0
20240212,29.614,29.504,29.724,29.454,65375,1939184.0,0.91,-0.5,-0.147,0.0
20240213,28.964,29.024,29.214,28.964,33754,986408.0,0.85,-1.63,-0.48,0.0
20240214,29.284,29.354,29.354,29.154,38096,1115081.0,0.69,1.14,0.33,0.0
20240215,29.374,29.444,29.449,29.334,58916,1730463.0,0.39,0.31,0.09,0.0
20240216,29.509,29.344,29.554,29.344,47909,1415184.0,0.71,-0.34,-0.1,0.0
20240220,29.374,29.134,29.374,28.984,25300,737123.0,1.33,-0.72,-0.21,0.0
20240221,29.034,29.114,29.114,28.994,34989,1015451.0,0.41,-0.07,-0.02,0.0
20240222,29.784,29.894,29.894,29.784,35933,1072255.0,0.38,2.68,0.78,0.0
20240223,30.094,29.944,30.094,29.944,50111,1502875.0,0.5,0.17,0.05,0.0
20240226,30.013,29.974,30.034,29.954,25574,768414.0,0.27,0.1,0.03,0.0
20240227,30.044,29.974,30.044,29.854,66052,1978248.0,0.63,0.0,0.0,0.0
20240228,29.804,29.879,30.084,29.804,93231,2787655.0,0.93,-0.32,-0.095,0.0
20240229,30.024,30.034,30.094,29.894,53379,1602117.0,0.67,0.52,0.155,0.0
20240301,30.064,30.363,30.383,30.064,103527,3131691.0,1.06,1.1,0.329,0.0
20240304,30.461,30.398,30.493,30.393,30866,939537.0,0.33,0.12,0.035,0.0
20240305,29.967,29.931,30.024,29.811,36358,1092066.0,0.7,-1.54,-0.467,0.0
20240306,30.129,30.243,30.323,30.129,24584,745818.0,0.65,1.04,0.312,0.0
20240307,30.523,30.58,30.638,30.523,38217,1167610.0,0.38,1.11,0.337,0.0
20240308,30.613,30.243,30.624,30.163,58938,1791349.0,1.51,-1.1,-0.337,0.0
20240311,29.944,30.028,30.064,29.935,42582,1276515.0,0.43,-0.71,-0.215,0.0
20240312,30.473,30.569,30.569,30.418,47361,1444021.0,0.5,1.8,0.541,0.0
20240313,30.488,30.466,30.518,30.423,43248,1318614.0,0.31,-0.34,-0.103,0.0
20240314,30.393,30.384,30.393,30.263,32079,975159.0,0.43,-0.27,-0.082,0.0
20240315,30.124,30.023,30.203,30.023,34468,1041549.0,0.59,-1.19,-0.361,0.0
20240318,30.43,30.275,30.453,30.275,6131,186527.0,0.59,0.84,0.252,0.0
20240319,30.176,30.516,30.516,30.176,51749,1568187.0,1.12,0.8,0.241,0.0
20240320,30.583,30.765,30.765,30.498,25112,767007.0,0.87,0.82,0.249,0.0
20240321,30.903,30.891,30.973,30.891,22559,698867.0,0.27,0.41,0.126,0.0
20240322,30.803,30.832,30.848,30.748,72712,2240937.0,0.32,-0.19,-0.059,0.0
20240325,30.753,30.693,30.773,30.693,31889,981144.0,0.26,-0.45,-0.139,0.0
20240326,30.793,30.653,30.813,30.653,36380,1121566.0,0.52,-0.13,-0.04,0.0
20240327,30.843,30.733,30.843,30.588,28835,883999.0,0.83,0.26,0.08,0.0
20240328,30.81,30.843,30.853,30.804,92294,2846709.0,0.16,0.36,0.11,0.0
20240401,30.743,30.697,30.743,30.604,27310,838938.0,0.45,-0.47,-0.146,0.0
20240402,30.414,30.502,30.502,30.414,83025,2531753.0,0.29,-0.64,-0.195,0.0
20240403,30.483,30.602,30.685,30.483,79610,2435834.0,0.66,0.33,0.1,0.0
20240404,30.793,30.247,30.893,30.247,64830,1999328.0,2.11,-1.16,-0.355,0.0
20240405,30.608,30.716,30.743,30.608,4620,141710.0,0.45,1.55,0.469,0.0
20240408,30.773,30.693,30.773,30.683,42895,1318209.0,0.29,-0.07,-0.023,0.0
20240409,30.643,30.646,30.646,30.383,83267,2546742.0,0.86,-0.15,-0.047,0.0
20240410,30.473,30.413,30.543,30.353,31107,948638.0,0.62,-0.76,-0.233,0.0
20240411,30.333,30.593,30.643,30.321,38684,1177687.0,1.06,0.59,0.18,0.0
20240412,30.293,30.293,30.323,30.034,48438,1467711.0,0.94,-0.98,-0.3,0.0
20240415,30.393,29.689,30.393,29.689,25815,777864.0,2.32,-1.99,-0.604,0.0
20240416,29.664,29.704,29.804,29.614,52448,1559785.0,0.64,0.05,0.015,0.0
20240417,29.724,29.494,29.724,29.484,35599,1058443.0,0.81,-0.71,-0.21,0.0
20240418,29.564,29.404,29.604,29.394,39387,1163344.0,0.71,-0.31,-0.09,0.0
20240419,29.394,28.934,29.394,28.934,20414,593505.0,1.56,-1.6,-0.47,0.0
20240422,29.034,29.221,29.315,28.954,21691,629073.0,1.25,0.99,0.287,0.0
20240423,29.334,29.629,29.664,29.334,29118,860616.0,1.13,1.4,0.408,0.0
20240424,29.684,29.685,29.685,29.596,32252,957717.0,0.3,0.19,0.056,0.0
20240425,29.23,29.539,29.644,29.207,58491,1714467.0,1.47,-0.49,-0.146,0.0
20240426,29.694,29.754,29.829,29.694,29744,887105.0,0.46,0.73,0.215,0.0
20240429,29.694,29.731,29.731,29.624,52795,1568837.0,0.36,-0.08,-0.023,0.0
20240430,29.674,29.414,29.674,29.414,25122,743038.0,0.87,-1.07,-0.317,0.0
20240501,29.314,29.274,29.314,29.234,33883,993671.0,0.27,-0.48,-0.14,0.0
20240502,29.234,29.502,29.557,29.234,40500,1189154.0,1.1,0.78,0.228,0.0
20240503,29.859,29.99,30.014,29.859,33237,995161.0,0.53,1.65,0.488,0.0
20240506,30.183,30.353,30.353,30.183,31397,949811.0,0.57,1.21,0.363,0.0
20240507,30.373,30.513,30.548,30.373,37355,1139940.0,0.58,0.53,0.16,0.0
20240508,30.403,30.403,30.528,30.403,34156,1042980.0,0.41,-0.36,-0.11,0.0
20240509,30.493,30.603,30.623,30.493,43898,1344092.0,0.43,0.66,0.2,0.0
20240510,30.718,30.753,30.753,30.693,50457,1550549.0,0.2,0.49,0.15,0.0
20240513,30.664,30.593,30.668,30.587,27196,834055.0,0.26,-0.52,-0.16,0.0
20240514,30.613,30.76,30.76,30.523,11765,360209.0,0.77,0.55,0.167,0.0
20240515,31.038,31.323,31.323,31.038,57828,1804400.0,0.93,1.83,0.563,0.0
20240516,31.298,31.093,31.303,31.093,34559,1081952.0,0.67,-0.73,-0.23,0.0
20240517,31.143,31.173,31.203,31.103,39342,1226282.0,0.32,0.26,0.08,0.0
20240520,31.373,31.293,31.373,31.293,43740,1372780.0,0.26,0.38,0.12,0.0
20240521,31.298,31.313,31.313,31.233,23570,738384.0,0.26,0.06,0.02,0.0
20240522,31.343,31.223,31.343,31.223,36522,1145212.0,0.38,-0.29,-0.09,0.0
