trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230816,24.224,23.918,24.224,23.918,18007,450715.0,0.0,0.0,0.0,0.0
20230817,23.973,23.686,23.973,23.686,4327,107134.0,1.2,-0.97,-0.232,0.0
20230818,23.634,23.766,23.766,23.634,4327,105692.0,0.56,0.34,0.08,0.0
20230821,23.779,24.063,24.063,23.779,8205,201691.0,1.19,1.25,0.297,0.0
20230822,24.166,23.995,24.166,23.963,10215,255028.0,0.84,-0.28,-0.068,0.0
20230823,24.389,24.28,24.389,24.28,8209,206844.0,0.45,1.19,0.285,0.0
20230824,24.302,23.964,24.302,23.905,5600,140196.0,1.64,-1.3,-0.316,0.0
20230825,24.176,24.131,24.176,24.131,4005,100044.0,0.19,0.7,0.167,0.0
20230828,24.34,24.149,24.34,24.149,8002,201250.0,0.79,0.07,0.018,0.0
20230829,24.321,24.315,24.369,24.282,14101,354307.0,0.36,0.69,0.166,0.0
20230830,24.34,24.331,24.34,24.331,8006,201350.0,0.04,0.07,0.016,0.0
20230831,24.398,24.269,24.398,24.269,4048,102050.0,0.53,-0.25,-0.062,0.0
20230901,24.573,24.504,24.573,24.504,4003,101636.0,0.28,0.97,0.235,0.0
20230905,24.476,24.074,24.476,24.074,10008,253102.0,1.64,-1.75,-0.43,0.0
20230906,24.089,23.882,24.089,23.882,8001,199144.0,0.86,-0.8,-0.192,0.0
20230907,23.924,23.75,23.924,23.75,4001,98904.0,0.73,-0.55,-0.132,0.0
20230908,23.856,23.726,23.856,23.726,4003,98673.0,0.55,-0.1,-0.024,0.0
20230911,23.866,23.82,23.866,23.82,8001,197304.0,0.19,0.4,0.094,0.0
20230912,23.915,23.712,23.915,23.712,10004,247198.0,0.85,-0.45,-0.108,0.0
20230913,23.74,23.458,23.74,23.458,8000,196240.0,1.19,-1.07,-0.254,0.0
20230914,23.624,23.568,23.644,23.568,4400,107411.0,0.32,0.47,0.11,0.0
20230915,23.644,23.393,23.644,23.393,4015,98086.0,1.07,-0.74,-0.175,0.0
20230918,23.373,23.041,23.373,23.041,8101,195626.0,1.42,-1.5,-0.352,0.0
20230919,23.073,23.058,23.092,23.058,8000,190872.0,0.15,0.07,0.017,0.0
20230920,23.16,22.687,23.16,22.687,8000,191440.0,2.05,-1.61,-0.371,0.0
20230921,22.434,22.439,22.439,22.434,4001,92743.0,0.02,-1.09,-0.248,0.0
20230922,22.55,22.38,22.55,22.38,4001,93223.0,0.76,-0.26,-0.059,0.0
20230925,22.298,22.385,22.385,22.298,6009,138447.0,0.39,0.02,0.005,0.0
20230927,22.56,22.393,22.56,22.393,11409,265943.0,0.75,0.04,0.008,0.0
20230928,22.556,22.556,22.556,22.556,32,745.0,0.0,0.73,0.163,0.0
20230929,22.647,22.424,22.647,22.424,407,9523.0,0.99,-0.59,-0.132,0.0
20231002,21.985,21.985,21.985,21.985,66,1499.0,0.0,-1.96,-0.439,0.0
20231004,21.727,21.787,21.787,21.727,436,9792.0,0.27,-0.9,-0.198,0.0
20231005,22.371,22.371,22.371,22.371,2,46.0,0.0,2.68,0.584,0.0
20231006,22.414,22.414,22.414,22.414,46,1065.0,0.0,0.19,0.043,0.0
20231011,22.361,22.361,22.361,22.361,2,46.0,0.0,-0.24,-0.053,0.0
20231012,22.231,21.862,22.231,21.862,438,10059.0,1.65,-2.23,-0.499,0.0
20231013,22.024,22.024,22.024,22.024,1,22.0,0.0,0.74,0.162,0.0
20231017,22.405,22.382,22.405,22.382,127,2940.0,0.1,1.63,0.358,0.0
20231019,21.351,21.338,21.351,21.338,316,6971.0,0.06,-4.66,-1.044,0.0
20231020,21.466,21.466,21.466,21.466,1,22.0,0.0,0.6,0.128,0.0
20231023,21.132,21.132,21.132,21.132,1,21.0,0.0,-1.56,-0.334,0.0
20231025,21.311,20.909,21.311,20.908,870,18980.0,1.91,-1.06,-0.223,0.0
20231026,21.058,20.928,21.058,20.928,118,2567.0,0.62,0.09,0.019,0.0
20231030,20.779,20.779,20.779,20.779,350,7514.0,0.0,-0.71,-0.149,0.0
20231031,21.108,21.301,21.301,21.108,1101,24099.0,0.93,2.51,0.522,0.0
20231101,21.379,21.493,21.553,21.379,22737,505139.0,0.82,0.9,0.192,0.0
20231102,21.834,21.776,21.901,21.776,22526,508474.0,0.58,1.32,0.283,0.0
20231103,22.472,22.477,22.579,22.424,22502,523516.0,0.71,3.22,0.701,0.0
20231106,22.56,22.264,22.56,22.264,21001,488763.0,1.32,-0.95,-0.213,0.0
20231107,22.25,22.479,22.511,22.25,22002,510057.0,1.17,0.97,0.215,0.0
20231108,22.443,22.078,22.443,22.076,21300,487753.0,1.63,-1.78,-0.401,0.0
20231109,22.018,21.441,22.018,21.441,33870,759689.0,2.61,-2.89,-0.637,0.0
20231110,21.001,21.359,21.359,21.001,108,2343.0,1.67,-0.38,-0.082,0.0
20231113,21.292,21.411,21.411,21.253,34500,760516.0,0.74,0.24,0.052,0.0
20231114,21.814,22.11,22.11,21.814,102,2299.0,1.38,3.26,0.699,0.0
20231115,22.327,22.114,22.327,22.114,239027,5514330.0,0.96,0.02,0.004,0.0
20231116,21.843,21.844,21.844,21.843,100,2257.0,0.0,-1.22,-0.27,0.0
20231120,22.405,22.38,22.405,22.361,1350,31214.0,0.2,2.45,0.536,0.0
20231121,22.172,22.117,22.172,22.117,465,10647.0,0.25,-1.18,-0.263,0.0
20231122,22.172,22.324,22.324,22.163,500,11452.0,0.73,0.94,0.207,0.0
20231124,22.521,22.579,22.579,22.521,262,6096.0,0.26,1.14,0.255,0.0
20231127,22.361,22.404,22.404,22.279,1821,42071.0,0.55,-0.78,-0.175,0.0
20231128,22.182,22.24,22.26,22.182,1902,43690.0,0.35,-0.73,-0.164,0.0
20231129,22.618,22.453,22.743,22.376,2903,67486.0,1.65,0.96,0.213,0.0
20231130,22.966,23.256,23.256,22.966,803,19212.0,1.29,3.58,0.803,0.0
20231201,23.672,23.698,23.698,23.672,354,8658.0,0.11,1.9,0.442,0.0
20231204,23.363,23.827,23.827,23.343,403,9770.0,2.04,0.54,0.129,0.0
20231205,23.692,23.566,23.692,23.566,527,12887.0,0.53,-1.1,-0.261,0.0
20231206,23.818,23.818,23.818,23.818,44,1082.0,0.0,1.07,0.252,0.0
20231207,23.934,23.992,23.992,23.924,478,11819.0,0.29,0.73,0.174,0.0
20231208,23.779,23.779,23.779,23.779,52,1277.0,0.0,-0.89,-0.213,0.0
20231211,23.673,23.808,23.808,23.673,412,10077.0,0.57,0.12,0.029,0.0
20231213,24.1,24.69,24.69,24.1,405,10122.0,2.48,3.7,0.882,0.0
20231214,25.114,25.085,25.114,25.033,1032,26607.0,0.33,1.6,0.395,0.0
20231215,24.756,24.756,24.756,24.756,50,1272.0,0.0,-1.31,-0.329,0.0
20231218,24.61,24.659,24.659,24.61,1094,27667.0,0.2,-0.39,-0.097,0.0
20231219,25.11,25.126,25.126,25.11,217,5600.0,0.06,1.89,0.467,0.0
20231220,24.27,24.27,24.27,24.27,60,1496.0,0.0,-3.41,-0.856,0.0
20231221,24.542,24.698,24.698,24.542,184,4640.0,0.64,1.76,0.428,0.0
20231222,25.233,25.262,25.262,25.233,102,2644.0,0.12,2.28,0.564,0.0
20231226,25.671,25.661,25.671,25.661,104,2743.0,0.04,1.58,0.399,0.0
20231227,25.622,25.895,25.895,25.622,909,23992.0,1.06,0.91,0.234,0.0
20231228,25.992,25.904,26.002,25.904,2063,55093.0,0.38,0.03,0.009,0.0
20231229,25.688,25.688,25.688,25.688,250,6599.0,0.0,-0.83,-0.216,0.0
20240102,25.894,25.894,25.894,25.894,9,239.0,0.0,0.8,0.206,0.0
20240103,25.494,25.588,25.749,25.494,900,23648.0,0.98,-1.18,-0.306,0.0
20240104,25.759,25.709,25.759,25.709,200,5294.0,0.2,0.47,0.121,0.0
20240105,25.496,25.503,25.503,25.496,254,6654.0,0.03,-0.8,-0.206,0.0
20240108,25.311,26.07,26.07,25.311,322,8419.0,2.98,2.22,0.567,0.0
20240109,25.986,25.986,25.986,25.986,93,2483.0,0.0,-0.32,-0.084,0.0
20240110,25.875,25.928,25.942,25.875,579,15419.0,0.26,-0.22,-0.058,0.0
20240111,25.71,25.782,25.817,25.593,1230,32432.0,0.86,-0.56,-0.146,0.0
20240112,25.846,25.797,25.846,25.797,370,9821.0,0.19,0.06,0.015,0.0
20240116,25.592,25.591,25.593,25.561,487,12802.0,0.12,-0.8,-0.206,0.0
20240117,25.175,25.241,25.241,25.174,510,13193.0,0.26,-1.37,-0.35,0.0
20240118,25.014,25.014,25.014,25.014,22,565.0,0.0,-0.9,-0.227,0.0
20240119,24.77,25.13,25.13,24.77,513,13204.0,1.44,0.46,0.116,0.0
20240122,25.175,25.272,25.272,25.175,104,2690.0,0.39,0.57,0.142,0.0
20240123,25.301,25.301,25.301,25.301,178,4628.0,0.0,0.11,0.029,0.0
20240124,25.204,25.213,25.213,25.204,195,5050.0,0.04,-0.35,-0.088,0.0
20240125,25.457,25.457,25.457,25.457,54,1412.0,0.0,0.97,0.244,0.0
