trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20060621,9.503,9.627,9.693,9.503,226600,0.0,2.0,1.3,0.124,0.0
20060622,9.55,9.547,9.55,9.477,50500,0.0,0.76,-0.83,-0.08,0.0
20060623,9.508,9.513,9.605,9.473,80600,0.0,1.38,-0.36,-0.034,0.0
20060626,9.519,9.563,9.563,9.461,191300,0.0,1.07,0.53,0.05,0.0
20060627,9.57,9.354,9.57,9.343,78900,0.0,2.37,-2.19,-0.209,0.0
20060628,9.371,9.422,9.434,9.332,48700,0.0,1.09,0.73,0.068,0.0
20060629,9.512,9.798,9.801,9.512,126100,0.0,3.07,3.99,0.376,0.0
20060630,9.854,9.794,9.854,9.76,38800,0.0,0.96,-0.04,-0.004,0.0
20060703,9.814,9.874,9.874,9.814,27600,0.0,0.61,0.82,0.08,0.0
20060705,9.759,9.739,9.778,9.7,48700,0.0,0.79,-1.37,-0.135,0.0
20060706,9.811,9.872,9.913,9.802,95600,0.0,1.14,1.37,0.133,0.0
20060707,9.76,9.64,9.778,9.598,204700,0.0,1.82,-2.35,-0.232,0.0
20060710,9.695,9.649,9.774,9.622,103600,0.0,1.58,0.09,0.009,0.0
20060711,9.638,9.7,9.719,9.524,170600,0.0,2.02,0.53,0.051,0.0
20060712,9.707,9.466,9.708,9.465,110000,0.0,2.51,-2.41,-0.234,0.0
20060713,9.385,9.173,9.394,9.163,210500,0.0,2.44,-3.1,-0.293,0.0
20060714,9.15,9.005,9.15,8.961,194100,0.0,2.06,-1.83,-0.168,0.0
20060717,9.076,9.018,9.098,8.973,167500,0.0,1.39,0.14,0.013,0.0
20060718,9.128,9.103,9.128,8.915,143100,0.0,2.36,0.94,0.085,0.0
20060719,9.244,9.454,9.508,9.201,185600,0.0,3.37,3.86,0.351,0.0
20060720,9.508,9.331,9.519,9.314,73200,0.0,2.17,-1.3,-0.123,0.0
20060721,9.126,9.216,9.324,9.126,86900,0.0,2.12,-1.23,-0.115,0.0
20060724,9.35,9.508,9.526,9.3,173700,0.0,2.45,3.17,0.292,0.0
20060725,9.512,9.613,9.66,9.433,221700,0.0,2.39,1.1,0.105,0.0
20060726,9.579,9.609,9.693,9.511,96600,0.0,1.89,-0.04,-0.004,0.0
20060727,9.725,9.606,9.747,9.578,122800,0.0,1.76,-0.03,-0.003,0.0
20060728,9.74,9.799,9.847,9.703,98900,0.0,1.5,2.01,0.193,0.0
20060731,9.733,9.747,9.79,9.729,46900,0.0,0.62,-0.53,-0.052,0.0
20060801,9.7,9.641,9.7,9.562,46100,0.0,1.42,-1.09,-0.106,0.0
20060802,9.729,9.752,9.817,9.691,75300,0.0,1.31,1.15,0.111,0.0
20060803,9.687,9.834,9.884,9.687,87000,0.0,2.02,0.84,0.082,0.0
20060804,9.949,9.846,10.042,9.752,149600,0.0,2.95,0.12,0.012,0.0
20060807,9.819,9.803,9.825,9.754,11600,0.0,0.72,-0.44,-0.043,0.0
20060808,9.826,9.712,9.897,9.662,152700,0.0,2.4,-0.93,-0.091,0.0
20060809,9.831,9.55,9.842,9.536,81400,0.0,3.15,-1.67,-0.162,0.0
20060810,9.552,9.629,9.673,9.499,78200,0.0,1.82,0.83,0.079,0.0
20060811,9.61,9.581,9.61,9.507,59400,0.0,1.07,-0.5,-0.048,0.0
20060814,9.673,9.587,9.794,9.572,93500,0.0,2.32,0.06,0.006,0.0
20060815,9.76,9.803,9.865,9.699,138800,0.0,1.73,2.25,0.216,0.0
20060816,9.884,9.994,10.007,9.872,705700,0.0,1.38,1.95,0.191,0.0
20060817,9.982,10.025,10.08,9.692,162700,0.0,3.88,0.31,0.031,0.0
20060818,10.049,10.089,10.097,9.992,58800,0.0,1.05,0.64,0.064,0.0
20060821,10.017,10.038,10.049,9.999,45600,0.0,0.5,-0.51,-0.051,0.0
20060822,10.022,10.019,10.098,9.945,57400,0.0,1.52,-0.19,-0.019,0.0
20060823,10.03,9.928,10.072,9.888,66200,0.0,1.84,-0.91,-0.091,0.0
20060824,9.975,9.955,9.992,9.908,59400,0.0,0.85,0.27,0.027,0.0
20060825,9.915,9.941,9.972,9.904,38400,0.0,0.68,-0.14,-0.014,0.0
20060828,9.936,10.043,10.105,9.925,53300,0.0,1.81,1.03,0.102,0.0
20060829,10.035,10.085,10.085,9.952,83600,0.0,1.32,0.42,0.042,0.0
20060830,10.082,10.106,10.129,10.059,51800,0.0,0.69,0.21,0.021,0.0
20060831,10.109,10.108,10.135,10.088,24400,0.0,0.47,0.02,0.002,0.0
20060901,10.16,10.235,10.258,10.124,45500,0.0,1.33,1.26,0.127,0.0
20060905,10.198,10.25,10.273,10.194,77000,0.0,0.77,0.15,0.015,0.0
20060906,10.171,10.125,10.19,10.11,49200,0.0,0.78,-1.22,-0.125,0.0
20060907,10.068,10.0,10.102,9.982,76200,0.0,1.19,-1.23,-0.125,0.0
20060908,10.035,10.101,10.123,10.021,30400,0.0,1.02,1.01,0.101,0.0
20060911,10.069,10.097,10.152,10.018,20700,0.0,1.33,-0.04,-0.004,0.0
20060912,10.137,10.277,10.398,10.135,45300,0.0,2.6,1.78,0.18,0.0
20060913,10.261,10.364,10.412,10.261,43700,0.0,1.47,0.85,0.087,0.0
20060914,10.344,10.344,10.384,10.293,44100,0.0,0.88,-0.19,-0.02,0.0
20060915,10.478,10.462,10.491,10.423,75200,0.0,0.66,1.14,0.118,0.0
20060918,10.384,10.406,10.457,10.356,38500,0.0,0.97,-0.54,-0.056,0.0
20060919,10.398,10.384,10.398,10.266,33700,0.0,1.27,-0.21,-0.022,0.0
20060920,10.465,10.525,10.568,10.436,196700,0.0,1.27,1.36,0.141,0.0
20060921,10.538,10.364,10.538,10.313,53300,0.0,2.14,-1.53,-0.161,0.0
20060922,10.34,10.297,10.348,10.254,56700,0.0,0.91,-0.65,-0.067,0.0
20060925,10.377,10.434,10.493,10.269,42600,0.0,2.18,1.33,0.137,0.0
20060926,10.418,10.587,10.647,10.418,50900,0.0,2.19,1.47,0.153,0.0
20060927,10.591,10.626,10.673,10.564,106400,0.0,1.03,0.37,0.039,0.0
20060928,10.674,10.652,10.677,10.565,52100,0.0,1.05,0.24,0.026,0.0
20060929,10.656,10.583,10.703,10.583,69500,0.0,1.13,-0.65,-0.069,0.0
20061002,10.572,10.576,10.661,10.532,58400,0.0,1.22,-0.07,-0.007,0.0
20061003,10.525,10.682,10.738,10.525,58500,0.0,2.01,1.0,0.106,0.0
