trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250723,24.683,24.683,24.683,24.683,1011,24966.0,0.0,0.0,0.0,0.0
20250724,24.653,24.653,24.653,24.653,1,25.0,0.0,-0.12,-0.03,0.0
20250725,24.67,24.758,24.758,24.67,120,2960.0,0.36,0.43,0.105,0.0
20250728,24.172,24.172,24.172,24.172,1,25.0,0.0,-2.37,-0.586,0.0
20250730,25.147,25.147,25.147,25.147,1,26.0,0.0,4.03,0.975,0.0
20250801,25.493,25.493,25.493,25.493,20,504.0,0.0,1.38,0.346,0.0
20250804,26.343,26.343,26.343,26.343,12,313.0,0.0,3.33,0.85,0.0
20250805,25.794,25.794,25.794,25.794,1,26.0,0.0,-2.08,-0.549,0.0
20250806,25.378,25.378,25.378,25.378,21,537.0,0.0,-1.61,-0.416,0.0
20250808,25.68,25.68,25.68,25.68,1,26.0,0.0,1.19,0.302,0.0
20250811,25.518,25.518,25.518,25.518,1,25.0,0.0,-0.63,-0.162,0.0
20250813,25.805,25.805,25.805,25.805,1,26.0,0.0,1.12,0.287,0.0
20250814,25.489,25.489,25.489,25.489,1,26.0,0.0,-1.22,-0.316,0.0
20250815,25.304,25.304,25.304,25.304,1,25.0,0.0,-0.73,-0.185,0.0
20250818,25.125,25.125,25.125,25.125,14,354.0,0.0,-0.71,-0.179,0.0
20250819,25.566,25.566,25.566,25.566,5,127.0,0.0,1.76,0.441,0.0
20250820,25.62,25.62,25.62,25.62,9,228.0,0.0,0.21,0.054,0.0
20250821,25.265,25.265,25.265,25.265,3,77.0,0.0,-1.39,-0.355,0.0
20250822,25.517,25.517,25.517,25.517,7,179.0,0.0,1.0,0.252,0.0
20250825,25.15,24.977,25.15,24.977,104,2616.0,0.68,-2.12,-0.54,0.0
20250826,25.075,25.075,25.075,25.075,1,25.0,0.0,0.39,0.098,0.0
20250827,25.03,25.095,25.095,25.03,101,2528.0,0.26,0.08,0.02,0.0
20250828,25.064,24.706,25.064,24.706,194,4847.0,1.43,-1.55,-0.389,0.0
20250902,24.289,24.289,24.289,24.289,13,311.0,0.0,-1.69,-0.417,0.0
20250903,24.169,24.169,24.169,24.169,8,193.0,0.0,-0.49,-0.12,0.0
