trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20170807,69.466,69.548,69.615,69.428,221207,20538804.0,0.84,211.39,47.213,0.0
20170808,69.263,69.511,69.773,69.263,363912,33803276.0,0.73,-0.05,-0.037,0.0
20170809,69.361,69.323,69.481,69.173,441750,40880583.0,0.44,-0.27,-0.188,0.0
20170810,68.979,68.679,69.106,68.634,756335,69447156.0,0.68,-0.93,-0.644,0.0
20170811,68.537,68.484,68.694,68.357,527458,48269564.0,0.49,-0.28,-0.195,0.0
20170814,68.791,68.949,69.106,68.619,658691,60625820.0,0.71,0.68,0.465,0.0
20170815,68.971,68.829,68.971,68.776,502638,46196649.0,0.28,-0.17,-0.12,0.0
20170816,68.874,68.919,69.084,68.874,319034,29380546.0,0.31,0.13,0.09,0.0
20170817,68.687,68.08,68.919,68.057,548355,50093830.0,1.25,-1.22,-0.839,0.0
20170818,67.848,68.072,68.365,67.765,663597,60336415.0,0.88,-0.01,-0.008,0.0
20170821,67.915,68.125,68.192,67.848,539591,49053769.0,0.51,0.08,0.053,0.0
20170822,68.162,68.634,68.702,68.155,630024,57576053.0,0.8,0.75,0.509,0.0
20170823,68.417,68.604,68.687,68.372,343098,31419988.0,0.46,-0.04,-0.03,0.0
20170824,68.642,68.492,68.776,68.492,278835,25548064.0,0.41,-0.16,-0.112,0.0
20170825,68.657,68.844,69.054,68.657,361587,33271098.0,0.58,0.51,0.352,0.0
20170828,68.919,68.956,69.099,68.702,284217,26127753.0,0.58,0.16,0.112,0.0
20170829,68.582,68.836,68.881,68.574,409980,37647655.0,0.45,-0.17,-0.12,0.0
20170830,68.814,68.919,69.009,68.657,343610,31603897.0,0.51,0.12,0.083,0.0
20170831,68.956,68.949,69.151,68.949,349571,32211911.0,0.29,0.04,0.03,0.0
20170901,69.046,69.233,69.353,68.979,347278,32111775.0,0.54,0.41,0.284,0.0
20170905,69.114,68.949,69.233,68.687,813652,74874372.0,0.79,-0.41,-0.284,0.0
20170906,69.046,69.091,69.226,69.046,367153,33873884.0,0.26,0.21,0.142,0.0
20170907,69.061,69.046,69.129,68.814,330592,30438527.0,0.46,-0.07,-0.045,0.0
20170908,69.016,69.293,69.368,68.874,351014,32417241.0,0.72,0.36,0.247,0.0
20170911,69.376,69.908,69.96,69.376,532584,49650058.0,0.84,0.89,0.615,0.0
20170912,70.065,69.93,70.117,69.743,611908,57142355.0,0.53,0.03,0.022,0.0
20170913,69.765,69.885,70.005,69.765,559641,52213525.0,0.34,-0.06,-0.045,0.0
20170914,69.735,70.102,70.102,69.735,814658,76241627.0,0.53,0.31,0.217,0.0
20170915,69.982,70.245,70.342,69.982,472722,44328087.0,0.51,0.2,0.143,0.0
20170918,70.402,70.305,70.529,70.117,456760,42858000.0,0.59,0.09,0.06,0.0
20170919,70.409,70.312,70.417,70.275,367552,34511611.0,0.2,0.01,0.007,0.0
20170920,70.357,70.364,70.499,70.162,326919,30689233.0,0.48,0.07,0.052,0.0
20170921,70.192,70.185,70.409,70.17,369953,34697751.0,0.34,-0.25,-0.179,0.0
20170922,70.237,70.17,70.275,70.117,485054,45457296.0,0.23,-0.02,-0.015,0.0
20170925,70.185,70.657,70.657,70.177,487625,45877939.0,0.68,0.69,0.487,0.0
20170926,70.738,70.572,70.753,70.572,409342,38315708.0,0.26,-0.12,-0.085,0.0
20170927,70.519,70.542,70.73,70.24,375508,35063795.0,0.69,-0.04,-0.03,0.0
20170928,70.217,70.798,70.806,70.217,438807,41057117.0,0.83,0.36,0.256,0.0
20170929,70.768,70.693,70.821,70.625,396851,37176854.0,0.28,-0.15,-0.105,0.0
20171002,70.768,70.949,70.949,70.504,699118,65535300.0,0.63,0.36,0.256,0.0
20171003,70.949,70.995,71.002,70.632,459717,43150343.0,0.52,0.06,0.046,0.0
20171004,71.017,71.176,71.183,70.836,350378,32990663.0,0.49,0.25,0.181,0.0
20171005,71.221,71.266,71.372,71.032,499958,47186496.0,0.48,0.13,0.09,0.0
20171006,70.987,70.987,71.093,70.874,364679,34280380.0,0.31,-0.39,-0.279,0.0
