trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20081119,272.108,233.447,289.247,231.796,560900,0.0,0.0,0.0,0.0,0.0
20081120,227.639,154.303,227.639,151.627,854700,0.0,32.56,-33.9,-79.144,0.0
20081121,170.189,206.287,209.134,159.427,1125200,0.0,32.21,33.69,51.984,0.0
20081124,228.323,240.792,261.233,207.369,1108000,0.0,26.11,16.73,34.505,0.0
20081125,252.18,250.528,262.827,231.853,601800,0.0,12.86,4.04,9.736,0.0
20081126,243.411,295.51,296.022,239.141,676800,0.0,22.7,17.95,44.982,0.0
20081128,281.845,281.047,283.894,264.421,181900,0.0,6.59,-4.89,-14.463,0.0
20081201,245.746,196.437,253.888,194.217,702700,0.0,21.23,-30.11,-84.61,0.0
20081202,208.508,214.43,216.878,193.59,959100,0.0,11.86,9.16,17.993,0.0
20081203,195.128,220.237,220.978,191.654,1320800,0.0,13.68,2.71,5.807,0.0
20081204,207.711,177.021,215.796,165.633,1339000,0.0,22.78,-19.62,-43.216,0.0
20081205,164.893,185.049,186.131,145.762,2187100,0.0,22.8,4.54,8.028,0.0
20081208,207.255,209.305,219.668,201.22,1986700,0.0,9.97,13.11,24.256,0.0
20081209,202.7,210.216,228.209,199.967,1608000,0.0,13.49,0.44,0.911,0.0
20081210,225.874,242.557,246.657,220.807,2168900,0.0,12.3,15.38,32.341,0.0
20081211,248.308,239.653,267.496,229.803,2021500,0.0,15.54,-1.2,-2.904,0.0
20081212,218.643,231.682,239.881,209.248,1399200,0.0,12.78,-3.33,-7.971,0.0
20081215,251.155,231.91,252.806,217.333,1746300,0.0,15.31,0.1,0.228,0.0
20081216,242.614,252.123,256.222,232.536,1162100,0.0,10.21,8.72,20.213,0.0
20081217,251.781,244.436,264.364,241.191,1313700,0.0,9.19,-3.05,-7.687,0.0
20081218,245.29,200.423,245.29,195.469,1508700,0.0,20.38,-18.01,-44.013,0.0
20081219,205.49,200.366,218.358,198.031,1172900,0.0,10.14,-0.03,-0.057,0.0
20081222,205.035,186.302,207.141,174.345,1164400,0.0,16.37,-7.02,-14.064,0.0
20081223,188.409,181.633,193.533,178.217,979500,0.0,8.22,-2.51,-4.669,0.0
20081224,179.356,183.284,185.562,176.736,274900,0.0,4.86,0.91,1.651,0.0
20081226,188.238,192.736,195.355,184.252,673500,0.0,6.06,5.16,9.452,0.0
20081229,203.554,202.7,206.117,194.729,964400,0.0,5.91,5.17,9.964,0.0
20081230,202.643,215.398,216.366,198.316,772600,0.0,8.9,6.26,12.698,0.0
20081231,213.917,221.945,230.714,210.501,1008200,0.0,9.38,3.04,6.547,0.0
20090102,224.906,254.685,259.069,224.906,1496600,0.0,15.39,14.75,32.74,0.0
20090105,255.084,266.984,278.713,249.959,2252600,0.0,11.29,4.83,12.299,0.0
20090106,276.094,273.304,292.606,267.154,2635300,0.0,9.53,2.37,6.32,0.0
20090107,258.614,240.223,261.631,233.447,2101500,0.0,10.31,-12.1,-33.081,0.0
20090108,232.536,249.674,249.845,232.308,1555700,0.0,7.3,3.93,9.451,0.0
20090109,246.258,225.305,249.959,223.141,1936600,0.0,10.74,-9.76,-24.369,0.0
20090112,220.807,203.896,220.807,199.284,1643800,0.0,9.55,-9.5,-21.409,0.0
20090113,202.814,215.625,219.554,201.106,2319500,0.0,9.05,5.75,11.729,0.0
20090114,209.362,188.181,210.672,182.203,3595200,0.0,13.2,-12.73,-27.444,0.0
20090115,187.555,194.273,195.583,170.245,2630400,0.0,13.46,3.24,6.092,0.0
20090116,201.049,200.252,210.102,188.181,2952500,0.0,11.28,3.08,5.979,0.0
20090120,187.099,172.637,204.352,171.441,2502800,0.0,16.43,-13.79,-27.615,0.0
20090121,176.964,202.7,204.181,175.427,3084800,0.0,16.66,17.41,30.063,0.0
20090122,192.394,187.896,199.284,176.11,3367700,0.0,11.43,-7.3,-14.804,0.0
20090123,176.623,200.48,207.825,171.897,3385900,0.0,19.12,6.7,12.584,0.0
20090126,202.131,210.045,224.735,199.853,3335600,0.0,12.41,4.77,9.565,0.0
20090127,210.102,209.818,216.081,200.992,2112800,0.0,7.18,-0.11,-0.227,0.0
20090128,221.604,225.76,228.778,209.59,2476900,0.0,9.15,7.6,15.942,0.0
20090129,212.266,201.334,215.853,199.967,2137100,0.0,7.04,-10.82,-24.426,0.0
20090130,211.924,195.811,214.43,192.964,2486900,0.0,10.66,-2.74,-5.523,0.0
20090202,187.896,187.669,192.565,181.69,2317900,0.0,5.55,-4.16,-8.142,0.0
20090203,193.362,196.836,200.423,186.131,2044200,0.0,7.62,4.88,9.167,0.0
20090204,202.757,200.309,209.362,195.526,2828200,0.0,7.03,1.76,3.473,0.0
20090205,198.487,216.081,218.301,192.508,3230200,0.0,12.88,7.87,15.772,0.0
20090206,210.558,227.355,229.803,209.818,2865200,0.0,9.25,5.22,11.274,0.0
20090209,233.333,228.379,241.76,222.856,2461200,0.0,8.31,0.45,1.024,0.0
20090210,233.048,197.633,236.692,192.508,4560700,0.0,19.35,-13.46,-30.746,0.0
20090211,203.953,189.605,205.946,179.754,3003900,0.0,13.25,-4.06,-8.028,0.0
20090212,183.911,191.142,191.768,173.605,3296400,0.0,9.58,0.81,1.537,0.0
20090213,188.921,189.605,198.999,185.334,1971700,0.0,7.15,-0.8,-1.537,0.0
20090217,178.388,155.1,179.242,154.872,4243000,0.0,12.85,-18.2,-34.505,0.0
20090218,160.566,153.62,160.68,148.951,2398000,0.0,7.56,-0.95,-1.48,0.0
20090219,160.281,154.474,162.274,152.31,3343000,0.0,6.49,0.56,0.854,0.0
20090220,146.844,143.655,149.748,133.862,4016200,0.0,10.28,-7.0,-10.819,0.0
20090223,149.577,125.606,152.708,123.841,3966700,0.0,20.09,-12.56,-18.049,0.0
20090224,128.965,142.346,144.111,126.859,4094600,0.0,13.74,13.33,16.74,0.0
20090225,145.136,139.784,149.178,130.787,4745400,0.0,12.92,-1.8,-2.562,0.0
20090226,146.844,138.189,153.506,138.075,3307300,0.0,11.04,-1.14,-1.595,0.0
20090227,130.218,127.713,140.41,125.264,5791800,0.0,10.96,-7.58,-10.476,0.0
20090302,120.083,101.635,120.994,100.496,7622000,0.0,16.05,-20.42,-26.078,0.0
20090303,108.581,102.546,111.03,99.642,6041500,0.0,11.2,0.9,0.911,0.0
20090304,111.428,115.642,120.823,111.2,6664200,0.0,9.38,12.77,13.096,0.0
20090305,108.752,99.471,110.916,96.795,7359100,0.0,12.21,-13.98,-16.171,0.0
