trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220111,27.939,28.323,28.323,27.939,50101,1484993.0,1.37,1.37,0.384,0.0
20220112,28.235,28.235,28.235,28.235,9,269.0,0.0,-0.31,-0.088,0.0
20220113,28.192,28.192,28.192,28.192,53,1585.0,0.0,-0.15,-0.043,0.0
20220114,28.326,28.326,28.326,28.326,2,60.0,0.0,0.48,0.134,0.0
20220119,27.142,27.142,27.142,27.142,42,1209.0,0.0,-4.18,-1.184,0.0
20220120,26.51,26.51,26.51,26.51,21,590.0,0.0,-2.33,-0.632,0.0
20220121,26.271,26.271,26.271,26.271,20,557.0,0.0,-0.9,-0.239,0.0
20220124,26.828,26.828,26.828,26.828,81,2305.0,0.0,2.12,0.557,0.0
20220125,26.503,26.503,26.503,26.503,30,843.0,0.0,-1.21,-0.325,0.0
20220126,26.101,26.101,26.101,26.101,20,553.0,0.0,-1.52,-0.402,0.0
20220127,25.633,25.633,25.633,25.633,15,407.0,0.0,-1.79,-0.468,0.0
20220128,25.937,25.937,25.937,25.937,15,412.0,0.0,1.19,0.304,0.0
20220131,26.533,26.533,26.533,26.533,30,844.0,0.0,2.3,0.596,0.0
20220203,26.278,26.278,26.278,26.278,12,334.0,0.0,-0.96,-0.255,0.0
20220204,26.253,26.253,26.253,26.253,20,557.0,0.0,-0.1,-0.025,0.0
20220208,26.814,26.814,26.814,26.814,20,568.0,0.0,2.14,0.561,0.0
20220210,26.837,26.735,26.884,26.735,616,17552.0,0.56,-0.29,-0.079,0.0
20220211,26.629,26.67,26.67,26.61,615,17368.0,0.22,-0.24,-0.065,0.0
20220216,27.212,27.212,27.212,27.212,100,2886.0,0.0,2.03,0.542,0.0
20220217,26.694,26.694,26.694,26.694,24,679.0,0.0,-1.9,-0.518,0.0
20220218,26.585,26.585,26.585,26.585,13,366.0,0.0,-0.41,-0.109,0.0
20220224,25.385,26.277,26.277,25.385,101,2719.0,3.36,-1.16,-0.308,0.0
20220228,26.676,26.984,26.984,26.676,157,4443.0,1.17,2.69,0.707,0.0
20220301,26.365,26.391,26.391,26.365,546,15271.0,0.1,-2.2,-0.593,0.0
20220302,27.135,27.135,27.135,27.135,2,57.0,0.0,2.82,0.744,0.0
20220303,26.949,26.949,26.949,26.949,5,142.0,0.0,-0.69,-0.186,0.0
20220304,26.559,26.559,26.559,26.559,80,2254.0,0.0,-1.45,-0.39,0.0
20220307,25.966,25.966,25.966,25.966,11,303.0,0.0,-2.23,-0.593,0.0
20220310,26.617,26.617,26.617,26.617,7,197.0,0.0,2.51,0.651,0.0
20220311,26.359,26.359,26.359,26.359,12,335.0,0.0,-0.97,-0.258,0.0
20220314,26.097,26.097,26.097,26.097,4,110.0,0.0,-0.99,-0.262,0.0
20220315,26.358,26.358,26.358,26.358,5,139.0,0.0,1.0,0.261,0.0
20220317,27.334,27.334,27.334,27.334,2,57.0,0.0,3.7,0.976,0.0
20220318,27.501,27.501,27.501,27.501,1,29.0,0.0,0.61,0.167,0.0
20220323,27.156,26.946,27.156,26.946,832,23920.0,0.76,-2.02,-0.555,0.0
20220324,27.178,27.178,27.178,27.178,1,28.0,0.0,0.86,0.232,0.0
20220328,27.24,27.24,27.24,27.24,42,1211.0,0.0,0.23,0.062,0.0
20220329,27.909,27.909,27.909,27.909,4,118.0,0.0,2.46,0.669,0.0
20220401,27.332,27.332,27.332,27.332,15,434.0,0.0,-2.07,-0.577,0.0
20220405,26.66,26.66,26.66,26.66,21,592.0,0.0,-2.46,-0.672,0.0
20220406,26.385,26.385,26.385,26.385,9,251.0,0.0,-1.03,-0.275,0.0
20220407,26.357,26.357,26.357,26.357,20,558.0,0.0,-0.11,-0.028,0.0
20220408,26.334,26.202,26.334,26.202,164,4572.0,0.5,-0.59,-0.155,0.0
20220411,26.013,26.013,26.013,26.013,5,137.0,0.0,-0.72,-0.189,0.0
20220412,26.152,26.152,26.152,26.152,1,27.0,0.0,0.53,0.139,0.0
20220413,26.586,26.586,26.586,26.586,5,140.0,0.0,1.66,0.434,0.0
20220414,26.382,26.382,26.382,26.382,1,27.0,0.0,-0.77,-0.204,0.0
20220418,26.285,26.285,26.285,26.285,51,1419.0,0.0,-0.37,-0.097,0.0
20220421,26.797,26.632,26.797,26.632,177,5021.0,0.63,1.32,0.347,0.0
20220422,25.947,25.947,25.947,25.947,52,1428.0,0.0,-2.57,-0.685,0.0
20220425,25.947,25.947,25.947,25.947,21,576.0,0.0,0.0,0.0,0.0
20220426,25.312,25.312,25.312,25.312,30,803.0,0.0,-2.45,-0.635,0.0
20220427,25.23,25.23,25.23,25.23,1,26.0,0.0,-0.32,-0.082,0.0
20220429,25.094,25.094,25.094,25.094,2,53.0,0.0,-0.54,-0.136,0.0
20220502,25.289,25.289,25.289,25.289,8,214.0,0.0,0.78,0.195,0.0
20220503,25.585,25.585,25.585,25.585,5,135.0,0.0,1.17,0.296,0.0
20220506,25.047,25.047,25.047,25.047,38,1007.0,0.0,-2.1,-0.538,0.0
20220510,24.211,24.211,24.211,24.211,5,128.0,0.0,-3.34,-0.836,0.0
20220511,23.792,23.792,23.792,23.792,2,50.0,0.0,-1.73,-0.419,0.0
20220512,24.043,24.043,24.043,24.043,36,916.0,0.0,1.05,0.251,0.0
20220516,24.55,24.55,24.55,24.55,2,51.0,0.0,2.11,0.507,0.0
20220518,24.437,24.437,24.437,24.437,51,1319.0,0.0,-0.46,-0.113,0.0
20220523,24.477,24.477,24.477,24.477,8,207.0,0.0,0.16,0.04,0.0
20220524,24.211,24.211,24.211,24.211,1,25.0,0.0,-1.09,-0.266,0.0
20220527,25.834,25.834,25.834,25.834,1,27.0,0.0,6.7,1.623,0.0
20220531,25.58,25.58,25.58,25.58,29,785.0,0.0,-0.98,-0.254,0.0
20220602,25.972,25.972,25.972,25.972,2,54.0,0.0,1.53,0.392,0.0
20220608,25.719,25.719,25.719,25.719,16,435.0,0.0,-0.97,-0.253,0.0
20220610,24.612,24.612,24.612,24.612,50,1302.0,0.0,-4.3,-1.107,0.0
20220613,23.501,23.501,23.501,23.501,13,323.0,0.0,-4.51,-1.111,0.0
20220614,23.527,23.445,23.527,23.445,207,5155.0,0.35,-0.24,-0.056,0.0
20220616,22.501,22.501,22.501,22.501,46,1095.0,0.0,-4.03,-0.944,0.0
20220617,22.701,22.701,22.701,22.701,1,24.0,0.0,0.89,0.2,0.0
20220621,23.024,23.024,23.024,23.024,2,48.0,0.0,1.42,0.323,0.0
20220622,22.892,23.006,23.006,22.892,312,7531.0,0.5,-0.08,-0.018,0.0
20220623,23.144,23.144,23.144,23.144,2,48.0,0.0,0.6,0.138,0.0
20220624,23.882,23.882,23.882,23.882,2,50.0,0.0,3.19,0.738,0.0
20220627,24.054,24.054,24.054,24.054,3,76.0,0.0,0.72,0.172,0.0
20220628,23.718,23.718,23.718,23.718,1,25.0,0.0,-1.4,-0.336,0.0
