trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240607,199.696,186.82,202.168,180.021,13127,510787.0,11.09,-6.45,-12.876,0.0
20240610,185.42,184.77,188.927,184.77,13051,486957.0,2.23,-1.1,-2.05,0.0
20240611,170.872,166.781,170.872,160.95,19304,637381.0,5.37,-9.74,-17.989,0.0
20240612,178.546,168.624,181.516,168.373,10459,372499.0,7.88,1.11,1.843,0.0
20240613,169.048,165.48,169.222,159.974,11783,386975.0,5.48,-1.86,-3.144,0.0
20240614,168.248,157.674,168.248,155.475,13322,420470.0,7.72,-4.72,-7.806,0.0
20240617,169.472,171.617,173.667,165.623,117806,3983853.0,5.1,8.84,13.943,0.0
20240618,155.625,157.101,159.624,154.4,18020,563971.0,3.04,-8.46,-14.516,0.0
20240620,168.973,168.823,169.872,164.523,20715,692300.0,3.4,7.46,11.722,0.0
20240621,162.474,168.533,168.533,161.974,14079,460451.0,3.89,-0.17,-0.29,0.0
20240624,147.126,145.426,148.826,140.627,51103,1481500.0,4.86,-13.71,-23.107,0.0
20240625,152.475,156.275,156.725,150.925,23738,732583.0,3.99,7.46,10.849,0.0
20240626,152.675,155.494,155.525,149.976,13290,401908.0,3.55,-0.5,-0.781,0.0
20240627,159.024,158.774,160.974,158.474,26761,854637.0,1.61,2.11,3.28,0.0
20240628,158.774,151.449,160.574,150.676,11579,362432.0,6.23,-4.61,-7.325,0.0
20240701,160.724,160.973,162.774,158.924,20916,670971.0,2.54,6.29,9.524,0.0
20240702,158.674,154.966,158.824,153.075,14547,451824.0,3.57,-3.73,-6.007,0.0
20240703,144.127,145.485,146.133,143.652,23481,680371.0,1.6,-6.12,-9.481,0.0
20240705,115.931,116.869,118.491,112.782,209637,4895423.0,3.92,-19.67,-28.616,0.0
20240708,122.28,118.731,122.28,111.557,54393,1281787.0,9.18,1.59,1.862,0.0
20240709,123.48,123.78,126.829,121.88,49747,1233320.0,4.17,4.25,5.049,0.0
20240710,126.679,127.079,130.529,125.53,94418,2404093.0,4.04,2.67,3.299,0.0
20240711,133.078,126.679,133.078,126.679,40461,1057300.0,5.04,-0.31,-0.4,0.0
20240712,125.78,127.779,131.029,125.78,48510,1244691.0,4.14,0.87,1.1,0.0
20240715,146.726,152.125,153.725,146.026,96877,2893028.0,6.03,19.05,24.346,0.0
20240716,151.675,157.924,159.569,148.781,68299,2119457.0,7.09,3.81,5.799,0.0
20240717,155.075,152.325,157.724,148.826,39543,1212435.0,5.63,-3.55,-5.599,0.0
20240718,158.174,151.125,158.224,149.226,83214,2545015.0,5.91,-0.79,-1.2,0.0
20240719,150.626,162.124,163.672,150.626,104566,3315844.0,8.63,7.28,10.999,0.0
20240722,158.424,159.124,159.769,153.375,60239,1889591.0,3.94,-1.85,-3.0,0.0
20240723,158.574,154.925,158.574,149.425,146631,4536875.0,5.75,-2.64,-4.199,0.0
20240724,155.825,146.625,156.075,146.526,129469,3906259.0,6.16,-5.36,-8.3,0.0
20240725,128.329,125.28,130.125,123.574,162410,4132664.0,4.47,-14.56,-21.345,0.0
20240726,134.328,137.903,138.328,132.853,111843,3035054.0,4.37,10.08,12.623,0.0
20240729,146.226,140.077,146.226,136.128,96530,2707545.0,7.32,1.58,2.174,0.0
20240730,143.427,136.428,144.227,136.278,114787,3247992.0,5.67,-2.6,-3.649,0.0
20240731,139.627,136.478,140.325,135.778,41717,1154656.0,3.33,0.04,0.05,0.0
20240801,129.029,125.13,129.629,120.73,93098,2312071.0,6.52,-8.31,-11.348,0.0
20240802,126.229,114.781,128.879,113.232,152560,3620264.0,12.5,-8.27,-10.349,0.0
20240805,52.691,68.889,77.337,52.042,763401,10415068.0,22.04,-39.98,-45.892,0.0
20240806,72.088,74.088,77.387,69.989,200124,2970075.0,10.74,7.55,5.199,0.0
20240807,72.488,65.539,73.588,64.59,443739,6121490.0,12.15,-11.54,-8.549,0.0
20240808,71.838,77.887,79.733,69.339,199472,2965466.0,15.86,18.84,12.348,0.0
20240809,80.637,79.037,82.537,76.888,134736,2140211.0,7.25,1.48,1.15,0.0
20240812,84.636,83.236,86.531,78.937,266385,4441246.0,9.61,5.31,4.199,0.0
20240813,81.837,86.386,87.336,81.037,172792,2931285.0,7.57,3.78,3.15,0.0
20240814,86.686,83.336,86.686,81.387,111777,1857857.0,6.13,-3.53,-3.05,0.0
20240815,82.487,75.888,83.686,74.538,228038,3536170.0,10.98,-8.94,-7.448,0.0
20240816,79.737,80.187,80.937,76.738,131826,2083782.0,5.53,5.66,4.299,0.0
20240819,78.787,79.437,80.487,76.788,184255,2890119.0,4.61,-0.94,-0.75,0.0
20240820,81.187,78.937,81.937,76.333,137484,2164549.0,7.05,-0.63,-0.5,0.0
20240821,77.587,81.837,81.937,74.988,271780,4353438.0,8.8,3.67,2.9,0.0
20240822,80.237,78.937,80.337,78.037,96841,1533824.0,2.81,-3.54,-2.9,0.0
20240823,82.237,87.736,87.986,80.937,197543,3378754.0,8.93,11.15,8.799,0.0
20240826,86.536,83.136,86.636,82.937,82576,1404273.0,4.22,-5.24,-4.6,0.0
20240827,79.587,76.938,79.587,75.788,158486,2446747.0,4.57,-7.46,-6.198,0.0
20240828,73.338,72.238,74.388,69.889,183965,2671040.0,5.85,-6.11,-4.7,0.0
20240829,76.038,73.538,77.387,72.688,113602,1719573.0,6.5,1.8,1.3,0.0
20240830,72.838,72.188,74.138,67.989,158357,2239195.0,8.36,-1.84,-1.35,0.0
20240903,72.192,68.493,72.192,67.843,78928,1087078.0,6.02,-5.12,-3.695,0.0
20240904,65.843,69.042,70.942,65.693,74751,1016247.0,7.66,0.8,0.549,0.0
20240905,65.643,63.993,66.643,63.193,114579,1489614.0,5.0,-7.31,-5.049,0.0
20240906,65.693,56.044,65.943,55.244,308427,3590118.0,16.72,-12.42,-7.949,0.0
20240909,60.693,62.943,62.943,59.08,87891,1082598.0,6.89,12.31,6.899,0.0
20240910,62.343,64.493,64.793,61.176,198357,2482727.0,5.75,2.46,1.55,0.0
20240911,61.253,62.243,63.688,58.894,52632,642138.0,7.43,-3.49,-2.25,0.0
20240912,62.393,63.293,63.293,60.943,104269,1305045.0,3.78,1.69,1.05,0.0
20240913,62.393,66.543,66.843,62.293,106777,1383378.0,7.19,5.13,3.25,0.0
20240916,59.893,58.121,59.993,57.944,196133,2321568.0,3.08,-12.66,-8.422,0.0
20240917,60.843,62.393,64.343,59.894,166232,2052286.0,7.65,7.35,4.272,0.0
20240918,59.843,60.043,62.993,58.794,143479,1733348.0,6.73,-3.77,-2.35,0.0
20240919,67.043,67.943,69.442,65.797,254002,3429237.0,6.07,13.16,7.9,0.0
20240920,71.792,72.292,73.742,70.981,139855,2021916.0,4.06,6.4,4.349,0.0
20240923,78.191,79.741,81.441,77.392,176231,2791579.0,5.6,10.3,7.449,0.0
20240924,77.442,78.291,78.836,74.842,89654,1374905.0,5.01,-1.82,-1.45,0.0
20240925,76.242,73.592,77.142,73.542,99079,1489237.0,4.6,-6.0,-4.699,0.0
20240926,76.541,78.191,78.791,75.937,75772,1176108.0,3.88,6.25,4.599,0.0
20240927,78.441,81.141,82.836,77.791,138895,2250670.0,6.45,3.77,2.95,0.0
20240930,76.592,74.442,76.651,73.442,120026,1796171.0,3.95,-8.26,-6.699,0.0
20241001,74.992,67.793,75.292,64.993,208927,2928741.0,13.83,-8.93,-6.649,0.0
20241002,64.568,61.693,67.492,61.494,173439,2237610.0,8.85,-9.0,-6.1,0.0
20241003,60.593,60.593,60.943,58.394,209238,2498383.0,4.13,-1.78,-1.1,0.0
20241004,62.043,64.593,65.208,60.593,152382,1918111.0,7.62,6.6,4.0,0.0
20241007,66.943,65.343,69.392,63.994,127089,1712660.0,8.36,1.16,0.75,0.0
20241008,64.643,65.093,65.843,62.993,70796,919868.0,4.36,-0.38,-0.25,0.0
20241009,64.343,63.843,66.593,63.493,93301,1208349.0,4.76,-1.92,-1.25,0.0
20241010,62.443,60.993,63.826,59.094,147658,1805497.0,7.41,-4.46,-2.85,0.0
20241011,64.143,65.943,66.543,64.093,138844,1813079.0,4.02,8.12,4.95,0.0
20241014,70.942,74.992,75.892,70.692,214087,3143750.0,7.89,13.72,9.049,0.0
20241015,73.692,73.042,78.366,69.942,188258,2746206.0,11.23,-2.6,-1.95,0.0
20241016,74.992,74.392,75.487,73.192,119758,1780357.0,3.14,1.85,1.35,0.0
20241017,73.842,73.092,75.09,71.992,143173,2107468.0,4.16,-1.75,-1.3,0.0
20241018,74.342,76.192,77.592,73.992,150853,2288220.0,4.93,4.24,3.1,0.0
20241021,78.541,77.741,78.541,76.242,248942,3848619.0,3.02,2.03,1.549,0.0
20241022,74.642,74.492,75.317,73.292,109843,1635857.0,2.6,-4.18,-3.249,0.0
20241023,71.692,67.893,72.192,64.643,305344,4147253.0,10.13,-8.86,-6.599,0.0
20241024,68.892,69.192,69.542,67.593,183237,2505919.0,2.87,1.91,1.299,0.0
20241025,69.342,65.743,70.741,64.593,247030,3374317.0,8.89,-4.98,-3.449,0.0
20241028,68.642,67.293,69.092,66.443,184741,2499768.0,4.03,2.36,1.55,0.0
20241029,73.592,74.092,77.128,73.071,420398,6280906.0,6.03,10.1,6.799,0.0
20241030,77.592,75.792,79.641,75.642,328085,5113997.0,5.4,2.29,1.7,0.0
20241031,74.742,71.142,74.742,70.992,274161,4008056.0,4.95,-6.14,-4.65,0.0
20241101,72.142,71.192,75.192,69.342,234930,3397479.0,8.22,0.07,0.05,0.0
20241104,67.993,65.793,67.993,64.643,290974,3878777.0,4.71,-7.58,-5.399,0.0
20241105,67.493,65.993,68.94,64.893,311670,4201870.0,6.15,0.3,0.2,0.0
20241106,77.542,81.041,81.541,76.342,546229,8613544.0,7.88,22.8,15.048,0.0
20241107,88.34,93.94,94.54,86.441,1996177,36401246.0,9.99,15.92,12.899,0.0
20241108,96.789,96.389,99.139,92.99,1062676,20452867.0,6.55,2.61,2.449,0.0
20241111,110.838,124.336,124.866,109.488,1413836,33120465.0,15.95,28.99,27.947,0.0
20241112,116.687,117.887,119.463,112.338,635939,14881875.0,5.73,-5.19,-6.449,0.0
20241113,114.437,109.188,121.437,106.293,1037419,23911379.0,12.85,-7.38,-8.699,0.0
20241114,110.538,104.139,111.181,101.343,461679,9773108.0,9.01,-4.62,-5.049,0.0
20241115,101.989,103.739,103.739,98.139,385577,7752769.0,5.38,-0.38,-0.4,0.0
20241118,104.139,108.288,110.938,102.489,655121,14065673.0,8.14,4.39,4.549,0.0
20241119,104.089,104.189,107.338,103.164,490500,10276974.0,3.85,-3.79,-4.099,0.0
20241120,106.338,102.339,106.633,99.489,632684,13019148.0,6.86,-1.78,-1.85,0.0
20241121,121.237,121.037,123.636,113.688,1195516,28714167.0,9.72,18.27,18.698,0.0
20241122,116.337,116.187,118.587,114.287,734365,17104770.0,3.55,-4.01,-4.85,0.0
20241125,129.686,130.786,133.685,119.487,880301,22492987.0,12.22,12.57,14.599,0.0
20241126,116.287,117.087,119.975,111.796,702943,16376457.0,6.25,-10.47,-13.699,0.0
20241127,129.136,139.135,139.634,128.643,1036291,27810477.0,9.39,18.83,22.048,0.0
20241129,136.585,135.435,140.48,135.11,546265,15016764.0,3.86,-2.66,-3.7,0.0
20241202,138.035,136.935,142.034,132.178,928429,25611569.0,7.28,1.11,1.5,0.0
20241203,131.386,135.835,136.035,127.986,591261,15727769.0,5.88,-0.8,-1.1,0.0
20241204,144.784,157.233,157.883,144.179,1402340,42598449.0,10.09,15.75,21.398,0.0
20241205,160.432,150.883,163.475,147.734,1074263,33585647.0,10.01,-4.04,-6.35,0.0
