trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20050103,10.356,10.308,10.356,10.242,190300,0.0,2.1,90.32,4.892,0.0
20050104,10.182,10.007,10.194,9.977,117000,0.0,2.11,-2.92,-0.301,0.0
20050105,9.935,9.875,9.989,9.875,132700,0.0,1.14,-1.32,-0.132,0.0
20050106,9.839,9.82,9.887,9.784,83200,0.0,1.04,-0.56,-0.055,0.0
20050107,9.887,9.796,9.947,9.724,61800,0.0,2.27,-0.24,-0.024,0.0
20050110,9.893,9.857,9.935,9.839,154200,0.0,0.98,0.62,0.061,0.0
20050111,9.965,9.965,9.989,9.899,86700,0.0,0.91,1.1,0.108,0.0
20050112,10.025,10.085,10.085,9.983,72800,0.0,1.02,1.2,0.12,0.0
20050113,10.049,10.079,10.091,9.971,56300,0.0,1.19,-0.06,-0.006,0.0
20050114,9.965,9.995,10.019,9.941,501000,0.0,0.77,-0.83,-0.084,0.0
20050118,9.953,9.971,9.977,9.935,63500,0.0,0.42,-0.24,-0.024,0.0
20050119,9.965,9.953,10.007,9.923,120300,0.0,0.84,-0.18,-0.018,0.0
20050120,9.887,9.82,9.887,9.79,60900,0.0,0.97,-1.34,-0.133,0.0
20050121,9.875,9.947,9.989,9.851,29100,0.0,1.41,1.29,0.127,0.0
20050124,9.971,9.923,9.983,9.869,42900,0.0,1.15,-0.24,-0.024,0.0
20050125,9.905,9.875,9.923,9.79,163700,0.0,1.34,-0.48,-0.048,0.0
20050126,9.947,9.959,9.983,9.905,128600,0.0,0.79,0.85,0.084,0.0
20050127,9.875,9.935,9.959,9.845,353000,0.0,1.14,-0.24,-0.024,0.0
20050128,9.953,9.893,9.953,9.845,17000,0.0,1.09,-0.42,-0.042,0.0
20050131,9.875,9.935,9.971,9.814,108200,0.0,1.59,0.42,0.042,0.0
20050201,9.905,10.031,10.037,9.905,164000,0.0,1.33,0.97,0.096,0.0
20050202,10.043,10.073,10.091,9.983,309500,0.0,1.08,0.42,0.042,0.0
20050203,9.965,10.049,10.049,9.935,81000,0.0,1.13,-0.24,-0.024,0.0
20050204,9.971,10.031,10.079,9.953,171800,0.0,1.25,-0.18,-0.018,0.0
20050207,10.019,9.983,10.043,9.977,311200,0.0,0.66,-0.48,-0.048,0.0
20050208,9.965,10.037,10.055,9.941,82000,0.0,1.14,0.54,0.054,0.0
20050209,9.995,10.001,10.055,9.983,44200,0.0,0.72,-0.36,-0.036,0.0
20050210,10.103,10.284,10.296,10.085,113200,0.0,2.11,2.83,0.283,0.0
20050211,10.26,10.356,10.386,10.236,769700,0.0,1.46,0.7,0.072,0.0
20050214,10.405,10.392,10.417,10.326,149600,0.0,0.88,0.35,0.036,0.0
20050215,10.411,10.453,10.471,10.368,108800,0.0,0.99,0.59,0.061,0.0
20050216,10.423,10.435,10.459,10.296,457800,0.0,1.56,-0.17,-0.018,0.0
20050217,10.465,10.465,10.501,10.392,1119000,0.0,1.04,0.29,0.03,0.0
20050218,10.495,10.483,10.525,10.441,127400,0.0,0.8,0.17,0.018,0.0
20050222,10.507,10.543,10.7,10.507,283500,0.0,1.84,0.57,0.06,0.0
20050223,10.507,10.507,10.549,10.417,144400,0.0,1.25,-0.34,-0.036,0.0
20050224,10.38,10.507,10.507,10.302,431700,0.0,1.95,0.0,0.0,0.0
20050225,10.453,10.615,10.657,10.453,124500,0.0,1.94,1.03,0.108,0.0
20050228,10.73,10.597,10.736,10.537,369000,0.0,1.87,-0.17,-0.018,0.0
20050301,10.543,10.555,10.591,10.477,68300,0.0,1.08,-0.4,-0.042,0.0
20050302,10.531,10.645,10.645,10.477,83700,0.0,1.59,0.85,0.09,0.0
20050303,10.615,10.651,10.687,10.609,52000,0.0,0.73,0.06,0.006,0.0
20050304,10.832,10.898,10.952,10.748,126600,0.0,1.92,2.32,0.247,0.0
20050307,10.88,10.868,10.892,10.808,117500,0.0,0.77,-0.28,-0.03,0.0
20050308,10.928,11.031,11.031,10.928,77100,0.0,0.95,1.5,0.163,0.0
20050309,11.326,10.977,11.326,10.946,378000,0.0,3.44,-0.49,-0.054,0.0
20050310,10.983,10.832,10.983,10.784,227900,0.0,1.81,-1.32,-0.145,0.0
20050311,10.856,10.868,10.904,10.808,215400,0.0,0.89,0.33,0.036,0.0
20050314,10.85,10.856,10.868,10.778,104200,0.0,0.83,-0.11,-0.012,0.0
20050315,10.868,10.844,10.94,10.844,106300,0.0,0.88,-0.11,-0.012,0.0
20050316,10.862,10.808,10.928,10.79,150600,0.0,1.27,-0.33,-0.036,0.0
20050317,10.802,10.928,10.97,10.802,381700,0.0,1.55,1.11,0.12,0.0
20050318,10.904,10.904,10.97,10.88,153300,0.0,0.82,-0.22,-0.024,0.0
20050321,10.898,10.766,10.898,10.724,159900,0.0,1.6,-1.27,-0.138,0.0
20050322,10.748,10.718,10.898,10.718,258500,0.0,1.67,-0.45,-0.048,0.0
20050323,10.657,10.513,10.657,10.411,207900,0.0,2.3,-1.91,-0.205,0.0
20050324,10.519,10.537,10.615,10.501,242200,0.0,1.08,0.23,0.024,0.0
20050328,10.525,10.423,10.525,10.356,177900,0.0,1.6,-1.08,-0.114,0.0
20050329,10.447,10.392,10.579,10.392,218400,0.0,1.79,-0.3,-0.031,0.0
20050330,10.459,10.477,10.477,10.356,71400,0.0,1.16,0.82,0.085,0.0
20050331,10.597,10.748,10.748,10.579,404500,0.0,1.61,2.59,0.271,0.0
20050401,10.784,10.7,10.784,10.669,178500,0.0,1.07,-0.45,-0.048,0.0
20050404,10.7,10.645,10.718,10.639,181400,0.0,0.74,-0.51,-0.055,0.0
20050405,10.633,10.687,10.687,10.633,189100,0.0,0.51,0.39,0.042,0.0
20050406,10.645,10.742,10.742,10.597,120700,0.0,1.36,0.51,0.055,0.0
20050407,10.748,10.657,10.754,10.597,146400,0.0,1.46,-0.79,-0.085,0.0
20050408,10.567,10.603,10.657,10.543,102100,0.0,1.07,-0.51,-0.054,0.0
20050411,10.537,10.555,10.621,10.507,66400,0.0,1.08,-0.45,-0.048,0.0
20050412,10.567,10.489,10.567,10.392,243700,0.0,1.66,-0.63,-0.066,0.0
20050413,10.471,10.38,10.489,10.356,157400,0.0,1.27,-1.04,-0.109,0.0
20050414,10.356,10.182,10.356,10.158,241700,0.0,1.91,-1.91,-0.198,0.0
