trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20050103,26.378,26.112,26.426,26.112,10010400,0.0,0.89,-26.05,-9.198,0.0
20050104,26.136,25.676,26.136,25.579,11009300,0.0,2.13,-1.67,-0.436,0.0
20050105,25.652,25.652,25.797,25.604,6064800,0.0,0.75,-0.09,-0.024,0.0
20050106,25.725,25.652,25.797,25.531,10056000,0.0,1.04,0.0,0.0,0.0
20050107,25.821,25.507,25.87,25.507,5478200,0.0,1.42,-0.57,-0.145,0.0
20050110,25.652,25.7,25.894,25.604,4696100,0.0,1.14,0.76,0.193,0.0
20050111,25.821,26.063,26.088,25.821,8237200,0.0,1.04,1.41,0.363,0.0
20050112,26.088,26.209,26.233,25.797,7329400,0.0,1.67,0.56,0.146,0.0
20050113,26.039,25.991,26.088,25.894,6641900,0.0,0.74,-0.83,-0.218,0.0
20050114,26.015,26.257,26.62,25.942,8387800,0.0,2.61,1.02,0.266,0.0
20050118,26.015,26.305,26.33,25.942,8944300,0.0,1.48,0.18,0.048,0.0
20050119,26.063,25.821,26.16,25.749,6187900,0.0,1.56,-1.84,-0.484,0.0
20050120,25.555,25.362,25.628,25.241,8955700,0.0,1.5,-1.78,-0.459,0.0
20050121,25.41,25.628,25.773,25.41,7843900,0.0,1.43,1.05,0.266,0.0
20050124,25.652,25.652,25.773,25.604,6637700,0.0,0.66,0.09,0.024,0.0
20050125,25.458,25.458,25.604,25.434,7422100,0.0,0.66,-0.76,-0.194,0.0
20050126,25.797,25.87,25.967,25.797,6917500,0.0,0.67,1.62,0.412,0.0
20050127,25.652,25.7,25.773,25.579,5858200,0.0,0.75,-0.66,-0.17,0.0
20050128,25.676,25.628,25.676,25.458,4511700,0.0,0.85,-0.28,-0.072,0.0
20050131,25.7,25.628,25.749,25.604,11360600,0.0,0.57,0.0,0.0,0.0
20050201,25.604,25.773,25.846,25.531,6540500,0.0,1.23,0.57,0.145,0.0
20050202,25.7,25.87,25.87,25.7,5053100,0.0,0.66,0.38,0.097,0.0
20050203,25.483,25.507,25.531,25.337,8078900,0.0,0.75,-1.4,-0.363,0.0
20050204,25.458,25.604,25.628,25.458,6665300,0.0,0.67,0.38,0.097,0.0
20050207,25.604,25.531,25.604,25.362,5909900,0.0,0.95,-0.29,-0.073,0.0
20050208,25.216,25.386,25.41,25.216,7093300,0.0,0.76,-0.57,-0.145,0.0
20050209,25.362,25.241,25.41,25.216,7183200,0.0,0.76,-0.57,-0.145,0.0
20050210,25.313,25.458,25.483,25.313,5542200,0.0,0.67,0.86,0.217,0.0
20050211,25.483,25.652,25.749,25.483,7500000,0.0,1.04,0.76,0.194,0.0
20050214,25.773,25.894,25.991,25.773,12209400,0.0,0.85,0.94,0.242,0.0
20050215,25.942,26.015,26.088,25.846,7900700,0.0,0.93,0.47,0.121,0.0
20050216,25.725,25.652,25.725,25.483,9211700,0.0,0.93,-1.4,-0.363,0.0
20050217,25.604,25.507,25.652,25.41,7641800,0.0,0.94,-0.57,-0.145,0.0
20050218,25.652,25.773,25.821,25.604,7716900,0.0,0.85,1.04,0.266,0.0
20050222,25.797,25.725,25.918,25.604,8990700,0.0,1.22,-0.19,-0.048,0.0
20050223,25.507,25.531,25.628,25.41,8278500,0.0,0.85,-0.75,-0.194,0.0
20050224,25.604,25.604,25.628,25.434,4648400,0.0,0.76,0.29,0.073,0.0
20050225,25.797,25.894,25.942,25.725,5336100,0.0,0.85,1.13,0.29,0.0
20050228,26.233,26.16,26.305,26.039,12649300,0.0,1.03,1.03,0.266,0.0
20050301,26.257,26.354,26.378,26.257,7380800,0.0,0.46,0.74,0.194,0.0
20050302,26.088,26.233,26.354,26.088,7475900,0.0,1.01,-0.46,-0.121,0.0
20050303,26.305,26.16,26.33,26.015,7541400,0.0,1.2,-0.28,-0.073,0.0
20050304,26.402,26.572,26.668,26.402,13895500,0.0,1.02,1.57,0.412,0.0
20050307,26.378,26.523,26.572,26.378,7433700,0.0,0.73,-0.18,-0.049,0.0
20050308,26.547,26.402,26.547,26.378,5284600,0.0,0.64,-0.46,-0.121,0.0
20050309,26.572,26.499,26.789,26.499,8624600,0.0,1.1,0.37,0.097,0.0
20050310,26.572,26.693,26.717,26.523,5312300,0.0,0.73,0.73,0.194,0.0
20050311,26.765,26.741,26.838,26.693,4717600,0.0,0.54,0.18,0.048,0.0
20050314,26.451,26.426,26.523,26.33,8590800,0.0,0.72,-1.18,-0.315,0.0
20050315,26.426,26.305,26.523,26.281,7380000,0.0,0.92,-0.46,-0.121,0.0
20050316,26.451,26.305,26.499,26.257,6107200,0.0,0.92,0.0,0.0,0.0
20050317,26.233,26.33,26.378,26.136,4933100,0.0,0.92,0.1,0.025,0.0
20050318,26.475,26.451,26.499,26.33,5979700,0.0,0.64,0.46,0.121,0.0
20050321,26.354,26.354,26.402,26.281,4039600,0.0,0.46,-0.37,-0.097,0.0
20050322,26.354,26.184,26.62,26.112,12891600,0.0,1.93,-0.65,-0.17,0.0
20050323,26.015,25.991,26.088,25.918,6653800,0.0,0.65,-0.74,-0.193,0.0
20050324,25.87,25.918,25.967,25.749,6167600,0.0,0.84,-0.28,-0.073,0.0
20050328,25.967,25.918,26.039,25.846,5861600,0.0,0.74,0.0,0.0,0.0
20050329,25.313,25.144,25.483,25.095,21684300,0.0,1.5,-2.99,-0.774,0.0
20050330,25.241,25.337,25.386,25.168,9440300,0.0,0.87,0.77,0.193,0.0
20050331,25.483,25.386,25.507,25.313,8597600,0.0,0.77,0.19,0.049,0.0
20050401,25.725,25.313,25.725,25.289,9022000,0.0,1.72,-0.29,-0.073,0.0
20050404,25.289,25.289,25.386,25.168,10430800,0.0,0.86,-0.09,-0.024,0.0
20050405,25.458,25.579,25.604,25.386,6981500,0.0,0.86,1.15,0.29,0.0
20050406,25.604,25.579,25.652,25.507,10645400,0.0,0.57,0.0,0.0,0.0
20050407,25.7,25.676,25.773,25.604,6748800,0.0,0.66,0.38,0.097,0.0
20050408,25.676,25.604,25.749,25.555,9312300,0.0,0.76,-0.28,-0.072,0.0
20050411,25.555,25.531,25.628,25.531,4267300,0.0,0.38,-0.29,-0.073,0.0
20050412,25.313,25.531,25.579,25.047,12109500,0.0,2.08,0.0,0.0,0.0
20050413,25.41,25.241,25.434,25.216,13142500,0.0,0.85,-1.14,-0.29,0.0
20050414,24.999,24.878,25.12,24.781,11727800,0.0,1.34,-1.44,-0.363,0.0
20050415,24.563,24.369,24.708,24.345,25868900,0.0,1.46,-2.05,-0.509,0.0
20050418,23.982,24.055,24.152,23.861,19653600,0.0,1.19,-1.29,-0.314,0.0
20050419,24.297,24.539,24.563,24.297,11428300,0.0,1.11,2.01,0.484,0.0
20050420,24.345,24.176,24.418,24.079,15087300,0.0,1.38,-1.48,-0.363,0.0
20050421,24.466,24.684,24.732,24.345,17256400,0.0,1.6,2.1,0.508,0.0
20050422,24.587,24.515,24.878,24.321,24711300,0.0,2.26,-0.68,-0.169,0.0
20050425,24.853,24.878,24.902,24.708,10731000,0.0,0.79,1.48,0.363,0.0
20050426,24.636,24.49,24.66,24.345,18435000,0.0,1.27,-1.56,-0.388,0.0
20050427,24.49,24.636,24.732,24.394,10200900,0.0,1.38,0.6,0.146,0.0
20050428,24.49,24.369,24.684,24.297,12659500,0.0,1.57,-1.08,-0.267,0.0
20050429,24.757,24.805,24.829,24.539,14685300,0.0,1.19,1.79,0.436,0.0
20050502,24.902,24.95,24.974,24.829,6929900,0.0,0.58,0.58,0.145,0.0
20050503,24.95,24.902,25.023,24.829,8882100,0.0,0.78,-0.19,-0.048,0.0
20050504,25.047,25.265,25.362,25.023,10775200,0.0,1.36,1.46,0.363,0.0
20050505,25.362,25.289,25.483,25.216,14965100,0.0,1.06,0.09,0.024,0.0
20050506,25.434,25.337,25.483,25.289,10713200,0.0,0.77,0.19,0.048,0.0
20050509,25.241,25.289,25.337,25.144,8435900,0.0,0.76,-0.19,-0.048,0.0
20050510,25.144,24.974,25.144,24.95,12164600,0.0,0.77,-1.25,-0.315,0.0
20050511,25.023,25.095,25.12,24.853,15503700,0.0,1.07,0.48,0.121,0.0
20050512,24.757,24.587,24.829,24.515,14310400,0.0,1.25,-2.02,-0.508,0.0
20050513,24.611,24.369,24.636,24.273,13588200,0.0,1.48,-0.89,-0.218,0.0
20050516,24.2,24.418,24.466,24.176,12724100,0.0,1.19,0.2,0.049,0.0
20050517,24.127,24.321,24.345,24.103,15533200,0.0,0.99,-0.4,-0.097,0.0
20050518,24.152,24.49,24.563,24.127,18903300,0.0,1.79,0.69,0.169,0.0
20050519,24.587,24.587,24.66,24.515,11451600,0.0,0.59,0.4,0.097,0.0
20050520,24.394,24.345,24.418,24.273,9791900,0.0,0.59,-0.98,-0.242,0.0
20050523,24.611,24.684,24.732,24.563,8676600,0.0,0.69,1.39,0.339,0.0
20050524,24.563,24.587,24.636,24.539,6580400,0.0,0.39,-0.39,-0.097,0.0
20050525,24.466,24.273,24.49,24.248,7791400,0.0,0.98,-1.28,-0.314,0.0
20050526,24.369,24.442,24.466,24.273,10437300,0.0,0.8,0.7,0.169,0.0
