trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20231004,9.856,9.856,9.856,9.856,14,139.0,0.0,0.0,0.0,0.0
20231006,9.93,9.93,9.93,9.93,8,80.0,0.0,0.75,0.074,0.0
20231010,10.049,10.049,10.049,10.049,3,30.0,0.0,1.2,0.119,0.0
20231013,9.91,9.91,9.91,9.91,22,219.0,0.0,-1.38,-0.139,0.0
20231018,9.93,9.93,9.93,9.93,2,20.0,0.0,0.2,0.02,0.0
20231019,9.838,9.838,9.838,9.838,9,89.0,0.0,-0.93,-0.092,0.0
20231025,9.622,9.622,9.622,9.622,2,19.0,0.0,-2.2,-0.216,0.0
20231026,9.612,9.563,9.612,9.563,51952,503397.0,0.51,-0.61,-0.059,0.0
20231027,9.523,9.523,9.523,9.523,351,3369.0,0.0,-0.42,-0.04,0.0
20231030,9.593,9.6,9.6,9.593,300,2901.0,0.07,0.81,0.077,0.0
20231031,9.655,9.655,9.655,9.655,30,291.0,0.0,0.57,0.055,0.0
20231106,10.012,10.012,10.012,10.012,314,3169.0,0.0,3.7,0.357,0.0
20231107,10.029,10.009,10.029,10.009,218,2203.0,0.2,-0.03,-0.003,0.0
20231108,9.97,9.989,9.989,9.97,101,1015.0,0.19,-0.2,-0.02,0.0
20231110,10.019,10.019,10.019,10.019,1,10.0,0.0,0.3,0.03,0.0
20231113,10.009,10.014,10.019,10.009,201,2029.0,0.1,-0.05,-0.005,0.0
20231115,10.317,10.306,10.317,10.306,100,1040.0,0.11,2.92,0.292,0.0
20231116,10.337,10.264,10.337,10.247,600,6215.0,0.87,-0.41,-0.042,0.0
20231117,10.307,10.307,10.307,10.307,5,51.0,0.0,0.42,0.043,0.0
20231120,10.362,10.362,10.362,10.362,11,114.0,0.0,0.53,0.055,0.0
20231121,10.327,10.314,10.327,10.314,800,8327.0,0.13,-0.46,-0.048,0.0
20231122,10.356,10.356,10.356,10.356,4,41.0,0.0,0.41,0.042,0.0
20231127,10.361,10.361,10.361,10.361,4,41.0,0.0,0.05,0.005,0.0
20231128,10.343,10.343,10.343,10.343,1,10.0,0.0,-0.17,-0.018,0.0
20231129,10.354,10.354,10.354,10.354,29,302.0,0.0,0.11,0.011,0.0
20231130,10.391,10.391,10.391,10.391,1,10.0,0.0,0.36,0.037,0.0
20231201,10.53,10.53,10.53,10.53,19,201.0,0.0,1.34,0.139,0.0
20231204,10.547,10.547,10.547,10.547,13,138.0,0.0,0.16,0.017,0.0
20231206,10.454,10.454,10.454,10.454,18,189.0,0.0,-0.88,-0.093,0.0
20231207,10.535,10.535,10.535,10.535,66,700.0,0.0,0.77,0.081,0.0
20231208,10.581,10.581,10.581,10.581,60,639.0,0.0,0.44,0.046,0.0
20231211,10.623,10.623,10.623,10.623,12,128.0,0.0,0.4,0.042,0.0
20231212,10.64,10.64,10.64,10.64,2,21.0,0.0,0.16,0.017,0.0
20231214,10.991,10.962,10.991,10.962,19834,219570.0,0.27,3.03,0.322,0.0
20231218,10.958,10.958,10.958,10.958,93,1027.0,0.0,-0.04,-0.004,0.0
20231220,10.92,10.92,10.92,10.92,25,275.0,0.0,-0.35,-0.038,0.0
20231221,11.03,11.03,11.03,11.03,45,500.0,0.0,1.01,0.11,0.0
20231222,11.071,11.066,11.081,11.061,1776,19820.0,0.18,0.33,0.036,0.0
20231226,11.129,11.129,11.129,11.129,107,1197.0,0.0,0.57,0.063,0.0
20231227,11.14,11.14,11.14,11.14,8,89.0,0.0,0.1,0.011,0.0
20231228,11.144,11.149,11.149,11.144,694,7779.0,0.04,0.08,0.009,0.0
20231229,11.09,11.09,11.09,11.09,23,256.0,0.0,-0.53,-0.059,0.0
20240102,10.98,10.98,10.98,10.98,42,463.0,0.0,-0.99,-0.11,0.0
20240103,10.896,10.821,10.896,10.821,12572,137785.0,0.68,-1.45,-0.159,0.0
20240104,10.836,10.804,10.836,10.804,200,2180.0,0.3,-0.16,-0.017,0.0
20240105,10.846,10.812,10.846,10.812,412,4494.0,0.31,0.07,0.008,0.0
20240108,10.836,10.94,10.94,10.836,574,6256.0,0.96,1.18,0.128,0.0
20240109,10.895,10.895,10.895,10.895,23,252.0,0.0,-0.41,-0.045,0.0
20240110,10.916,10.94,10.94,10.916,596,6548.0,0.22,0.41,0.045,0.0
20240111,10.856,10.912,10.912,10.856,8889,97067.0,0.51,-0.26,-0.028,0.0
20240112,10.866,10.911,10.911,10.866,38253,419238.0,0.41,-0.01,-0.001,0.0
20240116,10.831,10.848,10.848,10.831,202,2200.0,0.16,-0.58,-0.063,0.0
20240117,10.756,10.801,10.806,10.756,7944,86111.0,0.46,-0.43,-0.047,0.0
20240118,10.836,10.884,10.896,10.796,17070,186212.0,0.93,0.77,0.083,0.0
20240119,10.98,10.98,10.98,10.98,131,1446.0,0.0,0.88,0.096,0.0
20240122,11.065,11.069,11.075,11.065,98250,1093570.0,0.09,0.81,0.089,0.0
20240123,11.065,11.066,11.066,11.065,4423,49227.0,0.01,-0.03,-0.003,0.0
20240124,11.065,11.036,11.065,11.015,6032,66987.0,0.45,-0.27,-0.03,0.0
20240125,11.055,11.075,11.104,11.025,403377,4489625.0,0.72,0.35,0.039,0.0
20240126,11.174,11.116,11.174,11.114,45764,512023.0,0.54,0.37,0.041,0.0
20240129,11.124,11.202,11.204,11.124,1995,22459.0,0.72,0.77,0.086,0.0
20240130,11.174,11.194,11.194,11.174,2004,22528.0,0.18,-0.07,-0.008,0.0
20240131,11.134,10.969,11.134,10.969,9603,107302.0,1.47,-2.01,-0.225,0.0
20240201,11.015,11.081,11.094,10.995,3465,38437.0,0.9,1.02,0.112,0.0
20240202,11.164,11.164,11.164,11.164,29,325.0,0.0,0.75,0.083,0.0
20240205,11.283,11.088,11.283,11.088,5963,66601.0,1.75,-0.68,-0.076,0.0
20240206,11.055,11.104,11.104,11.055,7634,84915.0,0.44,0.14,0.016,0.0
20240207,11.16,11.149,11.16,11.149,275,3087.0,0.1,0.41,0.045,0.0
20240208,11.134,11.194,11.194,11.134,1318,14803.0,0.54,0.4,0.045,0.0
20240209,11.204,11.295,11.295,11.204,824,9286.0,0.81,0.9,0.101,0.0
20240212,11.353,11.353,11.403,11.343,11393,130209.0,0.53,0.51,0.058,0.0
20240213,11.114,11.093,11.144,11.055,19439,217133.0,0.78,-2.29,-0.26,0.0
20240214,11.134,11.219,11.234,11.134,38778,436380.0,0.9,1.14,0.126,0.0
20240215,11.273,11.34,11.343,11.273,4714,53612.0,0.62,1.08,0.121,0.0
20240216,11.293,11.268,11.311,11.268,3855,43824.0,0.38,-0.63,-0.072,0.0
20240220,11.184,11.186,11.214,11.169,7915,89214.0,0.4,-0.73,-0.082,0.0
20240221,11.154,11.206,11.206,11.134,3661,41093.0,0.64,0.18,0.02,0.0
20240222,11.283,11.343,11.343,11.283,622829,7081566.0,0.54,1.22,0.137,0.0
20240223,11.343,11.361,11.363,11.343,59307,677258.0,0.18,0.16,0.018,0.0
20240226,11.343,11.333,11.343,11.333,541,6171.0,0.09,-0.25,-0.028,0.0
20240227,11.343,11.368,11.368,11.343,117,1334.0,0.22,0.31,0.035,0.0
20240228,11.353,11.339,11.363,11.313,670677,7659112.0,0.44,-0.26,-0.029,0.0
20240229,11.403,11.411,11.411,11.393,948,10866.0,0.16,0.63,0.072,0.0
20240301,11.432,11.492,11.492,11.432,20234,233250.0,0.53,0.71,0.081,0.0
20240304,11.492,11.448,11.492,11.448,443,5114.0,0.38,-0.38,-0.044,0.0
20240305,11.403,11.368,11.432,11.353,15950,182323.0,0.69,-0.7,-0.08,0.0
20240306,11.413,11.442,11.442,11.413,3786,43484.0,0.26,0.65,0.074,0.0
20240307,11.522,11.532,11.537,11.512,17489,202703.0,0.22,0.79,0.09,0.0
20240308,11.572,11.478,11.572,11.478,4306,49901.0,0.82,-0.47,-0.054,0.0
20240311,11.442,11.437,11.462,11.403,5852,67276.0,0.51,-0.36,-0.041,0.0
20240312,11.452,11.507,11.512,11.442,10279,118345.0,0.61,0.61,0.07,0.0
20240313,11.512,11.497,11.522,11.497,2661,30815.0,0.22,-0.09,-0.01,0.0
20240314,11.472,11.419,11.472,11.419,4253,48983.0,0.46,-0.68,-0.078,0.0
20240315,11.383,11.401,11.413,11.363,13043,149379.0,0.44,-0.16,-0.018,0.0
20240318,11.422,11.41,11.442,11.41,1529,17559.0,0.28,0.08,0.009,0.0
20240319,11.442,11.471,11.471,11.442,1332,15335.0,0.25,0.53,0.061,0.0
20240320,11.482,11.582,11.582,11.472,703921,8130416.0,0.96,0.97,0.111,0.0
20240321,11.681,11.668,11.681,11.668,1111,13045.0,0.11,0.74,0.086,0.0
20240322,11.631,11.607,11.631,11.592,3694,43119.0,0.33,-0.52,-0.061,0.0
20240325,11.601,11.584,11.601,11.584,428,4993.0,0.15,-0.2,-0.023,0.0
20240326,11.601,11.56,11.601,11.56,465,5423.0,0.35,-0.21,-0.024,0.0
20240327,11.631,11.691,11.691,11.631,681037,7968133.0,0.52,1.13,0.131,0.0
20240328,11.731,11.737,11.741,11.721,3353,39564.0,0.17,0.39,0.046,0.0
20240401,11.691,11.676,11.691,11.671,15597,183227.0,0.17,-0.52,-0.061,0.0
20240402,11.572,11.547,11.572,11.502,18817,217924.0,0.6,-1.1,-0.129,0.0
20240403,11.592,11.582,11.601,11.582,6890,80355.0,0.16,0.3,0.035,0.0
20240404,11.691,11.426,11.691,11.413,2699,31372.0,2.4,-1.35,-0.156,0.0
20240405,11.462,11.546,11.572,11.462,8147,94407.0,0.96,1.05,0.12,0.0
20240408,11.582,11.562,11.582,11.562,177,2062.0,0.17,0.14,0.016,0.0
20240409,11.562,11.572,11.582,11.502,715381,8327034.0,0.69,0.09,0.01,0.0
20240410,11.403,11.413,11.462,11.383,12744,146110.0,0.68,-1.37,-0.159,0.0
20240411,11.413,11.472,11.472,11.383,282,3233.0,0.78,0.52,0.059,0.0
20240412,11.383,11.313,11.383,11.283,5596,63873.0,0.87,-1.39,-0.159,0.0
20240415,11.373,11.214,11.373,11.184,2381,26927.0,1.67,-0.88,-0.099,0.0
20240416,11.164,11.154,11.184,11.144,2342,26294.0,0.36,-0.54,-0.06,0.0
20240417,11.174,11.094,11.174,11.075,3061,34335.0,0.89,-0.54,-0.06,0.0
20240418,11.174,11.09,11.174,11.09,609,6841.0,0.76,-0.04,-0.004,0.0
20240419,11.114,11.063,11.114,11.063,502,5604.0,0.46,-0.24,-0.027,0.0
20240422,11.094,11.149,11.194,11.094,830,9312.0,0.9,0.78,0.086,0.0
20240423,11.273,11.293,11.293,11.263,3281,37183.0,0.27,1.29,0.144,0.0
20240424,11.293,11.292,11.293,11.254,422,4782.0,0.35,-0.01,-0.001,0.0
20240425,11.154,11.225,11.225,11.154,1500,16880.0,0.63,-0.59,-0.067,0.0
20240426,11.323,11.319,11.323,11.319,202,2300.0,0.04,0.84,0.094,0.0
20240429,11.353,11.358,11.358,11.343,546,6233.0,0.13,0.34,0.039,0.0
20240430,11.313,11.2,11.313,11.2,102,1160.0,0.99,-1.39,-0.158,0.0
20240501,11.174,11.184,11.224,11.174,1530,17268.0,0.45,-0.14,-0.016,0.0
20240502,11.184,11.284,11.284,11.184,128,1440.0,0.89,0.89,0.1,0.0
20240503,11.393,11.408,11.408,11.393,145,1661.0,0.13,1.1,0.124,0.0
20240506,11.508,11.508,11.508,11.508,18,208.0,0.0,0.88,0.1,0.0
20240507,11.552,11.533,11.552,11.533,103,1196.0,0.17,0.22,0.025,0.0
20240508,11.502,11.527,11.527,11.502,107,1237.0,0.22,-0.05,-0.006,0.0
20240509,11.582,11.597,11.597,11.582,1835,21377.0,0.13,0.61,0.07,0.0
20240510,11.601,11.597,11.601,11.597,119,1388.0,0.03,0.0,0.0,0.0
20240513,11.631,11.597,11.631,11.597,111,1298.0,0.29,0.0,0.0,0.0
20240514,11.651,11.676,11.676,11.651,198,2320.0,0.22,0.68,0.079,0.0
20240515,11.721,11.769,11.769,11.711,223,2628.0,0.5,0.8,0.093,0.0
20240516,11.78,11.751,11.78,11.751,706659,8370853.0,0.25,-0.15,-0.018,0.0
20240517,11.731,11.731,11.731,11.711,1439,16968.0,0.17,-0.17,-0.02,0.0
20240520,11.778,11.731,11.778,11.731,3921,46413.0,0.4,0.0,0.0,0.0
20240521,11.751,11.77,11.77,11.731,3969,46899.0,0.33,0.33,0.039,0.0
20240522,11.751,11.711,11.77,11.661,7083,83465.0,0.93,-0.5,-0.059,0.0
20240523,11.661,11.542,11.691,11.532,5415,62919.0,1.36,-1.44,-0.169,0.0
20240524,11.621,11.657,11.671,11.621,1058,12401.0,0.43,1.0,0.115,0.0
20240528,11.721,11.662,11.721,11.65,904,10628.0,0.61,0.04,0.005,0.0
20240529,11.562,11.567,11.601,11.562,709387,8275339.0,0.33,-0.81,-0.095,0.0
20240530,11.552,11.572,11.572,11.552,1085,12625.0,0.17,0.04,0.005,0.0
20240531,11.601,11.651,11.651,11.562,5398,62837.0,0.77,0.68,0.079,0.0
20240603,11.681,11.642,11.686,11.642,1264,14851.0,0.38,-0.08,-0.009,0.0
20240604,11.592,11.601,11.601,11.586,560,6526.0,0.13,-0.35,-0.041,0.0
20240605,11.631,11.721,11.721,11.611,3236,37984.0,0.95,1.03,0.12,0.0
20240606,11.711,11.691,11.711,11.671,713646,8403463.0,0.34,-0.26,-0.03,0.0
20240607,11.631,11.651,11.691,11.631,5898,69262.0,0.51,-0.34,-0.04,0.0
20240610,11.636,11.652,11.652,11.632,1256,14701.0,0.17,0.01,0.001,0.0
20240611,11.595,11.642,11.642,11.595,4391,51384.0,0.4,-0.09,-0.01,0.0
20240612,11.85,11.791,11.85,11.78,3960,47067.0,0.6,1.28,0.149,0.0
20240613,11.721,11.77,11.77,11.711,5188,61308.0,0.5,-0.18,-0.021,0.0
20240614,11.698,11.701,11.701,11.681,2318,27240.0,0.17,-0.59,-0.069,0.0
20240617,11.79,11.796,11.796,11.79,371,4400.0,0.05,0.81,0.095,0.0
20240618,11.81,11.81,11.81,11.81,927,11012.0,0.0,0.12,0.014,0.0
20240620,11.84,11.77,11.84,11.761,8781,104041.0,0.67,-0.34,-0.04,0.0
20240621,11.771,11.77,11.771,11.751,2645,31295.0,0.17,0.0,0.0,0.0
20240624,11.84,11.78,11.84,11.78,5342,63488.0,0.51,0.08,0.01,0.0
20240625,11.751,11.8,11.8,11.751,2312,27366.0,0.42,0.17,0.02,0.0
20240626,11.751,11.79,11.79,11.751,1692,19999.0,0.33,-0.08,-0.01,0.0
20240627,11.771,11.804,11.804,11.771,927,10976.0,0.28,0.12,0.014,0.0
20240628,11.87,11.808,11.87,11.808,2767,32965.0,0.53,0.03,0.004,0.0
20240701,11.82,11.793,11.82,11.793,341,4054.0,0.23,-0.13,-0.015,0.0
20240702,11.77,11.862,11.862,11.77,1455,17238.0,0.78,0.59,0.069,0.0
20240703,11.88,11.9,11.9,11.88,395,4724.0,0.17,0.32,0.038,0.0
20240705,11.87,11.908,11.908,11.87,688162,8219702.0,0.32,0.07,0.008,0.0
20240708,11.93,11.93,11.93,11.93,87,1044.0,0.0,0.18,0.022,0.0
20240709,11.92,11.902,11.92,11.9,689771,8264259.0,0.17,-0.23,-0.028,0.0
20240710,11.92,12.017,12.017,11.92,2958,35511.0,0.81,0.97,0.115,0.0
20240711,12.062,12.068,12.068,12.062,852,10337.0,0.05,0.42,0.051,0.0
20240712,12.158,12.138,12.243,12.138,6387,78227.0,0.87,0.58,0.07,0.0
20240715,12.238,12.238,12.238,12.238,262,3225.0,0.0,0.82,0.1,0.0
20240716,12.447,12.459,12.459,12.447,2672,33453.0,0.1,1.81,0.221,0.0
20240717,12.377,12.282,12.407,12.282,2073,25743.0,1.0,-1.42,-0.177,0.0
20240718,12.307,12.155,12.307,12.099,8383,102541.0,1.69,-1.03,-0.127,0.0
20240719,12.099,12.067,12.105,12.059,14521,176426.0,0.38,-0.72,-0.088,0.0
20240722,12.118,12.218,12.228,12.118,7897,96994.0,0.91,1.25,0.151,0.0
20240723,12.238,12.226,12.248,12.226,2551,31413.0,0.18,0.07,0.008,0.0
20240724,12.108,11.979,12.108,11.979,3874,46951.0,1.06,-2.02,-0.247,0.0
20240725,12.148,11.999,12.148,11.999,9999,121428.0,1.24,0.17,0.02,0.0
20240726,12.128,12.143,12.168,12.128,7658,93641.0,0.33,1.2,0.144,0.0
20240729,12.118,12.128,12.168,12.118,13008,158846.0,0.41,-0.12,-0.015,0.0
20240730,12.148,12.118,12.153,12.079,6579,80270.0,0.61,-0.08,-0.01,0.0
20240731,12.278,12.248,12.367,12.248,8081,99851.0,0.98,1.07,0.13,0.0
20240801,12.069,12.039,12.079,11.989,7967,96441.0,0.73,-1.71,-0.209,0.0
20240802,11.731,11.783,11.783,11.731,2476,29307.0,0.43,-2.13,-0.256,0.0
20240805,11.403,11.454,11.572,11.403,2576,29731.0,1.43,-2.79,-0.329,0.0
20240806,11.572,11.579,11.621,11.572,278,3242.0,0.43,1.09,0.125,0.0
