trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20060626,75.704,75.45,75.704,75.272,77200,0.0,0.57,-0.34,-0.254,0.0
20060627,75.568,75.407,75.568,75.407,12300,0.0,0.21,-0.06,-0.043,0.0
20060628,75.247,75.45,75.492,75.247,16300,0.0,0.32,0.06,0.043,0.0
20060629,76.059,76.22,76.304,75.856,52500,0.0,0.59,1.02,0.77,0.0
20060630,76.338,75.957,76.346,75.822,11800,0.0,0.69,-0.35,-0.263,0.0
20060703,76.277,76.454,76.454,76.124,5500,0.0,0.43,0.65,0.497,0.0
20060705,76.564,76.209,76.564,76.124,9400,0.0,0.58,-0.32,-0.245,0.0
20060706,76.31,76.166,76.463,76.116,3500,0.0,0.46,-0.06,-0.043,0.0
20060707,76.361,76.082,76.361,76.065,5200,0.0,0.39,-0.11,-0.084,0.0
20060710,75.447,75.362,75.447,75.235,10000,0.0,0.28,-0.95,-0.72,0.0
20060711,74.854,74.947,74.964,74.744,41500,0.0,0.29,-0.55,-0.415,0.0
20060712,74.625,74.727,74.786,74.414,7200,0.0,0.5,-0.29,-0.22,0.0
20060713,74.93,74.972,75.125,74.854,18500,0.0,0.36,0.33,0.245,0.0
20060714,75.21,75.159,75.269,74.964,8900,0.0,0.41,0.25,0.187,0.0
20060717,75.057,74.642,75.066,74.642,8900,0.0,0.56,-0.69,-0.517,0.0
20060718,74.854,74.659,74.854,74.591,4900,0.0,0.35,0.02,0.017,0.0
20060719,74.498,74.752,74.905,74.431,16400,0.0,0.63,0.12,0.093,0.0
20060720,74.795,74.93,75.015,74.752,15400,0.0,0.35,0.24,0.178,0.0
20060721,74.515,74.515,74.685,74.464,4900,0.0,0.29,-0.55,-0.415,0.0
20060724,72.906,74.354,74.354,72.906,5200,0.0,1.94,-0.22,-0.161,0.0
20060725,74.38,74.38,74.448,74.287,21800,0.0,0.22,0.03,0.026,0.0
20060726,74.549,74.905,74.905,74.431,11000,0.0,0.64,0.71,0.525,0.0
20060727,75.176,74.651,75.269,74.651,6300,0.0,0.83,-0.34,-0.254,0.0
20060728,74.998,74.989,75.167,74.989,4600,0.0,0.24,0.45,0.338,0.0
20060731,75.277,75.04,75.354,75.032,5100,0.0,0.43,0.07,0.051,0.0
20060801,74.821,75.093,75.195,74.694,33800,0.0,0.67,0.07,0.053,0.0
20060802,75.407,75.39,75.526,75.322,8200,0.0,0.27,0.4,0.297,0.0
20060803,75.458,75.441,75.517,75.356,16900,0.0,0.21,0.07,0.051,0.0
20060804,75.237,75.237,75.449,75.076,9500,0.0,0.49,-0.27,-0.204,0.0
20060807,75.73,75.908,76.018,75.721,7200,0.0,0.39,0.89,0.671,0.0
20060808,75.832,75.789,75.9,75.755,12800,0.0,0.19,-0.16,-0.119,0.0
20060809,75.84,75.959,75.967,75.798,13400,0.0,0.22,0.22,0.17,0.0
20060810,75.849,75.492,75.874,75.348,23600,0.0,0.69,-0.61,-0.467,0.0
20060811,75.959,75.696,76.095,75.577,3400,0.0,0.69,0.27,0.204,0.0
20060814,75.721,75.458,75.781,75.458,4800,0.0,0.43,-0.31,-0.238,0.0
20060815,75.475,75.764,75.789,75.475,8700,0.0,0.42,0.41,0.306,0.0
20060816,76.265,76.129,76.333,76.027,13900,0.0,0.4,0.48,0.365,0.0
20060817,76.129,75.789,76.171,75.789,1400,0.0,0.5,-0.45,-0.34,0.0
20060818,75.764,75.543,75.781,75.517,3900,0.0,0.35,-0.32,-0.246,0.0
20060821,76.137,76.154,76.205,76.069,9700,0.0,0.18,0.81,0.611,0.0
20060822,76.197,76.341,76.341,76.197,5200,0.0,0.19,0.25,0.187,0.0
20060823,76.706,76.511,77.037,76.502,9100,0.0,0.7,0.22,0.17,0.0
20060824,76.63,76.63,76.664,76.63,1400,0.0,0.04,0.16,0.119,0.0
20060825,76.774,76.766,76.91,76.74,5000,0.0,0.22,0.18,0.136,0.0
20060828,76.919,76.655,76.919,76.63,1900,0.0,0.38,-0.14,-0.111,0.0
