trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20120403,43.612,43.129,44.044,43.129,502500,0.0,0.0,0.0,0.0,0.0
20120404,43.172,43.12,43.172,43.12,3500,0.0,0.12,-0.02,-0.009,0.0
20120405,42.766,43.042,43.042,42.766,1800,0.0,0.64,-0.18,-0.078,0.0
20120409,43.88,43.621,43.88,43.025,6800,0.0,1.99,1.35,0.579,0.0
20120410,43.621,43.293,43.621,43.293,1600,0.0,0.75,-0.75,-0.328,0.0
20120411,43.422,43.215,43.422,43.112,15900,0.0,0.72,-0.18,-0.078,0.0
20120412,43.949,43.492,43.949,43.258,2200,0.0,1.6,0.64,0.277,0.0
20120413,43.941,43.302,43.941,43.302,5500,0.0,1.47,-0.44,-0.19,0.0
20120416,43.889,43.276,43.889,43.215,8600,0.0,1.56,-0.06,-0.026,0.0
20120417,42.965,43.362,43.362,42.965,4100,0.0,0.92,0.2,0.086,0.0
20120418,42.956,43.362,43.362,42.956,600,0.0,0.94,0.0,0.0,0.0
20120419,44.053,43.397,44.053,43.397,2700,0.0,1.51,0.08,0.035,0.0
20120420,43.302,43.397,43.397,43.302,200,0.0,0.22,0.0,0.0,0.0
20120423,43.181,43.276,43.276,43.181,11800,0.0,0.22,-0.28,-0.121,0.0
20120424,43.215,43.181,43.215,43.181,2700,0.0,0.08,-0.22,-0.095,0.0
20120425,43.362,43.362,43.405,43.362,700,0.0,0.1,0.42,0.181,0.0
20120426,43.466,43.44,43.466,43.44,15700,0.0,0.06,0.18,0.078,0.0
20120427,43.569,43.466,43.569,43.466,7700,0.0,0.24,0.06,0.026,0.0
20120430,43.466,43.466,43.466,43.466,0,0.0,0.0,0.0,0.0,0.0
20120501,44.528,43.543,44.528,43.543,200,0.0,2.27,0.18,0.077,0.0
20120502,43.535,43.44,43.535,43.371,2200,0.0,0.38,-0.24,-0.103,0.0
20120503,43.457,43.431,43.457,43.431,300,0.0,0.06,-0.02,-0.009,0.0
20120504,43.431,43.431,43.431,43.431,0,0.0,0.0,0.0,0.0,0.0
20120507,43.431,43.431,43.431,43.431,0,0.0,0.0,0.0,0.0,0.0
20120508,43.232,43.232,43.232,43.232,100,0.0,0.0,-0.46,-0.199,0.0
20120509,43.232,43.232,43.232,43.232,0,0.0,0.0,0.0,0.0,0.0
20120510,43.189,43.094,43.189,43.016,5200,0.0,0.4,-0.32,-0.138,0.0
20120511,43.094,43.094,43.094,43.094,0,0.0,0.0,0.0,0.0,0.0
20120514,42.585,42.628,42.628,42.585,1200,0.0,0.1,-1.08,-0.466,0.0
20120515,42.317,42.317,42.317,42.317,200,0.0,0.0,-0.73,-0.311,0.0
20120516,41.894,41.721,41.894,41.686,2200,0.0,0.49,-1.41,-0.596,0.0
20120517,41.505,41.462,41.505,41.462,800,0.0,0.1,-0.62,-0.259,0.0
20120518,41.686,41.539,41.686,41.539,1200,0.0,0.35,0.19,0.077,0.0
20120521,41.539,41.539,41.539,41.539,0,0.0,0.0,0.0,0.0,0.0
20120522,41.634,41.634,41.634,41.634,500,0.0,0.0,0.23,0.095,0.0
20120523,41.531,41.289,41.531,41.28,1800,0.0,0.6,-0.83,-0.345,0.0
20120524,42.464,40.987,42.464,40.9,2700,0.0,3.79,-0.73,-0.302,0.0
20120525,40.987,40.987,40.987,40.987,0,0.0,0.0,0.0,0.0,0.0
20120529,39.328,39.518,40.641,39.328,4500,0.0,3.2,-3.58,-1.469,0.0
20120530,40.589,40.572,40.615,40.572,2900,0.0,0.11,2.67,1.054,0.0
20120531,40.408,40.296,40.408,40.296,2000,0.0,0.28,-0.68,-0.276,0.0
20120601,40.667,39.734,40.676,39.734,55900,0.0,2.34,-1.39,-0.562,0.0
20120604,40.632,39.941,40.632,39.864,9600,0.0,1.93,0.52,0.207,0.0
20120605,39.864,39.812,39.881,39.587,5400,0.0,0.74,-0.32,-0.129,0.0
20120606,40.529,40.201,40.537,39.82,2600,0.0,1.8,0.98,0.389,0.0
20120607,40.589,40.201,40.589,40.062,3100,0.0,1.31,0.0,0.0,0.0
20120608,40.071,39.838,40.071,39.838,500,0.0,0.58,-0.9,-0.363,0.0
20120611,40.157,40.123,40.157,39.993,12700,0.0,0.41,0.72,0.285,0.0
20120612,40.943,40.201,40.943,39.985,16300,0.0,2.39,0.19,0.078,0.0
20120613,40.114,40.339,40.339,40.114,6900,0.0,0.56,0.34,0.138,0.0
20120614,40.382,40.442,40.442,40.261,4600,0.0,0.45,0.26,0.103,0.0
20120615,40.416,40.442,40.442,40.382,18000,0.0,0.15,0.0,0.0,0.0
20120618,40.788,40.373,40.788,40.365,3900,0.0,1.05,-0.17,-0.069,0.0
20120619,40.814,40.632,41.021,40.632,1600,0.0,0.96,0.64,0.259,0.0
20120620,41.453,40.943,41.514,40.943,2800,0.0,1.41,0.77,0.311,0.0
20120621,40.943,40.512,41.021,40.512,4200,0.0,1.24,-1.05,-0.431,0.0
20120622,41.168,41.021,41.168,40.727,2000,0.0,1.09,1.26,0.509,0.0
20120625,41.211,40.382,41.211,40.382,4000,0.0,2.02,-1.56,-0.639,0.0
20120626,40.589,40.563,40.589,40.503,2100,0.0,0.21,0.45,0.181,0.0
20120627,41.79,40.563,41.79,40.46,4600,0.0,3.28,0.0,0.0,0.0
20120628,40.434,40.391,40.434,40.209,34600,0.0,0.55,-0.42,-0.172,0.0
20120629,41.427,41.073,41.427,41.073,14400,0.0,0.88,1.69,0.682,0.0
20120702,40.935,41.159,41.211,40.935,50900,0.0,0.67,0.21,0.086,0.0
20120703,40.442,41.289,41.289,40.434,2000,0.0,2.08,0.32,0.13,0.0
20120705,41.03,41.09,41.125,40.952,13400,0.0,0.42,-0.48,-0.199,0.0
20120706,41.177,40.555,41.177,40.512,3700,0.0,1.62,-1.3,-0.535,0.0
20120709,40.909,40.52,40.909,40.52,5100,0.0,0.96,-0.09,-0.035,0.0
20120710,40.512,40.339,40.52,40.339,2600,0.0,0.45,-0.45,-0.181,0.0
20120711,40.131,40.468,40.589,40.123,2300,0.0,1.16,0.32,0.129,0.0
20120712,40.468,40.468,40.468,40.468,0,0.0,0.0,0.0,0.0,0.0
20120713,40.762,40.779,40.779,40.762,1300,0.0,0.04,0.77,0.311,0.0
20120716,40.52,40.52,40.52,40.52,500,0.0,0.0,-0.64,-0.259,0.0
20120717,41.505,40.537,41.505,40.477,1900,0.0,2.54,0.04,0.017,0.0
20120718,40.563,40.563,40.563,40.563,1800,0.0,0.0,0.06,0.026,0.0
20120719,40.563,40.71,40.978,40.563,12900,0.0,1.02,0.36,0.147,0.0
20120720,41.712,40.589,41.712,40.589,12400,0.0,2.76,-0.3,-0.121,0.0
20120723,40.468,39.915,40.468,39.795,8600,0.0,1.66,-1.66,-0.674,0.0
20120724,40.33,39.881,40.33,39.881,5900,0.0,1.12,-0.09,-0.034,0.0
