trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110126,12.131,12.116,12.24,12.051,41729,0.0,0.52,-66.87,-24.458,0.0
20110127,12.073,12.189,12.203,12.073,9514,0.0,1.07,0.6,0.073,0.0
20110128,12.218,11.789,12.218,11.789,20139,0.0,3.52,-3.28,-0.4,0.0
20110131,12.051,11.978,12.051,11.84,27873,0.0,1.79,1.6,0.189,0.0
20110201,12.131,12.269,12.298,12.065,16507,0.0,1.95,2.43,0.291,0.0
20110202,12.182,12.552,12.559,12.182,14229,0.0,3.07,2.31,0.283,0.0
20110203,12.625,12.458,12.625,12.254,17769,0.0,2.96,-0.75,-0.094,0.0
20110204,12.523,12.327,12.523,12.189,9006,0.0,2.68,-1.05,-0.131,0.0
20110207,12.472,12.458,12.559,12.436,50971,0.0,1.0,1.06,0.131,0.0
20110208,12.494,12.385,12.494,12.327,14699,0.0,1.34,-0.59,-0.073,0.0
20110209,12.283,12.349,12.443,12.283,8627,0.0,1.29,-0.29,-0.036,0.0
20110210,12.24,12.254,12.262,12.218,11537,0.0,0.36,-0.77,-0.095,0.0
20110211,12.218,12.385,12.421,12.153,12151,0.0,2.19,1.07,0.131,0.0
20110214,12.501,12.603,12.603,12.414,104004,0.0,1.53,1.76,0.218,0.0
20110325,13.024,13.068,13.126,13.024,19072,0.0,0.81,3.69,0.465,0.0
20110328,13.22,13.409,13.482,13.22,24736,0.0,2.0,2.61,0.341,0.0
20110329,13.416,13.511,13.511,13.322,17640,0.0,1.41,0.76,0.102,0.0
20110330,13.576,13.663,13.685,13.525,250157,0.0,1.18,1.13,0.152,0.0
20110331,13.693,13.693,13.714,13.62,73024,0.0,0.69,0.22,0.03,0.0
20110401,13.787,13.634,13.787,13.547,141148,0.0,1.75,-0.43,-0.059,0.0
20110404,13.794,13.671,13.801,13.569,59065,0.0,1.7,0.27,0.037,0.0
20110405,13.627,13.605,13.714,13.562,44051,0.0,1.11,-0.48,-0.066,0.0
20110406,13.656,13.518,13.656,13.446,22754,0.0,1.54,-0.64,-0.087,0.0
20110407,13.446,13.344,13.446,13.278,41462,0.0,1.24,-1.29,-0.174,0.0
20110408,13.366,13.366,13.467,13.264,20506,0.0,1.52,0.16,0.022,0.0
20110411,13.438,13.228,13.438,13.191,22451,0.0,1.85,-1.03,-0.138,0.0
20110412,13.22,13.097,13.22,12.995,95300,0.0,1.7,-0.99,-0.131,0.0
20110413,13.344,13.177,13.344,13.148,48882,0.0,1.5,0.61,0.08,0.0
20110414,13.191,13.119,13.191,12.966,153657,0.0,1.71,-0.44,-0.058,0.0
20110415,13.068,12.966,13.068,12.915,9065,0.0,1.17,-1.17,-0.153,0.0
20110418,12.785,12.53,12.785,12.349,59880,0.0,3.36,-3.36,-0.436,0.0
20110419,12.523,12.574,12.632,12.472,15873,0.0,1.28,0.35,0.044,0.0
20110420,12.843,12.748,12.843,12.661,11224,0.0,1.45,1.38,0.174,0.0
20110421,12.872,12.785,12.872,12.726,12636,0.0,1.15,0.29,0.037,0.0
20110425,12.886,12.799,12.886,12.763,30989,0.0,0.96,0.11,0.014,0.0
20110426,12.792,12.923,12.959,12.792,49248,0.0,1.3,0.97,0.124,0.0
20110427,12.93,12.973,12.981,12.755,14370,0.0,1.75,0.39,0.05,0.0
20110428,12.893,12.995,12.995,12.755,40014,0.0,1.85,0.17,0.022,0.0
20110429,13.104,13.344,13.409,13.002,39590,0.0,3.13,2.69,0.349,0.0
20110502,13.358,13.191,13.358,13.177,24149,0.0,1.36,-1.15,-0.153,0.0
20110503,13.206,13.01,13.206,12.937,30240,0.0,2.04,-1.37,-0.181,0.0
20110504,12.995,12.741,12.995,12.676,28758,0.0,2.45,-2.07,-0.269,0.0
20110505,12.661,12.552,12.683,12.508,13130,0.0,1.37,-1.48,-0.189,0.0
20110506,12.625,12.559,12.697,12.494,19107,0.0,1.62,0.06,0.007,0.0
20110509,12.625,12.654,12.654,12.516,8826,0.0,1.1,0.76,0.095,0.0
20110510,12.763,12.77,12.77,12.639,19475,0.0,1.04,0.92,0.116,0.0
20110511,12.777,12.552,12.777,12.479,14979,0.0,2.33,-1.71,-0.218,0.0
20110512,12.458,12.676,12.676,12.4,111585,0.0,2.2,0.99,0.124,0.0
20110513,12.639,12.429,12.639,12.349,23943,0.0,2.29,-1.95,-0.247,0.0
20110516,12.487,12.32,12.494,12.312,62188,0.0,1.46,-0.88,-0.109,0.0
20110517,12.341,12.254,12.37,12.218,9142,0.0,1.23,-0.54,-0.066,0.0
20110518,12.349,12.363,12.414,12.349,8498,0.0,0.53,0.89,0.109,0.0
20110519,12.458,12.421,12.458,12.305,42265,0.0,1.24,0.47,0.058,0.0
20110520,12.349,12.138,12.349,12.102,14196,0.0,1.99,-2.28,-0.283,0.0
20110523,11.927,11.913,11.956,11.847,53112,0.0,0.9,-1.85,-0.225,0.0
20110524,11.898,11.811,11.964,11.775,29492,0.0,1.59,-0.86,-0.102,0.0
20110525,11.789,11.768,11.818,11.702,27308,0.0,0.98,-0.36,-0.043,0.0
20110526,11.768,11.746,11.768,11.637,18650,0.0,1.11,-0.19,-0.022,0.0
20110527,11.811,11.862,11.884,11.789,9023,0.0,0.81,0.99,0.116,0.0
20110531,12.269,12.363,12.407,12.24,24360,0.0,1.41,4.22,0.501,0.0
20110601,12.327,11.913,12.327,11.898,11333,0.0,3.47,-3.64,-0.45,0.0
20110602,12.022,12.022,12.022,12.015,11700,0.0,0.06,0.91,0.109,0.0
20110603,11.956,12.029,12.116,11.956,21411,0.0,1.33,0.06,0.007,0.0
20110606,12.109,11.862,12.109,11.847,12875,0.0,2.18,-1.39,-0.167,0.0
20110607,12.036,11.993,12.065,11.993,25157,0.0,0.61,1.1,0.131,0.0
20110608,11.949,11.651,11.949,11.622,17942,0.0,2.73,-2.85,-0.342,0.0
20110609,11.651,11.717,11.76,11.651,15767,0.0,0.94,0.57,0.066,0.0
20110610,11.63,11.528,11.63,11.412,19377,0.0,1.86,-1.61,-0.189,0.0
20110613,11.622,11.535,11.622,11.484,10768,0.0,1.2,0.06,0.007,0.0
20110614,11.695,11.935,11.956,11.695,8837,0.0,2.26,3.47,0.4,0.0
20110615,11.68,11.462,11.68,11.441,17591,0.0,2.0,-3.96,-0.473,0.0
20110616,11.397,11.419,11.557,11.295,14535,0.0,2.29,-0.38,-0.043,0.0
20110617,11.557,11.542,11.557,11.39,14080,0.0,1.46,1.08,0.123,0.0
20110620,11.404,11.354,11.426,11.339,7021,0.0,0.75,-1.63,-0.188,0.0
20110621,11.495,11.583,11.583,11.466,9043,0.0,1.03,2.02,0.229,0.0
20110622,11.598,11.583,11.693,11.568,16881,0.0,1.08,0.0,0.0,0.0
20110623,11.385,11.51,11.51,11.216,19533,0.0,2.54,-0.63,-0.073,0.0
20110624,11.48,11.282,11.48,11.275,12591,0.0,1.78,-1.98,-0.228,0.0
20110627,11.326,11.37,11.385,11.304,5778,0.0,0.72,0.78,0.088,0.0
20110628,11.297,11.524,11.554,11.297,20048,0.0,2.26,1.35,0.154,0.0
20110629,11.554,11.737,11.752,11.554,18740,0.0,1.72,1.85,0.213,0.0
20110630,11.87,11.899,11.958,11.848,19481,0.0,0.94,1.38,0.162,0.0
20110701,12.083,11.994,12.083,11.921,11471,0.0,1.36,0.8,0.095,0.0
20110705,11.87,11.87,11.972,11.862,10516,0.0,0.92,-1.03,-0.124,0.0
20110706,11.715,11.657,11.745,11.62,72311,0.0,1.05,-1.79,-0.213,0.0
20110707,11.767,11.715,11.767,11.627,6548,0.0,1.2,0.5,0.058,0.0
20110708,11.532,11.51,11.532,11.385,14256,0.0,1.25,-1.75,-0.205,0.0
20110711,11.238,11.084,11.326,11.069,88572,0.0,2.23,-3.7,-0.426,0.0
20110712,10.988,10.856,10.988,10.79,33734,0.0,1.79,-2.06,-0.228,0.0
20110713,10.929,11.025,11.15,10.929,13040,0.0,2.04,1.56,0.169,0.0
20110714,11.128,10.871,11.128,10.871,57024,0.0,2.33,-1.4,-0.154,0.0
20110715,10.922,10.959,10.959,10.841,22492,0.0,1.09,0.81,0.088,0.0
20110718,10.915,10.731,10.915,10.65,11794,0.0,2.42,-2.08,-0.228,0.0
20110719,10.775,10.959,11.003,10.775,15119,0.0,2.12,2.12,0.228,0.0
20110720,11.032,11.113,11.172,11.025,28635,0.0,1.34,1.41,0.154,0.0
20110721,11.12,11.267,11.297,11.12,11173,0.0,1.59,1.39,0.154,0.0
20110722,11.385,11.422,11.429,11.267,24010,0.0,1.44,1.38,0.155,0.0
20110725,11.26,11.201,11.304,11.172,5786,0.0,1.16,-1.93,-0.221,0.0
20110726,11.245,11.194,11.245,11.194,4259,0.0,0.46,-0.06,-0.007,0.0
20110727,11.164,10.841,11.164,10.783,23522,0.0,3.4,-3.15,-0.353,0.0
20110728,10.863,10.805,10.893,10.694,18822,0.0,1.84,-0.33,-0.036,0.0
20110729,10.599,10.775,10.834,10.577,64087,0.0,2.38,-0.28,-0.03,0.0
20110801,11.032,10.709,11.032,10.621,8532,0.0,3.81,-0.61,-0.066,0.0
20110802,10.577,10.357,10.599,10.357,15462,0.0,2.26,-3.29,-0.352,0.0
20110803,10.371,10.29,10.445,10.129,148476,0.0,3.05,-0.65,-0.067,0.0
20110804,10.004,9.519,10.026,9.497,29264,0.0,5.14,-7.49,-0.771,0.0
20110805,9.651,9.497,9.754,9.174,42964,0.0,6.09,-0.23,-0.022,0.0
20110808,8.99,8.652,9.056,8.557,65104,0.0,5.25,-8.9,-0.845,0.0
20110809,8.821,9.13,9.13,8.66,32548,0.0,5.43,5.52,0.478,0.0
20110810,9.034,8.873,9.181,8.792,14907,0.0,4.26,-2.81,-0.257,0.0
20110811,8.924,9.453,9.497,8.924,52593,0.0,6.46,6.54,0.58,0.0
20110812,9.593,9.38,9.593,9.358,12693,0.0,2.49,-0.77,-0.073,0.0
20110815,9.563,9.754,9.769,9.556,7685,0.0,2.27,3.99,0.374,0.0
20110816,9.71,9.578,9.71,9.497,47065,0.0,2.18,-1.8,-0.176,0.0
20110817,9.754,9.637,9.762,9.534,16429,0.0,2.38,0.62,0.059,0.0
20110818,9.365,9.02,9.365,8.99,21982,0.0,3.89,-6.4,-0.617,0.0
20110819,8.917,8.711,9.071,8.711,121338,0.0,3.99,-3.43,-0.309,0.0
20110822,8.91,8.741,8.932,8.741,28698,0.0,2.19,0.34,0.03,0.0
20110823,8.807,9.159,9.211,8.785,29083,0.0,4.87,4.78,0.418,0.0
20110824,9.181,9.299,9.299,9.086,8641,0.0,2.33,1.53,0.14,0.0
20110825,9.247,9.123,9.247,9.108,5383,0.0,1.49,-1.89,-0.176,0.0
20110826,9.181,9.365,9.431,9.078,5281,0.0,3.87,2.65,0.242,0.0
20110829,9.519,9.747,9.747,9.519,9322,0.0,2.43,4.08,0.382,0.0
20110830,9.732,9.71,9.732,9.549,19336,0.0,1.88,-0.38,-0.037,0.0
20110831,9.754,9.71,9.791,9.6,65754,0.0,1.97,0.0,0.0,0.0
20110901,9.688,9.49,9.688,9.453,9710,0.0,2.42,-2.27,-0.22,0.0
20110902,9.269,9.078,9.269,9.064,47742,0.0,2.16,-4.34,-0.412,0.0
20110906,8.763,8.719,8.777,8.63,26200,0.0,1.62,-3.95,-0.359,0.0
20110907,8.829,8.954,8.983,8.829,26671,0.0,1.77,2.7,0.235,0.0
20110908,8.865,8.697,8.932,8.667,15482,0.0,2.96,-2.87,-0.257,0.0
20110909,8.542,8.263,8.542,8.204,40237,0.0,3.89,-4.99,-0.434,0.0
20110912,7.911,8.153,8.315,7.911,37600,0.0,4.89,-1.33,-0.11,0.0
20110913,8.138,8.248,8.293,8.138,24257,0.0,1.9,1.17,0.095,0.0
20110914,8.278,8.395,8.454,8.16,40997,0.0,3.56,1.78,0.147,0.0
20110915,8.506,8.366,8.506,8.344,6500,0.0,1.93,-0.35,-0.029,0.0
20110916,8.41,8.168,8.41,8.153,18486,0.0,3.07,-2.37,-0.198,0.0
