trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20050103,15.345,15.286,15.408,15.233,444800,0.0,2.83,147.63,9.113,0.0
20050104,15.194,14.953,15.241,14.94,304200,0.0,1.97,-2.18,-0.333,0.0
20050105,15.005,15.001,15.091,14.981,107400,0.0,0.74,0.32,0.048,0.0
20050106,15.032,15.022,15.042,14.955,112200,0.0,0.58,0.14,0.021,0.0
20050107,15.131,14.859,15.131,14.859,66600,0.0,1.81,-1.09,-0.163,0.0
20050110,14.989,14.957,15.02,14.91,200000,0.0,0.74,0.66,0.098,0.0
20050111,14.93,14.859,14.949,14.831,158400,0.0,0.79,-0.66,-0.098,0.0
20050112,14.922,14.991,14.997,14.877,611200,0.0,0.81,0.89,0.132,0.0
20050113,14.94,14.857,14.955,14.808,159000,0.0,0.98,-0.89,-0.134,0.0
20050114,14.841,14.898,14.926,14.818,57200,0.0,0.73,0.28,0.041,0.0
20050118,14.8,14.938,14.94,14.778,123000,0.0,1.09,0.27,0.04,0.0
20050119,14.989,14.827,14.989,14.788,171200,0.0,1.35,-0.74,-0.111,0.0
20050120,14.698,14.725,14.784,14.676,223400,0.0,0.73,-0.69,-0.102,0.0
20050121,14.757,14.747,14.835,14.727,177000,0.0,0.73,0.15,0.022,0.0
20050124,14.829,14.802,14.849,14.786,83400,0.0,0.43,0.37,0.055,0.0
20050125,14.873,14.798,14.896,14.768,132600,0.0,0.86,-0.03,-0.004,0.0
20050126,14.916,14.991,15.001,14.916,117400,0.0,0.57,1.3,0.193,0.0
20050127,14.94,15.022,15.028,14.894,766200,0.0,0.89,0.21,0.031,0.0
20050128,14.993,14.979,14.995,14.863,106000,0.0,0.88,-0.29,-0.043,0.0
20050131,14.993,15.05,15.062,14.983,156200,0.0,0.53,0.47,0.071,0.0
20050201,15.089,15.205,15.215,15.034,285800,0.0,1.2,1.03,0.155,0.0
20050202,15.233,15.194,15.235,15.146,206800,0.0,0.59,-0.07,-0.011,0.0
