trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20120403,12.303,12.347,12.434,12.294,15700,0.0,1.14,0.36,0.044,0.0
20120404,12.303,12.352,13.201,12.289,20000,0.0,7.39,0.04,0.005,0.0
20120405,12.357,12.212,12.357,12.062,41700,0.0,2.39,-1.13,-0.14,0.0
20120409,12.217,12.241,12.303,12.202,32100,0.0,0.83,0.24,0.029,0.0
20120410,12.275,12.183,12.275,12.178,7600,0.0,0.79,-0.47,-0.058,0.0
20120411,12.212,12.164,12.255,12.164,15300,0.0,0.75,-0.16,-0.019,0.0
20120412,12.303,12.25,12.303,12.207,5700,0.0,0.79,0.71,0.086,0.0
20120413,12.221,12.168,12.246,12.168,2700,0.0,0.64,-0.67,-0.082,0.0
20120416,12.255,12.159,12.255,12.144,3700,0.0,0.91,-0.07,-0.009,0.0
20120417,12.226,12.265,12.265,12.183,95300,0.0,0.67,0.87,0.106,0.0
20120418,12.207,12.255,12.255,12.207,3300,0.0,0.39,-0.08,-0.01,0.0
20120419,12.231,12.101,12.231,12.053,38100,0.0,1.45,-1.26,-0.154,0.0
20120420,12.101,12.139,12.139,12.077,2900,0.0,0.51,0.31,0.038,0.0
20120423,12.11,12.12,12.144,12.091,80100,0.0,0.44,-0.16,-0.019,0.0
20120424,12.13,12.082,12.149,12.082,41300,0.0,0.55,-0.31,-0.038,0.0
20120425,12.115,12.106,12.115,12.091,17500,0.0,0.2,0.2,0.024,0.0
20120426,12.12,12.12,12.12,12.072,44000,0.0,0.4,0.12,0.014,0.0
20120427,12.12,12.139,12.144,12.101,10000,0.0,0.35,0.16,0.019,0.0
20120430,12.13,12.13,12.144,12.096,17000,0.0,0.4,-0.07,-0.009,0.0
20120501,12.207,12.135,12.207,12.135,24200,0.0,0.59,0.04,0.005,0.0
20120502,12.149,12.13,12.178,12.106,58600,0.0,0.59,-0.04,-0.005,0.0
20120503,12.135,12.125,12.168,12.125,20000,0.0,0.35,-0.04,-0.005,0.0
20120504,12.164,12.12,12.193,12.11,15000,0.0,0.68,-0.04,-0.005,0.0
