trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20160202,34.407,33.996,34.407,33.854,880386,0.0,0.0,0.0,0.0,0.0
20160203,34.093,34.4,34.437,33.69,223366,0.0,2.2,1.19,0.404,0.0
20160204,34.437,34.527,34.714,34.347,256828,0.0,1.07,0.37,0.127,0.0
20160205,34.474,34.033,34.512,33.936,163352,0.0,1.67,-1.43,-0.494,0.0
20160208,33.495,33.495,33.533,33.144,259582,0.0,1.14,-1.58,-0.538,0.0
20160209,32.867,33.024,33.189,32.815,238623,0.0,1.12,-1.41,-0.471,0.0
20160210,33.331,33.054,33.443,32.964,138766,0.0,1.45,0.09,0.03,0.0
20160211,32.673,32.628,32.755,32.329,387854,0.0,1.29,-1.29,-0.426,0.0
20160212,32.808,33.017,33.099,32.606,261095,0.0,1.51,1.19,0.389,0.0
20160216,33.794,33.764,33.794,33.458,193820,0.0,1.02,2.26,0.747,0.0
20160217,34.138,34.407,34.445,34.056,398378,0.0,1.15,1.9,0.643,0.0
20160218,34.639,34.288,34.639,34.25,551546,0.0,1.13,-0.35,-0.119,0.0
20160219,34.078,34.213,34.243,33.936,393508,0.0,0.9,-0.22,-0.075,0.0
20160222,34.527,34.646,34.684,34.527,125374,0.0,0.46,1.27,0.433,0.0
20160223,34.377,34.116,34.459,34.063,381058,0.0,1.14,-1.53,-0.53,0.0
20160224,33.63,34.041,34.086,33.406,106284,0.0,1.99,-0.22,-0.075,0.0
20160225,34.033,34.422,34.422,34.026,156514,0.0,1.16,1.12,0.381,0.0
20160226,34.587,34.25,34.639,34.205,153310,0.0,1.26,-0.5,-0.172,0.0
20160229,34.317,34.235,34.474,34.175,662093,0.0,0.87,-0.04,-0.015,0.0
20160301,34.721,35.11,35.11,34.616,171986,0.0,1.44,2.56,0.875,0.0
20160302,35.11,35.394,35.394,35.02,112316,0.0,1.07,0.81,0.284,0.0
20160303,35.461,35.723,35.723,35.431,77975,0.0,0.82,0.93,0.329,0.0
20160304,35.94,36.111,36.261,35.872,160159,0.0,1.09,1.09,0.388,0.0
20160307,35.783,36.089,36.224,35.715,190619,0.0,1.41,-0.06,-0.022,0.0
20160308,35.857,35.663,35.865,35.611,377360,0.0,0.7,-1.18,-0.426,0.0
20160309,35.842,35.842,35.917,35.7,154880,0.0,0.61,0.5,0.179,0.0
20160310,35.992,35.768,36.216,35.491,109813,0.0,2.02,-0.21,-0.074,0.0
20160311,36.328,36.694,36.694,36.328,210552,0.0,1.02,2.59,0.926,0.0
20160314,36.635,36.582,36.642,36.47,249889,0.0,0.47,-0.31,-0.112,0.0
20160315,36.059,36.164,36.164,36.007,177609,0.0,0.43,-1.14,-0.418,0.0
20160316,35.969,36.65,36.65,35.947,377213,0.0,1.94,1.34,0.486,0.0
20160317,36.702,37.053,37.121,36.65,381394,0.0,1.29,1.1,0.403,0.0
20160318,37.091,37.031,37.135,36.971,136425,0.0,0.44,-0.06,-0.022,0.0
20160321,37.008,37.023,37.091,36.851,113680,0.0,0.65,-0.02,-0.008,0.0
20160322,36.65,36.956,37.031,36.65,176679,0.0,1.03,-0.18,-0.067,0.0
20160323,36.777,36.5,36.837,36.448,228699,0.0,1.05,-1.23,-0.456,0.0
20160324,36.141,36.313,36.313,35.992,192924,0.0,0.88,-0.51,-0.187,0.0
20160328,36.53,36.485,36.62,36.328,552332,0.0,0.8,0.47,0.172,0.0
20160329,36.351,36.926,36.926,36.231,124912,0.0,1.9,1.21,0.441,0.0
20160330,37.21,37.255,37.449,37.165,265276,0.0,0.77,0.89,0.329,0.0
20160331,37.188,36.956,37.225,36.919,177512,0.0,0.82,-0.8,-0.299,0.0
20160401,36.276,36.657,36.672,36.216,201378,0.0,1.23,-0.81,-0.299,0.0
20160404,36.762,36.523,36.762,36.47,276347,0.0,0.8,-0.37,-0.134,0.0
20160405,35.954,35.79,35.954,35.775,229712,0.0,0.49,-2.01,-0.733,0.0
20160406,35.94,36.358,36.358,35.872,201577,0.0,1.36,1.59,0.568,0.0
20160407,36.089,35.842,36.119,35.708,270748,0.0,1.13,-1.42,-0.516,0.0
20160408,36.44,36.463,36.597,36.418,166768,0.0,0.5,1.73,0.621,0.0
20160411,36.807,36.62,36.934,36.62,414896,0.0,0.86,0.43,0.157,0.0
20160412,36.889,37.233,37.248,36.702,83651,0.0,1.49,1.67,0.613,0.0
20160413,37.666,37.733,37.763,37.562,247187,0.0,0.54,1.34,0.5,0.0
20160414,37.741,37.726,37.808,37.681,121880,0.0,0.34,-0.02,-0.007,0.0
20160415,37.711,37.651,37.741,37.606,162331,0.0,0.36,-0.2,-0.075,0.0
20160418,37.554,37.913,37.958,37.554,167018,0.0,1.07,0.7,0.262,0.0
20160419,38.459,38.526,38.586,38.346,346496,0.0,0.63,1.62,0.613,0.0
20160420,38.474,38.526,38.683,38.369,88376,0.0,0.82,0.0,0.0,0.0
20160421,38.451,38.242,38.451,38.167,155027,0.0,0.74,-0.74,-0.284,0.0
20160422,38.234,38.227,38.361,38.062,161422,0.0,0.78,-0.04,-0.015,0.0
20160425,37.98,38.047,38.107,37.928,103194,0.0,0.47,-0.47,-0.18,0.0
20160426,38.219,38.219,38.257,38.1,103964,0.0,0.41,0.45,0.172,0.0
20160427,38.13,38.294,38.376,38.055,189361,0.0,0.84,0.2,0.075,0.0
20160428,37.995,37.89,38.249,37.823,149459,0.0,1.11,-1.05,-0.404,0.0
20160429,37.928,37.861,37.988,37.621,157443,0.0,0.97,-0.08,-0.029,0.0
20160502,37.995,38.01,38.062,37.846,220641,0.0,0.57,0.39,0.149,0.0
20160503,37.606,37.307,37.606,37.255,698227,0.0,0.92,-1.85,-0.703,0.0
20160504,37.061,36.859,37.083,36.792,126134,0.0,0.78,-1.2,-0.448,0.0
20160505,36.979,36.829,36.979,36.739,105718,0.0,0.65,-0.08,-0.03,0.0
20160506,36.665,36.896,36.934,36.627,177792,0.0,0.83,0.18,0.067,0.0
20160509,36.941,36.754,36.971,36.665,479333,0.0,0.83,-0.38,-0.142,0.0
20160510,37.031,37.27,37.27,36.911,134655,0.0,0.98,1.4,0.516,0.0
20160511,37.143,37.053,37.255,37.038,193834,0.0,0.58,-0.58,-0.217,0.0
20160512,37.345,36.993,37.36,36.866,125692,0.0,1.33,-0.16,-0.06,0.0
20160513,36.754,36.552,36.874,36.478,200090,0.0,1.07,-1.19,-0.441,0.0
20160516,36.665,36.993,37.046,36.665,165939,0.0,1.04,1.21,0.441,0.0
20160517,36.993,36.822,37.091,36.747,207082,0.0,0.93,-0.46,-0.171,0.0
20160518,36.717,36.694,37.053,36.59,131935,0.0,1.26,-0.35,-0.128,0.0
20160519,36.373,36.47,36.515,36.276,156485,0.0,0.65,-0.61,-0.224,0.0
20160520,36.732,36.739,36.807,36.627,70738,0.0,0.49,0.74,0.269,0.0
20160523,36.642,36.665,36.747,36.59,76095,0.0,0.43,-0.2,-0.074,0.0
20160524,36.784,37.113,37.15,36.784,91833,0.0,1.0,1.22,0.448,0.0
20160525,37.278,37.502,37.554,37.278,109971,0.0,0.74,1.05,0.389,0.0
20160526,37.659,37.599,37.681,37.502,83652,0.0,0.48,0.26,0.097,0.0
20160527,37.569,37.509,37.644,37.494,322285,0.0,0.4,-0.24,-0.09,0.0
20160531,37.711,37.464,37.748,37.36,584495,0.0,1.03,-0.12,-0.045,0.0
20160601,37.3,37.457,37.457,37.188,691604,0.0,0.72,-0.02,-0.007,0.0
20160602,37.292,37.487,37.487,37.218,231313,0.0,0.72,0.08,0.03,0.0
20160603,37.696,37.838,37.853,37.532,161894,0.0,0.86,0.94,0.351,0.0
20160606,37.913,38.107,38.145,37.913,137534,0.0,0.61,0.71,0.269,0.0
20160607,38.354,38.354,38.451,38.339,122527,0.0,0.29,0.65,0.247,0.0
20160608,38.526,38.533,38.645,38.459,117507,0.0,0.48,0.47,0.179,0.0
20160609,38.092,38.085,38.167,37.943,150513,0.0,0.58,-1.16,-0.448,0.0
20160610,37.412,37.091,37.449,36.971,136975,0.0,1.26,-2.61,-0.994,0.0
20160613,36.635,36.567,36.904,36.5,145980,0.0,1.09,-1.41,-0.524,0.0
20160614,36.261,36.126,36.373,35.932,228264,0.0,1.21,-1.21,-0.441,0.0
20160615,36.373,36.366,36.508,36.291,313411,0.0,0.6,0.66,0.24,0.0
20160616,35.85,36.351,36.351,35.596,70390,0.0,2.08,-0.04,-0.015,0.0
20160617,36.44,36.627,36.665,36.343,84180,0.0,0.89,0.76,0.276,0.0
20160620,37.532,37.434,37.689,37.397,65643,0.0,0.8,2.2,0.807,0.0
20160621,37.674,37.704,37.868,37.532,144707,0.0,0.9,0.72,0.27,0.0
20160622,38.48,38.272,38.572,38.249,256314,0.0,0.86,1.51,0.568,0.0
20160623,38.896,39.273,39.273,38.78,233277,0.0,1.29,2.62,1.001,0.0
20160624,36.515,36.392,37.139,36.261,2818112,0.0,2.24,-7.34,-2.881,0.0
20160627,35.868,35.69,35.875,35.69,25000,0.0,0.51,-1.93,-0.702,0.0
20160628,36.392,36.538,36.538,36.176,169686,0.0,1.01,2.38,0.848,0.0
20160629,37.085,37.239,37.278,36.985,719593,0.0,0.8,1.92,0.701,0.0
20160630,37.339,37.725,37.725,37.193,849260,0.0,1.43,1.31,0.486,0.0
20160701,37.694,37.848,37.917,37.694,360013,0.0,0.59,0.33,0.123,0.0
20160705,37.232,37.085,37.386,37.0,900884,0.0,1.02,-2.02,-0.763,0.0
20160706,36.708,37.085,37.085,36.469,340149,0.0,1.66,0.0,0.0,0.0
20160707,37.116,36.962,37.255,36.808,745406,0.0,1.21,-0.33,-0.123,0.0
20160708,37.232,37.532,37.532,37.232,274432,0.0,0.81,1.54,0.57,0.0
20160711,37.817,37.987,38.095,37.817,213964,0.0,0.74,1.21,0.455,0.0
20160712,38.395,38.464,38.603,38.341,349085,0.0,0.69,1.26,0.477,0.0
20160713,38.526,38.487,38.58,38.326,148290,0.0,0.66,0.06,0.023,0.0
20160714,38.796,38.803,38.857,38.68,119392,0.0,0.46,0.82,0.316,0.0
20160715,38.68,38.657,38.719,38.518,1053075,0.0,0.52,-0.38,-0.146,0.0
20160718,38.603,38.757,38.788,38.541,671905,0.0,0.64,0.26,0.1,0.0
20160719,38.503,38.495,38.511,38.364,183323,0.0,0.38,-0.68,-0.262,0.0
20160720,38.649,38.773,38.788,38.549,96758,0.0,0.62,0.72,0.278,0.0
20160721,38.526,38.626,38.765,38.503,987956,0.0,0.68,-0.38,-0.147,0.0
20160722,38.696,38.811,38.811,38.557,131184,0.0,0.66,0.48,0.185,0.0
20160725,38.665,38.603,38.726,38.48,385123,0.0,0.63,-0.54,-0.208,0.0
20160726,38.703,38.803,38.842,38.588,284635,0.0,0.66,0.52,0.2,0.0
20160727,38.88,38.85,38.996,38.657,400973,0.0,0.87,0.12,0.047,0.0
20160728,38.927,38.896,38.957,38.749,67344,0.0,0.54,0.12,0.046,0.0
20160729,39.073,39.289,39.35,39.042,189442,0.0,0.79,1.01,0.393,0.0
20160801,39.289,39.073,39.289,39.027,207537,0.0,0.67,-0.55,-0.216,0.0
20160802,39.058,38.927,39.065,38.773,232744,0.0,0.75,-0.37,-0.146,0.0
20160803,38.58,38.857,38.857,38.58,294001,0.0,0.71,-0.18,-0.07,0.0
20160804,38.88,39.058,39.073,38.88,150492,0.0,0.5,0.52,0.201,0.0
20160805,39.073,39.266,39.281,39.065,94208,0.0,0.55,0.53,0.208,0.0
20160808,39.327,39.389,39.428,39.327,257354,0.0,0.26,0.31,0.123,0.0
20160809,39.528,39.713,39.82,39.528,173048,0.0,0.74,0.82,0.324,0.0
20160810,39.959,39.851,39.967,39.767,245461,0.0,0.5,0.35,0.138,0.0
20160811,39.998,40.113,40.198,39.959,143905,0.0,0.6,0.66,0.262,0.0
20160812,40.152,40.036,40.183,39.982,2940448,0.0,0.5,-0.19,-0.077,0.0
