trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240102,24.927,24.927,24.927,24.927,10,249.0,0.0,0.0,0.0,0.0
20240103,24.89,24.796,24.89,24.796,111,2762.0,0.38,-0.53,-0.131,0.0
20240104,24.765,24.765,24.765,24.765,12,297.0,0.0,-0.13,-0.031,0.0
20240105,24.78,24.791,24.791,24.71,428,10592.0,0.33,0.1,0.026,0.0
20240108,24.91,25.027,25.027,24.91,6347,158713.0,0.47,0.95,0.236,0.0
20240109,24.81,24.957,24.97,24.81,27264,676528.0,0.64,-0.28,-0.07,0.0
20240110,25.03,25.041,25.041,25.03,262,6557.0,0.04,0.34,0.084,0.0
20240111,25.05,25.061,25.061,25.031,500,12522.0,0.12,0.08,0.02,0.0
20240112,25.06,25.078,25.078,25.06,100,2506.0,0.07,0.07,0.017,0.0
20240116,25.05,24.999,25.05,24.999,352,8811.0,0.2,-0.32,-0.079,0.0
20240117,24.91,24.921,24.921,24.9,8017,199663.0,0.08,-0.31,-0.078,0.0
20240119,25.263,25.255,25.263,25.255,100,2526.0,0.03,1.34,0.334,0.0
20240122,25.39,25.297,25.39,25.297,100,2539.0,0.37,0.17,0.042,0.0
20240124,25.38,25.359,25.38,25.359,247,6268.0,0.08,0.25,0.062,0.0
20240125,25.37,25.422,25.422,25.37,334,8473.0,0.21,0.25,0.063,0.0
20240126,25.454,25.421,25.454,25.421,278,7076.0,0.13,0.0,-0.001,0.0
20240129,25.522,25.522,25.522,25.522,1,25.0,0.0,0.4,0.101,0.0
20240130,25.55,25.51,25.55,25.5,964,24613.0,0.2,-0.05,-0.012,0.0
20240131,25.292,25.292,25.292,25.292,166,4198.0,0.0,-0.85,-0.218,0.0
20240201,25.335,25.447,25.447,25.335,766,19452.0,0.44,0.61,0.155,0.0
20240202,25.612,25.612,25.612,25.612,284,7273.0,0.0,0.65,0.165,0.0
20240206,25.59,25.595,25.6,25.59,268,6859.0,0.04,-0.07,-0.017,0.0
20240209,25.795,25.795,25.795,25.795,1,25.0,0.0,0.78,0.2,0.0
20240222,25.88,25.966,25.99,25.88,10903,282996.0,0.43,0.66,0.171,0.0
20240229,26.024,26.024,26.024,26.024,6,156.0,0.0,0.22,0.058,0.0
20240301,26.105,26.105,26.105,26.105,51,1331.0,0.0,0.31,0.081,0.0
20240307,26.137,26.137,26.137,26.137,14,365.0,0.0,0.12,0.032,0.0
20240308,26.109,26.068,26.109,26.068,20000,521368.0,0.16,-0.26,-0.069,0.0
20240315,26.067,26.067,26.067,26.067,50,1303.0,0.0,0.0,-0.001,0.0
20240319,26.226,26.226,26.226,26.226,1,26.0,0.0,0.61,0.159,0.0
20240321,26.33,26.33,26.33,26.33,206,5423.0,0.0,0.4,0.104,0.0
20240328,26.425,26.439,26.439,26.425,340,8984.0,0.05,0.41,0.109,0.0
20240401,26.405,26.405,26.405,26.405,14,369.0,0.0,-0.13,-0.034,0.0
20240408,26.29,26.323,26.323,26.29,300,7887.0,0.12,-0.31,-0.082,0.0
20240409,26.337,26.337,26.337,26.337,55,1448.0,0.0,0.05,0.014,0.0
20240423,26.035,26.072,26.072,26.035,153,3983.0,0.14,-1.01,-0.265,0.0
20240425,26.017,26.017,26.017,26.017,1,26.0,0.0,-0.21,-0.055,0.0
20240514,26.56,26.631,26.631,26.56,200,5312.0,0.27,2.36,0.614,0.0
20240529,26.74,26.767,26.77,26.74,1568,41951.0,0.11,0.51,0.136,0.0
20240611,27.044,27.044,27.044,27.044,21473,580722.0,0.0,1.03,0.277,0.0
