trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250812,26.51,28.45,29.229,26.05,102391,2824184.0,0.0,0.0,0.0,0.0
20250813,29.28,29.0,30.822,27.35,92411,2663514.0,12.2,1.93,0.55,0.0
20250814,27.055,28.07,28.6,26.77,72616,2014215.0,6.31,-3.21,-0.93,0.0
20250815,26.53,26.641,27.21,25.79,43865,1154676.0,5.06,-5.09,-1.429,0.0
20250818,26.03,26.89,26.935,24.27,36961,937597.0,10.0,0.93,0.249,0.0
20250819,26.36,22.27,26.36,22.2,52406,1241520.0,15.47,-17.18,-4.62,0.0
20250820,21.68,22.817,22.817,19.811,102288,2146540.0,13.5,2.46,0.547,0.0
20250821,22.7,24.05,24.87,22.65,88089,2132951.0,9.73,5.4,1.233,0.0
20250822,23.53,24.535,26.244,23.24,80989,2031577.0,12.49,2.02,0.485,0.0
20250825,24.0,23.115,24.3,22.62,34229,794702.0,6.85,-5.79,-1.42,0.0
20250826,23.74,24.25,24.88,23.25,61067,1488558.0,7.05,4.91,1.135,0.0
20250827,25.63,24.421,25.77,23.7,101494,2463919.0,8.54,0.71,0.171,0.0
20250828,25.25,27.273,27.69,25.25,322393,8633755.0,9.99,11.68,2.852,0.0
20250829,27.24,25.1,27.24,24.21,138559,3482616.0,11.11,-7.97,-2.173,0.0
20250902,23.43,22.92,24.79,21.18,169558,3877668.0,14.38,-8.69,-2.18,0.0
20250903,23.16,23.45,24.42,22.545,55848,1314774.0,8.18,2.31,0.53,0.0
20250904,24.22,26.55,26.57,23.01,224044,5639131.0,15.18,13.22,3.1,0.0
20250905,28.52,27.45,29.2,25.46,311521,8549094.0,14.09,3.39,0.9,0.0
20250908,28.6,34.45,35.96,28.6,353755,11960724.0,26.81,25.5,7.0,0.0
