trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230131,28.82,28.955,28.955,28.662,1127,35014.0,0.0,0.0,0.0,0.0
20230201,28.82,28.825,28.94,28.634,2565,79609.0,1.06,-0.45,-0.13,0.0
20230202,28.588,28.775,28.775,28.551,875,26999.0,0.78,-0.17,-0.05,0.0
20230203,28.848,28.815,28.848,28.815,431,13417.0,0.11,0.14,0.04,0.0
20230206,28.801,28.801,28.801,28.801,72,2237.0,0.0,-0.05,-0.014,0.0
20230207,28.634,28.917,28.917,28.634,571,17643.0,0.98,0.4,0.116,0.0
20230208,28.773,28.666,28.773,28.666,1137,35281.0,0.37,-0.87,-0.251,0.0
20230210,28.65,28.65,28.65,28.65,4,123.0,0.0,-0.06,-0.016,0.0
20230213,28.727,28.967,28.967,28.727,249,7719.0,0.84,1.11,0.317,0.0
20230214,28.811,28.811,28.811,28.811,599,18622.0,0.0,-0.54,-0.156,0.0
20230215,28.551,28.519,28.56,28.495,6744,207717.0,0.23,-1.01,-0.292,0.0
20230216,28.477,28.101,28.477,28.101,100,3073.0,1.32,-1.47,-0.418,0.0
20230221,28.236,28.029,28.236,28.029,969,29525.0,0.74,-0.26,-0.072,0.0
20230222,28.273,28.058,28.273,27.958,2104,63801.0,1.12,0.1,0.029,0.0
20230223,27.934,28.017,28.017,27.912,464,13989.0,0.37,-0.15,-0.041,0.0
20230224,27.476,27.584,27.653,27.476,2953,88036.0,0.63,-1.55,-0.433,0.0
20230227,27.683,27.683,27.683,27.683,37,1105.0,0.0,0.36,0.099,0.0
20230228,27.522,27.308,27.522,27.308,6380,188900.0,0.77,-1.35,-0.375,0.0
20230301,27.467,27.412,27.467,27.412,601,17813.0,0.2,0.38,0.104,0.0
20230302,27.587,27.587,27.587,27.587,3,89.0,0.0,0.64,0.175,0.0
20230303,27.8,27.763,27.8,27.699,2429,72749.0,0.37,0.64,0.176,0.0
20230306,27.606,27.606,27.606,27.606,10,297.0,0.0,-0.57,-0.157,0.0
20230307,27.337,27.337,27.337,27.337,35,1032.0,0.0,-0.97,-0.269,0.0
20230308,27.189,26.966,27.189,26.966,800,23376.0,0.82,-1.36,-0.371,0.0
20230309,27.022,26.6,27.022,26.6,1445,42069.0,1.56,-1.36,-0.366,0.0
20230310,26.272,26.272,26.272,26.272,96,2721.0,0.0,-1.23,-0.328,0.0
20230313,26.698,26.698,26.698,26.698,10,288.0,0.0,1.62,0.426,0.0
20230314,26.661,26.883,26.883,26.661,683,19649.0,0.83,0.69,0.185,0.0
20230315,26.946,26.946,26.946,26.946,55,1599.0,0.0,0.23,0.063,0.0
20230316,27.059,27.059,27.059,27.059,52,1518.0,0.0,0.42,0.113,0.0
20230317,26.67,26.72,26.72,26.67,341,9813.0,0.18,-1.25,-0.339,0.0
20230320,26.911,26.979,26.979,26.874,952,27636.0,0.39,0.97,0.259,0.0
20230321,26.985,27.012,27.012,26.874,1230,35752.0,0.51,0.12,0.033,0.0
20230322,26.818,26.667,26.818,26.667,476,13775.0,0.56,-1.28,-0.345,0.0
20230324,27.094,27.094,27.094,27.094,8,233.0,0.0,1.6,0.427,0.0
20230327,27.217,27.274,27.274,27.217,531,15595.0,0.21,0.66,0.18,0.0
20230328,27.152,27.308,27.308,27.152,656,19220.0,0.57,0.12,0.034,0.0
20230329,27.411,27.483,27.483,27.411,695,20572.0,0.26,0.64,0.175,0.0
20230330,27.513,27.435,27.513,27.435,101,2998.0,0.28,-0.17,-0.048,0.0
20230331,27.724,27.724,27.724,27.724,40,1196.0,0.0,1.05,0.289,0.0
20230403,27.745,27.868,27.868,27.745,222,6656.0,0.44,0.52,0.144,0.0
20230404,27.671,27.748,27.748,27.661,800,23884.0,0.31,-0.43,-0.12,0.0
20230405,28.106,28.005,28.106,28.005,3684,111666.0,0.36,0.93,0.257,0.0
20230406,28.171,28.37,28.432,28.171,3450,105357.0,0.93,1.3,0.365,0.0
20230410,28.025,28.072,28.098,27.828,4847,146644.0,0.95,-1.05,-0.298,0.0
20230411,28.338,28.078,28.338,28.023,3271,99454.0,1.12,0.02,0.006,0.0
20230412,28.338,28.079,28.338,28.079,106,3241.0,0.92,0.0,0.001,0.0
20230417,30.256,28.843,30.256,28.755,16366,511461.0,5.35,2.72,0.764,0.0
20230418,28.977,28.55,28.977,28.523,8920,275064.0,1.57,-1.02,-0.293,0.0
20230419,28.264,28.566,28.672,28.264,18841,580334.0,1.43,0.06,0.016,0.0
20230420,28.449,28.38,28.449,28.38,6381,195721.0,0.24,-0.65,-0.186,0.0
20230421,28.736,28.792,28.792,28.672,4358,135061.0,0.42,1.45,0.412,0.0
20230424,29.014,28.755,29.014,28.588,13414,417234.0,1.48,-0.13,-0.037,0.0
20230425,28.699,28.736,28.797,28.672,2675,82872.0,0.43,-0.07,-0.019,0.0
