trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250618,50.36,49.847,50.36,49.847,2003,100579.0,0.0,0.0,0.0,0.0
20250620,50.34,48.691,50.34,48.691,4344,214058.0,3.31,-2.32,-1.156,0.0
20250623,49.5,50.054,50.054,49.066,4576,225765.0,2.03,2.8,1.363,0.0
20250624,50.67,51.234,51.234,50.66,1656,84276.0,1.15,2.36,1.18,0.0
20250625,51.208,50.902,51.208,50.902,1405,71973.0,0.6,-0.65,-0.332,0.0
20250626,51.34,52.34,52.35,51.22,2861,148691.0,2.22,2.83,1.438,0.0
20250627,52.38,53.031,53.031,52.38,3038,160326.0,1.24,1.32,0.691,0.0
20250630,53.7,53.16,53.84,52.86,4588,244984.0,1.85,0.24,0.129,0.0
20250701,52.95,51.524,52.98,51.27,19521,1021473.0,3.22,-3.08,-1.636,0.0
20250702,51.02,50.94,51.61,50.94,12641,647276.0,1.3,-1.13,-0.584,0.0
20250703,52.12,51.465,52.12,51.115,8502,437776.0,1.97,1.03,0.525,0.0
20250707,50.99,50.937,51.56,50.7,5035,258064.0,1.67,-1.03,-0.528,0.0
20250708,50.83,51.095,51.15,50.83,3697,188626.0,0.63,0.31,0.158,0.0
20250709,51.76,52.146,52.505,51.76,10737,560162.0,1.46,2.06,1.051,0.0
20250710,51.97,51.7,52.3,51.102,4785,246657.0,2.3,-0.86,-0.446,0.0
20250711,50.73,50.816,51.17,50.244,9102,462670.0,1.79,-1.71,-0.884,0.0
20250714,50.37,50.747,51.27,50.37,8128,412548.0,1.77,-0.14,-0.069,0.0
20250715,51.12,49.95,51.12,49.95,4162,209875.0,2.31,-1.57,-0.797,0.0
20250716,50.26,49.226,50.26,49.15,6970,344516.0,2.22,-1.45,-0.724,0.0
20250717,49.059,49.021,49.299,48.797,9218,452542.0,1.02,-0.42,-0.205,0.0
20250718,49.25,49.294,49.37,48.365,28053,1370352.0,2.05,0.56,0.273,0.0
20250721,48.87,49.289,49.59,48.87,23929,1180873.0,1.46,-0.01,-0.005,0.0
20250722,49.46,48.665,49.46,48.44,15189,740137.0,2.07,-1.27,-0.624,0.0
20250723,48.88,49.319,49.4,48.714,9686,475657.0,1.41,1.34,0.654,0.0
20250724,49.67,49.495,49.915,49.46,14764,733566.0,0.92,0.36,0.176,0.0
20250725,49.69,49.28,49.81,49.243,16452,814695.0,1.15,-0.43,-0.215,0.0
20250728,49.06,49.14,49.575,48.84,12095,595073.0,1.49,-0.28,-0.14,0.0
20250729,49.5,47.775,49.5,47.775,19827,966529.0,3.51,-2.78,-1.365,0.0
20250730,48.11,47.7,48.11,47.28,14494,702590.0,1.74,-0.16,-0.075,0.0
20250731,53.84,53.61,54.53,53.33,25499,1379024.0,2.52,12.39,5.91,0.0
20250801,52.66,51.84,53.08,51.51,35868,1870352.0,2.93,-3.3,-1.77,0.0
20250804,52.39,53.621,53.621,52.16,20674,1091894.0,2.82,3.44,1.781,0.0
20250805,53.64,52.58,53.92,52.58,13166,701479.0,2.5,-1.94,-1.041,0.0
20250806,52.99,53.239,53.339,52.48,13416,709863.0,1.63,1.25,0.659,0.0
20250807,53.49,52.4,53.5,52.35,9210,488188.0,2.16,-1.58,-0.839,0.0
