trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240301,25.07,25.18,25.19,25.07,19789,497572.0,0.0,0.0,0.0,0.0
20240304,25.18,25.136,25.18,25.136,5650,142249.0,0.17,-0.17,-0.044,0.0
20240305,25.06,24.983,25.06,24.983,180,4510.0,0.31,-0.61,-0.153,0.0
20240306,25.11,25.072,25.14,25.06,5523,138727.0,0.32,0.36,0.089,0.0
20240307,25.152,25.215,25.23,25.152,388,9766.0,0.31,0.57,0.143,0.0
20240308,25.29,25.14,25.34,25.14,9976,251611.0,0.79,-0.3,-0.075,0.0
20240311,25.1,25.104,25.11,25.078,1072,26902.0,0.13,-0.14,-0.036,0.0
20240312,25.251,25.251,25.251,25.251,99,2499.0,0.0,0.59,0.147,0.0
20240313,25.25,25.238,25.26,25.23,900,22724.0,0.12,-0.05,-0.013,0.0
20240314,25.21,25.189,25.21,25.18,200,5039.0,0.12,-0.19,-0.049,0.0
20240315,25.12,25.105,25.12,25.07,500,12551.0,0.2,-0.33,-0.084,0.0
20240318,25.22,25.21,25.244,25.21,2159,54494.0,0.14,0.42,0.105,0.0
20240319,25.16,25.289,25.29,25.16,4023,101378.0,0.52,0.31,0.079,0.0
20240320,25.387,25.387,25.387,25.387,26,660.0,0.0,0.39,0.098,0.0
20240321,25.48,25.427,25.49,25.427,8862,225798.0,0.25,0.16,0.04,0.0
20240322,25.47,25.46,25.48,25.45,2100,53480.0,0.12,0.13,0.033,0.0
20240325,25.4,25.4,25.4,25.4,40,1016.0,0.0,-0.24,-0.06,0.0
20240326,25.45,25.38,25.45,25.38,850,21632.0,0.28,-0.08,-0.02,0.0
20240327,25.481,25.5,25.5,25.481,750,19118.0,0.07,0.47,0.12,0.0
20240328,25.515,25.5,25.54,25.5,1642,41894.0,0.16,0.0,0.0,0.0
20240401,25.48,25.49,25.49,25.48,520,13251.0,0.04,-0.04,-0.01,0.0
20240402,25.35,25.37,25.37,25.34,492,12473.0,0.12,-0.47,-0.12,0.0
20240403,25.41,25.395,25.41,25.36,500,12696.0,0.2,0.1,0.025,0.0
20240404,25.48,25.23,25.48,25.23,313,7944.0,0.98,-0.65,-0.165,0.0
20240405,25.3,25.381,25.381,25.3,400,10137.0,0.32,0.6,0.151,0.0
20240409,25.384,25.384,25.384,25.384,99,2513.0,0.0,0.01,0.003,0.0
20240411,25.26,25.367,25.367,25.26,100,2526.0,0.42,-0.07,-0.017,0.0
20240412,25.2,25.142,25.2,25.142,4480,112762.0,0.23,-0.89,-0.225,0.0
20240415,25.03,24.976,25.03,24.976,455,11380.0,0.21,-0.66,-0.166,0.0
20240416,24.97,24.956,24.97,24.956,600,14981.0,0.06,-0.08,-0.02,0.0
20240417,24.97,24.878,24.97,24.878,400,9974.0,0.37,-0.31,-0.078,0.0
20240423,25.035,25.035,25.035,25.035,2,50.0,0.0,0.63,0.157,0.0
20240424,25.058,25.058,25.058,25.058,48,1202.0,0.0,0.09,0.023,0.0
20240425,24.975,24.975,24.975,24.975,1,24.0,0.0,-0.33,-0.083,0.0
20240429,25.2,25.182,25.2,25.182,500,12599.0,0.07,0.83,0.207,0.0
20240501,24.906,24.906,24.906,24.906,57,1419.0,0.0,-1.1,-0.276,0.0
20240503,25.26,25.241,25.26,25.241,150,3789.0,0.08,1.35,0.335,0.0
20240524,25.85,25.85,25.85,25.85,24,620.0,0.0,2.41,0.609,0.0
20240528,25.851,25.851,25.851,25.851,11,284.0,0.0,0.0,0.001,0.0
20240610,26.034,26.034,26.034,26.034,1,26.0,0.0,0.71,0.183,0.0
20240611,26.074,26.074,26.074,26.074,22315,581848.0,0.0,0.15,0.04,0.0
20240613,26.18,26.251,26.26,26.18,1896,49688.0,0.31,0.68,0.177,0.0
20240617,26.25,26.318,26.318,26.25,5001,131306.0,0.26,0.26,0.067,0.0
20240618,26.39,26.4,26.4,26.39,461,12168.0,0.04,0.31,0.082,0.0
20240620,26.35,26.332,26.35,26.332,300,7905.0,0.07,-0.26,-0.068,0.0
20240621,26.327,26.327,26.327,26.327,61,1605.0,0.0,-0.02,-0.005,0.0
20240625,26.355,26.349,26.355,26.349,100,2635.0,0.02,0.08,0.022,0.0
20240627,26.391,26.391,26.391,26.391,19,501.0,0.0,0.16,0.042,0.0
20240628,26.43,26.379,26.43,26.379,100,2643.0,0.19,-0.05,-0.012,0.0
20240701,26.415,26.415,26.415,26.415,22,581.0,0.0,0.14,0.036,0.0
20240702,26.489,26.489,26.489,26.489,22,582.0,0.0,0.28,0.074,0.0
20240703,26.555,26.555,26.555,26.555,22,584.0,0.0,0.25,0.066,0.0
20240705,26.633,26.633,26.633,26.633,1,26.0,0.0,0.29,0.078,0.0
20240709,26.653,26.653,26.653,26.653,22,586.0,0.0,0.08,0.02,0.0
20240723,26.627,26.627,26.627,26.627,4,106.0,0.0,-0.1,-0.026,0.0
20240724,26.291,26.291,26.291,26.291,4,105.0,0.0,-1.26,-0.336,0.0
20240729,26.424,26.424,26.424,26.424,1,26.0,0.0,0.51,0.133,0.0
20240730,26.371,26.371,26.371,26.371,15,395.0,0.0,-0.2,-0.053,0.0
20240731,26.585,26.585,26.585,26.585,15,398.0,0.0,0.81,0.214,0.0
20240802,26.091,26.091,26.091,26.091,50,1304.0,0.0,-1.86,-0.494,0.0
20240805,25.562,25.562,25.562,25.562,18,460.0,0.0,-2.03,-0.529,0.0
20240806,25.95,25.798,25.95,25.798,400,10380.0,0.59,0.92,0.236,0.0
20240820,26.856,26.866,26.866,26.856,665,17859.0,0.04,4.14,1.068,0.0
20240826,26.929,26.929,26.929,26.929,7,188.0,0.0,0.23,0.063,0.0
20240830,26.97,27.052,27.052,26.97,2005,54074.0,0.3,0.46,0.123,0.0
20240923,27.25,27.28,27.28,27.25,414,11281.0,0.11,0.84,0.228,0.0
20241002,27.258,27.27,27.27,27.258,150,4088.0,0.04,-0.04,-0.01,0.0
20241009,27.45,27.45,27.45,27.45,1,27.0,0.0,0.66,0.18,0.0
20241010,27.39,27.429,27.429,27.39,1000,27405.0,0.14,-0.08,-0.021,0.0
20241015,27.509,27.509,27.509,27.509,1,27.0,0.0,0.29,0.08,0.0
20241022,27.649,27.649,27.649,27.649,25,691.0,0.0,0.51,0.14,0.0
20241108,28.005,28.005,28.005,28.005,1000,28005.0,0.0,1.29,0.356,0.0
20241115,27.769,27.769,27.769,27.769,1,27.0,0.0,-0.84,-0.236,0.0
20241121,27.95,27.964,27.964,27.95,1000,27955.0,0.05,0.7,0.195,0.0
20241206,28.27,28.245,28.27,28.245,2800,79156.0,0.09,1.0,0.281,0.0
20241218,27.92,27.941,27.941,27.92,100,2792.0,0.07,-1.08,-0.304,0.0
20241219,27.94,27.917,27.94,27.885,500,13961.0,0.2,-0.09,-0.024,0.0
20241220,27.91,28.026,28.08,27.91,5700,160037.0,0.61,0.39,0.109,0.0
20241223,28.08,28.185,28.185,28.08,100,2808.0,0.37,0.57,0.159,0.0
20241226,28.29,28.312,28.312,28.29,2900,82041.0,0.08,0.45,0.127,0.0
20241230,28.1,28.1,28.1,28.1,50,1404.0,0.0,-0.75,-0.212,0.0
20250108,28.19,28.16,28.19,28.16,276,7776.0,0.11,0.21,0.06,0.0
20250110,27.987,27.958,27.987,27.958,291,8142.0,0.1,-0.72,-0.202,0.0
20250113,28.006,28.006,28.006,28.006,153,4284.0,0.0,0.17,0.048,0.0
20250114,28.04,28.031,28.04,28.031,311,8720.0,0.03,0.09,0.025,0.0
20250115,28.29,28.256,28.29,28.256,785,22207.0,0.12,0.8,0.225,0.0
20250116,28.34,28.301,28.34,28.301,1706,48348.0,0.14,0.16,0.045,0.0
20250121,28.46,28.46,28.46,28.46,142,4041.0,0.0,0.56,0.159,0.0
20250123,28.59,28.59,28.59,28.59,258,7376.0,0.0,0.46,0.13,0.0
20250124,28.565,28.565,28.565,28.565,71,2028.0,0.0,-0.09,-0.025,0.0
20250127,28.481,28.481,28.481,28.481,28,797.0,0.0,-0.29,-0.084,0.0
20250128,28.55,28.534,28.55,28.534,214,6109.0,0.06,0.19,0.053,0.0
20250129,28.52,28.519,28.56,28.519,1703,48633.0,0.14,-0.05,-0.015,0.0
20250130,28.554,28.554,28.554,28.554,78,2227.0,0.0,0.12,0.035,0.0
20250131,28.58,28.539,28.58,28.539,100,2858.0,0.14,-0.05,-0.015,0.0
20250210,28.66,28.635,28.68,28.635,7811,223899.0,0.16,0.34,0.096,0.0
20250211,28.68,28.711,28.711,28.68,5387,154524.0,0.11,0.27,0.076,0.0
20250212,28.71,28.71,28.71,28.71,81,2325.0,0.0,0.0,-0.001,0.0
20250214,28.78,28.78,28.78,28.78,41,1179.0,0.0,0.24,0.07,0.0
20250218,28.83,28.796,28.83,28.796,2626,75707.0,0.12,0.06,0.016,0.0
20250219,28.85,28.825,28.85,28.8,3700,106729.0,0.17,0.1,0.029,0.0
20250221,28.692,28.692,28.692,28.692,1,28.0,0.0,-0.46,-0.133,0.0
20250224,28.703,28.703,28.703,28.703,66,1894.0,0.0,0.04,0.011,0.0
20250226,28.68,28.709,28.709,28.68,2243,64329.0,0.1,0.02,0.006,0.0
20250227,28.77,28.54,28.77,28.54,34716,991572.0,0.8,-0.59,-0.169,0.0
20250228,28.73,28.87,28.87,28.581,37041,1064515.0,1.01,1.16,0.33,0.0
20250303,28.8,28.543,28.88,28.477,47141,1350829.0,1.4,-1.13,-0.327,0.0
20250304,28.36,28.361,28.62,28.36,6972,198197.0,0.91,-0.64,-0.182,0.0
20250305,28.28,28.568,28.6,28.28,7261,207328.0,1.13,0.73,0.207,0.0
20250306,28.45,28.262,28.45,28.23,1493,42309.0,0.77,-1.07,-0.306,0.0
20250307,28.27,28.364,28.364,28.13,10362,291992.0,0.83,0.36,0.102,0.0
20250310,28.03,27.95,28.1,27.83,8024,224268.0,0.95,-1.46,-0.414,0.0
20250311,27.74,27.83,27.91,27.74,8408,233767.0,0.61,-0.43,-0.12,0.0
20250312,27.86,27.916,27.97,27.83,2813,78555.0,0.5,0.31,0.086,0.0
20250313,27.85,27.616,27.85,27.56,18295,505204.0,1.04,-1.07,-0.3,0.0
20250314,27.94,27.98,27.98,27.93,2443,68277.0,0.18,1.32,0.364,0.0
20250317,28.04,28.118,28.118,28.04,251,7038.0,0.28,0.49,0.138,0.0
20250318,28.11,27.912,28.11,27.912,152,4272.0,0.7,-0.73,-0.206,0.0
20250319,28.098,28.098,28.098,28.098,98,2753.0,0.0,0.67,0.186,0.0
20250320,28.09,28.072,28.09,28.06,951,26707.0,0.11,-0.09,-0.026,0.0
20250321,27.981,28.074,28.074,27.981,100,2798.0,0.33,0.01,0.002,0.0
20250324,28.335,28.413,28.43,28.335,2075,58890.0,0.34,1.21,0.339,0.0
20250325,28.425,28.427,28.427,28.425,367,10431.0,0.01,0.05,0.014,0.0
20250326,28.287,28.246,28.287,28.246,1750,49501.0,0.14,-0.64,-0.181,0.0
20250327,28.25,28.24,28.255,28.24,702,19831.0,0.05,-0.02,-0.006,0.0
20250328,27.99,27.84,27.99,27.84,100,2799.0,0.53,-1.42,-0.4,0.0
20250331,27.92,27.961,27.961,27.9,358,9992.0,0.22,0.43,0.121,0.0
20250401,28.01,27.984,28.01,27.984,140,3921.0,0.09,0.08,0.023,0.0
20250402,28.0,28.125,28.16,28.0,6622,186459.0,0.57,0.5,0.141,0.0
20250403,27.37,27.258,27.39,27.258,200,5476.0,0.47,-3.08,-0.867,0.0
20250404,26.58,26.164,26.58,26.164,118,3136.0,1.53,-4.01,-1.094,0.0
20250407,25.93,26.081,26.081,25.93,158,4096.0,0.58,-0.32,-0.083,0.0
20250408,26.73,25.773,26.73,25.773,129,3448.0,3.67,-1.18,-0.308,0.0
20250409,25.97,27.405,27.405,25.97,137,3557.0,5.57,6.33,1.632,0.0
20250410,26.93,26.723,26.93,26.723,948,25504.0,0.76,-2.49,-0.682,0.0
20250411,26.76,27.049,27.049,26.76,100,2676.0,1.08,1.22,0.326,0.0
20250414,27.35,27.245,27.35,27.1,431,11727.0,0.92,0.72,0.196,0.0
20250415,27.241,27.241,27.241,27.241,10,272.0,0.0,-0.01,-0.004,0.0
20250416,27.0,26.818,27.0,26.818,332,8964.0,0.67,-1.55,-0.423,0.0
20250417,26.88,26.865,26.91,26.865,335,9009.0,0.17,0.18,0.047,0.0
20250421,26.46,26.46,26.46,26.46,38,1005.0,0.0,-1.51,-0.405,0.0
20250423,27.38,27.219,27.41,27.1,7866,214485.0,1.17,2.87,0.759,0.0
20250424,27.21,27.546,27.546,27.21,2400,65414.0,1.23,1.2,0.327,0.0
20250430,27.55,27.794,27.794,27.55,2067,57066.0,0.89,0.9,0.248,0.0
20250501,27.88,27.82,27.96,27.82,4073,113722.0,0.5,0.09,0.026,0.0
20250502,28.14,28.119,28.14,28.1,1084,30485.0,0.14,1.07,0.299,0.0
20250505,28.039,28.039,28.039,28.039,23,644.0,0.0,-0.28,-0.08,0.0
20250506,27.98,27.92,27.98,27.885,1258,35091.0,0.34,-0.42,-0.119,0.0
20250507,27.95,27.978,27.978,27.88,1117,31208.0,0.35,0.21,0.058,0.0
20250508,28.03,28.091,28.11,28.03,288,8084.0,0.29,0.4,0.113,0.0
20250509,28.078,28.078,28.078,28.078,41,1151.0,0.0,-0.05,-0.013,0.0
20250512,28.55,28.635,28.635,28.55,4827,138073.0,0.3,1.98,0.557,0.0
20250513,28.8,28.809,28.809,28.8,306,8812.0,0.03,0.61,0.174,0.0
20250514,28.84,28.802,28.84,28.802,1047,30195.0,0.13,-0.02,-0.007,0.0
20250516,28.96,28.996,28.996,28.96,100,2896.0,0.12,0.67,0.194,0.0
20250519,28.92,29.024,29.024,28.92,365,10555.0,0.36,0.1,0.028,0.0
20250521,28.99,28.694,28.99,28.694,1001,29018.0,1.02,-1.14,-0.33,0.0
20250522,28.67,28.675,28.675,28.66,702,20121.0,0.05,-0.07,-0.019,0.0
20250527,28.913,28.913,28.913,28.913,40,1156.0,0.0,0.83,0.238,0.0
20250529,28.893,28.893,28.893,28.893,208,6009.0,0.0,-0.07,-0.02,0.0
20250603,29.13,29.097,29.13,29.097,801,23333.0,0.11,0.71,0.204,0.0
20250610,29.288,29.288,29.288,29.288,947,27746.0,0.0,0.66,0.191,0.0
20250613,29.16,29.085,29.16,29.085,362,10557.0,0.26,-0.69,-0.203,0.0
20250616,29.274,29.274,29.274,29.274,16,469.0,0.0,0.65,0.189,0.0
20250617,29.14,29.14,29.14,29.14,40,1169.0,0.0,-0.46,-0.134,0.0
20250618,29.21,29.153,29.21,29.153,713,20827.0,0.2,0.04,0.013,0.0
20250623,29.303,29.303,29.303,29.303,19,556.0,0.0,0.51,0.15,0.0
20250624,29.52,29.52,29.52,29.52,9,265.0,0.0,0.74,0.217,0.0
20250625,29.58,29.526,29.58,29.526,111,3283.0,0.18,0.02,0.006,0.0
20250626,29.68,29.665,29.68,29.665,38216,1134251.0,0.05,0.47,0.139,0.0
20250627,29.737,29.737,29.737,29.737,108,3215.0,0.0,0.24,0.072,0.0
20250630,29.8,29.824,29.824,29.8,710,21157.0,0.08,0.29,0.087,0.0
20250701,29.77,29.805,29.84,29.77,3912,116655.0,0.23,-0.06,-0.019,0.0
20250702,29.852,29.87,29.87,29.852,759,22658.0,0.06,0.22,0.065,0.0
20250707,29.88,29.815,29.88,29.8,4942,147609.0,0.27,-0.18,-0.055,0.0
20250709,29.94,29.96,29.96,29.9,1040,31112.0,0.2,0.49,0.145,0.0
20250710,29.96,30.008,30.04,29.96,2622,78743.0,0.27,0.16,0.048,0.0
20250711,29.94,29.961,29.961,29.94,851,25482.0,0.07,-0.16,-0.047,0.0
20250716,29.93,29.98,29.98,29.9,1268,37944.0,0.27,0.06,0.019,0.0
20250717,30.079,30.079,30.079,30.079,33,993.0,0.0,0.33,0.099,0.0
20250718,30.076,30.076,30.076,30.076,9,270.0,0.0,-0.01,-0.003,0.0
20250721,30.101,30.101,30.101,30.101,102,3076.0,0.0,0.08,0.025,0.0
20250722,30.126,30.126,30.126,30.126,100,3009.0,0.0,0.08,0.025,0.0
20250723,30.24,30.24,30.24,30.24,100,3016.0,0.0,0.38,0.114,0.0
20250724,30.273,30.273,30.273,30.273,20,605.0,0.0,0.11,0.033,0.0
