trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230825,11.431,11.465,11.482,11.363,30568,614632.0,1.04,0.3,0.034,0.0
20230828,11.607,11.479,11.607,11.425,50475,1019539.0,1.59,0.12,0.014,0.0
20230829,11.51,11.652,11.652,11.442,34162,697651.0,1.83,1.51,0.173,0.0
20230830,11.732,11.65,11.732,11.613,32240,661845.0,1.02,-0.02,-0.002,0.0
20230831,11.698,11.664,11.738,11.624,53955,1107313.0,0.98,0.12,0.014,0.0
20230901,11.783,11.676,11.789,11.618,44821,922376.0,1.47,0.1,0.012,0.0
20230905,11.675,11.788,11.806,11.647,48028,993555.0,1.36,0.96,0.112,0.0
20230906,11.743,11.763,11.817,11.715,35921,743354.0,0.87,-0.21,-0.025,0.0
20230907,11.766,11.698,11.766,11.647,36474,752200.0,1.01,-0.55,-0.065,0.0
20230908,11.669,11.834,11.857,11.669,46580,969166.0,1.61,1.16,0.136,0.0
20230911,11.902,11.915,11.942,11.845,69450,1457748.0,0.82,0.68,0.081,0.0
20230912,12.044,11.806,12.044,11.806,41172,858064.0,2.0,-0.91,-0.109,0.0
20230913,11.789,11.926,11.953,11.789,16919,353613.0,1.39,1.02,0.12,0.0
20230914,12.016,11.979,12.033,11.931,20309,428793.0,0.86,0.44,0.053,0.0
20230915,12.186,11.779,12.186,11.76,16546,344491.0,3.56,-1.67,-0.2,0.0
20230918,11.789,11.72,11.789,11.658,24424,503582.0,1.11,-0.5,-0.059,0.0
20230919,11.658,11.743,11.759,11.578,57757,1183147.0,1.54,0.2,0.023,0.0
20230920,11.754,11.477,11.757,11.476,14811,302883.0,2.39,-2.27,-0.266,0.0
20230921,11.635,11.42,11.635,11.334,18586,375292.0,2.62,-0.5,-0.057,0.0
20230922,11.556,11.334,11.556,11.306,11490,230424.0,2.19,-0.75,-0.086,0.0
20230925,11.414,11.339,11.414,11.249,11685,233053.0,1.46,0.04,0.005,0.0
20230926,11.181,11.164,11.363,11.107,17063,335360.0,2.26,-1.54,-0.175,0.0
20230927,11.232,11.198,11.232,11.096,7054,138273.0,1.22,0.3,0.034,0.0
20230928,11.135,11.239,11.289,11.11,9421,185323.0,1.6,0.37,0.041,0.0
20230929,11.192,11.326,11.442,11.192,21415,428335.0,2.22,0.77,0.087,0.0
20231002,11.419,11.527,11.527,11.385,14834,298918.0,1.25,1.77,0.201,0.0
20231003,11.55,11.243,11.55,11.218,23491,466670.0,2.88,-2.46,-0.284,0.0
20231004,11.249,11.488,11.502,11.249,5727,115190.0,2.25,2.18,0.245,0.0
20231005,11.368,11.505,11.505,11.334,24317,488439.0,1.49,0.15,0.017,0.0
20231006,11.453,11.706,11.712,11.427,16288,329158.0,2.48,1.75,0.201,0.0
20231009,11.591,11.741,11.78,11.562,17800,360905.0,1.86,0.3,0.035,0.0
20231010,11.804,11.741,11.804,11.729,8833,180391.0,0.64,0.0,0.0,0.0
20231011,11.723,11.85,11.85,11.723,13187,269958.0,1.08,0.93,0.109,0.0
20231012,11.798,11.862,11.867,11.798,14425,296500.0,0.58,0.1,0.012,0.0
20231013,11.781,11.821,11.896,11.775,10367,212869.0,1.02,-0.35,-0.041,0.0
20231016,11.913,11.971,11.988,11.888,22388,464774.0,0.85,1.27,0.15,0.0
