trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230322,16.961,16.73,16.993,16.73,5759,121280.0,1.55,-1.36,-0.231,0.0
20230323,16.885,16.67,16.985,16.623,14271,299779.0,2.16,-0.36,-0.06,0.0
20230324,16.583,16.703,16.776,16.583,8204,169758.0,1.16,0.2,0.033,0.0
20230327,16.84,16.709,16.84,16.696,9679,201857.0,0.86,0.04,0.006,0.0
20230328,17.122,17.28,17.28,17.122,6234,133313.0,0.95,3.42,0.571,0.0
20230329,17.351,17.463,17.515,17.351,2360,51314.0,0.95,1.06,0.183,0.0
20230330,17.419,17.482,17.487,17.355,9922,214859.0,0.76,0.11,0.019,0.0
20230331,17.74,17.768,17.768,17.62,2536,55937.0,0.85,1.64,0.286,0.0
20230403,17.797,17.842,17.885,17.672,4667,103011.0,1.2,0.42,0.074,0.0
20230404,17.491,17.567,17.588,17.491,883,19305.0,0.54,-1.54,-0.275,0.0
20230405,17.443,17.451,17.451,17.443,499,10833.0,0.05,-0.66,-0.116,0.0
20230406,17.258,17.206,17.258,17.098,3082,65827.0,0.92,-1.4,-0.245,0.0
20230410,17.106,17.262,17.282,17.106,1031,22020.0,1.02,0.33,0.056,0.0
20230411,17.439,17.495,17.515,17.439,572,12449.0,0.44,1.35,0.233,0.0
20230412,17.652,17.459,17.652,17.459,1397,30570.0,1.1,-0.21,-0.036,0.0
20230413,17.756,17.969,18.092,17.756,2391,53503.0,1.92,2.92,0.51,0.0
20230414,17.981,17.988,17.988,17.917,2067,46205.0,0.4,0.11,0.019,0.0
20230417,18.009,17.884,18.009,17.838,1600,35637.0,0.95,-0.58,-0.104,0.0
20230418,18.022,17.969,18.046,17.917,801,17938.0,0.72,0.48,0.085,0.0
20230419,18.07,18.073,18.102,18.054,413,9290.0,0.27,0.58,0.104,0.0
20230420,17.917,17.81,17.917,17.728,8673,192175.0,1.05,-1.46,-0.263,0.0
20230421,17.687,17.647,17.7,17.54,16843,370447.0,0.9,-0.92,-0.163,0.0
20230424,17.7,17.612,17.7,17.556,910,19957.0,0.82,-0.2,-0.035,0.0
20230425,17.556,17.359,17.56,17.323,4258,92222.0,1.35,-1.44,-0.253,0.0
20230426,17.307,17.2,17.307,17.2,2479,53256.0,0.62,-0.92,-0.159,0.0
20230427,17.395,17.443,17.443,17.395,122,2641.0,0.28,1.41,0.243,0.0
20230428,17.676,17.62,17.676,17.62,328,7216.0,0.32,1.01,0.177,0.0
20230501,17.62,17.395,17.62,17.395,2005,43649.0,1.28,-1.28,-0.225,0.0
20230502,17.322,17.322,17.322,17.322,318,6855.0,0.0,-0.42,-0.073,0.0
20230503,17.455,17.379,17.455,17.379,328,7125.0,0.44,0.33,0.057,0.0
20230504,17.515,17.548,17.548,17.515,15249,332428.0,0.19,0.97,0.169,0.0
20230505,17.813,17.889,17.889,17.813,265,5875.0,0.43,1.94,0.341,0.0
20230508,17.949,17.905,18.034,17.905,231,5172.0,0.72,0.09,0.016,0.0
20230509,17.785,17.785,17.785,17.785,149,3298.0,0.0,-0.67,-0.12,0.0
20230510,17.797,17.805,17.829,17.7,1509,33383.0,0.73,0.11,0.02,0.0
20230511,17.515,17.431,17.515,17.234,1487,32189.0,1.58,-2.1,-0.374,0.0
20230512,17.274,17.072,17.274,17.072,1711,36579.0,1.16,-2.06,-0.359,0.0
20230515,17.114,17.126,17.151,17.114,1463,31168.0,0.22,0.32,0.054,0.0
20230516,16.905,16.688,16.905,16.688,642,13440.0,1.27,-2.56,-0.438,0.0
20230517,16.715,16.804,16.873,16.715,931,19467.0,0.95,0.7,0.116,0.0
20230518,16.712,16.8,16.8,16.696,5005,104379.0,0.62,-0.02,-0.004,0.0
20230519,16.812,16.784,16.812,16.784,820,17155.0,0.17,-0.1,-0.016,0.0
20230522,16.712,16.737,16.737,16.712,312,6489.0,0.15,-0.28,-0.047,0.0
20230523,16.559,16.395,16.583,16.395,1577,32499.0,1.12,-2.04,-0.342,0.0
20230524,16.238,16.109,16.238,16.109,952,19165.0,0.79,-1.74,-0.286,0.0
20230525,16.045,15.965,16.045,15.965,476,9488.0,0.5,-0.89,-0.144,0.0
20230526,16.202,16.222,16.256,16.202,803,16233.0,0.34,1.61,0.257,0.0
20230530,16.334,16.266,16.334,16.266,559,11364.0,0.42,0.27,0.044,0.0
20230531,16.101,16.053,16.101,16.005,839,16784.0,0.59,-1.31,-0.213,0.0
20230601,15.949,16.125,16.125,15.949,580,11513.0,1.1,0.45,0.072,0.0
20230602,16.318,16.495,16.551,16.318,2225,45409.0,1.44,2.29,0.37,0.0
20230605,16.551,16.423,16.591,16.391,2118,43631.0,1.21,-0.44,-0.072,0.0
20230606,16.551,16.702,16.702,16.551,745,15347.0,0.92,1.7,0.279,0.0
20230607,16.632,16.487,16.632,16.447,905,18664.0,1.11,-1.29,-0.215,0.0
20230608,16.567,16.545,16.607,16.545,1396,28790.0,0.38,0.35,0.058,0.0
20230609,16.969,16.945,17.001,16.945,1223,25857.0,0.34,2.42,0.4,0.0
20230612,17.009,17.049,17.178,17.009,1512,32112.0,1.0,0.61,0.104,0.0
20230613,17.247,17.247,17.247,17.247,174,3735.0,0.0,1.16,0.198,0.0
20230614,17.347,17.426,17.426,17.302,3751,81100.0,0.72,1.04,0.179,0.0
20230615,17.339,17.454,17.499,17.339,6725,145841.0,0.92,0.16,0.028,0.0
20230616,17.797,17.706,17.829,17.7,2044,45303.0,0.74,1.44,0.252,0.0
20230620,17.483,17.455,17.483,17.363,676,14662.0,0.68,-1.42,-0.251,0.0
20230621,17.459,17.624,17.652,17.459,563,12278.0,1.11,0.97,0.169,0.0
20230622,17.491,17.391,17.491,17.391,252,5486.0,0.57,-1.32,-0.233,0.0
20230623,17.142,17.21,17.21,17.13,1375,29319.0,0.46,-1.04,-0.181,0.0
20230626,17.298,17.343,17.343,17.298,377,8121.0,0.26,0.77,0.133,0.0
20230627,17.307,17.337,17.337,17.29,726,15633.0,0.27,-0.03,-0.006,0.0
20230628,17.242,17.13,17.242,17.13,1328,28485.0,0.65,-1.19,-0.207,0.0
20230629,17.162,17.19,17.19,17.122,637,13588.0,0.4,0.35,0.06,0.0
20230630,17.282,17.266,17.411,17.266,513,11071.0,0.84,0.44,0.076,0.0
20230703,17.58,17.634,17.634,17.565,668,14661.0,0.4,2.13,0.368,0.0
20230705,17.809,17.75,17.809,17.75,489,10838.0,0.33,0.66,0.116,0.0
