trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20161220,20.791,20.676,20.791,20.66,198900,0.0,0.0,0.0,0.0,0.0
20161223,20.578,20.578,20.578,20.578,0,0.0,0.0,-0.47,-0.098,0.0
20161227,20.578,20.578,20.578,20.578,0,0.0,0.0,0.0,0.0,0.0
20161228,20.495,20.495,20.495,20.495,131,0.0,0.0,-0.4,-0.083,0.0
20161229,20.495,20.495,20.495,20.495,0,0.0,0.0,0.0,0.0,0.0
20161230,20.495,20.495,20.495,20.495,0,0.0,0.0,0.0,0.0,0.0
20170103,20.495,20.495,20.495,20.495,0,0.0,0.0,0.0,0.0,0.0
20170104,20.495,20.495,20.495,20.495,0,0.0,0.0,0.0,0.0,0.0
20170105,20.495,20.495,20.495,20.495,0,0.0,0.0,0.0,0.0,0.0
20170109,20.89,20.906,20.906,20.89,2175,0.0,0.08,2.01,0.411,0.0
20170110,20.791,20.791,20.791,20.791,2000,0.0,0.0,-0.55,-0.115,0.0
20170111,20.627,20.627,20.627,20.627,100,0.0,0.0,-0.79,-0.164,0.0
20170112,20.635,20.635,20.635,20.635,0,0.0,0.0,0.04,0.008,0.0
20170113,20.561,20.561,20.561,20.561,100,0.0,0.0,-0.36,-0.074,0.0
20170117,20.643,20.643,20.643,20.643,205,0.0,0.0,0.4,0.082,0.0
20170118,20.643,20.643,20.643,20.643,0,0.0,0.0,0.0,0.0,0.0
20170119,20.495,20.495,20.495,20.495,100,0.0,0.0,-0.72,-0.148,0.0
20170120,20.504,20.504,20.504,20.504,0,0.0,0.0,0.04,0.009,0.0
20170123,20.504,20.504,20.504,20.504,0,0.0,0.0,0.0,0.0,0.0
20170124,20.504,20.504,20.504,20.504,0,0.0,0.0,0.0,0.0,0.0
20170125,20.504,20.504,20.504,20.504,0,0.0,0.0,0.0,0.0,0.0
20170126,20.504,20.504,20.504,20.504,0,0.0,0.0,0.0,0.0,0.0
20170127,20.701,20.701,20.701,20.701,290,0.0,0.0,0.96,0.197,0.0
20170130,20.701,20.701,20.701,20.701,90,0.0,0.0,0.0,0.0,0.0
20170131,20.701,20.701,20.701,20.701,0,0.0,0.0,0.0,0.0,0.0
20170201,20.594,20.331,20.594,20.323,1500,0.0,1.31,-1.79,-0.37,0.0
