trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20071011,28.355,28.402,28.402,28.352,10600,0.0,0.18,0.05,0.014,0.0
20071012,28.402,28.402,28.408,28.402,2600,0.0,0.02,0.0,0.0,0.0
20071015,28.369,28.386,28.386,28.369,3400,0.0,0.06,-0.06,-0.016,0.0
20071016,28.45,28.444,28.45,28.444,2100,0.0,0.02,0.2,0.058,0.0
20071017,28.495,28.509,28.509,28.495,1300,0.0,0.05,0.23,0.065,0.0
20071018,28.582,28.565,28.582,28.565,5700,0.0,0.06,0.2,0.056,0.0
20071019,28.576,28.635,28.649,28.576,10600,0.0,0.26,0.25,0.07,0.0
20071022,28.646,28.635,28.646,28.607,15700,0.0,0.14,0.0,0.0,0.0
20071023,28.635,28.621,28.666,28.607,10500,0.0,0.21,-0.05,-0.014,0.0
20071024,28.674,28.635,28.708,28.635,7100,0.0,0.26,0.05,0.014,0.0
20071025,28.641,28.641,28.641,28.641,800,0.0,0.0,0.02,0.006,0.0
20071026,28.635,28.604,28.635,28.604,900,0.0,0.11,-0.13,-0.037,0.0
20071029,28.579,28.579,28.579,28.579,100,0.0,0.0,-0.09,-0.025,0.0
20071030,28.61,28.554,28.61,28.554,4000,0.0,0.2,-0.09,-0.025,0.0
20071031,28.526,28.467,28.562,28.467,2500,0.0,0.33,-0.3,-0.087,0.0
20071101,28.614,28.679,28.679,28.614,400,0.0,0.23,0.74,0.212,0.0
20071102,28.6,28.597,28.6,28.597,1400,0.0,0.01,-0.29,-0.082,0.0
20071105,28.546,28.493,28.546,28.493,1000,0.0,0.19,-0.36,-0.104,0.0
20071106,28.524,28.437,28.524,28.437,400,0.0,0.31,-0.2,-0.056,0.0
20071107,28.459,28.4,28.459,28.4,1100,0.0,0.21,-0.13,-0.037,0.0
20071108,28.395,28.406,28.406,28.395,500,0.0,0.04,0.02,0.006,0.0
20071109,28.487,28.479,28.535,28.479,1800,0.0,0.2,0.26,0.073,0.0
20071112,28.485,28.333,28.485,28.333,1300,0.0,0.53,-0.51,-0.146,0.0
20071113,28.347,28.389,28.389,28.322,800,0.0,0.24,0.2,0.056,0.0
20071114,28.482,28.516,28.516,28.482,3000,0.0,0.12,0.45,0.127,0.0
20071115,28.487,28.504,28.504,28.375,1400,0.0,0.45,-0.04,-0.012,0.0
20071116,28.499,28.473,28.499,28.473,1000,0.0,0.09,-0.11,-0.031,0.0
20071119,28.485,28.485,28.485,28.485,100,0.0,0.0,0.04,0.012,0.0
20071120,28.527,28.572,28.572,28.527,1100,0.0,0.16,0.31,0.087,0.0
20071121,28.628,28.628,28.628,28.628,100,0.0,0.0,0.2,0.056,0.0
20071123,28.636,28.636,28.636,28.636,400,0.0,0.0,0.03,0.008,0.0
20071126,28.636,28.636,28.636,28.636,0,0.0,0.0,0.0,0.0,0.0
20071127,28.698,28.698,28.698,28.698,800,0.0,0.0,0.22,0.062,0.0
20071128,28.712,28.712,28.712,28.712,300,0.0,0.0,0.05,0.014,0.0
20071129,28.738,28.723,29.049,28.698,10800,0.0,1.22,0.04,0.011,0.0
20071130,28.74,28.752,28.752,28.74,2800,0.0,0.04,0.1,0.029,0.0
