trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250606,18.819,17.405,18.82,17.32,46549,834474.0,8.62,0.0,0.0,0.0
20250609,17.72,16.235,18.17,16.19,201070,3413866.0,11.38,-6.72,-1.17,0.0
20250610,16.49,16.07,16.81,15.75,245354,3976334.0,6.53,-1.02,-0.165,0.0
20250611,15.75,15.13,15.98,14.5,530296,7991468.0,9.21,-5.85,-0.94,0.0
20250612,15.34,15.444,15.524,15.06,253400,3873206.0,3.07,2.08,0.314,0.0
20250613,15.89,14.91,15.89,14.34,681140,10102037.0,10.04,-3.46,-0.534,0.0
20250616,14.39,14.1,14.39,13.35,1002475,13840052.0,6.98,-5.43,-0.81,0.0
20250617,14.08,14.69,15.12,14.031,701635,10098858.0,7.72,4.18,0.59,0.0
20250618,14.295,14.36,14.811,14.275,276607,4013894.0,3.65,-2.25,-0.33,0.0
20250620,14.11,14.87,14.995,13.959,270303,3937896.0,7.21,3.55,0.51,0.0
20250623,14.5,14.37,15.11,13.83,605879,8762735.0,8.61,-3.36,-0.5,0.0
20250624,13.99,13.67,14.65,13.544,538564,7516695.0,7.7,-4.87,-0.7,0.0
20250625,13.42,13.68,13.93,12.8,801600,10774687.0,8.27,0.07,0.01,0.0
20250626,13.28,13.41,13.66,12.68,536877,7104545.0,7.16,-1.97,-0.27,0.0
20250627,13.3,15.92,15.97,13.3,1174307,17222069.0,19.91,18.72,2.51,0.0
20250630,14.24,14.61,14.97,14.01,1331107,19192966.0,6.03,-8.23,-1.31,0.0
20250701,14.91,15.84,16.24,14.66,852878,13335732.0,10.81,8.42,1.23,0.0
20250702,15.68,15.44,15.906,15.13,346090,5376452.0,4.9,-2.53,-0.4,0.0
20250703,14.89,14.94,15.37,14.663,331855,4977810.0,4.58,-3.24,-0.5,0.0
20250707,14.97,13.87,15.4,13.85,527849,7668187.0,10.37,-7.16,-1.07,0.0
20250708,13.98,13.76,14.54,13.76,311886,4400783.0,5.62,-0.79,-0.11,0.0
20250709,13.87,13.11,14.23,13.11,674456,9173735.0,8.14,-4.72,-0.65,0.0
20250710,13.02,13.22,13.761,12.755,566000,7486794.0,7.67,0.84,0.11,0.0
20250711,13.3,13.28,13.349,12.845,451260,5921490.0,3.81,0.45,0.06,0.0
20250714,13.21,11.98,13.21,11.916,1400364,17381968.0,9.74,-9.79,-1.3,0.0
20250715,12.0,12.08,12.25,11.76,781705,9386727.0,4.09,0.83,0.1,0.0
20250716,12.02,11.68,12.225,11.609,748058,8873987.0,5.1,-3.31,-0.4,0.0
20250717,11.6,11.19,11.7,10.98,1103863,12453548.0,6.16,-4.2,-0.49,0.0
20250718,11.155,11.28,11.52,11.11,790195,8931568.0,3.66,0.8,0.09,0.0
20250721,11.21,11.52,11.58,11.01,779841,8808717.0,5.05,2.13,0.24,0.0
20250722,11.68,11.93,12.543,11.55,1303142,15752013.0,8.62,3.56,0.41,0.0
20250723,11.85,11.06,12.06,11.06,938308,10747573.0,8.38,-7.29,-0.87,0.0
20250724,11.15,11.004,11.352,10.93,835008,9256287.0,3.82,-0.51,-0.056,0.0
20250725,10.93,10.45,10.93,10.255,1781593,18660996.0,6.13,-5.03,-0.554,0.0
20250728,10.34,10.57,11.21,10.3,2801595,29962156.0,8.71,1.15,0.12,0.0
20250729,10.45,10.78,10.955,10.29,1556653,16599496.0,6.29,1.99,0.21,0.0
20250730,10.67,10.46,10.76,10.38,1030400,10833719.0,3.53,-2.97,-0.32,0.0
20250731,10.32,10.5,10.72,10.17,1252128,13087977.0,5.26,0.38,0.04,0.0
20250801,10.97,11.04,11.47,10.536,1931295,21250353.0,8.9,5.14,0.54,0.0
20250804,10.46,10.15,10.53,10.07,6580707,65357329.0,4.17,-8.06,-0.89,0.0
20250805,8.74,8.56,9.045,8.2,14614178,126020834.0,8.33,-15.67,-1.59,0.0
20250806,8.75,7.94,8.76,7.845,9194671,75018302.0,10.69,-7.24,-0.62,0.0
20250807,7.8,7.68,8.04,7.5,8943345,69389217.0,6.8,-3.27,-0.26,0.0
20250808,7.49,7.29,7.5,7.21,7353582,53888884.0,3.78,-5.08,-0.39,0.0
20250811,7.32,7.62,7.69,7.28,7294929,54459974.0,5.62,4.53,0.33,0.0
20250812,7.44,7.27,7.675,7.17,7817071,57893063.0,6.63,-4.59,-0.35,0.0
20250813,7.11,7.47,7.53,7.08,8322552,61092337.0,6.19,2.75,0.2,0.0
20250814,7.65,7.74,7.89,7.4,10928937,83698372.0,6.56,3.61,0.27,0.0
20250815,7.85,8.06,8.39,7.85,10314066,83533861.0,6.98,4.13,0.32,0.0
20250818,8.25,8.35,8.596,8.0,13393703,111944344.0,7.39,3.6,0.29,0.0
20250819,8.62,9.92,9.996,8.52,21853468,208327238.0,17.68,18.8,1.57,0.0
20250820,10.61,10.14,11.85,10.08,53321028,577955296.0,17.84,2.22,0.22,0.0
20250821,9.99,10.11,10.43,9.88,24860541,252140507.0,5.42,-0.3,-0.03,0.0
20250822,10.24,9.78,10.5,9.219,20974025,205456863.0,12.67,-3.26,-0.33,0.0
20250825,10.11,9.98,10.95,9.81,21266713,217595961.0,11.66,2.04,0.2,0.0
20250826,10.21,9.51,10.3,9.36,14396855,139818335.0,9.42,-4.71,-0.47,0.0
20250827,9.37,10.01,10.09,9.35,15145794,148476061.0,7.78,5.26,0.5,0.0
20250828,9.88,9.82,10.43,9.8,12197134,122902164.0,6.29,-1.9,-0.19,0.0
20250829,9.97,9.99,10.3,9.79,9906910,99549789.0,5.19,1.73,0.17,0.0
