trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250602,25.04,25.05,25.07,25.018,18101,453463.0,0.0,0.0,0.0,0.0
20250603,25.1,25.081,25.11,25.05,8738,219331.0,0.24,0.12,0.031,0.0
20250604,25.081,25.081,25.081,25.081,41,1028.0,0.0,0.0,0.0,0.0
20250605,25.09,25.065,25.095,25.065,4803,120508.0,0.12,-0.06,-0.016,0.0
20250606,25.11,25.09,25.13,25.09,1740,43724.0,0.16,0.1,0.025,0.0
20250610,25.13,25.109,25.14,25.109,302,7590.0,0.12,0.08,0.019,0.0
20250613,25.1,25.095,25.1,25.095,3987,100074.0,0.02,-0.06,-0.014,0.0
20250616,25.133,25.133,25.133,25.133,1,25.0,0.0,0.15,0.038,0.0
20250617,25.115,25.11,25.115,25.11,1790,44956.0,0.02,-0.09,-0.023,0.0
20250623,25.12,25.172,25.2,25.12,401,10090.0,0.32,0.25,0.062,0.0
20250625,25.27,25.23,25.27,25.23,1300,32839.0,0.16,0.23,0.058,0.0
20250626,25.3,25.27,25.3,25.27,300,7590.0,0.12,0.16,0.04,0.0
20250627,25.26,25.291,25.291,25.26,924,23340.0,0.12,0.08,0.021,0.0
20250701,25.305,25.305,25.305,25.305,3,76.0,0.0,0.06,0.014,0.0
20250702,25.32,25.32,25.32,25.32,2,51.0,0.0,0.06,0.015,0.0
20250703,25.345,25.345,25.345,25.345,2,51.0,0.0,0.1,0.025,0.0
20250707,25.315,25.315,25.315,25.315,8,203.0,0.0,-0.12,-0.03,0.0
20250710,25.31,25.35,25.35,25.31,3949,99969.0,0.16,0.14,0.035,0.0
20250711,25.32,25.351,25.351,25.32,1975,50007.0,0.12,0.0,0.001,0.0
20250714,25.357,25.357,25.357,25.357,7,178.0,0.0,0.02,0.006,0.0
20250715,25.36,25.354,25.36,25.354,2067,52417.0,0.02,-0.01,-0.003,0.0
20250716,25.356,25.356,25.356,25.356,3,76.0,0.0,0.01,0.002,0.0
20250717,25.375,25.375,25.375,25.375,4,102.0,0.0,0.07,0.019,0.0
20250723,25.39,25.43,25.43,25.39,698,17722.0,0.16,0.22,0.055,0.0
20250724,25.435,25.435,25.435,25.435,4,102.0,0.0,0.02,0.005,0.0
20250725,25.456,25.456,25.456,25.456,1,25.0,0.0,0.08,0.021,0.0
20250728,25.46,25.46,25.46,25.46,5,127.0,0.0,0.02,0.004,0.0
20250729,25.46,25.46,25.46,25.46,4,102.0,0.0,0.0,0.0,0.0
20250804,25.475,25.475,25.475,25.475,1,25.0,0.0,0.06,0.015,0.0
20250811,25.508,25.508,25.508,25.508,6,152.0,0.0,0.13,0.033,0.0
20250815,25.53,25.554,25.554,25.53,1301,33215.0,0.09,0.18,0.046,0.0
20250821,25.513,25.513,25.513,25.513,2,51.0,0.0,-0.16,-0.041,0.0
20250826,25.59,25.59,25.59,25.59,2,51.0,0.0,0.3,0.077,0.0
20250902,25.56,25.578,25.578,25.56,2300,58788.0,0.07,-0.05,-0.012,0.0
