trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210701,20.59,20.61,20.61,20.58,48804,1005150.0,0.0,0.0,0.0,0.0
20210702,20.58,20.633,20.67,20.58,1528,31570.0,0.44,0.11,0.023,0.0
20210706,20.59,20.634,20.65,20.59,11114,228899.0,0.29,0.0,0.001,0.0
20210707,20.61,20.66,20.67,20.61,2341,48345.0,0.29,0.13,0.026,0.0
20210708,20.51,20.503,20.57,20.41,7325,150231.0,0.77,-0.76,-0.157,0.0
20210709,20.65,20.676,20.68,20.65,273,5642.0,0.15,0.84,0.173,0.0
20210712,20.706,20.706,20.706,20.706,33,683.0,0.0,0.15,0.03,0.0
20210713,20.701,20.664,20.701,20.664,187,3871.0,0.18,-0.2,-0.042,0.0
20210714,20.68,20.7,20.73,20.68,26729,553620.0,0.24,0.17,0.036,0.0
20210716,20.8,20.512,20.8,20.512,29875,619340.0,1.39,-0.91,-0.188,0.0
20210719,20.331,20.306,20.331,20.24,4262,86435.0,0.44,-1.0,-0.206,0.0
20210720,20.48,20.51,20.53,20.48,28335,581331.0,0.25,1.0,0.204,0.0
20210721,20.54,20.56,20.56,20.53,24433,501688.0,0.15,0.24,0.05,0.0
20210722,20.68,20.68,20.68,20.68,9483,196108.0,0.0,0.58,0.12,0.0
20210723,20.71,20.775,20.775,20.71,2138,44278.0,0.31,0.46,0.095,0.0
20210726,20.78,20.81,20.81,20.78,26538,552248.0,0.14,0.17,0.035,0.0
20210727,20.71,20.68,20.71,20.68,26233,542604.0,0.14,-0.62,-0.13,0.0
20210728,20.69,20.697,20.7,20.69,725,15006.0,0.05,0.08,0.017,0.0
20210729,20.84,20.84,20.84,20.84,6615,137856.0,0.0,0.69,0.143,0.0
20210730,20.66,20.655,20.67,20.645,10200,210781.0,0.12,-0.89,-0.185,0.0
20210802,20.81,20.768,20.81,20.768,1010,21015.0,0.2,0.55,0.113,0.0
20210803,20.804,20.804,20.804,20.804,1,20.0,0.0,0.17,0.036,0.0
20210805,20.83,20.87,20.87,20.83,13171,274587.0,0.19,0.32,0.066,0.0
20210806,20.87,20.847,20.87,20.847,300,6261.0,0.11,-0.11,-0.023,0.0
20210809,20.82,20.82,20.82,20.82,99,2061.0,0.0,-0.13,-0.027,0.0
20210811,20.852,20.853,20.853,20.852,190,3961.0,0.0,0.16,0.033,0.0
20210816,20.91,20.898,20.94,20.898,110767,2319412.0,0.2,0.22,0.045,0.0
20210817,20.78,20.81,20.85,20.78,10121,210685.0,0.33,-0.42,-0.088,0.0
20210818,20.86,20.77,20.87,20.77,3142,65488.0,0.48,-0.19,-0.04,0.0
20210819,20.59,20.7,20.73,20.59,74744,1547488.0,0.67,-0.34,-0.07,0.0
20210823,20.987,20.987,20.987,20.987,5,104.0,0.0,1.39,0.287,0.0
20210824,21.0,20.978,21.0,20.95,200,4195.0,0.24,-0.04,-0.009,0.0
20210826,20.94,20.923,20.94,20.923,200,4188.0,0.08,-0.26,-0.055,0.0
20210831,21.06,21.08,21.08,21.06,6567,138353.0,0.1,0.75,0.157,0.0
20210901,21.1,21.14,21.15,21.1,26502,560126.0,0.24,0.28,0.06,0.0
20210902,21.123,21.123,21.123,21.123,4,84.0,0.0,-0.08,-0.017,0.0
