trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20211027,24.685,24.632,24.685,24.632,1,25.0,0.0,0.0,0.0,0.0
20211028,24.773,24.832,24.861,24.753,6811,172930.0,0.44,0.81,0.2,0.0
20211029,24.734,24.998,24.998,24.734,2318,58941.0,1.06,0.67,0.166,0.0
20211101,25.115,25.066,25.115,24.9,49772,1273447.0,0.86,0.27,0.068,0.0
20211102,25.135,25.193,25.242,25.115,48338,1245220.0,0.51,0.51,0.127,0.0
20211103,25.291,25.447,25.447,25.173,22030,570540.0,1.09,1.01,0.254,0.0
20211104,25.457,25.786,25.886,25.457,23770,625082.0,1.69,1.33,0.339,0.0
20211105,25.985,25.819,26.014,25.789,19893,527810.0,0.87,0.13,0.033,0.0
20211108,25.897,25.88,25.926,25.828,47211,1250585.0,0.38,0.24,0.061,0.0
20211109,25.995,25.77,25.995,25.701,19932,526143.0,1.14,-0.43,-0.11,0.0
20211110,25.584,25.359,25.711,25.29,15547,405911.0,1.63,-1.59,-0.411,0.0
20211111,25.516,25.447,25.535,25.438,5232,136406.0,0.38,0.35,0.088,0.0
20211112,25.467,25.731,25.739,25.452,6963,182689.0,1.13,1.12,0.284,0.0
20211115,25.848,25.721,25.848,25.604,10871,285762.0,0.95,-0.04,-0.01,0.0
20211116,25.643,25.898,25.936,25.643,6041,159700.0,1.14,0.69,0.177,0.0
20211117,25.965,25.887,25.985,25.855,5486,145477.0,0.5,-0.04,-0.011,0.0
20211118,26.073,26.147,26.161,25.911,18029,480256.0,0.97,1.0,0.26,0.0
20211119,26.327,26.306,26.395,26.249,19195,517562.0,0.56,0.61,0.159,0.0
20211122,26.483,26.043,26.62,26.043,35107,949009.0,2.19,-1.0,-0.263,0.0
20211123,25.848,25.897,25.999,25.623,13509,356589.0,1.44,-0.56,-0.146,0.0
20211124,25.819,26.007,26.007,25.721,26305,695252.0,1.1,0.42,0.11,0.0
20211126,25.809,25.408,25.819,25.408,7768,203943.0,1.58,-2.3,-0.599,0.0
20211129,25.858,26.06,26.073,25.769,16605,440901.0,1.2,2.57,0.652,0.0
20211130,25.985,26.278,26.278,25.555,17170,451993.0,2.77,0.84,0.218,0.0
20211201,26.034,25.31,26.141,25.31,22357,591594.0,3.16,-3.68,-0.968,0.0
20211202,25.213,25.476,25.617,25.164,10982,285841.0,1.79,0.66,0.166,0.0
20211203,25.613,24.959,25.613,24.822,13105,334774.0,3.1,-2.03,-0.517,0.0
20211206,25.125,25.268,25.332,24.92,15806,407167.0,1.65,1.24,0.309,0.0
20211207,25.77,26.043,26.057,25.77,16053,425965.0,1.14,3.07,0.775,0.0
20211208,26.092,26.166,26.17,25.975,6254,166948.0,0.75,0.47,0.123,0.0
20211209,26.17,25.809,26.17,25.809,6236,165836.0,1.38,-1.36,-0.357,0.0
20211210,26.053,26.124,26.124,25.926,21199,565707.0,0.77,1.22,0.315,0.0
20211213,26.141,25.75,26.141,25.75,11031,292544.0,1.5,-1.43,-0.374,0.0
20211214,25.398,25.34,25.525,25.111,11008,284985.0,1.61,-1.59,-0.41,0.0
20211215,25.35,25.916,25.916,25.164,4849,127516.0,2.97,2.27,0.576,0.0
20211216,26.102,25.33,26.102,25.223,15729,410487.0,3.39,-2.26,-0.586,0.0
20211217,25.017,25.205,25.389,24.959,15665,402423.0,1.7,-0.49,-0.125,0.0
20211220,24.851,24.939,24.949,24.783,10601,269631.0,0.66,-1.06,-0.266,0.0
20211221,25.145,25.527,25.527,25.086,6007,155150.0,1.77,2.36,0.588,0.0
20211222,25.526,25.823,25.823,25.458,9249,243024.0,1.43,1.16,0.296,0.0
20211223,25.898,26.045,26.074,25.898,16956,451040.0,0.68,0.86,0.222,0.0
20211227,26.123,26.486,26.486,26.123,14530,391122.0,1.39,1.69,0.441,0.0
20211228,26.631,26.337,26.631,26.333,9550,258972.0,1.13,-0.56,-0.149,0.0
20211229,26.406,26.378,26.436,26.269,4448,120028.0,0.63,0.16,0.041,0.0
20211230,26.436,26.231,26.465,26.231,3871,104653.0,0.89,-0.56,-0.147,0.0
20211231,26.201,26.076,26.201,26.076,14293,382364.0,0.48,-0.59,-0.155,0.0
20220103,26.083,26.276,26.276,26.083,6301,168322.0,0.74,0.77,0.2,0.0
20220104,26.308,25.957,26.308,25.751,5695,151605.0,2.12,-1.21,-0.319,0.0
20220105,25.839,25.242,25.839,25.242,14805,386338.0,2.3,-2.75,-0.715,0.0
20220106,25.008,25.088,25.262,24.851,10734,274902.0,1.63,-0.61,-0.154,0.0
20220107,25.125,24.822,25.125,24.763,8731,222028.0,1.44,-1.06,-0.266,0.0
20220110,24.48,24.839,24.839,24.137,11081,275830.0,2.83,0.07,0.017,0.0
20220111,24.832,25.164,25.204,24.832,8720,223980.0,1.5,1.31,0.325,0.0
20220112,25.34,25.28,25.458,25.203,8173,211651.0,1.01,0.46,0.116,0.0
20220113,25.438,24.665,25.438,24.656,15884,403331.0,3.09,-2.43,-0.615,0.0
20220114,24.47,24.85,24.85,24.47,3843,96867.0,1.54,0.75,0.185,0.0
20220118,24.499,24.196,24.499,24.196,8492,211926.0,1.22,-2.63,-0.654,0.0
20220119,24.294,23.961,24.45,23.961,23556,583297.0,2.02,-0.97,-0.235,0.0
20220120,24.186,23.635,24.401,23.609,31286,772737.0,3.31,-1.36,-0.326,0.0
20220121,23.462,23.052,23.599,23.052,15548,370439.0,2.31,-2.47,-0.583,0.0
20220124,22.612,23.109,23.109,21.888,17713,407295.0,5.3,0.25,0.057,0.0
20220125,22.7,22.514,22.827,22.366,7207,167182.0,1.99,-2.57,-0.595,0.0
20220126,23.13,22.576,23.335,22.353,26598,619573.0,4.36,0.28,0.062,0.0
20220127,22.915,22.371,22.954,22.367,15089,349432.0,2.6,-0.91,-0.205,0.0
20220128,22.475,23.077,23.077,22.22,3021,69810.0,3.83,3.16,0.706,0.0
20220131,23.198,23.832,23.832,23.198,13657,327547.0,2.75,3.27,0.755,0.0
20220201,23.854,23.971,23.971,23.56,7209,175432.0,1.72,0.58,0.139,0.0
20220202,24.245,24.049,24.245,24.0,11421,281571.0,1.02,0.33,0.078,0.0
20220203,23.658,23.433,23.731,23.433,6985,168182.0,1.24,-2.56,-0.616,0.0
20220204,23.267,23.51,23.51,23.218,2881,68658.0,1.25,0.33,0.077,0.0
20220207,23.502,23.286,23.55,23.286,2404,57713.0,1.12,-0.95,-0.224,0.0
20220208,23.472,23.607,23.607,23.472,2089,50284.0,0.58,1.38,0.321,0.0
20220209,23.844,24.096,24.118,23.834,8390,204993.0,1.2,2.07,0.489,0.0
20220210,23.775,23.541,23.961,23.443,4956,120950.0,2.15,-2.3,-0.555,0.0
20220211,23.599,22.813,23.599,22.751,4180,98883.0,3.6,-3.09,-0.728,0.0
20220214,22.709,22.805,22.954,22.585,4066,94748.0,1.62,-0.04,-0.008,0.0
20220215,23.258,23.366,23.366,23.258,899,21434.0,0.47,2.46,0.561,0.0
20220216,23.228,23.347,23.389,23.083,2312,54856.0,1.31,-0.08,-0.019,0.0
20220217,22.993,22.65,22.993,22.631,2309,53913.0,1.55,-2.99,-0.697,0.0
20220218,22.563,22.377,22.563,22.25,22741,521222.0,1.38,-1.21,-0.273,0.0
20220222,22.162,22.158,22.318,22.005,4688,106620.0,1.4,-0.98,-0.219,0.0
20220223,22.005,21.623,22.103,21.623,23202,515111.0,2.17,-2.41,-0.535,0.0
20220224,20.88,22.377,22.377,20.88,12693,279188.0,6.92,3.49,0.754,0.0
20220225,22.328,22.696,22.696,22.328,6449,147952.0,1.64,1.43,0.319,0.0
20220228,22.514,22.751,22.788,22.514,3555,82289.0,1.21,0.24,0.055,0.0
20220301,22.709,22.384,22.709,22.384,1489,34287.0,1.43,-1.61,-0.367,0.0
20220302,22.387,22.815,22.836,22.387,2929,68117.0,2.01,1.93,0.431,0.0
20220303,22.944,22.68,22.944,22.475,2608,60388.0,2.06,-0.59,-0.135,0.0
20220304,22.299,22.054,22.299,22.015,10779,243948.0,1.25,-2.76,-0.626,0.0
20220307,22.103,21.348,22.103,21.348,4278,94867.0,3.42,-3.2,-0.706,0.0
20220308,21.281,21.272,21.731,21.008,4815,104219.0,3.39,-0.36,-0.076,0.0
20220309,21.809,21.98,21.995,21.809,1648,36906.0,0.87,3.33,0.708,0.0
20220310,21.702,21.712,21.731,21.409,4786,105670.0,1.46,-1.22,-0.268,0.0
20220311,21.927,21.235,21.927,21.235,4479,98532.0,3.19,-2.2,-0.477,0.0
20220314,21.203,20.812,21.35,20.802,13336,287089.0,2.58,-1.99,-0.423,0.0
20220315,21.125,21.494,21.494,20.988,40105,869027.0,2.43,3.28,0.682,0.0
20220316,21.8,22.299,22.299,21.8,33168,745667.0,2.32,3.75,0.805,0.0
20220317,22.191,22.524,22.524,22.103,9865,224297.0,1.89,1.01,0.225,0.0
20220318,22.514,23.013,23.013,22.514,55093,1286012.0,2.22,2.17,0.489,0.0
20220321,22.918,22.83,23.013,22.673,5935,138493.0,1.48,-0.8,-0.183,0.0
20220322,23.094,23.328,23.388,23.094,2007,47618.0,1.29,2.18,0.498,0.0
20220323,23.182,22.977,23.339,22.977,15957,378425.0,1.55,-1.5,-0.351,0.0
20220324,23.133,23.508,23.508,23.094,1131,26897.0,1.8,2.31,0.531,0.0
20220325,23.555,23.466,23.555,23.251,3705,88611.0,1.29,-0.18,-0.042,0.0
20220328,23.668,23.839,23.839,23.44,7328,176997.0,1.7,1.59,0.373,0.0
20220329,24.132,24.25,24.25,23.966,10427,256433.0,1.19,1.72,0.411,0.0
20220330,24.132,23.952,24.211,23.898,18485,453874.0,1.29,-1.23,-0.298,0.0
20220331,24.025,23.662,24.025,23.613,18766,457051.0,1.72,-1.21,-0.29,0.0
20220401,23.558,23.606,23.623,23.417,13763,329484.0,0.87,-0.24,-0.056,0.0
20220404,23.643,24.064,24.064,23.643,2789,67854.0,1.78,1.94,0.458,0.0
20220405,23.995,23.516,23.995,23.516,2619,63437.0,1.99,-2.28,-0.548,0.0
20220406,23.036,23.036,23.036,23.036,383,9008.0,0.0,-2.04,-0.48,0.0
20220407,23.026,23.079,23.079,22.781,7936,186544.0,1.29,0.19,0.043,0.0
20220408,22.859,22.736,22.989,22.736,4680,109326.0,1.1,-1.49,-0.343,0.0
20220411,22.497,22.2,22.497,22.2,10989,251022.0,1.31,-2.36,-0.536,0.0
20220412,22.487,22.095,22.487,22.095,4107,93435.0,1.77,-0.47,-0.105,0.0
20220413,22.164,22.538,22.565,22.164,40682,931723.0,1.81,2.0,0.443,0.0
20220414,22.37,22.017,22.37,22.017,2162,48952.0,1.57,-2.31,-0.521,0.0
20220418,21.88,22.016,22.095,21.88,2900,65014.0,0.98,0.0,-0.001,0.0
20220419,22.306,22.491,22.526,22.306,2927,66978.0,1.0,2.16,0.475,0.0
20220420,22.536,22.212,22.536,22.183,21109,482367.0,1.57,-1.24,-0.279,0.0
20220421,22.448,21.733,22.562,21.733,5304,120846.0,3.73,-2.16,-0.479,0.0
20220422,21.547,21.135,21.625,21.135,65839,1445460.0,2.25,-2.75,-0.598,0.0
20220425,21.038,21.448,21.468,21.028,10675,232618.0,2.08,1.48,0.313,0.0
20220426,21.322,20.677,21.322,20.656,21815,464721.0,3.11,-3.59,-0.771,0.0
20220427,20.714,20.693,20.93,20.685,2717,57721.0,1.18,0.08,0.016,0.0
20220428,20.989,21.361,21.42,20.871,6899,149476.0,2.65,3.23,0.668,0.0
20220429,21.131,20.435,21.194,20.43,21686,459071.0,3.58,-4.34,-0.926,0.0
20220502,20.469,20.818,20.832,20.274,15041,314543.0,2.73,1.87,0.383,0.0
20220503,20.754,20.822,20.92,20.685,12564,266477.0,1.13,0.02,0.004,0.0
20220504,20.793,21.517,21.542,20.577,15710,334348.0,4.63,3.34,0.695,0.0
20220505,21.047,20.518,21.047,20.264,31140,651079.0,3.64,-4.64,-0.999,0.0
20220506,20.342,20.195,20.558,19.98,23981,495324.0,2.82,-1.57,-0.323,0.0
20220509,19.901,19.417,19.931,19.324,55125,1102899.0,3.01,-3.85,-0.778,0.0
20220510,19.911,19.695,19.96,19.422,47109,947756.0,2.77,1.43,0.278,0.0
20220511,19.539,19.069,19.626,19.069,4042,79877.0,2.83,-3.18,-0.626,0.0
20220512,18.844,19.017,19.049,18.638,7759,149943.0,2.16,-0.27,-0.052,0.0
20220513,19.294,19.71,19.755,19.206,4664,93091.0,2.89,3.64,0.693,0.0
20220516,19.627,19.488,19.627,19.451,12077,240722.0,0.89,-1.13,-0.222,0.0
20220517,19.705,20.039,20.039,19.705,3085,62864.0,1.71,2.83,0.551,0.0
20220518,19.715,19.0,19.715,18.991,4194,82761.0,3.61,-5.18,-1.039,0.0
20220519,18.912,18.908,19.147,18.805,4904,94552.0,1.8,-0.48,-0.092,0.0
20220520,18.609,18.857,18.883,18.325,12607,238850.0,2.95,-0.27,-0.051,0.0
20220523,19.04,19.226,19.226,18.932,11330,221448.0,1.56,1.96,0.369,0.0
20220524,18.834,18.811,18.834,18.56,8535,163578.0,1.43,-2.16,-0.415,0.0
20220525,18.756,19.101,19.196,18.756,6489,125998.0,2.34,1.54,0.29,0.0
20220526,19.637,19.608,19.686,19.608,1215,24384.0,0.41,2.65,0.507,0.0
20220527,19.98,20.262,20.262,19.98,4373,89979.0,1.44,3.34,0.654,0.0
20220531,20.068,20.169,20.332,20.068,6255,128904.0,1.3,-0.46,-0.093,0.0
20220601,20.088,20.045,20.136,19.963,2746,56263.0,0.86,-0.61,-0.124,0.0
20220602,19.96,20.548,20.567,19.892,7075,146913.0,3.37,2.51,0.503,0.0
20220603,20.019,20.029,20.136,20.019,2209,45228.0,0.57,-2.53,-0.519,0.0
20220606,20.303,20.068,20.39,19.999,5229,107791.0,1.95,0.19,0.039,0.0
20220607,19.95,20.299,20.299,19.95,1490,30627.0,1.74,1.15,0.231,0.0
20220608,20.244,20.127,20.293,20.127,1511,31246.0,0.82,-0.85,-0.172,0.0
20220609,19.955,19.607,19.955,19.607,811,16422.0,1.73,-2.58,-0.52,0.0
20220610,19.265,18.901,19.265,18.873,29993,578918.0,2.0,-3.6,-0.706,0.0
20220613,18.315,18.05,18.315,18.021,4769,88349.0,1.56,-4.5,-0.851,0.0
20220614,18.178,18.06,18.227,17.943,13483,249102.0,1.57,0.06,0.01,0.0
20220615,18.354,18.53,18.729,18.305,14400,270346.0,2.35,2.6,0.47,0.0
20220616,17.903,17.796,17.915,17.639,3632,65897.0,1.49,-3.96,-0.734,0.0
20220617,18.011,17.952,18.094,17.76,4525,83103.0,1.88,0.88,0.156,0.0
20220621,18.234,18.42,18.508,18.234,7320,136884.0,1.53,2.61,0.468,0.0
20220622,18.371,18.43,18.577,18.371,1428,26863.0,1.12,0.05,0.01,0.0
20220623,18.425,18.675,18.695,18.425,1410,26620.0,1.47,1.33,0.245,0.0
20220624,18.901,19.352,19.352,18.901,5351,104489.0,2.41,3.63,0.677,0.0
20220627,19.215,19.186,19.323,19.107,1766,34613.0,1.12,-0.86,-0.166,0.0
20220628,19.215,18.567,19.215,18.567,1432,27562.0,3.38,-3.23,-0.619,0.0
20220629,18.548,18.636,18.636,18.523,4208,79670.0,0.61,0.37,0.069,0.0
20220630,18.351,18.351,18.597,18.096,2769,52106.0,2.69,-1.53,-0.285,0.0
20220701,18.293,18.459,18.459,18.244,637,11858.0,1.17,0.59,0.108,0.0
20220705,18.69,18.764,18.764,18.69,2579,49255.0,0.4,1.65,0.305,0.0
20220706,18.823,18.911,18.94,18.744,3661,70151.0,1.04,0.78,0.147,0.0
20220707,19.136,19.316,19.333,19.136,9818,192551.0,1.04,2.14,0.405,0.0
20220708,19.127,19.333,19.333,19.127,3552,69729.0,1.07,0.09,0.017,0.0
20220711,19.166,18.911,19.166,18.911,3315,64111.0,1.32,-2.18,-0.422,0.0
20220712,18.999,18.734,18.999,18.734,1400,26975.0,1.4,-0.94,-0.177,0.0
20220713,18.605,18.695,18.783,18.605,1761,33592.0,0.95,-0.21,-0.039,0.0
20220714,18.321,18.764,18.764,18.321,2909,55439.0,2.37,0.37,0.069,0.0
20220715,19.029,19.127,19.127,19.029,492,9552.0,0.52,1.93,0.363,0.0
20220718,19.333,18.951,19.333,18.951,3439,67255.0,2.0,-0.92,-0.176,0.0
20220719,19.411,19.536,19.539,19.411,1698,33690.0,0.68,3.09,0.585,0.0
20220720,19.833,19.873,19.892,19.833,2188,44275.0,0.3,1.73,0.337,0.0
20220721,19.882,20.126,20.126,19.882,1328,27122.0,1.23,1.27,0.253,0.0
20220722,20.128,19.824,20.128,19.676,2240,45583.0,2.25,-1.5,-0.302,0.0
20220725,19.784,19.657,19.784,19.608,1325,26561.0,0.89,-0.84,-0.167,0.0
20220726,19.529,19.323,19.529,19.284,1315,25926.0,1.25,-1.7,-0.334,0.0
20220727,19.615,20.167,20.246,19.615,6227,125187.0,3.27,4.37,0.844,0.0
20220728,20.157,20.383,20.383,20.02,3902,80543.0,1.8,1.07,0.216,0.0
20220729,20.36,20.658,20.658,20.36,2686,56391.0,1.46,1.35,0.275,0.0
20220801,20.569,20.687,20.883,20.569,7950,167520.0,1.52,0.14,0.029,0.0
20220802,20.52,20.569,20.692,20.52,2980,62617.0,0.83,-0.57,-0.118,0.0
20220803,20.707,21.148,21.188,20.707,15160,324906.0,2.34,2.81,0.579,0.0
20220804,21.148,21.237,21.237,21.07,2922,63016.0,0.79,0.42,0.089,0.0
20220805,20.913,21.099,21.099,20.913,3529,75549.0,0.88,-0.65,-0.138,0.0
20220808,21.203,20.972,21.217,20.927,5203,111749.0,1.37,-0.6,-0.127,0.0
20220809,20.677,20.726,20.726,20.677,1414,29799.0,0.23,-1.17,-0.246,0.0
