trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240404,25.007,25.104,25.245,25.007,16426,417523.0,0.95,0.39,0.097,0.0
20240405,25.106,25.15,25.156,25.081,7948,201399.0,0.3,0.18,0.046,0.0
20240408,25.31,25.285,25.361,25.285,1219,31085.0,0.3,0.54,0.135,0.0
20240409,25.702,25.464,25.702,25.464,1186,30528.0,0.94,0.71,0.179,0.0
20240410,25.206,25.166,25.275,25.166,3574,90764.0,0.43,-1.17,-0.298,0.0
20240411,25.424,25.444,25.583,25.305,15361,394345.0,1.1,1.1,0.278,0.0
20240412,25.414,25.166,25.414,25.077,23339,592825.0,1.32,-1.09,-0.278,0.0
20240415,25.186,25.136,25.186,25.086,343344,8697045.0,0.4,-0.12,-0.03,0.0
20240416,24.67,24.352,24.719,24.317,6697,165312.0,1.6,-3.12,-0.784,0.0
20240417,24.124,24.233,24.283,24.114,4367,106575.0,0.69,-0.49,-0.119,0.0
20240418,24.342,24.233,24.342,24.177,1821,44480.0,0.68,0.0,0.0,0.0
20240419,24.114,24.134,24.167,24.104,7194,174862.0,0.26,-0.41,-0.099,0.0
20240422,24.263,24.18,24.263,24.144,1043,25444.0,0.49,0.19,0.046,0.0
20240423,24.258,24.114,24.258,24.094,1428,34745.0,0.68,-0.27,-0.066,0.0
20240424,24.213,24.283,24.293,24.213,1922,46982.0,0.33,0.7,0.169,0.0
20240425,23.667,23.836,23.876,23.667,3852,92528.0,0.86,-1.84,-0.447,0.0
20240426,24.015,23.906,24.035,23.191,6995,167705.0,3.54,0.29,0.07,0.0
20240429,24.005,24.147,24.154,24.005,1101,26754.0,0.62,1.01,0.241,0.0
20240430,24.064,24.0,24.064,23.995,1550,37526.0,0.29,-0.61,-0.147,0.0
20240501,23.965,23.915,24.198,23.915,2513,61008.0,1.18,-0.35,-0.085,0.0
20240502,24.441,24.412,24.441,24.312,10711,263468.0,0.54,2.08,0.497,0.0
20240503,24.67,24.699,24.729,24.67,1200,29843.0,0.24,1.18,0.287,0.0
20240506,24.828,24.789,24.868,24.789,1546,38688.0,0.32,0.36,0.09,0.0
20240507,24.57,24.749,24.749,24.57,4900,121721.0,0.72,-0.16,-0.04,0.0
20240508,24.432,24.506,24.506,24.432,880,21697.0,0.3,-0.98,-0.243,0.0
20240509,24.561,24.739,24.739,24.561,1306,32417.0,0.73,0.95,0.233,0.0
20240510,24.878,24.749,24.878,24.729,3168,79326.0,0.6,0.04,0.01,0.0
20240513,24.688,24.63,24.688,24.561,1275,31636.0,0.51,-0.48,-0.119,0.0
20240514,24.739,24.67,24.739,24.66,3901,96994.0,0.32,0.16,0.04,0.0
20240515,24.699,24.759,24.759,24.62,1400,34771.0,0.56,0.36,0.089,0.0
20240516,24.809,24.481,24.809,24.481,1200,29890.0,1.32,-1.12,-0.278,0.0
20240517,24.59,24.61,24.61,24.59,1252,31024.0,0.08,0.53,0.129,0.0
20240520,24.819,24.719,24.819,24.719,1300,32483.0,0.41,0.44,0.109,0.0
20240521,24.61,24.66,24.68,24.61,1057,26244.0,0.28,-0.24,-0.059,0.0
20240522,24.283,24.203,24.392,24.203,1408,34507.0,0.77,-1.85,-0.457,0.0
20240523,24.461,24.233,24.461,24.203,1200,29457.0,1.07,0.12,0.03,0.0
20240524,24.511,24.6,24.615,24.511,2289,56683.0,0.43,1.51,0.367,0.0
20240528,24.878,24.816,25.017,24.759,3632,90988.0,1.05,0.88,0.216,0.0
20240529,24.412,24.233,24.412,24.233,1621,39665.0,0.72,-2.35,-0.583,0.0
20240530,24.362,24.392,24.446,24.362,1772,43621.0,0.35,0.66,0.159,0.0
20240531,24.709,24.69,24.749,24.59,3642,90693.0,0.65,1.22,0.298,0.0
20240603,24.809,24.531,24.809,24.501,1896,47038.0,1.25,-0.64,-0.159,0.0
20240604,24.65,24.551,24.65,24.541,1006,24957.0,0.44,0.08,0.02,0.0
20240605,24.392,24.427,24.427,24.243,4708,115260.0,0.75,-0.51,-0.124,0.0
20240606,24.322,24.63,24.63,24.322,12938,319102.0,1.26,0.83,0.203,0.0
20240607,24.6,24.57,24.709,24.57,1402,34859.0,0.56,-0.24,-0.06,0.0
20240610,24.799,24.799,24.848,24.799,1201,30036.0,0.2,0.93,0.229,0.0
20240611,24.58,24.699,24.699,24.58,920,22860.0,0.48,-0.4,-0.1,0.0
20240612,24.848,24.868,24.868,24.848,1502,37634.0,0.08,0.68,0.169,0.0
20240613,24.402,24.451,24.461,24.362,1902,46825.0,0.4,-1.68,-0.417,0.0
20240614,24.67,24.58,24.67,24.551,2387,59149.0,0.49,0.53,0.129,0.0
20240617,24.253,24.352,24.352,24.164,919,22461.0,0.76,-0.93,-0.228,0.0
20240618,24.322,24.342,24.342,24.233,2479,60658.0,0.45,-0.04,-0.01,0.0
20240620,24.312,24.372,24.451,24.303,4799,117942.0,0.61,0.12,0.03,0.0
20240621,24.147,24.193,24.203,24.134,1089,26522.0,0.28,-0.73,-0.179,0.0
20240624,24.253,24.332,24.402,24.253,1402,34427.0,0.62,0.57,0.139,0.0
20240625,24.441,24.451,24.491,24.441,1101,27162.0,0.21,0.49,0.119,0.0
20240626,24.412,24.521,24.551,24.412,1531,37803.0,0.57,0.29,0.07,0.0
20240627,24.451,24.61,24.64,24.451,1302,32232.0,0.77,0.36,0.089,0.0
20240628,24.68,24.789,24.828,24.68,11115,277848.0,0.6,0.73,0.179,0.0
20240701,24.422,24.422,24.521,24.422,2816,69468.0,0.4,-1.48,-0.367,0.0
20240702,24.67,24.769,24.828,24.661,2005,49944.0,0.68,1.42,0.347,0.0
20240703,24.918,24.957,24.977,24.908,28551,718449.0,0.28,0.76,0.188,0.0
20240705,24.868,24.977,24.997,24.868,1226,30836.0,0.52,0.08,0.02,0.0
20240708,24.938,25.007,25.022,24.938,2183,54987.0,0.34,0.12,0.03,0.0
20240709,25.214,25.206,25.225,25.196,1342,34089.0,0.12,0.8,0.199,0.0
20240710,25.414,25.543,25.543,25.295,1905,48784.0,0.98,1.34,0.337,0.0
20240711,25.523,25.473,25.553,25.473,1597,41065.0,0.31,-0.27,-0.07,0.0
20240712,24.164,25.692,25.696,24.164,37476,966606.0,6.01,0.86,0.219,0.0
20240715,25.632,25.66,25.692,25.632,1777,45947.0,0.23,-0.12,-0.032,0.0
20240716,25.652,25.771,25.771,25.652,1204,31213.0,0.46,0.43,0.111,0.0
20240717,25.839,25.781,25.839,25.771,1201,31256.0,0.26,0.04,0.01,0.0
20240718,25.503,25.265,25.563,25.206,6323,161224.0,1.38,-2.0,-0.516,0.0
20240719,25.176,24.997,25.662,24.997,2296,58329.0,2.63,-1.06,-0.268,0.0
20240722,24.997,25.024,25.024,24.997,1104,27809.0,0.11,0.11,0.027,0.0
20240723,25.146,25.186,25.196,25.146,1002,25430.0,0.2,0.65,0.162,0.0
20240724,25.116,24.68,25.116,24.65,1802,45194.0,1.85,-2.01,-0.506,0.0
20240725,24.144,24.289,24.312,24.074,2218,54079.0,0.96,-1.58,-0.391,0.0
20240726,24.322,24.561,24.59,24.322,1403,34602.0,1.1,1.12,0.272,0.0
20240729,24.699,24.694,24.699,24.694,317,7890.0,0.02,0.54,0.133,0.0
20240730,24.709,24.724,24.819,24.64,2241,55897.0,0.72,0.12,0.03,0.0
20240731,25.335,25.722,25.722,25.335,2101,54201.0,1.57,4.04,0.998,0.0
20240801,25.156,24.44,25.156,24.382,3104,77204.0,3.01,-4.98,-1.282,0.0
20240802,23.737,23.171,23.737,23.112,9440,222172.0,2.56,-5.19,-1.269,0.0
20240805,21.98,22.323,22.516,21.832,12766,284775.0,2.95,-3.66,-0.848,0.0
20240806,22.447,22.611,22.655,22.248,5169,117063.0,1.82,1.29,0.288,0.0
20240807,23.648,23.209,25.325,23.209,4311,102770.0,9.36,2.64,0.598,0.0
20240808,23.261,23.767,23.796,23.261,2000,47508.0,2.31,2.4,0.558,0.0
20240809,23.727,23.816,23.816,23.677,3434,82106.0,0.58,0.21,0.049,0.0
20240812,23.588,23.911,23.995,23.588,5600,134550.0,1.71,0.4,0.095,0.0
20240813,24.62,24.809,24.809,24.62,1969,49047.0,0.79,3.76,0.898,0.0
20240814,24.819,24.794,24.819,24.67,3683,91917.0,0.6,-0.06,-0.015,0.0
20240815,24.501,25.409,25.409,24.501,4480,112278.0,3.66,2.48,0.615,0.0
20240816,25.642,25.757,25.771,25.642,792,20538.0,0.51,1.37,0.348,0.0
20240819,25.771,25.94,25.94,25.771,1101,28672.0,0.66,0.71,0.183,0.0
20240820,26.178,26.084,26.178,25.92,1700,44663.0,0.99,0.56,0.144,0.0
20240821,26.109,26.163,26.163,26.099,2724,71697.0,0.25,0.3,0.079,0.0
20240822,26.297,25.955,26.297,25.91,4624,121366.0,1.48,-0.8,-0.208,0.0
20240823,26.297,26.639,26.639,26.277,8234,218930.0,1.39,2.64,0.684,0.0
20240826,26.426,26.282,26.426,26.198,2526,66878.0,0.86,-1.34,-0.357,0.0
20240827,26.486,26.565,26.565,26.396,3590,95689.0,0.64,1.08,0.283,0.0
20240828,26.734,26.544,26.754,26.515,4871,131089.0,0.9,-0.08,-0.021,0.0
20240829,26.545,26.565,26.724,26.545,1531,41117.0,0.67,0.08,0.021,0.0
