trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20191213,17.462,17.462,17.488,17.454,357012,7186651.0,0.19,0.0,0.0,0.0
20191216,17.645,17.61,17.645,17.601,8007,162612.0,0.25,0.85,0.148,0.0
20191217,17.601,17.523,17.601,17.497,24885,502927.0,0.59,-0.49,-0.087,0.0
20191218,17.514,17.445,17.514,17.436,926037,18613473.0,0.45,-0.45,-0.078,0.0
20191219,17.445,17.488,17.532,17.428,104162,2098526.0,0.6,0.25,0.043,0.0
20191220,17.497,17.514,17.532,17.497,141189,2848702.0,0.2,0.15,0.026,0.0
20191223,17.514,17.497,17.514,17.454,21866,440703.0,0.34,-0.1,-0.017,0.0
20191224,17.462,17.54,17.575,17.462,22013,444636.0,0.65,0.25,0.043,0.0
20191226,17.547,17.573,17.573,17.547,2506,50543.0,0.15,0.19,0.033,0.0
20191227,17.642,17.573,17.642,17.573,8018,162082.0,0.39,0.0,0.0,0.0
20191230,17.547,17.555,17.555,17.494,22642,456593.0,0.35,-0.1,-0.018,0.0
20191231,17.494,17.486,17.503,17.486,3220,64746.0,0.1,-0.39,-0.069,0.0
20200102,17.634,17.738,17.738,17.634,17024,346590.0,0.59,1.44,0.252,0.0
20200103,17.738,17.816,17.834,17.738,48849,999668.0,0.54,0.44,0.078,0.0
20200106,17.877,17.799,17.877,17.79,25269,517221.0,0.49,-0.1,-0.017,0.0
20200107,17.729,17.712,17.738,17.712,10994,224051.0,0.15,-0.49,-0.087,0.0
20200108,17.703,17.695,17.738,17.651,12530,254621.0,0.49,-0.1,-0.017,0.0
20200109,17.608,17.703,17.712,17.608,3512,71151.0,0.59,0.05,0.008,0.0
20200110,17.816,17.825,17.834,17.816,46834,959554.0,0.1,0.69,0.122,0.0
20200113,17.764,17.834,17.834,17.764,3586,73297.0,0.39,0.05,0.009,0.0
20200114,17.773,17.869,17.869,17.773,69461,1425933.0,0.54,0.2,0.035,0.0
20200115,17.912,17.912,17.921,17.903,71455,1470575.0,0.1,0.24,0.043,0.0
20200116,17.886,17.877,17.886,17.877,150957,3102171.0,0.05,-0.2,-0.035,0.0
20200117,17.912,17.877,18.016,17.851,8104,166661.0,0.92,0.0,0.0,0.0
20200121,17.851,17.877,17.886,17.695,42275,868664.0,1.07,0.0,0.0,0.0
20200122,17.947,17.912,17.964,17.912,839531,17319311.0,0.29,0.2,0.035,0.0
20200123,17.903,17.929,17.938,17.895,54136,1114186.0,0.24,0.09,0.017,0.0
20200124,18.025,17.964,18.025,17.956,3375200,69706342.0,0.38,0.2,0.035,0.0
20200127,17.816,17.903,17.912,17.816,63012,1297356.0,0.53,-0.34,-0.061,0.0
20200128,17.877,17.869,17.903,17.869,79637,1637379.0,0.19,-0.19,-0.034,0.0
20200129,17.973,17.982,18.008,17.938,76824,1588087.0,0.39,0.63,0.113,0.0
20200130,17.982,17.947,17.982,17.903,181350,3737827.0,0.44,-0.19,-0.035,0.0
20200131,17.929,17.929,17.929,17.877,50114,1031990.0,0.29,-0.1,-0.018,0.0
20200203,17.921,17.886,17.956,17.842,95980,1971103.0,0.64,-0.24,-0.043,0.0
20200204,17.912,17.921,17.938,17.903,172688,3555412.0,0.2,0.2,0.035,0.0
20200205,17.912,17.929,17.947,17.903,51409,1058516.0,0.25,0.04,0.008,0.0
20200206,17.921,17.973,17.99,17.921,235257,4854912.0,0.38,0.25,0.044,0.0
20200207,17.982,17.999,18.008,17.982,77336,1600276.0,0.14,0.14,0.026,0.0
20200210,18.016,18.051,18.069,18.016,173785,3606539.0,0.29,0.29,0.052,0.0
20200211,18.095,18.069,18.103,18.069,128554,2672134.0,0.19,0.1,0.018,0.0
20200212,18.069,18.086,18.103,18.069,693558,14425281.0,0.19,0.09,0.017,0.0
20200213,18.025,18.06,18.069,18.025,149149,3092994.0,0.24,-0.14,-0.026,0.0
20200214,18.121,18.103,18.147,18.095,63796,1327856.0,0.29,0.24,0.043,0.0
20200218,18.156,18.199,18.208,18.147,17412,364099.0,0.34,0.53,0.096,0.0
20200219,18.216,18.234,18.234,18.216,10199,213719.0,0.1,0.19,0.035,0.0
20200220,18.225,18.269,18.286,18.225,155120,3252357.0,0.33,0.19,0.035,0.0
20200221,18.26,18.321,18.382,18.26,178495,3761178.0,0.67,0.28,0.052,0.0
20200224,18.182,18.199,18.295,18.164,62234,1304217.0,0.72,-0.67,-0.122,0.0
20200225,18.251,18.025,18.251,18.025,475982,9883977.0,1.24,-0.96,-0.174,0.0
20200226,17.999,17.99,18.06,17.99,19301,399872.0,0.39,-0.19,-0.035,0.0
20200227,18.06,17.834,18.06,17.834,69451,1431732.0,1.26,-0.87,-0.156,0.0
20200228,17.712,17.834,18.538,17.66,132513,2705948.0,4.92,0.0,0.0,0.0
20200302,17.869,18.008,18.121,17.842,632144,13067105.0,1.56,0.98,0.174,0.0
20200303,18.112,18.251,18.321,18.086,1546824,32352624.0,1.3,1.35,0.243,0.0
20200304,18.356,18.303,18.434,18.286,90390,1903131.0,0.81,0.28,0.052,0.0
20200305,18.269,18.408,18.425,18.269,146013,3085962.0,0.85,0.57,0.105,0.0
20200306,18.347,18.477,18.625,18.347,84693,1801042.0,1.51,0.37,0.069,0.0
20200309,18.617,18.025,18.617,17.434,249846,5209196.0,6.4,-2.45,-0.452,0.0
20200310,18.243,17.851,18.243,17.842,289999,5956989.0,2.22,-0.97,-0.174,0.0
20200311,17.625,17.303,17.721,17.294,9640,193585.0,2.39,-3.07,-0.548,0.0
