trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20050103,103.262,102.194,103.703,101.352,833700,0.0,0.0,0.0,0.0,0.0
20050104,102.486,100.736,102.827,100.736,78600,0.0,2.05,-1.43,-1.458,0.0
20050105,99.872,96.91,100.147,96.322,180600,0.0,3.8,-3.8,-3.826,0.0
20050106,97.285,97.841,98.248,97.158,107400,0.0,1.12,0.96,0.931,0.0
20050107,98.028,97.637,98.694,97.202,234600,0.0,1.52,-0.21,-0.204,0.0
20050110,97.643,97.246,97.973,97.164,109800,0.0,0.83,-0.4,-0.391,0.0
20050111,97.147,96.294,97.147,96.134,154800,0.0,1.04,-0.98,-0.952,0.0
20050112,96.432,95.799,96.432,94.34,71400,0.0,2.17,-0.51,-0.495,0.0
20050113,95.667,96.233,97.725,95.667,182100,0.0,2.15,0.45,0.434,0.0
20050114,96.762,97.191,97.312,96.641,27300,0.0,0.7,1.0,0.958,0.0
20050118,96.707,98.386,98.386,96.322,258000,0.0,2.12,1.23,1.195,0.0
20050119,98.523,98.771,99.679,98.072,109800,0.0,1.63,0.39,0.385,0.0
20050120,98.248,97.874,98.639,97.461,52800,0.0,1.19,-0.91,-0.897,0.0
20050121,98.0,97.698,98.677,97.698,32100,0.0,1.0,-0.18,-0.176,0.0
20050124,98.468,97.169,98.468,97.098,45900,0.0,1.4,-0.54,-0.529,0.0
20050125,97.29,94.946,97.499,94.946,57300,0.0,2.63,-2.29,-2.223,0.0
20050126,94.946,94.78,95.529,94.511,57300,0.0,1.07,-0.17,-0.166,0.0
20050127,95.276,94.318,95.287,93.746,54900,0.0,1.63,-0.49,-0.462,0.0
20050128,94.654,94.456,94.824,93.702,62700,0.0,1.19,0.15,0.138,0.0
20050131,95.199,94.395,95.221,93.151,87300,0.0,2.19,-0.06,-0.061,0.0
20050201,94.56,94.615,95.067,93.933,66000,0.0,1.2,0.23,0.22,0.0
20050202,94.621,95.689,95.909,94.621,57300,0.0,1.36,1.14,1.074,0.0
20050203,95.716,96.338,96.646,95.716,42600,0.0,0.97,0.68,0.649,0.0
20050204,96.316,97.609,97.681,96.316,22500,0.0,1.42,1.32,1.271,0.0
20050207,97.808,97.345,98.088,97.312,179400,0.0,0.8,-0.27,-0.264,0.0
20050208,97.428,97.34,97.499,97.142,52800,0.0,0.37,-0.01,-0.005,0.0
20050209,97.312,98.297,98.353,97.312,62400,0.0,1.07,0.98,0.957,0.0
20050210,98.413,98.633,98.782,97.78,62400,0.0,1.02,0.34,0.336,0.0
20050211,98.771,99.14,99.31,98.132,60600,0.0,1.19,0.51,0.507,0.0
20050214,99.651,99.228,99.679,98.881,79200,0.0,0.8,0.09,0.088,0.0
20050215,99.129,99.481,99.745,98.974,21600,0.0,0.78,0.25,0.253,0.0
20050216,99.486,99.574,100.411,99.074,44100,0.0,1.34,0.09,0.093,0.0
20050217,100.587,100.229,100.587,100.174,30600,0.0,0.41,0.66,0.655,0.0
20050218,100.229,99.47,100.229,98.809,47100,0.0,1.42,-0.76,-0.759,0.0
20050222,99.486,96.707,99.486,96.679,108000,0.0,2.82,-2.78,-2.763,0.0
20050223,97.56,96.322,97.802,96.189,38700,0.0,1.67,-0.4,-0.385,0.0
20050224,96.184,96.107,96.58,96.03,28500,0.0,0.57,-0.22,-0.215,0.0
20050225,96.266,97.422,97.896,96.266,48300,0.0,1.7,1.37,1.315,0.0
20050228,98.055,97.334,98.055,96.222,60900,0.0,1.88,-0.09,-0.088,0.0
20050301,97.835,98.336,98.336,97.565,72900,0.0,0.79,1.03,1.002,0.0
20050302,97.962,97.764,98.264,97.45,141600,0.0,0.83,-0.58,-0.572,0.0
20050303,98.138,98.22,98.397,97.488,26400,0.0,0.93,0.47,0.456,0.0
20050304,97.037,100.147,100.257,97.037,31200,0.0,3.28,1.96,1.927,0.0
20050307,99.734,100.89,101.506,99.734,55200,0.0,1.77,0.74,0.743,0.0
20050308,100.945,100.031,100.945,99.773,42600,0.0,1.16,-0.85,-0.859,0.0
20050309,99.558,97.213,99.558,97.213,95100,0.0,2.34,-2.82,-2.818,0.0
20050310,97.973,98.044,98.297,96.971,48000,0.0,1.36,0.85,0.831,0.0
20050311,97.973,96.899,97.973,96.899,25800,0.0,1.1,-1.17,-1.145,0.0
20050314,96.597,98.028,98.138,96.575,39600,0.0,1.61,1.17,1.129,0.0
20050315,99.129,98.143,99.696,97.72,45900,0.0,2.02,0.12,0.115,0.0
20050316,98.248,97.037,98.248,96.872,57300,0.0,1.4,-1.13,-1.106,0.0
20050317,97.092,97.775,98.303,97.065,64800,0.0,1.28,0.76,0.738,0.0
20050318,97.384,97.285,97.687,95.65,68100,0.0,2.08,-0.5,-0.49,0.0
20050321,96.459,96.046,96.745,95.771,32400,0.0,1.0,-1.27,-1.239,0.0
20050322,97.202,94.868,97.202,94.472,126900,0.0,2.84,-1.23,-1.178,0.0
20050323,94.45,94.291,95.023,93.388,61800,0.0,1.72,-0.61,-0.577,0.0
20050324,94.368,94.808,95.744,94.34,50400,0.0,1.49,0.55,0.517,0.0
20050328,94.725,93.955,94.725,93.817,97800,0.0,0.96,-0.9,-0.853,0.0
20050329,93.404,93.845,94.648,93.162,43800,0.0,1.58,-0.12,-0.11,0.0
20050330,94.202,95.144,95.199,94.202,37200,0.0,1.06,1.38,1.299,0.0
20050331,95.221,95.265,96.244,94.901,337500,0.0,1.41,0.13,0.121,0.0
20050401,96.789,95.281,96.789,94.208,79800,0.0,2.71,0.02,0.016,0.0
20050404,96.872,94.643,96.872,93.861,192000,0.0,3.16,-0.67,-0.638,0.0
20050405,94.395,94.351,95.21,94.158,42900,0.0,1.11,-0.31,-0.292,0.0
20050406,94.791,95.133,95.468,94.791,31800,0.0,0.72,0.83,0.782,0.0
20050407,95.182,96.211,96.211,95.182,58800,0.0,1.08,1.13,1.078,0.0
20050408,96.156,95.221,96.184,95.221,44400,0.0,1.0,-1.03,-0.99,0.0
20050411,95.358,95.628,95.656,95.171,20100,0.0,0.51,0.43,0.407,0.0
20050412,95.276,96.971,97.01,95.149,32700,0.0,1.95,1.4,1.343,0.0
20050413,97.109,97.246,97.45,96.734,34800,0.0,0.74,0.28,0.275,0.0
20050414,96.734,96.437,97.219,96.074,73500,0.0,1.18,-0.83,-0.809,0.0
20050415,96.211,96.311,96.954,95.771,43200,0.0,1.23,-0.13,-0.126,0.0
20050418,96.156,96.608,96.734,95.771,84300,0.0,1.0,0.31,0.297,0.0
20050419,96.734,96.966,97.015,96.459,59700,0.0,0.58,0.37,0.358,0.0
20050420,97.098,96.784,97.098,96.558,24300,0.0,0.56,-0.19,-0.182,0.0
20050421,96.652,96.872,97.054,96.322,78600,0.0,0.76,0.09,0.088,0.0
20050422,96.85,97.67,97.67,96.85,125100,0.0,0.85,0.82,0.798,0.0
20050425,97.532,98.908,98.908,97.532,36000,0.0,1.41,1.27,1.238,0.0
20050426,98.936,98.798,99.068,98.534,27900,0.0,0.54,-0.11,-0.11,0.0
20050427,98.523,99.42,99.789,98.253,51900,0.0,1.55,0.63,0.622,0.0
20050428,99.558,99.019,99.591,98.991,17400,0.0,0.6,-0.4,-0.401,0.0
20050429,99.707,100.78,101.0,99.079,203400,0.0,1.94,1.78,1.761,0.0
20050502,101.055,100.235,101.055,99.569,31200,0.0,1.47,-0.54,-0.545,0.0
20050503,100.174,100.108,100.703,100.075,38400,0.0,0.63,-0.13,-0.127,0.0
20050504,100.34,101.231,101.402,100.34,23100,0.0,1.06,1.12,1.123,0.0
20050505,101.369,101.826,102.161,101.308,145500,0.0,0.84,0.59,0.595,0.0
20050506,101.963,101.0,102.095,100.439,63900,0.0,1.63,-0.81,-0.826,0.0
20050509,101.138,102.926,102.926,100.945,29700,0.0,1.96,1.91,1.926,0.0
20050510,102.238,102.635,102.888,101.936,47100,0.0,0.92,-0.28,-0.291,0.0
20050511,102.888,103.009,103.075,101.699,190500,0.0,1.34,0.36,0.374,0.0
20050512,103.009,102.266,103.009,101.666,25500,0.0,1.3,-0.72,-0.743,0.0
20050513,102.315,101.022,102.315,100.818,60000,0.0,1.46,-1.22,-1.244,0.0
20050516,102.079,101.908,102.371,101.578,21900,0.0,0.78,0.88,0.886,0.0
20050517,102.101,102.904,103.136,101.864,29100,0.0,1.25,0.98,0.996,0.0
