trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250415,24.509,24.509,24.509,24.509,11,275.0,0.0,0.0,0.0,0.0
20250416,24.464,24.262,24.464,24.262,737,18409.0,0.82,-1.01,-0.247,0.0
20250417,24.404,24.404,24.404,24.404,3,74.0,0.0,0.59,0.142,0.0
20250421,24.039,24.039,24.039,24.039,47,1154.0,0.0,-1.5,-0.365,0.0
20250422,24.542,24.466,24.542,24.466,856,21467.0,0.32,1.78,0.427,0.0
20250423,24.602,24.602,24.602,24.602,90,2262.0,0.0,0.56,0.136,0.0
20250424,24.845,24.86,24.86,24.708,5456,138508.0,0.62,1.05,0.258,0.0
20250425,24.796,24.874,24.992,24.757,1830,46428.0,0.95,0.06,0.014,0.0
20250428,25.002,24.901,25.002,24.845,3392,86421.0,0.63,0.11,0.027,0.0
20250429,25.046,25.046,25.046,25.046,152,3890.0,0.0,0.58,0.145,0.0
20250430,24.816,24.993,25.051,24.757,3519,89382.0,1.17,-0.21,-0.053,0.0
20250501,25.158,25.276,25.393,25.158,6055,156227.0,0.94,1.13,0.283,0.0
20250502,25.295,25.256,25.471,25.256,6707,173425.0,0.85,-0.08,-0.02,0.0
20250505,25.217,25.158,25.227,25.127,2119,54519.0,0.4,-0.39,-0.098,0.0
20250506,25.129,25.113,25.129,24.953,808,20708.0,0.7,-0.18,-0.045,0.0
20250507,25.276,25.227,25.305,25.168,26609,687561.0,0.55,0.45,0.114,0.0
20250508,25.422,25.393,25.422,25.148,11823,304608.0,1.09,0.66,0.166,0.0
20250509,25.168,25.388,25.388,25.168,7514,194743.0,0.87,-0.02,-0.005,0.0
20250512,25.667,25.677,25.755,25.481,7034,184427.0,1.08,1.14,0.289,0.0
20250513,25.413,25.442,25.442,25.315,7822,203202.0,0.49,-0.92,-0.235,0.0
20250514,25.369,25.736,25.736,25.305,6429,168309.0,1.69,1.16,0.294,0.0
20250515,25.413,25.52,25.52,25.08,119635,3087091.0,1.71,-0.84,-0.216,0.0
20250516,25.339,25.451,25.469,25.295,6851,177539.0,0.68,-0.27,-0.069,0.0
20250519,25.491,25.481,25.628,25.305,7017,182479.0,1.27,0.12,0.03,0.0
20250520,25.408,25.403,25.579,25.403,1074,27946.0,0.69,-0.31,-0.078,0.0
20250521,25.383,25.144,25.413,25.144,5115,132518.0,1.06,-1.02,-0.259,0.0
20250522,25.295,24.904,25.315,24.904,2845,73192.0,1.63,-0.95,-0.24,0.0
20250523,25.06,25.125,25.344,24.933,6437,165620.0,1.65,0.89,0.221,0.0
20250527,25.436,25.634,25.634,25.328,7094,182289.0,1.22,2.03,0.509,0.0
20250528,25.446,25.261,25.446,25.261,1261,32306.0,0.72,-1.46,-0.373,0.0
20250529,25.475,25.37,25.515,25.169,4792,122848.0,1.37,0.43,0.109,0.0
20250530,25.406,25.04,25.535,25.04,10573,270138.0,1.95,-1.3,-0.33,0.0
20250602,25.282,25.415,25.485,25.282,2306,59177.0,0.81,1.5,0.375,0.0
20250603,25.535,25.572,25.624,25.475,3169,81760.0,0.59,0.62,0.157,0.0
20250604,25.643,25.525,25.643,25.525,5472,141567.0,0.46,-0.18,-0.047,0.0
20250605,25.426,25.357,25.574,25.248,9080,233469.0,1.28,-0.66,-0.168,0.0
20250606,25.792,25.695,25.851,25.485,16366,425405.0,1.44,1.33,0.338,0.0
20250609,25.821,25.723,25.96,25.723,9852,258101.0,0.92,0.11,0.028,0.0
20250610,25.663,25.786,25.99,25.584,21153,550790.0,1.58,0.24,0.063,0.0
20250611,26.217,25.426,26.217,25.426,10013,262079.0,3.07,-1.4,-0.36,0.0
20250612,25.782,25.731,25.901,25.525,8576,223228.0,1.48,1.2,0.305,0.0
20250613,25.53,25.485,25.648,25.485,3460,89398.0,0.63,-0.96,-0.246,0.0
20250616,25.911,25.776,25.911,25.653,9133,237261.0,1.01,1.14,0.291,0.0
20250617,25.535,25.61,25.821,25.495,5071,131779.0,1.26,-0.64,-0.166,0.0
20250618,25.584,25.653,25.881,25.584,11906,309969.0,1.16,0.17,0.043,0.0
20250620,25.741,25.653,26.178,25.446,45465,1182924.0,2.85,0.0,0.0,0.0
20250623,25.753,25.926,26.029,25.644,25916,675721.0,1.5,1.06,0.273,0.0
20250624,25.683,25.96,26.257,25.683,29514,774841.0,2.21,0.13,0.034,0.0
20250625,25.96,25.928,26.1,25.82,8804,229359.0,1.08,-0.12,-0.032,0.0
20250626,26.04,26.5,26.5,26.03,12251,323106.0,1.81,2.21,0.572,0.0
20250627,26.31,26.123,26.33,26.02,5936,155587.0,1.17,-1.42,-0.377,0.0
20250630,26.17,26.22,26.32,26.031,11478,300586.0,1.11,0.37,0.097,0.0
20250701,26.27,26.185,26.34,26.02,6595,173038.0,1.22,-0.13,-0.035,0.0
20250702,26.225,26.28,26.46,26.17,280275,7414506.0,1.11,0.36,0.095,0.0
20250703,26.3,26.8,26.8,26.3,46515,1231213.0,1.9,1.98,0.52,0.0
20250707,26.36,26.2,26.36,26.11,22223,584269.0,0.93,-2.24,-0.6,0.0
20250708,26.06,26.27,26.4,26.06,16413,431482.0,1.3,0.27,0.07,0.0
