trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20241010,25.15,25.22,25.22,25.051,492007,12443974.0,0.67,0.28,0.07,0.0
20241011,25.652,25.652,25.652,25.652,2,51.0,0.0,1.71,0.432,0.0
20241014,25.796,25.806,25.945,25.745,3820,99214.0,0.78,0.6,0.154,0.0
20241015,26.86,25.822,26.86,25.806,8220,215928.0,4.08,0.06,0.016,0.0
20241016,26.343,26.104,26.343,26.016,8117,213594.0,1.27,1.09,0.282,0.0
20241017,26.144,26.119,26.195,26.119,6765,178110.0,0.29,0.06,0.015,0.0
20241018,26.174,25.973,26.174,25.973,4190,110100.0,0.77,-0.56,-0.146,0.0
20241021,25.916,25.538,25.916,25.538,7276,188396.0,1.46,-1.67,-0.435,0.0
20241022,25.478,25.447,25.498,25.399,7093,181820.0,0.39,-0.36,-0.091,0.0
20241023,25.438,25.25,25.438,25.081,5563,141585.0,1.4,-0.77,-0.197,0.0
20241024,25.389,25.321,25.389,25.21,5995,152672.0,0.71,0.28,0.071,0.0
20241025,25.508,25.173,25.558,25.173,6522,166779.0,1.52,-0.58,-0.148,0.0
20241028,25.478,25.594,25.757,25.478,7884450,203414682.0,1.11,1.67,0.421,0.0
20241029,25.369,25.521,25.578,25.269,6728,172239.0,1.21,-0.29,-0.073,0.0
20241030,25.528,25.531,25.717,25.518,7922,204181.0,0.78,0.04,0.01,0.0
20241031,25.488,25.153,25.518,25.153,9239,235173.0,1.43,-1.48,-0.378,0.0
20241101,25.339,25.194,25.399,25.13,12661,322019.0,1.07,0.16,0.041,0.0
20241104,25.14,25.268,25.453,25.14,22994,582728.0,1.24,0.29,0.074,0.0
20241105,25.289,25.707,25.707,25.259,12471,318868.0,1.77,1.74,0.439,0.0
20241106,26.84,27.302,27.302,26.83,8736,237879.0,1.84,6.2,1.595,0.0
20241107,27.118,27.111,27.377,27.099,10309,281618.0,1.02,-0.7,-0.191,0.0
20241108,27.168,27.451,27.506,27.158,16332,448337.0,1.28,1.25,0.34,0.0
20241111,27.715,27.817,27.904,27.715,22074,617647.0,0.69,1.33,0.366,0.0
20241112,27.765,27.41,27.765,27.362,18575,515023.0,1.45,-1.46,-0.407,0.0
20241113,27.248,27.238,27.705,27.238,13207,365204.0,1.7,-0.63,-0.172,0.0
20241114,27.218,26.8,27.218,26.741,26704,724814.0,1.75,-1.61,-0.438,0.0
20241115,26.751,26.487,26.751,26.393,11421,305380.0,1.34,-1.17,-0.313,0.0
20241118,26.572,26.536,26.711,26.462,19025,508780.0,0.94,0.18,0.049,0.0
20241119,26.363,26.702,26.702,26.263,18385,490045.0,1.65,0.63,0.166,0.0
20241120,26.681,26.713,26.713,26.512,19533,523056.0,0.75,0.04,0.011,0.0
20241121,26.761,27.151,27.228,26.761,13486,367209.0,1.75,1.64,0.438,0.0
20241122,27.287,27.566,27.596,27.208,25249,695760.0,1.43,1.53,0.415,0.0
20241125,28.053,28.042,28.301,27.963,23803,673380.0,1.23,1.73,0.476,0.0
20241126,27.864,27.85,27.904,27.765,19969,559259.0,0.5,-0.68,-0.192,0.0
20241127,28.152,27.787,28.152,27.784,18978,534954.0,1.32,-0.23,-0.063,0.0
20241129,27.963,27.826,27.973,27.826,6167,173382.0,0.53,0.14,0.039,0.0
20241202,27.844,27.943,28.162,27.685,132981,3742652.0,1.71,0.42,0.117,0.0
20241203,27.596,27.768,28.013,27.596,254695,7161629.0,1.49,-0.63,-0.175,0.0
20241204,27.834,27.907,27.953,27.705,31194,872793.0,0.89,0.5,0.139,0.0
20241205,27.833,27.558,27.854,27.536,35689,994635.0,1.14,-1.25,-0.349,0.0
20241206,27.735,27.624,27.735,27.496,13773,382148.0,0.87,0.24,0.066,0.0
20241209,27.745,27.32,27.745,27.228,15465,428018.0,1.87,-1.1,-0.304,0.0
20241210,27.238,27.295,27.516,27.238,16922,466286.0,1.02,-0.09,-0.025,0.0
20241211,27.476,27.505,27.635,27.387,29959,829316.0,0.91,0.77,0.21,0.0
20241212,27.248,27.195,27.456,27.158,14612,401834.0,1.08,-1.13,-0.31,0.0
20241213,27.188,27.0,27.188,26.895,19393,527436.0,1.08,-0.72,-0.195,0.0
20241216,26.939,27.073,27.188,26.939,25310,690369.0,0.92,0.27,0.073,0.0
20241217,26.94,26.733,27.049,26.671,23350,630239.0,1.4,-1.26,-0.34,0.0
20241218,26.85,25.625,26.87,25.578,23200,623304.0,4.83,-4.14,-1.108,0.0
20241219,25.677,25.528,26.035,25.478,11074,286839.0,2.17,-0.38,-0.097,0.0
20241220,25.518,25.664,25.896,25.508,15519,402351.0,1.52,0.53,0.136,0.0
20241223,25.667,25.64,25.667,25.449,14065,362081.0,0.85,-0.09,-0.024,0.0
20241224,25.707,25.871,25.871,25.647,21797,564522.0,0.87,0.9,0.231,0.0
20241226,25.767,26.057,26.057,25.757,11816,307172.0,1.16,0.72,0.186,0.0
20241227,25.923,25.666,26.013,25.574,20073,519857.0,1.68,-1.5,-0.391,0.0
20241230,25.415,25.485,25.624,25.286,14638,374080.0,1.32,-0.71,-0.181,0.0
20241231,25.584,25.508,25.694,25.425,14637,375749.0,1.06,0.09,0.023,0.0
20250102,25.764,25.527,25.903,25.465,10282,264618.0,1.72,0.07,0.019,0.0
