trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250116,20.55,22.037,22.28,20.55,23511,514551.0,8.42,7.24,1.487,0.0
20250117,22.31,22.524,23.19,21.9,157924,3579085.0,5.85,2.21,0.487,0.0
20250121,23.94,26.367,28.781,23.935,108733,2758955.0,21.51,17.06,3.843,0.0
20250122,26.78,25.43,26.78,24.45,103655,2657787.0,8.84,-3.55,-0.937,0.0
20250123,24.8,26.75,27.164,24.6,76454,1984235.0,10.08,5.19,1.32,0.0
20250124,27.1,26.28,27.81,26.16,162452,4366374.0,6.17,-1.76,-0.47,0.0
20250127,20.52,20.94,22.585,19.228,388234,8154589.0,12.77,-20.32,-5.34,0.0
20250128,21.04,21.121,21.304,18.662,197909,3895325.0,12.62,0.86,0.181,0.0
20250129,20.72,20.719,21.49,20.1,104902,2176053.0,6.58,-1.9,-0.402,0.0
20250130,21.504,21.8,22.43,21.121,110687,2441254.0,6.32,5.22,1.081,0.0
20250131,21.96,20.059,22.0,19.56,157021,3230029.0,11.19,-7.99,-1.741,0.0
20250203,17.76,19.01,19.94,17.76,105977,1983616.0,10.87,-5.23,-1.049,0.0
20250204,19.0,18.81,19.473,18.595,121832,2301477.0,4.62,-1.05,-0.2,0.0
20250205,18.72,19.28,19.36,18.581,59979,1140044.0,4.14,2.5,0.47,0.0
20250206,19.42,17.59,19.42,17.35,133524,2393996.0,10.74,-8.77,-1.69,0.0
20250207,17.72,17.79,18.65,17.63,95201,1735421.0,5.8,1.14,0.2,0.0
20250210,18.22,18.31,18.95,18.14,70151,1305955.0,4.55,2.92,0.52,0.0
20250211,17.97,17.58,18.39,17.46,51449,910017.0,5.08,-3.99,-0.73,0.0
20250212,16.89,17.43,17.6,16.645,103570,1780012.0,5.43,-0.85,-0.15,0.0
20250213,17.93,18.43,18.69,17.47,70888,1292416.0,7.0,5.74,1.0,0.0
20250214,18.68,20.8,21.253,18.54,362300,7373985.0,14.72,12.86,2.37,0.0
20250218,21.57,22.38,23.11,21.57,195025,4377610.0,7.4,7.6,1.58,0.0
20250219,22.13,20.73,22.13,20.53,189360,4000385.0,7.15,-7.37,-1.65,0.0
20250220,20.28,19.03,20.36,17.87,291005,5430314.0,12.01,-8.2,-1.7,0.0
20250221,19.01,16.91,19.01,16.7,241469,4255357.0,12.14,-11.14,-2.12,0.0
20250224,17.09,16.13,17.115,14.95,187521,2986659.0,12.8,-4.61,-0.78,0.0
20250225,15.5,15.17,15.88,14.09,258938,3837925.0,11.1,-5.95,-0.96,0.0
20250226,15.73,16.36,16.919,15.69,131673,2135310.0,8.1,7.84,1.19,0.0
